TABLE->,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2
VARS->,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,IAMSU,INO3,ISLON,ISRON,AGPLTN,LITTRN
A36067,0.194500,1,0.03,0.3,0,44.39850,37.71350,5,0.5,2,0,3052.280,0.487500,5,1,8,0,1759.153,0.175500,6,0.5,1,0,1115.081,0,0,0,0,na,na
A36069,1.271500,1,0.03,0.3,0,34.82700,39.90600,5,0.5,2,0,3719.279,0.207500,5,1,8,0,1555.096,0.020500,6,0.5,1,0,1063.269,0,0,0,0,na,na
A36077,0.531500,1,0.03,0.3,0,34.24500,34.92350,5,0.5,2,0,3311.868,0.249500,5,1,8,0,1562.833,0.053000,6,0.5,1,0,1105.945,0,0,0,0,na,na
A36095,0.567500,1,0.03,0.3,0,41.60450,35.07450,5,0.5,2,0,3246.370,0.204500,5,1,8,0,1554.198,0.076500,6,0.5,1,0,1128.021,0,0,0,0,na,na
A36097,1.268500,1,0.03,0.3,0,32.32550,37.82150,5,0.5,2,0,3704.744,0.169250,5,1,8,0,1518.647,0.011000,6,0.5,1,0,1058.455,0,0,0,0,na,na
A36101,1.216000,1,0.03,0.3,0,37.96350,38.65400,5,0.5,2,0,3838.509,0.157750,5,1,8,0,1521.672,0.008000,6,0.5,1,0,1048.565,0,0,0,0,na,na
A36107,0.887500,1,0.03,0.3,0,26.87450,35.74300,5,0.5,2,0,3684.658,0.179000,5,1,8,0,1531.937,0.015000,6,0.5,1,0,1064.516,0,0,0,0,na,na
A36109,1.090000,1,0.03,0.3,0,29.94200,37.19700,5,0.5,2,0,3615.549,0.185000,5,1,8,0,1504.137,0.014500,6,0.5,1,0,1065.385,0,0,0,0,na,na
A36123,1.231500,1,0.03,0.3,0,34.14150,39.46300,5,0.5,2,0,3687.898,0.197500,5,1,8,0,1558.678,0.018000,6,0.5,1,0,1060.686,0,0,0,0,na,na
A37001,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,250,0,0,0,0,na,na
A37005,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,250,0,0,0,0,na,na
A37009,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,250,0,0,0,0,na,na
A37033,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,250,0,0,0,0,na,na
A37067,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,250,0,0,0,0,na,na
A37077,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,250,0,0,0,0,na,na
A37081,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,250,0,0,0,0,na,na
A37131,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,250,0,0,0,0,na,na
A37135,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,250,0,0,0,0,na,na
A37145,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,250,0,0,0,0,na,na
A37157,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,250,0,0,0,0,na,na
A37169,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,250,0,0,0,0,na,na
A37171,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,250,0,0,0,0,na,na
A37181,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,250,0,0,0,0,na,na
