TABLE->,PHOS-CMAX,PHOS-SVALPM#1,PHOS-SVALPM#1,PHOS-SVALPM#1,PHOS-SVALPM#2,PHOS-SVALPM#2,PHOS-SVALPM#2,PHOS-SVALPM#3,PHOS-SVALPM#3,PHOS-SVALPM#3,PHOS-SVALPM#4,PHOS-SVALPM#4,PHOS-SVALPM#4
VARS->,CMAX,XFIX,K1,N1,XFIX,K1,N1,XFIX,K1,N1,XFIX,K1,N1
A42061,50,1.000000,36.01670,1.5,20.00000,0.694123,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42063,50,1.000000,48.21008,1.5,20.00000,0.518564,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42065,50,1.000000,86.51051,1.5,20.00000,0.288982,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42067,50,1.000000,0.370421,1.5,20.00000,67.49072,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42069,50,1.000000,100.0000,1.5,20.00000,0.105134,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42071,50,1.000000,0.462156,1.5,20.00000,54.09417,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42075,50,1.000000,1.292516,1.5,20.00000,19.34215,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42079,50,1.000000,100.0000,1.5,20.00000,0.053527,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42081,50,1.000000,41.51893,1.5,20.00000,0.602134,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42083,50,1.000000,44.89514,1.5,20.00000,0.556853,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42087,50,1.000000,0.912046,1.5,20.00000,27.41089,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42093,50,1.000000,15.72461,1.5,20.00000,1.589864,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42097,50,1.000000,10.84023,1.5,20.00000,2.306223,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42099,50,1.000000,5.603292,1.5,20.00000,4.461664,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42105,50,1.000000,41.61968,1.5,20.00000,0.600677,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42107,50,1.000000,2.204482,1.5,20.00000,11.34054,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42109,50,1.000000,0.521288,1.5,20.00000,47.95809,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42111,50,1.000000,39.41393,1.5,20.00000,0.634293,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42113,50,1.000000,71.69168,1.5,20.00000,0.348717,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42115,50,1.000000,49.40133,1.5,20.00000,0.506060,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42117,50,1.000000,69.21636,1.5,20.00000,0.361186,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42119,50,1.000000,0.594581,1.5,20.00000,42.04650,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42127,50,1.000000,37.14631,1.5,20.00000,0.673015,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42131,50,1.000000,85.62462,1.5,20.00000,0.291973,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42133,50,1.000000,37.81054,1.5,20.00000,0.661191,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A47091,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A47163,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51001,50,1.000000,0.716704,1.5,20.00000,34.88188,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51003,50,1.000000,100.0000,1.5,20.00000,0.038929,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51005,50,1.000000,100.0000,1.5,20.00000,0.092880,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51007,50,1.000000,0.468792,1.5,20.00000,53.32846,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51009,50,1.000000,100.0000,1.5,20.00000,0.116162,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51011,50,1.000000,98.55256,1.5,20.00000,0.253672,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51013,50,1.000000,45.11750,1.5,20.00000,0.554107,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51015,50,1.000000,59.74781,1.5,20.00000,0.418426,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51017,50,1.000000,100.0000,1.5,20.00000,0.226890,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51019,50,1.000000,71.79823,1.5,20.00000,0.348197,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51021,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51023,50,1.000000,78.22816,1.5,20.00000,0.319579,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51025,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51027,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51029,50,1.000000,13.19986,1.5,20.00000,1.893962,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51031,50,1.000000,100.0000,1.5,20.00000,0.176566,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51033,50,1.000000,100.0000,1.5,20.00000,0.086085,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51035,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51036,50,1.000000,96.52582,1.5,20.00000,0.258997,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51037,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51041,50,1.000000,41.34926,1.5,20.00000,0.604605,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51043,50,1.000000,100.0000,1.5,20.00000,0.178102,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51045,50,1.000000,100.0000,1.5,20.00000,0.243807,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51047,50,1.000000,78.24555,1.5,20.00000,0.319507,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51049,50,1.000000,0.691312,1.5,20.00000,36.16313,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
