seg,year,month,precip(in),wetno3(lb),wetnh3(lb),dryno3(lb),drynh3(lb),wetorn(lb),wetorp(lb),wetpo4(lb)
A42079,1991,  10,   2.9655,   0.1892,   0.1099,   0.5641,   0.0618,   0.0269,   0.0249,   0.0084
A42079,1991,  11,   3.8533,   0.1721,   0.1006,   0.5142,   0.0528,   0.0349,   0.0323,   0.0109
A42079,1991,  12,   3.6936,   0.2619,   0.1284,   0.4396,   0.0197,   0.0335,   0.0310,   0.0105
A42079,1992,   1,   1.6061,   0.1263,   0.0599,   0.5336,   0.0246,   0.0146,   0.0135,   0.0045
A42079,1992,   2,   1.8124,   0.1748,   0.0856,   0.4981,   0.0365,   0.0164,   0.0152,   0.0051
A42079,1992,   3,   4.4749,   0.4199,   0.2642,   0.6861,   0.0673,   0.0406,   0.0375,   0.0127
A42079,1992,   4,   2.7746,   0.3322,   0.2984,   0.5372,   0.0722,   0.0503,   0.0465,   0.0157
A42079,1992,   5,   4.7243,   0.4100,   0.2799,   0.6110,   0.0711,   0.0856,   0.0792,   0.0268
A42079,1992,   6,   2.9035,   0.2597,   0.1918,   0.7506,   0.1467,   0.0526,   0.0487,   0.0164
A42079,1992,   7,   5.4637,   0.5347,   0.3045,   0.6207,   0.1485,   0.0495,   0.0458,   0.0155
A42079,1992,   8,   3.1643,   0.3730,   0.2128,   0.5664,   0.0987,   0.0287,   0.0265,   0.0090
A42079,1992,   9,   3.8688,   0.2539,   0.1729,   0.5749,   0.0711,   0.0351,   0.0324,   0.0110
A42079,1992,  10,   2.6391,   0.1025,   0.0729,   0.5516,   0.0614,   0.0239,   0.0221,   0.0075
A42079,1992,  11,   4.4074,   0.2182,   0.1400,   0.5029,   0.0525,   0.0400,   0.0370,   0.0125
A42079,1992,  12,   2.9686,   0.1813,   0.0833,   0.4299,   0.0196,   0.0269,   0.0249,   0.0084
A42079,1993,   1,   2.3992,   0.2038,   0.0951,   0.5215,   0.0244,   0.0217,   0.0201,   0.0068
A42079,1993,   2,   1.6796,   0.0999,   0.0343,   0.4868,   0.0363,   0.0152,   0.0141,   0.0048
A42079,1993,   3,   4.6227,   0.3806,   0.1522,   0.6706,   0.0670,   0.0419,   0.0388,   0.0131
A42079,1993,   4,   9.8357,   0.5316,   0.3797,   0.5250,   0.0718,   0.1783,   0.1649,   0.0557
A42079,1993,   5,   1.6249,   0.1564,   0.1523,   0.5972,   0.0707,   0.0295,   0.0272,   0.0092
A42079,1993,   6,   3.0319,   0.3942,   0.2973,   0.7336,   0.1460,   0.0550,   0.0508,   0.0172
A42079,1993,   7,   1.8267,   0.2496,   0.1595,   0.6066,   0.1477,   0.0166,   0.0153,   0.0052
A42079,1993,   8,   5.4274,   0.5546,   0.3151,   0.5536,   0.0981,   0.0492,   0.0455,   0.0154
A42079,1993,   9,   6.8254,   0.6230,   0.3981,   0.5618,   0.0707,   0.0619,   0.0572,   0.0193
A42079,1993,  10,   3.9842,   0.3873,   0.2232,   0.5391,   0.0611,   0.0361,   0.0334,   0.0113
