 rseg,year,month,supply_cfs
 JA2_7290_0001, 2002, 10,  8.07817459
 JA2_7290_0001, 2002, 11,  8.75909328
 JA2_7290_0001, 2002, 12,  9.20788097
 JA2_7290_0001, 2003, 1,  9.05312634
 JA2_7290_0001, 2003, 2,  8.72814274
 JA2_7290_0001, 2003, 3,  9.34716034
 JA2_7290_0001, 2003, 4,  11.9006062
 JA2_7290_0001, 2003, 5,  16.2337265
 JA2_7290_0001, 2003, 6,  15.8777924
 JA2_7290_0001, 2003, 7,  15.2278242
 JA2_7290_0001, 2003, 8,  14.6707077
 JA2_7290_0001, 2003, 9,  11.3899174
 JA2_7290_0001, 2003, 10,  13.5100498
 JA2_7290_0001, 2003, 11,  12.2874918
 JA2_7290_0001, 2003, 12,  11.2042112
 JA2_7290_0001, 2004, 1,  8.09364986
 JA2_7290_0001, 2004, 2,  8.29483128
 JA2_7290_0001, 2004, 3,  7.66033792
 JA2_7290_0001, 2004, 4,  6.4687295
 JA2_7290_0001, 2004, 5,  8.18650246
 JA2_7290_0001, 2004, 6,  10.3530626
 JA2_7290_0001, 2004, 7,  9.91975117
 JA2_7290_0001, 2004, 8,  9.59476662
 JA2_7290_0001, 2004, 9,  8.18650246
 JA2_7290_0001, 2004, 10,  8.07817459
 JA2_7290_0001, 2004, 11,  8.75909328
 JA2_7290_0001, 2004, 12,  9.20788097
 JA2_7290_0001, 2005, 1,  9.05312634
 JA2_7290_0001, 2005, 2,  8.72814274
 JA2_7290_0001, 2005, 3,  9.34716034
 JA2_7290_0001, 2005, 4,  11.9006062
 JA2_7290_0001, 2005, 5,  16.2337265
 JA2_7290_0001, 2005, 6,  15.8777924
 JA2_7290_0001, 2005, 7,  15.2278242
 JA2_7290_0001, 2005, 8,  14.6707077
 JA2_7290_0001, 2005, 9,  11.3899174
 JA2_7290_0001, 2005, 10,  13.5100498
 JA2_7290_0001, 2005, 11,  12.2874918
 JA2_7290_0001, 2005, 12,  11.2042112
 JA5_7460_0000, 1998, 1,  31.3532219
 JA5_7460_0000, 1998, 2,  29.7902031
 JA5_7460_0000, 1998, 3,  28.3974152
 JA5_7460_0000, 1998, 4,  27.7938709
 JA5_7460_0000, 1998, 5,  30.4556484
 JA5_7460_0000, 1998, 6,  32.235321
 JA5_7460_0000, 1998, 7,  33.9995193
 JA5_7460_0000, 1998, 8,  30.8270569
 JA5_7460_0000, 1998, 9,  32.5293541
 JA5_7460_0000, 1998, 10,  32.575779
 JA5_7460_0000, 1998, 11,  32.7769623
 JA5_7460_0000, 1998, 12,  29.5890236
 JA5_7460_0000, 1999, 1,  26.401083
 JA5_7460_0000, 1999, 2,  26.462986
 JA5_7460_0000, 1999, 3,  29.2176113
 JA5_7460_0000, 1999, 4,  26.6177425
 JA5_7460_0000, 1999, 5,  27.9486275
 JA5_7460_0000, 1999, 6,  30.5485001
 JA5_7460_0000, 1999, 7,  32.235321
 JA5_7460_0000, 1999, 8,  33.519783
 JA5_7460_0000, 1999, 9,  33.101944
 JA5_7460_0000, 1999, 10,  32.4210281
 JA5_7460_0000, 1999, 11,  32.1115189
 JA5_7460_0000, 1999, 12,  32.2637787
 JA5_7460_0000, 2000, 1,  32.1888924
 JA5_7460_0000, 2000, 2,  32.3228378
 JA5_7460_0000, 2000, 3,  32.6067314
 JA5_7460_0000, 2000, 4,  32.2198448
 JA5_7460_0000, 2000, 5,  31.8948631
 JA5_7460_0000, 2000, 6,  32.4984055
 JA5_7460_0000, 2000, 7,  34.6649628
 JA5_7460_0000, 2000, 8,  35.1447029
 JA5_7460_0000, 2000, 9,  31.0591888
 JA5_7460_0000, 2000, 10,  30.7032547
 JA5_7460_0000, 2000, 11,  31.6936817
 JA5_7460_0000, 2000, 12,  32.0031891
 JA5_7460_0000, 2001, 1,  32.1928864
 JA5_7460_0000, 2001, 2,  32.3232002
 JA5_7460_0000, 2001, 3,  32.6067314
 JA5_7460_0000, 2001, 4,  32.2198448
 JA5_7460_0000, 2001, 5,  31.8948631
 JA5_7460_0000, 2001, 6,  32.4984055
 JA5_7460_0000, 2001, 7,  34.6649628
 JA5_7460_0000, 2001, 8,  35.1447029
 JA5_7460_0000, 2001, 9,  31.0591888
 JA5_7460_0000, 2001, 10,  30.7032547
 JA5_7460_0000, 2001, 11,  31.6936817
 JA5_7460_0000, 2001, 12,  32.0031891
 JA5_7460_0000, 2002, 1,  32.1928864
 JA5_7460_0000, 2002, 2,  32.3232002
 JA5_7460_0000, 2002, 3,  32.6067314
 JA5_7460_0000, 2002, 4,  32.2198448
 JA5_7460_0000, 2002, 5,  31.8948631
 JA5_7460_0000, 2002, 6,  32.4984055
 JA5_7460_0000, 2002, 7,  34.6649628
 JA5_7460_0000, 2002, 8,  35.1447029
 JA5_7460_0000, 2002, 9,  31.0591888
 JA5_7460_0000, 2002, 10,  30.7032547
 JA5_7460_0000, 2002, 11,  31.6936817
 JA5_7460_0000, 2002, 12,  32.0031891
 JA2_7550_7280, 1984, 1,  1.26898527
 JA2_7550_7280, 1984, 2,  1.37731326
 JA2_7550_7280, 1984, 3,  1.23803449
 JA2_7550_7280, 1984, 4,  1.36183786
 JA2_7550_7280, 1984, 5,  1.23803449
 JA2_7550_7280, 1984, 6,  1.31541169
 JA2_7550_7280, 1984, 7,  1.22255909
 JA2_7550_7280, 1984, 8,  1.23803449
 JA2_7550_7280, 1984, 9,  1.39278865
 JA2_7550_7280, 1984, 10,  1.33088708
 JA2_7550_7280, 1984, 11,  1.28446066
 JA2_7550_7280, 1984, 12,  1.09875548
 JA2_7550_7280, 1985, 1,  1.26898527
 JA2_7550_7280, 1985, 2,  1.37731326
 JA2_7550_7280, 1985, 3,  1.23803449
 JA2_7550_7280, 1985, 4,  1.36183786
 JA2_7550_7280, 1985, 5,  1.23803449
 JA2_7550_7280, 1985, 6,  1.31541169
 JA2_7550_7280, 1985, 7,  1.22255909
 JA2_7550_7280, 1985, 8,  1.23803449
 JA2_7550_7280, 1985, 9,  1.39278865
 JA2_7550_7280, 1985, 10,  1.33088708
 JA2_7550_7280, 1985, 11,  1.28446066
 JA2_7550_7280, 1985, 12,  1.09875548
 JA2_7550_7280, 1986, 1,  0.959476709
 JA2_7550_7280, 1986, 2,  1.0213784
 JA2_7550_7280, 1986, 3,  0.959476709
 JA2_7550_7280, 1986, 4,  1.08328009
 JA2_7550_7280, 1986, 5,  1.00590289
 JA2_7550_7280, 1986, 6,  1.1297065
 JA2_7550_7280, 1986, 7,  1.20708358
 JA2_7550_7280, 1986, 8,  1.11423099
 JA2_7550_7280, 1986, 9,  1.22255909
 JA2_7550_7280, 1986, 10,  1.28446066
 JA2_7550_7280, 1986, 11,  1.0213784
 JA2_7550_7280, 1986, 12,  0.944001257
 JA2_7550_7280, 1987, 1,  0.944001257
 JA2_7550_7280, 1987, 2,  1.16065729
 JA2_7550_7280, 1987, 3,  1.0213784
 JA2_7550_7280, 1987, 4,  1.11423099
 JA2_7550_7280, 1987, 5,  1.03685391
 JA2_7550_7280, 1987, 6,  1.22255909
 JA2_7550_7280, 1987, 7,  1.26898527
 JA2_7550_7280, 1987, 8,  1.40826416
 JA2_7550_7280, 1987, 9,  1.34636247
 JA2_7550_7280, 1987, 10,  1.23803449
 JA2_7550_7280, 1987, 11,  1.28446066
 JA2_7550_7280, 1987, 12,  1.50111675
 JA2_7550_7280, 1988, 1,  1.17613268
 JA2_7550_7280, 1988, 2,  1.23536634
 JA2_7550_7280, 1988, 3,  1.16065729
 JA2_7550_7280, 1988, 4,  1.25350988
 JA2_7550_7280, 1988, 5,  1.11423099
 JA2_7550_7280, 1988, 6,  1.31541169
 JA2_7550_7280, 1988, 7,  1.31541169
 JA2_7550_7280, 1988, 8,  1.43921506
 JA2_7550_7280, 1988, 9,  1.45469046
 JA2_7550_7280, 1988, 10,  1.42373967
 JA2_7550_7280, 1988, 11,  1.42373967
 JA2_7550_7280, 1988, 12,  1.29993618
 JA2_7550_7280, 1989, 1,  1.29993618
 JA2_7550_7280, 1989, 2,  1.34636247
 JA2_7550_7280, 1989, 3,  1.28446066
 JA2_7550_7280, 1989, 4,  1.39278865
 JA2_7550_7280, 1989, 5,  1.20708358
 JA2_7550_7280, 1989, 6,  1.28446066
 JA2_7550_7280, 1989, 7,  1.20708358
 JA2_7550_7280, 1989, 8,  1.23803449
 JA2_7550_7280, 1989, 9,  1.45469046
 JA2_7550_7280, 1989, 10,  1.34636247
 JA2_7550_7280, 1989, 11,  1.31541169
 JA2_7550_7280, 1989, 12,  1.43921506
 JA2_7550_7280, 1990, 1,  1.28446066
 JA2_7550_7280, 1990, 2,  1.31541169
 JA2_7550_7280, 1990, 3,  1.25350988
 JA2_7550_7280, 1990, 4,  1.33088708
 JA2_7550_7280, 1990, 5,  1.25350988
 JA2_7550_7280, 1990, 6,  1.22255909
 JA2_7550_7280, 1990, 7,  1.37731326
 JA2_7550_7280, 1990, 8,  1.48564124
 JA2_7550_7280, 1990, 9,  1.59396935
 JA2_7550_7280, 1990, 10,  1.51659226
 JA2_7550_7280, 1990, 11,  1.37731326
 JA2_7550_7280, 1990, 12,  1.31541169
 JA2_7550_7280, 1991, 1,  1.26898527
 JA2_7550_7280, 1991, 2,  1.39278865
 JA2_7550_7280, 1991, 3,  1.36183786
 JA2_7550_7280, 1991, 4,  1.40826416
 JA2_7550_7280, 1991, 5,  1.29993618
 JA2_7550_7280, 1991, 6,  1.33088708
 JA2_7550_7280, 1991, 7,  1.39278865
 JA2_7550_7280, 1991, 8,  1.31541169
 JA2_7550_7280, 1991, 9,  1.51659226
 JA2_7550_7280, 1991, 10,  1.50111675
 JA2_7550_7280, 1991, 11,  1.39278865
 JA2_7550_7280, 1991, 12,  1.25350988
 JA2_7550_7280, 1992, 1,  1.29993618
 JA2_7550_7280, 1992, 2,  1.35863602
 JA2_7550_7280, 1992, 3,  1.26898527
 JA2_7550_7280, 1992, 4,  1.33088708
 JA2_7550_7280, 1992, 5,  1.20708358
