 rseg,year,month,irrigation_cfs
 WM0_3650_0001, 1999, 5,  0.216656029
 WM0_3650_0001, 1999, 6,  0.386885762
 WM0_3650_0001, 1999, 7,  0.510689199
 WM0_3650_0001, 1999, 8,  0.510689199
 WM0_3650_0001, 1999, 9,  0.386885762
 WM0_3650_0001, 1999, 10,  0.216656029
 WM0_3650_0001, 2000, 5,  0.154754311
 WM0_3650_0001, 2000, 6,  0.278557748
 WM0_3650_0001, 2000, 7,  0.355934918
 WM0_3650_0001, 2000, 8,  0.355934918
 WM0_3650_0001, 2000, 9,  0.278557748
 WM0_3650_0001, 2000, 10,  0.154754311
 WM0_3650_0001, 2001, 5,  0.154754311
 WM0_3650_0001, 2001, 6,  0.278557748
 WM0_3650_0001, 2001, 7,  0.355934918
 WM0_3650_0001, 2001, 8,  0.355934918
 WM0_3650_0001, 2001, 9,  0.278557748
 WM0_3650_0001, 2001, 10,  0.154754311
 WM0_3650_0001, 2002, 5,  0.154754311
 WM0_3650_0001, 2002, 6,  0.278557748
 WM0_3650_0001, 2002, 7,  0.355934918
 WM0_3650_0001, 2002, 8,  0.355934918
 WM0_3650_0001, 2002, 9,  0.278557748
 WM0_3650_0001, 2002, 10,  0.154754311
 WM0_3650_0001, 2003, 5,  0.154754311
 WM0_3650_0001, 2003, 6,  0.278557748
 WM0_3650_0001, 2003, 7,  0.355934918
 WM0_3650_0001, 2003, 8,  0.355934918
 WM0_3650_0001, 2003, 9,  0.278557748
 WM0_3650_0001, 2003, 10,  0.154754311
 WM0_3650_0001, 2004, 5,  0.154754311
 WM0_3650_0001, 2004, 6,  0.278557748
 WM0_3650_0001, 2004, 7,  0.355934918
 WM0_3650_0001, 2004, 8,  0.355934918
 WM0_3650_0001, 2004, 9,  0.278557748
 WM0_3650_0001, 2004, 10,  0.154754311
 WM0_3650_0001, 2005, 5,  0.154754311
 WM0_3650_0001, 2005, 6,  0.278557748
 WM0_3650_0001, 2005, 7,  0.355934918
 WM0_3650_0001, 2005, 8,  0.355934918
 WM0_3650_0001, 2005, 9,  0.278557748
 WM0_3650_0001, 2005, 10,  0.154754311
 WM0_3881_3880, 1995, 5,  0.0464262888
 WM0_3881_3880, 1995, 6,  0.0773771554
 WM0_3881_3880, 1995, 7,  0.108328015
 WM0_3881_3880, 1995, 8,  0.108328015
 WM0_3881_3880, 1995, 9,  0.0773771554
 WM0_3881_3880, 1995, 10,  0.0464262888
 WM0_3881_3880, 1996, 5,  0.0154754305
 WM0_3881_3880, 1996, 6,  0.0309508611
 WM0_3881_3880, 1996, 7,  0.0464262888
 WM0_3881_3880, 1996, 8,  0.0464262888
 WM0_3881_3880, 1996, 9,  0.0309508611
 WM0_3881_3880, 1996, 10,  0.0154754305
 WM0_3881_3880, 1997, 5,  0.0309508611
 WM0_3881_3880, 1997, 6,  0.0464262888
 WM0_3881_3880, 1997, 7,  0.0619017221
 WM0_3881_3880, 1997, 8,  0.0619017221
 WM0_3881_3880, 1997, 9,  0.0464262888
 WM0_3881_3880, 1997, 10,  0.0309508611
 WM0_3881_3880, 1998, 5,  0.0309508611
 WM0_3881_3880, 1998, 6,  0.0619017221
 WM0_3881_3880, 1998, 7,  0.0773771554
 WM0_3881_3880, 1998, 8,  0.0773771554
 WM0_3881_3880, 1998, 9,  0.0619017221
 WM0_3881_3880, 1998, 10,  0.0309508611
 WM0_3881_3880, 1999, 5,  0.0464262888
 WM0_3881_3880, 1999, 6,  0.0928525776
 WM0_3881_3880, 1999, 7,  0.123803444
 WM0_3881_3880, 1999, 8,  0.123803444
 WM0_3881_3880, 1999, 9,  0.0928525776
 WM0_3881_3880, 1999, 10,  0.0464262888
 WM0_3881_3880, 2000, 5,  0.0309508611
 WM0_3881_3880, 2000, 6,  0.0464262888
 WM0_3881_3880, 2000, 7,  0.0619017221
 WM0_3881_3880, 2000, 8,  0.0619017221
 WM0_3881_3880, 2000, 9,  0.0464262888
 WM0_3881_3880, 2000, 10,  0.0309508611
 WM0_3881_3880, 2001, 5,  0.0309508611
 WM0_3881_3880, 2001, 6,  0.0464262888
 WM0_3881_3880, 2001, 7,  0.0619017221
 WM0_3881_3880, 2001, 8,  0.0619017221
 WM0_3881_3880, 2001, 9,  0.0464262888
 WM0_3881_3880, 2001, 10,  0.0309508611
 WM0_3881_3880, 2002, 5,  0.0309508611
 WM0_3881_3880, 2002, 6,  0.0464262888
 WM0_3881_3880, 2002, 7,  0.0619017221
 WM0_3881_3880, 2002, 8,  0.0619017221
 WM0_3881_3880, 2002, 9,  0.0464262888
 WM0_3881_3880, 2002, 10,  0.0309508611
 WM0_3881_3880, 2003, 5,  0.0309508611
 WM0_3881_3880, 2003, 6,  0.0464262888
 WM0_3881_3880, 2003, 7,  0.0619017221
 WM0_3881_3880, 2003, 8,  0.0619017221
 WM0_3881_3880, 2003, 9,  0.0464262888
 WM0_3881_3880, 2003, 10,  0.0309508611
 WM0_3881_3880, 2004, 5,  0.0309508611
 WM0_3881_3880, 2004, 6,  0.0464262888
 WM0_3881_3880, 2004, 7,  0.0619017221
 WM0_3881_3880, 2004, 8,  0.0619017221
 WM0_3881_3880, 2004, 9,  0.0464262888
 WM0_3881_3880, 2004, 10,  0.0309508611
 WM0_3881_3880, 2005, 5,  0.0309508611
 WM0_3881_3880, 2005, 6,  0.0464262888
 WM0_3881_3880, 2005, 7,  0.0619017221
 WM0_3881_3880, 2005, 8,  0.0619017221
 WM0_3881_3880, 2005, 9,  0.0464262888
 WM0_3881_3880, 2005, 10,  0.0309508611
 WM3_3880_4060, 1995, 5,  0.232131466
 WM3_3880_4060, 1995, 6,  0.402361184
 WM3_3880_4060, 1995, 7,  0.526164651
 WM3_3880_4060, 1995, 8,  0.526164651
 WM3_3880_4060, 1995, 9,  0.402361184
 WM3_3880_4060, 1995, 10,  0.232131466
 WM3_3880_4060, 1996, 5,  0.0619017221
 WM3_3880_4060, 1996, 6,  0.108328015
 WM3_3880_4060, 1996, 7,  0.139278874
 WM3_3880_4060, 1996, 8,  0.139278874
 WM3_3880_4060, 1996, 9,  0.108328015
 WM3_3880_4060, 1996, 10,  0.0619017221
 WM3_3880_4060, 1997, 5,  0.247606888
 WM3_3880_4060, 1997, 6,  0.448787481
 WM3_3880_4060, 1997, 7,  0.572590947
 WM3_3880_4060, 1997, 8,  0.572590947
 WM3_3880_4060, 1997, 9,  0.448787481
 WM3_3880_4060, 1997, 10,  0.247606888
