riverseg, landseg,flofor,flohvf,flopas,flours,floafo,flocfo,flonpa,flotrp,floalf,flohyw,flohyo,flonhy,flonal,flohom,flonho,flohwm,flonhi,flolwm,flonlo,florpd,flonpd,flocpd,florex,flonex,flocex,florcn,floccn,florid,flonid,flocid,tn for,tn hvf,tn pas,tn urs,tn afo,tn cfo,tn npa,tn trp,tn alf,tn hyw,tn hyo,tn nhy,tn nal,tn hom,tn nho,tn hwm,tn nhi,tn lwm,tn nlo,tn rpd,tn npd,tn cpd,tn rex,tn nex,tn cex,tn rcn,tn ccn,tn rid,tn nid,tn cid,tp for,tp hvf,tp pas,tp urs,tp afo,tp cfo,tp npa,tp trp,tp alf,tp hyw,tp hyo,tp nhy,tp nal,tp hom,tp nho,tp hwm,tp nhi,tp lwm,tp nlo,tp rpd,tp npd,tp cpd,tp rex,tp nex,tp cex,tp rcn,tp ccn,tp rid,tp nid,tp cid,sedafo,sedalf,sedccn,sedcex,sedcfo,sedcid,sedcpd,sedfor,sedhom,sedhvf,sedhwm,sedhyo,sedhyw,sedlwm,sednal,sednex,sednhi,sednho,sednhy,sednid,sednlo,sednpa,sednpd,sedpas,sedrcn,sedrex,sedrid,sedrpd,sedtrp,sedurs
BS3_8580_8440,A51195,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.086,0.086,0,0,0.086,0,0,0.082,0.086,0.082,0.086,0.086,0.086,0.086,0.086,0.084,0.086,0.086,0.086,0.087,0.086,0.085,0.087,0.085,0.085,0.084,0.087,0.087,0.085,0.086
BS4_8060_0000,A51027,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.157,0.157,0,0,0.157,0,0,0.188,0.157,0.188,0.157,0.157,0.157,0.157,0.157,0.144,0.157,0.157,0.157,0.163,0.157,0.163,0.163,0.163,0.163,0.144,0.163,0.163,0.163,0.157
BS4_8440_8441,A51027,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.085,0.085,0,0,0.085,0,0,0.089,0.085,0.089,0.085,0.085,0.085,0.085,0.085,0.091,0.085,0.085,0.085,0.094,0.085,0.09,0.094,0.09,0.09,0.091,0.094,0.094,0.09,0.085
BS4_8440_8441,A51051,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.173,0.173,0,0,0.173,0,0,0.161,0.173,0.161,0.173,0.173,0.173,0.173,0.173,0.169,0.173,0.173,0.173,0.208,0.173,0.178,0.208,0.178,0.178,0.169,0.208,0.208,0.178,0.173
BS4_8540_8441,A51051,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.22,0.22,0,0,0.22,0,0,0.216,0.22,0.216,0.22,0.22,0.22,0.22,0.22,0.251,0.22,0.22,0.22,0.191,0.22,0.219,0.191,0.219,0.219,0.251,0.191,0.191,0.219,0.22
BS4_8540_8441,A51195,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.204,0.204,0,0,0.204,0,0,0.177,0.204,0.177,0.204,0.204,0.204,0.204,0.204,0.191,0.204,0.204,0.204,0.182,0.204,0.189,0.182,0.189,0.189,0.191,0.182,0.182,0.189,0.204
DE0_2590_0000,A10003,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.151,0.151,0,0,0.151,0,0,0.176,0.151,0.176,0.151,0.151,0.151,0.151,0.151,0.213,0.151,0.151,0.151,0.188,0.151,0.169,0.188,0.169,0.188,0.213,0.188,0.188,0.169,0.151
DE0_2600_0000,A10003,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.235,0.235,0,0,0.235,0,0,0.257,0.235,0.257,0.235,0.235,0.235,0.235,0.235,0.252,0.235,0.235,0.235,0.253,0.235,0.288,0.253,0.288,0.256,0.252,0.253,0.253,0.288,0.235
DE0_2610_0000,A10003,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.041,0.041,0,0,0.041,0,0,0.05,0.041,0.05,0.041,0.041,0.041,0.041,0.041,0.094,0.041,0.041,0.041,0.046,0.041,0.062,0.046,0.062,0.066,0.094,0.046,0.046,0.062,0.041
DE0_2640_0000,A10003,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.093,0.093,0,0,0.093,0,0,0.1,0.093,0.1,0.093,0.093,0.093,0.093,0.093,0.133,0.093,0.093,0.093,0.145,0.093,0.106,0.145,0.106,0.1,0.133,0.145,0.145,0.106,0.093
DE0_2690_0000,A10003,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.161,0.161,0,0,0.161,0,0,0.186,0.161,0.186,0.161,0.161,0.161,0.161,0.161,0.306,0.161,0.161,0.161,0.18,0.161,0.221,0.18,0.221,0.148,0.306,0.18,0.18,0.221,0.161
DE0_2710_0000,A10003,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.022,0.022,0,0,0.022,0,0,0.025,0.022,0.025,0.022,0.022,0.022,0.022,0.022,0.032,0.022,0.022,0.022,0.031,0.022,0.027,0.031,0.027,0.024,0.032,0.031,0.031,0.027,0.022
DE0_2710_0000,A24015,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.015,0.015,0,0,0.015,0,0,0.016,0.015,0.016,0.015,0.015,0.015,0.015,0.015,0.016,0.015,0.015,0.015,0.016,0.015,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.015
DE0_2800_0000,A10003,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.081,0.081,0,0,0.081,0,0,0.08,0.081,0.08,0.081,0.081,0.081,0.081,0.081,0.051,0.081,0.081,0.081,0.063,0.081,0.083,0.063,0.083,0.077,0.051,0.063,0.063,0.083,0.081
DE0_2850_0000,A10003,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.059,0.059,0,0,0.059,0,0,0.071,0.059,0.071,0.059,0.059,0.059,0.059,0.059,0.058,0.059,0.059,0.059,0.051,0.059,0.069,0.051,0.069,0.058,0.058,0.051,0.051,0.069,0.059
DE0_2870_0000,A10003,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.073,0.073,0,0,0.073,0,0,0.093,0.073,0.093,0.073,0.073,0.073,0.073,0.073,0.083,0.073,0.073,0.073,0.078,0.073,0.084,0.078,0.084,0.088,0.083,0.078,0.078,0.084,0.073
DE0_2920_0000,A10003,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.042,0.042,0,0,0.042,0,0,0.041,0.042,0.041,0.042,0.042,0.042,0.042,0.042,0.036,0.042,0.042,0.042,0.041,0.042,0.049,0.041,0.049,0.047,0.036,0.041,0.041,0.049,0.042
DE0_2960_0000,A10003,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.034,0.034,0,0,0.034,0,0,0.036,0.034,0.036,0.034,0.034,0.034,0.034,0.034,0.038,0.034,0.034,0.034,0.035,0.034,0.033,0.035,0.033,0.036,0.038,0.035,0.035,0.033,0.034
DE0_2990_0000,A10003,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.054,0.054,0,0,0.054,0,0,0.062,0.054,0.062,0.054,0.054,0.054,0.054,0.054,0.055,0.054,0.054,0.054,0.053,0.054,0.051,0.053,0.051,0.068,0.055,0.053,0.053,0.051,0.054
DE0_3110_0000,A10003,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.023,0.023,0,0,0.023,0,0,0.027,0.023,0.027,0.023,0.023,0.023,0.023,0.023,0.021,0.023,0.023,0.023,0.024,0.023,0.023,0.024,0.023,0.026,0.021,0.024,0.024,0.023,0.023
DE0_3260_0000,A10003,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.024,0.024,0,0,0.024,0,0,0.025,0.024,0.025,0.024,0.024,0.024,0.024,0.024,0.026,0.024,0.024,0.024,0.023,0.024,0.018,0.023,0.018,0.028,0.026,0.023,0.023,0.018,0.024
DE0_3280_0000,A10003,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.072,0.072,0,0,0.072,0,0,0.079,0.072,0.079,0.072,0.072,0.072,0.072,0.072,0.077,0.072,0.072,0.072,0.071,0.072,0.086,0.071,0.086,0.077,0.077,0.071,0.071,0.086,0.072
DE0_3310_0000,A10003,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.047,0.047,0,0,0.047,0,0,0.056,0.047,0.056,0.047,0.047,0.047,0.047,0.047,0.051,0.047,0.047,0.047,0.045,0.047,0.049,0.045,0.049,0.06,0.051,0.045,0.045,0.049,0.047
DE0_3380_0000,A10001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.019,0.019,0,0,0.019,0,0,0.022,0.019,0.022,0.019,0.019,0.019,0.019,0.019,0.02,0.019,0.019,0.019,0.02,0.019,0.021,0.02,0.021,0.02,0.02,0.02,0.02,0.021,0.019
DE0_3380_0000,A10003,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.023,0.023,0,0,0.023,0,0,0.026,0.023,0.026,0.023,0.023,0.023,0.023,0.023,0.022,0.023,0.023,0.023,0.023,0.023,0.018,0.023,0.018,0.031,0.022,0.023,0.023,0.018,0.023
DE0_3410_0000,A10001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.023,0.023,0,0,0.023,0,0,0.036,0.023,0.036,0.023,0.023,0.023,0.023,0.023,0.024,0.023,0.023,0.023,0.022,0.023,0.038,0.022,0.038,0.035,0.024,0.022,0.022,0.038,0.023
DE0_3790_0000,A10001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.034,0.034,0,0,0.034,0,0,0.042,0.034,0.042,0.034,0.034,0.034,0.034,0.034,0.047,0.034,0.034,0.034,0.046,0.034,0.055,0.046,0.055,0.054,0.047,0.046,0.046,0.055,0.034
DE0_3791_0001,A10001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.048,0.048,0,0,0.048,0,0,0.052,0.048,0.052,0.048,0.048,0.048,0.048,0.048,0.088,0.048,0.048,0.048,0.057,0.048,0.051,0.057,0.051,0.05,0.088,0.057,0.057,0.051,0.048
DE0_3840_0000,A10001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.037,0.037,0,0,0.037,0,0,0.047,0.037,0.047,0.037,0.037,0.037,0.037,0.037,0.03,0.037,0.037,0.037,0.033,0.037,0.051,0.033,0.051,0.056,0.03,0.033,0.033,0.051,0.037
DE0_4140_0000,A10001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.036,0.036,0,0,0.036,0,0,0.038,0.036,0.038,0.036,0.036,0.036,0.036,0.036,0.032,0.036,0.036,0.036,0.031,0.036,0.03,0.031,0.03,0.041,0.032,0.031,0.031,0.03,0.036
DE0_4141_0001,A10001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.06,0.06,0,0,0.06,0,0,0.063,0.06,0.063,0.06,0.06,0.06,0.06,0.06,0.058,0.06,0.06,0.06,0.057,0.06,0.084,0.057,0.084,0.068,0.058,0.057,0.057,0.084,0.06
