LandSegs,SNH4,INH4,DNH4,BNH4,SNO3,INO3,BNO3,SLON,ILON,DLON,BLON,SRON,IRON,DRON,BRON
 A24029,0.07013,0.25764,0.00359,0.0842,0.01517,1.34138,0.83076,0.03447,0.03164,6e-05,0.05155,0.05195,0.03824,0.4418,0.52868
 F24029,0.06592,0.25859,0.00354,0.0842,0.01449,1.34471,0.83031,0.03301,0.03176,6e-05,0.05156,0.05172,0.03865,0.44157,0.5287
 A42029,0.08027,0.66755,0.0056,0.14882,0.02471,2.84774,4.38089,0.05638,0.02875,0.00151,0.11456,0.03695,0.02786,0.80009,0.87039
 A51041,0.33697,0.64958,0.00409,0.16616,0.07719,4.24509,2.63886,0.1061,0.06148,0.0001,0.07986,0.0132,0.05803,0.87191,1.01404
 A51145,0.34697,0.42186,0.00623,0.18129,0.29631,3.1466,1.12246,1.2299,0.46628,0.0016,0.09285,0.00701,0.79308,0.57225,0.97998
 A51570,0.0505,0.77497,0.00167,0.16188,0.02326,5.08625,3.22778,0.00703,0.02747,0.05479,0.08829,0.00242,0.40613,0.49165,0.89216
 A51149,0.0232,0.28527,0.00626,0.11514,0.00508,1.51692,1.33324,0.57085,0.75222,17.5212,0.0536,0.03307,0.109,2.6564,0.85261
 A51670,0.05988,0.85087,0.0018,0.16853,0.02304,5.17403,3.3053,0.00669,0.028,0.0656,0.09916,0.00156,0.49656,0.51224,1.00008
 F51149,0.0211,0.23034,0.00601,0.11801,0.00799,1.04537,1.00515,0.88517,1.11292,17.533,0.05067,0.06353,0.19027,2.59891,0.90072
 F51670,0.06724,0.85248,0.00197,0.16808,0.02376,5.16681,3.32605,0.00686,0.02762,0.0658,0.09915,0.00157,0.49708,0.51165,1.00018
 A51007,1.17478,0.59694,0.01248,0.19918,0.32111,2.789,0.84929,1.48903,0.26867,0.00388,0.12207,0.03684,0.03576,1.19903,1.28162
 A51135,0.64662,0.55808,0.01108,0.17188,0.26341,3.93106,1.50541,0.84313,0.25476,0.00426,0.09936,0.02295,0.06974,1.09025,1.18235
 A51147,0.49497,0.4721,0.00456,0.1792,0.18963,2.9589,1.08291,0.94258,0.22527,0.00108,0.09145,0.0136,0.25052,0.77104,0.95488
 A51011,0.71297,0.44442,0.00805,0.17379,0.26047,3.72273,1.98258,0.62544,0.12781,0.00912,0.08456,0.031,0.07911,0.76286,0.87232
 A51029,0.41542,0.51833,0.00637,0.14591,0.12571,3.69228,1.24515,0.33788,0.16108,0.00216,0.08261,0.00627,0.46002,0.69542,1.04396
 A51049,0.49465,0.55742,0.0055,0.21443,0.14874,2.65588,1.16334,0.97261,0.48394,0.0006,0.12909,0.00201,0.90688,0.6671,1.32002
 F51011,0.614,0.46325,0.00789,0.16366,0.21397,3.53393,1.44017,0.61348,0.14913,0.01102,0.0863,0.02985,0.08142,0.76074,0.86954
 F51147,0.16535,0.33352,0.00413,0.19401,0.11821,2.35983,0.59081,1.61885,0.37145,0.00082,0.10276,0.06721,0.25728,0.69962,0.94788
 F51145,0.16286,0.30148,0.00612,0.19986,0.37857,2.23011,0.6689,2.04684,0.59027,0.00231,0.10755,0.01657,0.71661,0.56132,0.96985
 A51053,0.38548,0.1788,0.0093,0.12347,0.07646,1.17654,0.56714,3.5003,0.43489,0.01522,0.07141,0.06843,0.13671,1.09939,1.1954
 A51730,0.03782,0.72144,0.00156,0.15753,0.01417,4.21947,3.5859,0.00535,0.02026,0.06243,0.08597,0.00114,0.37454,0.51206,0.87453
 F51053,0.56387,0.15098,0.00948,0.13009,0.16109,1.17841,0.35961,7.81276,0.56237,0.01432,0.07333,0.16814,0.19755,0.98279,1.20463
 F51730,0.04887,0.64101,0.00169,0.17381,0.02412,5.78429,2.79351,0.00771,0.02584,0.05468,0.08683,0.00292,0.38305,0.49721,0.87688
 A51036,0.07655,0.41013,0.00292,0.165,0.03128,2.2037,1.48782,1.66115,0.94426,10.4064,0.09284,0.05935,0.50757,2.52962,0.82163
 A51087,0.16986,0.58318,0.00503,0.20969,0.08089,3.6282,1.89408,0.04932,0.06109,0.50274,0.1125,0.02084,0.05569,0.87902,0.9419
 A51760,0.14013,0.65814,0.00251,0.21633,0.03829,5.16459,2.49548,0.01214,0.02199,0.0568,0.08735,0.00328,0.40898,0.49766,0.90294
 F51041,0.47343,0.52449,0.0044,0.15435,0.17354,3.66304,1.09751,0.29141,0.11671,0.00019,0.08775,0.04253,0.09126,0.82977,1.01741
 F51087,0.16972,0.58326,0.00503,0.20986,0.08091,3.62788,1.89417,0.04935,0.06108,0.50284,0.11273,0.02084,0.05568,0.87906,0.942
 F51760,0.18203,0.6323,0.00252,0.25273,0.05359,7.37851,2.53249,0.01926,0.02804,0.04391,0.08192,0.00892,0.41653,0.4829,0.9042
 A51181,0.06369,0.78158,0.00791,0.18397,0.0262,3.50014,2.7421,0.00215,0.03257,0.0463,0.0806,0.01523,0.03732,0.72652,0.77514
 F51181,0.07994,0.81856,0.00778,0.17962,0.03813,4.52029,2.19395,0.00247,0.04492,0.03167,0.07368,0.02768,0.05361,0.6415,0.7686
 A51550,0.04258,0.7716,0.00131,0.18077,0.04147,4.08539,2.45179,0.00204,0.06902,0.01845,0.06898,0.00234,0.37317,0.50189,0.92526
 A51710,0.03996,0.72528,0.00144,0.153,0.02079,5.34486,3.12862,0.00798,0.03568,0.04539,0.08832,0.00466,0.40307,0.49029,0.8892
 A51810,0.05724,0.88431,0.00122,0.18757,0.03885,4.83424,2.93792,0.00292,0.07204,0.01778,0.08169,0.00342,0.45253,0.46274,0.85234
 F51710,0.03064,0.73369,0.00138,0.15303,0.01942,5.37603,3.12787,0.00669,0.03695,0.04537,0.08833,0.00404,0.40115,0.4928,0.88931
 A51740,0.02869,0.73989,0.00137,0.15269,0.01957,5.43887,3.1364,0.00685,0.03585,0.04718,0.08883,0.00358,0.41075,0.4885,0.89442
 F51550,0.04803,0.76685,0.00132,0.1809,0.04352,4.08826,2.45718,0.00256,0.06842,0.01843,0.06912,0.00289,0.37151,0.50338,0.92527
