LandSegs,SNH4,INH4,DNH4,BNH4,SNO3,INO3,BNO3,SLON,ILON,DLON,BLON,SRON,IRON,DRON,BRON
 A51193,0.20404,0.45645,0.00119,0.12474,0.06346,2.66789,1.32353,0.49748,0.32571,1.25047,0.06127,0.00285,1.24005,0.36306,0.79784
 F51193,0.19392,0.41989,0.00102,0.12707,0.09121,2.91825,0.90017,0.90962,0.44853,1.15062,0.062,0.00865,1.25478,0.36096,0.79904
 F51013,0.42317,0.62973,0.00644,0.22123,0.17484,7.29049,2.95708,0.02615,0.02405,0.05017,0.08663,0.02717,0.16782,0.808,1.00786
 A51107,0.08071,0.24035,0.00324,0.09628,0.01553,1.65938,1.29065,2.01105,0.73853,0.07847,0.03952,0.01012,0.40753,0.79828,0.85017
 A51683,0.11938,0.35671,0.00182,0.18585,0.09055,6.90873,2.59807,0.02368,0.03448,0.03157,0.07555,0.01671,0.41298,0.47533,0.89904
 A51685,0.13185,0.33247,0.00219,0.1888,0.0572,6.79262,2.60616,0.01891,0.03571,0.03558,0.07635,0.01288,0.4129,0.48248,0.90211
 F51107,0.11626,0.2208,0.00307,0.1198,0.04023,1.56759,0.86523,1.49265,0.7514,0.00063,0.0607,0.0557,0.46715,0.72238,0.86815
 A51013,0.28902,0.76115,0.00453,0.22059,0.09105,7.87932,2.97299,0.02707,0.02705,0.04624,0.08706,0.03039,0.18364,0.79202,1.00798
 A24021,0.0514,0.31881,0.00604,0.09552,0.01442,1.34648,1.54629,0.03771,0.0098,0.00486,0.0475,0.03168,0.01679,0.47929,0.5294
 A42001,0.34597,0.60772,0.00409,0.1351,0.08046,2.25553,1.19657,0.19994,0.0561,0.00023,0.08229,0.05989,0.07956,0.77906,0.94363
 B42001,0.12307,1.75088,0.00586,0.1542,0.05873,4.10111,1.48193,0.10269,0.07931,0.00074,0.09707,0.03968,0.12932,0.75994,0.93851
 F42001,0.36512,0.59389,0.00408,0.14235,0.08372,2.31339,1.07431,0.21213,0.0585,0.00021,0.08793,0.06363,0.08355,0.7727,0.94225
 B24021,0.03492,0.36084,0.00625,0.09551,0.01136,1.27745,1.6289,0.03423,0.01001,0.00724,0.04954,0.03258,0.01611,0.47686,0.52774
 F24021,0.03119,0.33953,0.00587,0.09831,0.00942,1.58128,2.11555,0.03539,0.00996,0.00692,0.05849,0.02518,0.01561,0.4845,0.52913
 A51069,0.20161,0.31995,0.00651,0.14447,0.05777,2.71323,2.4748,0.97931,0.2902,0.34394,0.06894,0.0067,0.33002,0.75085,0.88604
 B51171,0.31162,0.54178,0.00751,0.19968,0.08979,3.53342,2.77402,0.28504,0.09853,0.001,0.12074,0.01639,0.04319,1.09829,1.21206
 F51069,0.36728,0.39276,0.00517,0.1519,0.12032,3.52506,2.08869,1.48748,0.40371,0.05145,0.07221,0.01634,0.41604,0.69952,0.88865
 F51171,0.32515,0.51697,0.00841,0.19698,0.11291,3.60521,4.47217,0.30449,0.08637,0.00164,0.13247,0.01436,0.03764,1.10787,1.21926
 A24043,0.02706,0.56374,0.00525,0.13359,0.00929,1.1152,5.02888,0.04341,0.00934,0.02667,0.07618,0.00668,0.00453,0.76315,0.77353
 A42055,0.01999,0.74043,0.00506,0.12278,0.0091,2.82346,3.90001,0.0518,0.03524,0.00534,0.09037,0.01286,0.02181,0.89816,0.92387
 F24043,0.05594,1.50071,0.00585,0.14494,0.01193,1.5439,2.24537,0.04891,0.02537,0.00527,0.07048,0.01049,0.02321,0.74013,0.77234
 F42055,0.06265,0.68403,0.00508,0.15244,0.01852,3.20612,4.69438,0.05471,0.03722,0.00041,0.12612,0.02748,0.03535,0.86036,0.93075
 A51820,0.15415,0.67319,0.00206,0.17109,0.06167,4.18108,2.94922,0.01054,0.03242,0.04335,0.08532,0.00209,0.44222,0.44014,0.86459
 F51820,0.15604,0.64802,0.00231,0.17247,0.07725,4.1064,2.87064,0.01068,0.03208,0.04346,0.08528,0.00224,0.44338,0.43926,0.86476
 A51165,0.0092,0.97623,0.00751,0.24007,0.00224,4.98361,5.127,0.05885,0.14656,0.00594,0.16038,0.00212,0.07286,1.48475,1.6748
 A54031,0.06053,0.8915,0.00221,0.1575,0.00441,1.16179,1.66799,0.38586,0.10271,0.00461,0.10152,0.00237,0.96184,0.38803,1.1545
 B51165,0.13344,0.86603,0.00707,0.23708,0.02409,4.74372,4.94742,1.18419,0.29757,0.0023,0.16042,0.01283,0.10642,1.43447,1.66805
 F51165,0.0527,0.90499,0.00739,0.24083,0.00917,4.9633,5.04067,0.36799,0.19072,0.00404,0.16255,0.00602,0.12374,1.44647,1.70706
 F54031,0.05553,0.87432,0.00224,0.17343,0.00431,1.22085,1.79812,0.34456,0.10046,0.00461,0.11288,0.00209,1.11093,0.38838,1.1545
 A51171,0.14489,0.68667,0.00564,0.17195,0.03394,3.57676,4.24782,0.12971,0.08433,0.00038,0.12131,0.00719,0.03027,1.12791,1.20254
 A51187,0.38978,0.33249,0.08183,0.15481,0.24218,2.5966,2.83919,0.03738,0.01337,0.03131,0.07626,0.02077,0.02076,0.80311,0.84766
 F51187,0.29566,0.32653,0.09001,0.1509,0.20957,2.50979,3.21803,0.02581,0.01228,0.04383,0.08309,0.01375,0.01793,0.81256,0.84565
 A51043,0.12332,0.33473,0.01085,0.13892,0.04205,2.48437,2.32887,0.73311,0.34724,0.08777,0.06501,0.00155,1.12749,0.44847,0.87577
 A51840,0.18328,0.76346,0.0088,0.19806,0.05287,4.73436,2.81156,0.01054,0.02636,0.04865,0.07945,0.00121,0.38714,0.47663,0.86038
 A51660,0.03191,0.64223,0.002,0.16444,0.01405,3.36783,3.68084,0.00515,0.02495,0.06149,0.09034,0.00035,0.3532,0.54499,0.91636
 F51660,0.05881,0.88702,0.00198,0.17368,0.02206,4.7185,3.07576,0.00778,0.03702,0.0467,0.08901,0.00128,0.39261,0.52918,0.91748
 B42041,0.01512,0.76253,0.00731,0.13849,0.00742,2.3889,4.27427,0.03395,0.03238,0.01694,0.07989,0.00758,0.01962,0.79033,0.81282
 B42055,0.05359,0.70602,0.00478,0.14493,0.01826,3.07003,4.55418,0.0521,0.03886,0.0004,0.11777,0.02629,0.03206,0.8585,0.92339
 A54003,0.05606,1.49076,0.00189,0.14368,0.00887,1.57687,2.3615,0.0438,0.03191,0.00461,0.07384,0.0009,0.30081,0.49296,0.81667
 A54037,0.01719,0.86243,0.00156,0.16885,0.00814,1.11572,2.25815,0.04889,0.03596,0.00202,0.0749,0.00053,0.44821,0.45533,0.88527
 F54003,0.15313,2.42918,0.00229,0.14381,0.0298,3.06167,2.35427,0.04637,0.03797,0.00059,0.07236,0.00322,0.31981,0.47899,0.81901
 A51139,0.02667,0.93917,0.00477,0.23938,0.00602,4.79101,5.09949,0.13831,0.17335,0.00124,0.15952,0.00085,0.33571,1.23851,1.69698
 F51139,0.02552,0.92741,0.00497,0.23988,0.00629,4.80825,5.09807,0.15328,0.16044,0.00194,0.15965,0.00076,0.33103,1.23527,1.69762
 A51790,0.24776,0.66992,0.00307,0.16082,0.07967,4.52527,3.59429,0.01308,0.02356,0.04842,0.0843,0.00133,0.33333,0.51168,0.85376
 F51790,0.2612,0.66619,0.00404,0.18689,0.21753,4.63719,2.7246,0.02168,0.02608,0.03739,0.0777,0.00598,0.35932,0.49833,0.85638
 A42099,0.30573,2.98964,0.00754,0.14727,0.03463,2.8475,2.31895,0.16641,0.04577,0.00132,0.07606,0.02492,0.07596,0.77072,0.88094
 A54065,0.36456,2.60322,0.0106,0.13648,0.07124,2.83657,2.20566,0.05589,0.01061,0.00532,0.06468,0.05992,0.02373,0.64932,0.73036
 A42057,0.53133,3.07984,0.00393,0.13861,0.07132,3.08653,2.17501,0.11302,0.0135,0.00021,0.06574,0.02666,0.13213,0.59686,0.77772
 C51165,0.04411,1.02133,0.00763,0.23616,0.00773,4.78348,5.0855,0.40784,0.23937,0.01014,0.16189,0.00555,0.14937,1.42362,1.6691
 A54027,0.37756,2.3238,0.00421,0.13894,0.09804,2.38369,2.34487,0.06464,0.02058,0.00071,0.07097,0.00215,0.47137,0.30435,0.78946
 A24001,0.78071,2.43683,0.00827,0.14056,0.16841,2.6549,2.14839,0.06763,0.00694,0.00101,0.06212,0.04275,0.05206,0.61073,0.71334
 C42009,0.39817,3.60156,0.00754,0.13596,0.09201,3.3506,2.07992,0.06826,0.01406,0.00043,0.06207,0.07671,0.03866,0.64368,0.75858
 F24001,0.80189,2.78778,0.00764,0.14398,0.1208,2.85041,2.20535,0.06672,0.00988,0.00067,0.06517,0.04362,0.06191,0.60054,0.71316
 F54027,0.28593,2.35844,0.00438,0.13511,0.06008,2.34389,2.43915,0.05677,0.02632,0.00103,0.07213,0.00154,0.4718,0.30285,0.7884
 B51139,0.04067,0.92557,0.00487,0.23416,0.00826,4.76112,5.06789,0.23958,0.21576,0.00087,0.15836,0.0011,0.44207,1.22472,1.68978
 B51187,0.46654,0.41341,0.02202,0.15595,0.12887,3.10653,2.75691,0.04331,0.01478,0.02477,0.07506,0.02608,0.02731,0.7988,0.85585
 F51043,0.16256,0.30707,0.00822,0.13661,0.0586,2.4021,2.42158,0.86554,0.26695,0.05326,0.06615,0.00231,1.13867,0.44306,0.87436
 F54037,0.21881,2.06108,0.00189,0.1511,0.04044,2.56876,2.4481,0.05873,0.03393,6e-05,0.07383,0.00485,0.3996,0.44959,0.87177
 A42009,0.13197,3.30528,0.0064,0.13409,0.01861,2.86663,2.34818,0.04931,0.02452,0.00266,0.07134,0.02978,0.04685,0.67948,0.75241
 A54071,0.04594,0.86843,0.00088,0.15214,0.00626,0.95822,1.85939,0.09718,0.05093,2e-05,0.06722,0.00181,0.62503,0.29365,1.09703
 F54071,0.16827,1.90535,0.00098,0.15458,0.02339,2.13059,2.11447,0.24493,0.06936,0.00011,0.07387,0.00327,0.63479,0.29284,1.0961
 A54023,0.05054,4.48113,0.00065,0.16742,0.01112,3.53791,2.55441,0.06647,0.07697,5e-05,0.0896,0.00367,0.7414,0.17569,1.04338
 A54057,0.17714,2.8094,0.00105,0.14864,0.02809,2.42007,2.3456,0.05909,0.02626,0.00029,0.0795,0.00197,0.67112,0.15017,0.84564
 B54023,0.04631,0.78152,0.00084,0.16906,0.00549,1.03147,2.08296,0.08089,0.04167,0.00018,0.07275,0.00106,1.00902,0.1854,1.03926
 B54057,0.13793,1.26659,0.00172,0.15245,0.05242,1.40402,2.31152,0.05325,0.02649,0.00107,0.07501,0.00064,0.64775,0.15476,0.83101
 B54071,0.01516,1.25214,0.00081,0.16721,0.00336,0.95745,2.4328,0.05246,0.04663,0.0001,0.08316,0.00135,0.69115,0.2884,1.09024
 B54031,0.0756,1.1263,0.00192,0.15922,0.0075,3.41511,5.63332,0.38518,0.07441,0.00261,0.15812,0.00205,0.67626,0.38734,1.13714
 A42111,0.11856,4.31517,0.01017,0.14256,0.04821,3.20025,2.58435,0.04655,0.02027,0.00362,0.07567,0.02396,0.11671,0.58545,0.73771
 B24001,0.17411,2.99722,0.01228,0.13333,0.17653,2.6967,2.4747,0.05068,0.01514,0.00618,0.07242,0.01618,0.07678,0.62429,0.72336
 B42009,0.17899,3.26681,0.00785,0.14256,0.04505,3.20506,2.18856,0.05686,0.02232,0.00092,0.06777,0.05345,0.04967,0.6562,0.7566
 A24023,0.06748,5.50467,0.00523,0.1352,0.02006,3.90023,2.33753,0.039,0.03323,0.00222,0.07262,0.0199,0.14547,0.57855,0.74268
 F54023,0.10339,4.69558,0.00071,0.16112,0.02433,3.9085,2.60367,0.14493,0.0856,0.0001,0.08863,0.00541,0.74321,0.17621,1.04409
 A54077,0.08859,8.77915,0.00748,0.14506,0.04734,8.3499,2.20126,0.02374,0.03374,0.00026,0.06615,0.04083,0.12676,0.58342,0.76467
 A54093,0.05561,9.84985,0.00017,0.1401,0.04675,8.34841,2.11749,0.0301,0.03044,9e-05,0.06335,0.02168,0.67922,0.0391,0.77735
 F24023,0.14015,6.22315,0.00557,0.14006,0.0701,4.808,2.2228,0.0474,0.02817,0.00083,0.07095,0.03337,0.13837,0.5723,0.74275
 F54057,0.28039,3.56393,0.00099,0.1484,0.06311,4.02817,2.17503,0.12115,0.04082,8e-05,0.06803,0.01061,0.6846,0.14404,0.85081
 F54065,0.35005,2.19482,0.01241,0.13348,0.18926,3.37914,1.85152,0.06138,0.01132,0.00131,0.05563,0.08707,0.03461,0.61178,0.73314
 A42071,0.01028,0.74327,0.00558,0.1505,0.00154,3.35164,3.66107,0.05531,0.04717,0.00056,0.10707,0.0091,0.02298,1.14786,1.15775
 A42133,0.09329,0.68549,0.00866,0.12076,0.02516,2.89596,4.54519,0.05936,0.04443,0.00131,0.11893,0.0152,0.02691,0.85163,0.90063
 A42075,0.00638,0.7294,0.00458,0.15488,0.00136,3.4652,4.10694,0.05022,0.0569,0.00329,0.11038,0.00411,0.03413,1.11323,1.16564
 A42011,0.39527,1.13064,0.01328,0.16837,0.11911,3.30638,1.91794,0.28762,0.12009,0.00207,0.09248,0.05509,0.06123,0.82348,0.94126
 F42133,0.34948,0.72213,0.01269,0.14781,0.0981,2.05957,2.19454,0.17886,0.04192,0.00184,0.07168,0.05623,0.03292,0.80606,0.89627
 F42075,0.12101,0.9348,0.00642,0.17007,0.01971,2.84854,1.9076,0.42526,0.1733,0.0021,0.11132,0.03515,0.07488,1.03237,1.1711
 F42071,0.05207,0.68315,0.00624,0.15087,0.00735,3.78159,4.37902,0.14899,0.12519,0.00025,0.13497,0.02059,0.05194,1.10376,1.2086
 A42041,0.0491,0.60566,0.00566,0.14884,0.01695,2.43569,3.28378,0.04185,0.03896,0.00205,0.08889,0.02191,0.02905,0.76004,0.81479
 F42041,0.01853,0.68823,0.00498,0.13612,0.00816,2.3723,4.76363,0.03876,0.0241,0.01987,0.07861,0.00883,0.01275,0.79504,0.80377
 F42011,0.36719,1.31623,0.01455,0.16067,0.18352,4.15381,1.4004,0.32219,0.17335,0.00286,0.10198,0.06803,0.06789,0.8048,0.93738
 A42107,0.14826,2.95349,0.00757,0.15159,0.0252,2.27574,2.36285,0.08861,0.05505,0.00115,0.08141,0.02412,0.05617,0.83951,0.92241
 F42107,0.14409,3.1773,0.00744,0.14814,0.0245,2.56151,2.3697,0.08964,0.05243,0.001,0.07874,0.02342,0.06177,0.83473,0.92358
 A42067,0.10208,1.17065,0.00645,0.19244,0.01251,0.99218,1.76638,0.33343,0.09442,0.00546,0.11104,0.0162,0.07363,0.92982,1.06789
 A42043,0.14268,0.83898,0.00617,0.15638,0.03987,2.07674,2.36055,0.07401,0.04264,0.00072,0.07745,0.02503,0.08476,0.80222,0.93568
 F42043,0.25969,0.92291,0.00598,0.15141,0.0716,2.78336,2.07167,0.14717,0.07043,0.0007,0.07032,0.02998,0.10546,0.78241,0.93622
 A42087,0.26864,3.43835,0.01149,0.1626,0.05256,2.81538,2.54103,0.19673,0.06696,0.00373,0.08587,0.02517,0.07441,0.85097,0.95773
 A42027,0.05653,2.36669,0.01206,0.13724,0.0065,1.61711,2.35104,0.02335,0.02842,0.02908,0.07365,0.0067,0.0247,0.74279,0.76962
 A42109,0.18751,2.43319,0.0076,0.15622,0.02463,1.99605,2.44676,0.27114,0.08696,0.00107,0.08213,0.03028,0.05888,0.90629,1.00527
 F42087,0.33866,3.66612,0.01034,0.15788,0.10124,3.44617,2.39396,0.32071,0.09046,0.00332,0.07841,0.03466,0.09277,0.82671,0.96066
 A42097,0.01697,1.79556,0.01401,0.14625,0.00578,1.42677,2.38205,0.02378,0.05123,0.01478,0.07998,0.00512,0.02423,0.85951,0.88564
 A42037,0.0847,3.88548,0.00686,0.13463,0.032,3.30471,2.06154,0.04104,0.03292,0.00301,0.06456,0.02109,0.06741,0.62957,0.71652
 A42061,0.25255,2.86361,0.00732,0.14361,0.04411,2.61745,2.29018,0.06547,0.01692,0.00044,0.06883,0.0547,0.03006,0.71459,0.79772
 A42119,0.16681,3.70001,0.00473,0.1604,0.02181,3.13834,2.5233,0.19526,0.11511,0.0006,0.084,0.02029,0.15089,0.80993,0.99868
 B42043,0.20282,0.71947,0.00514,0.15278,0.05855,2.34434,2.12004,0.11367,0.06789,0.00098,0.07238,0.0234,0.10283,0.80301,0.95025
 A42013,0.10879,3.01401,0.00331,0.15714,0.01699,2.57297,2.46818,0.05903,0.02917,0.00047,0.07875,0.01426,0.11406,0.72404,0.87313
 A42021,0.05694,4.47083,0.00424,0.12742,0.02484,3.4163,2.2356,0.04196,0.02376,0.00523,0.06941,0.01666,0.11899,0.57824,0.71376
 B42027,0.1614,3.70256,0.01021,0.13299,0.01481,2.69132,2.60236,0.04232,0.02936,0.00937,0.07512,0.01058,0.04982,0.71143,0.76829
 B42119,0.11055,2.29695,0.00533,0.16015,0.01555,1.98438,2.50988,0.09961,0.0701,0.00113,0.08353,0.0139,0.09727,0.85887,0.99859
 A42093,0.26663,3.20261,0.01372,0.12904,0.07786,3.07524,1.83298,0.08619,0.0181,0.00078,0.0588,0.09044,0.02325,0.64038,0.75387
 B42081,0.07916,3.61245,0.0048,0.13106,0.01531,2.55259,2.22381,0.04968,0.02307,0.00246,0.07128,0.03718,0.0356,0.67399,0.74318
 A42025,0.15249,7.21217,0.01079,0.13446,0.14279,5.60128,2.11756,0.0418,0.02716,0.00236,0.0654,0.03662,0.12833,0.54788,0.7066
 A42079,0.12567,3.86743,0.00422,0.12757,0.02342,2.83315,2.3252,0.05359,0.02099,0.00197,0.0701,0.01948,0.10677,0.58702,0.71974
 F42013,0.16523,3.5688,0.00344,0.15658,0.02197,3.03247,2.47007,0.05992,0.02945,0.00013,0.07735,0.0235,0.11311,0.71453,0.87457
 F42021,0.08333,4.53301,0.0036,0.12875,0.01978,3.35487,2.19026,0.04286,0.02353,0.0044,0.06906,0.01793,0.12101,0.57487,0.71388
 A42113,0.08377,5.30406,0.00148,0.14118,0.03852,3.84525,2.24556,0.04951,0.02523,0.00059,0.07045,0.01121,0.40953,0.31976,0.73649
 B42079,0.15916,4.85145,0.00286,0.13732,0.02852,3.88199,2.1056,0.05119,0.02334,0.00055,0.06571,0.0346,0.13645,0.54402,0.71389
 B42035,0.2456,4.07517,0.00527,0.14347,0.02791,3.0687,2.48561,0.06787,0.03216,0.00064,0.08012,0.0105,0.18359,0.61485,0.8222
 A42081,0.09736,4.22865,0.00575,0.13557,0.0153,3.05,2.12809,0.04719,0.02606,0.00214,0.0691,0.04254,0.0505,0.64999,0.73911
 F42061,0.179,2.70376,0.00727,0.14497,0.02811,2.21464,2.29127,0.06012,0.02068,0.00091,0.07313,0.04309,0.02777,0.72876,0.79449
 A42115,0.28952,6.15965,0.00151,0.14023,0.03716,3.87432,2.25773,0.05992,0.02408,0.00021,0.07012,0.00974,0.51894,0.20516,0.73164
 A42127,0.15563,7.00816,0.00076,0.13372,0.02827,4.41749,2.23239,0.03839,0.03321,0.00071,0.06831,0.00543,0.5678,0.13702,0.70928
 A42117,0.19373,4.44303,0.00514,0.13566,0.04351,2.99092,2.14398,0.05147,0.01738,0.0016,0.06502,0.04367,0.0595,0.59343,0.69372
 F42009,0.16279,3.35855,0.00787,0.13733,0.03711,3.65685,2.2105,0.04851,0.03086,0.00075,0.06574,0.04454,0.07242,0.64016,0.75587
 B42015,0.17119,4.99796,0.0079,0.14022,0.06754,3.50714,2.15154,0.05422,0.01969,0.00109,0.06672,0.07247,0.05138,0.6055,0.72491
 B42131,0.22556,5.97136,0.0049,0.137,0.03617,4.15437,2.15395,0.05117,0.02248,0.0006,0.0653,0.06808,0.05816,0.58428,0.70407
 A42131,0.17447,4.31557,0.00491,0.13232,0.02428,3.11778,2.21106,0.05414,0.01819,0.00132,0.06666,0.05063,0.0331,0.61736,0.69404
 A42069,0.04708,5.64269,0.00143,0.12945,0.01068,3.15859,2.52914,0.04279,0.03136,0.00248,0.07111,0.0054,0.27801,0.43847,0.72063
 F42069,0.05856,6.05516,0.00149,0.12913,0.01167,3.4288,2.66762,0.03999,0.03606,0.00177,0.07147,0.00515,0.277,0.44001,0.72167
 A42035,0.1183,5.32232,0.00424,0.13942,0.01591,3.5704,2.66725,0.03952,0.04963,0.0006,0.08018,0.0056,0.21141,0.59081,0.81299
 A42015,0.1564,4.35202,0.00641,0.13922,0.06102,3.05287,2.16336,0.05545,0.01688,0.00092,0.06483,0.07378,0.0382,0.60996,0.71756
 A42105,0.26178,5.91562,0.00673,0.14154,0.04326,3.74376,2.19197,0.04621,0.02815,0.00184,0.06861,0.01918,0.17773,0.52862,0.72766
 A42023,0.08902,3.80914,0.005,0.21029,0.03269,3.39352,3.11481,0.19473,0.12362,0.00322,0.10581,0.00415,0.10141,0.70002,1.5475
 A36015,0.16881,1.32078,0.0035,0.1022,0.02577,1.77112,1.12651,0.06408,0.01386,0.00035,0.06304,0.11544,0.03512,0.45434,0.59716
 A36101,0.03128,1.58956,0.00442,0.08404,0.00536,1.85795,1.20208,0.02765,0.0215,0.00292,0.0391,0.0315,0.04931,0.47889,0.55074
 F42117,0.42573,4.86933,0.00513,0.13168,0.09798,3.49711,2.1003,0.06249,0.01187,0.00023,0.05861,0.09047,0.05098,0.55801,0.69611
 A36097,0.04643,1.81556,0.00194,0.09226,0.01279,2.13513,1.33973,0.02866,0.02842,0.00039,0.04373,0.01115,0.2014,0.37386,0.60137
 A36107,0.11694,1.68198,0.00168,0.09603,0.01839,1.93039,1.40228,0.06232,0.02702,0.0001,0.04548,0.02661,0.18688,0.38195,0.61499
 A36109,0.17914,2.32818,0.00198,0.11168,0.03267,2.40773,1.63715,0.10363,0.03735,0.00022,0.05336,0.05174,0.17648,0.37277,0.59407
 A42033,0.06904,4.30316,0.001,0.12647,0.02023,3.25091,2.32258,0.04711,0.0234,0.00268,0.0699,0.00365,0.49108,0.21689,0.71822
 F42027,0.24429,3.68853,0.01161,0.13407,0.04178,2.65197,2.50928,0.0588,0.02657,0.00121,0.07534,0.02685,0.03876,0.70864,0.77093
 A36051,0.02918,1.26904,0.004,0.08388,0.00969,1.72848,1.26287,0.02278,0.02479,0.00197,0.04144,0.017,0.04719,0.56143,0.61572
 A36069,0.02764,0.96759,0.00314,0.0771,0.00888,1.57693,1.28502,0.02368,0.02304,0.00278,0.04029,0.00814,0.08026,0.53044,0.61372
 A36123,0.02686,1.33447,0.00506,0.08834,0.00989,1.65633,1.41263,0.02357,0.02616,0.00643,0.0442,0.01382,0.06018,0.55482,0.62088
 F36101,0.03545,1.60401,0.00439,0.08331,0.00595,1.87181,1.16767,0.02842,0.02129,0.00236,0.03852,0.0349,0.0497,0.47421,0.55126
 A36007,0.07517,2.09036,0.00181,0.10027,0.00895,1.91831,1.58272,0.03387,0.03057,2e-05,0.04986,0.03817,0.12366,0.42928,0.5916
 A42047,0.08063,5.65692,0.00169,0.13161,0.03045,3.81145,2.10302,0.04458,0.02494,0.00126,0.06702,0.00657,0.49597,0.19968,0.70294
 A36023,0.06076,2.1047,0.00371,0.10364,0.01357,1.82501,1.66378,0.04252,0.03995,0.00067,0.05599,0.02278,0.12671,0.47189,0.59393
 A42083,0.17628,6.29302,0.00098,0.13634,0.11376,4.6429,2.12273,0.04502,0.02628,0.00062,0.06738,0.00752,0.59756,0.10914,0.71651
 A42063,0.10487,4.39369,0.00252,0.13817,0.03734,3.79294,2.2161,0.05028,0.02759,0.00061,0.07116,0.01351,0.26623,0.45916,0.73289
 A42065,0.05819,4.00723,0.00429,0.13427,0.03991,3.69012,2.0224,0.04266,0.01859,0.00129,0.06391,0.0338,0.09652,0.57497,0.70405
 F42033,0.06866,3.84793,0.00105,0.12965,0.02485,3.04044,2.18705,0.05028,0.02113,0.00117,0.06929,0.006,0.49297,0.21691,0.71887
 A36003,0.04051,2.11862,0.00242,0.09475,0.03285,2.46819,1.1076,0.03042,0.02018,0.00035,0.05032,0.03148,0.10722,0.41307,0.55724
 F36003,0.04105,2.01704,0.0025,0.08756,0.0454,2.33039,1.10726,0.03179,0.0187,0.00048,0.04214,0.02755,0.0971,0.42736,0.55739
 A36017,0.10294,2.59354,0.00346,0.11168,0.0151,2.15767,1.78323,0.06877,0.04317,0.00035,0.05748,0.04648,0.0658,0.48771,0.60707
 A36053,0.0332,1.91182,0.00397,0.12398,0.00564,1.54532,1.96362,0.03198,0.04814,0.00063,0.06569,0.01133,0.08362,0.55132,0.64496
 F42035,0.14586,6.66851,0.00434,0.152,0.04007,5.06959,2.29559,0.04728,0.05376,0.0003,0.07487,0.01077,0.25191,0.55217,0.81437
 F42081,0.12391,5.20875,0.00527,0.13789,0.01996,3.99051,2.11438,0.04341,0.03303,0.00035,0.06693,0.03876,0.08066,0.62341,0.74043
 A36067,0.03271,1.26001,0.00449,0.1084,0.00837,1.26929,1.7466,0.03672,0.04199,0.00143,0.05803,0.01279,0.10417,0.53796,0.64288
 F36007,0.03313,1.8832,0.00192,0.10165,0.00435,1.56136,1.62433,0.02948,0.03214,0.00034,0.0519,0.01546,0.1281,0.44922,0.59178
 F42119,0.19971,4.03598,0.00498,0.15895,0.03092,3.52367,2.46947,0.2346,0.12766,0.00082,0.08186,0.02273,0.15498,0.80483,1.00014
 A36065,0.03267,1.66711,0.00422,0.11212,0.00573,1.56228,1.81127,0.03406,0.05705,0.001,0.06072,0.01188,0.06747,0.54657,0.62386
 A36025,0.03905,2.27422,0.00315,0.10776,0.00625,2.09288,1.74721,0.03203,0.04363,0.00022,0.05521,0.01504,0.07915,0.49603,0.59911
 A36077,0.07858,2.20068,0.00383,0.11179,0.00767,1.99225,1.79489,0.04547,0.04528,0.00019,0.05742,0.02671,0.06314,0.5099,0.6098
 F36025,0.043,2.10552,0.00312,0.1083,0.00665,1.94332,1.75028,0.03305,0.04192,0.00019,0.05592,0.0135,0.0781,0.49874,0.59943
 A36043,0.05081,2.07767,0.00525,0.11533,0.00633,1.97889,1.85358,0.05489,0.06657,0.00138,0.0604,0.02034,0.05495,0.53547,0.60987
 F36015,0.16519,1.5479,0.00266,0.10732,0.0223,1.91546,1.14866,0.06652,0.01734,6e-05,0.06686,0.13492,0.04425,0.4235,0.59704
 A36095,0.02227,2.01399,0.00334,0.10289,0.00417,1.68021,1.64334,0.02547,0.03542,0.00133,0.05305,0.01396,0.08241,0.49731,0.59036
 F42115,0.42376,8.54197,0.00152,0.14234,0.11516,6.38399,2.25974,0.08188,0.03508,6e-05,0.06556,0.0228,0.5141,0.19702,0.7332
 F42079,0.23277,5.16381,0.00391,0.13662,0.05281,4.88865,2.1299,0.04931,0.02866,0.0003,0.06412,0.05263,0.15535,0.51651,0.72318
 F42097,0.04272,2.74343,0.01234,0.14448,0.0101,2.38709,2.37848,0.03263,0.06092,0.0024,0.07806,0.00755,0.03918,0.84177,0.88741
