43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pcnt,   100.000,    99.000,    98.000,    97.000,    96.000,    95.000,    94.000,    93.000,    92.000,    91.000,    90.000,    88.000,    86.000,    84.000,    82.000,    80.000,    75.000,    70.000,    65.000,    60.000,    55.000,    50.000,    45.000,    40.000,    35.000,    30.000,    25.000,    20.000,    18.000,    16.000,    14.000,    12.000,    10.000,     9.000,     8.000,     7.000,     6.000,     5.000,     4.000,     3.000,     2.000,     1.000,     0.000,
EL2_4400_4590,0.93020E-01,0.56502E-01,0.48499E-01,0.43643E-01,0.40492E-01,0.38379E-01,0.36505E-01,0.35052E-01,0.33951E-01,0.32957E-01,0.32155E-01,0.30631E-01,0.29404E-01,0.28456E-01,0.27607E-01,0.26746E-01,0.24758E-01,0.23020E-01,0.21503E-01,0.20060E-01,0.18788E-01,0.17659E-01,0.16487E-01,0.15439E-01,0.14415E-01,0.13491E-01,0.12369E-01,0.11282E-01,0.10849E-01,0.10380E-01,0.98904E-02,0.93665E-02,0.88362E-02,0.85690E-02,0.82750E-02,0.79585E-02,0.76007E-02,0.72013E-02,0.67545E-02,0.62287E-02,0.55101E-02,0.46399E-02,0.19553E-02,
pcnt,   100.000,    99.000,    98.000,    97.000,    96.000,    95.000,    94.000,    93.000,    92.000,    91.000,    90.000,    88.000,    86.000,    84.000,    82.000,    80.000,    75.000,    70.000,    65.000,    60.000,    55.000,    50.000,    45.000,    40.000,    35.000,    30.000,    25.000,    20.000,    18.000,    16.000,    14.000,    12.000,    10.000,     9.000,     8.000,     7.000,     6.000,     5.000,     4.000,     3.000,     2.000,     1.000,     0.000,
EL2_4590_0001,0.12384E+00,0.99347E-01,0.91199E-01,0.85150E-01,0.80522E-01,0.76590E-01,0.73594E-01,0.70896E-01,0.69167E-01,0.67449E-01,0.65978E-01,0.63463E-01,0.61056E-01,0.59362E-01,0.57700E-01,0.56288E-01,0.53477E-01,0.51082E-01,0.48836E-01,0.46770E-01,0.44886E-01,0.43130E-01,0.41309E-01,0.39332E-01,0.37099E-01,0.34822E-01,0.32621E-01,0.30308E-01,0.29433E-01,0.28549E-01,0.27385E-01,0.25934E-01,0.24397E-01,0.23562E-01,0.22800E-01,0.21879E-01,0.21012E-01,0.20118E-01,0.19084E-01,0.18003E-01,0.16691E-01,0.14724E-01,0.97225E-02,
pcnt,   100.000,    99.000,    98.000,    97.000,    96.000,    95.000,    94.000,    93.000,    92.000,    91.000,    90.000,    88.000,    86.000,    84.000,    82.000,    80.000,    75.000,    70.000,    65.000,    60.000,    55.000,    50.000,    45.000,    40.000,    35.000,    30.000,    25.000,    20.000,    18.000,    16.000,    14.000,    12.000,    10.000,     9.000,     8.000,     7.000,     6.000,     5.000,     4.000,     3.000,     2.000,     1.000,     0.000,
EL2_5110_5270,0.93987E-01,0.79022E-01,0.74278E-01,0.70620E-01,0.67808E-01,0.65588E-01,0.63515E-01,0.61556E-01,0.59796E-01,0.58495E-01,0.57154E-01,0.54572E-01,0.52511E-01,0.50733E-01,0.49124E-01,0.47481E-01,0.43994E-01,0.41230E-01,0.38912E-01,0.36962E-01,0.35126E-01,0.33253E-01,0.31319E-01,0.29171E-01,0.26997E-01,0.25009E-01,0.22577E-01,0.19300E-01,0.17908E-01,0.16555E-01,0.15332E-01,0.14043E-01,0.12695E-01,0.12037E-01,0.11559E-01,0.11003E-01,0.10431E-01,0.98073E-02,0.90876E-02,0.83243E-02,0.74932E-02,0.64838E-02,0.32490E-02,
pcnt,   100.000,    99.000,    98.000,    97.000,    96.000,    95.000,    94.000,    93.000,    92.000,    91.000,    90.000,    88.000,    86.000,    84.000,    82.000,    80.000,    75.000,    70.000,    65.000,    60.000,    55.000,    50.000,    45.000,    40.000,    35.000,    30.000,    25.000,    20.000,    18.000,    16.000,    14.000,    12.000,    10.000,     9.000,     8.000,     7.000,     6.000,     5.000,     4.000,     3.000,     2.000,     1.000,     0.000,
EL2_5270_0001,0.54999E-01,0.48180E-01,0.45749E-01,0.43777E-01,0.42089E-01,0.40457E-01,0.39169E-01,0.37788E-01,0.36600E-01,0.35595E-01,0.34609E-01,0.33074E-01,0.31519E-01,0.30431E-01,0.29449E-01,0.28582E-01,0.26629E-01,0.25140E-01,0.23876E-01,0.22742E-01,0.21560E-01,0.20475E-01,0.19443E-01,0.18366E-01,0.17388E-01,0.16095E-01,0.14539E-01,0.12891E-01,0.12286E-01,0.11578E-01,0.10803E-01,0.10036E-01,0.91937E-02,0.87988E-02,0.83644E-02,0.79559E-02,0.75282E-02,0.71464E-02,0.67755E-02,0.63925E-02,0.60064E-02,0.50236E-02,0.20206E-02,
pcnt,   100.000,    99.000,    98.000,    97.000,    96.000,    95.000,    94.000,    93.000,    92.000,    91.000,    90.000,    88.000,    86.000,    84.000,    82.000,    80.000,    75.000,    70.000,    65.000,    60.000,    55.000,    50.000,    45.000,    40.000,    35.000,    30.000,    25.000,    20.000,    18.000,    16.000,    14.000,    12.000,    10.000,     9.000,     8.000,     7.000,     6.000,     5.000,     4.000,     3.000,     2.000,     1.000,     0.000,
EL2_5272_5270,0.39962E+00,0.41170E-01,0.16588E-01,0.10098E-01,0.67010E-02,0.50119E-02,0.39035E-02,0.32450E-02,0.27140E-02,0.22982E-02,0.19690E-02,0.15242E-02,0.11995E-02,0.98134E-03,0.81667E-03,0.69034E-03,0.47249E-03,0.34245E-03,0.25621E-03,0.19288E-03,0.14624E-03,0.11055E-03,0.81608E-04,0.58268E-04,0.41240E-04,0.26699E-04,0.15870E-04,0.78793E-05,0.55579E-05,0.36896E-05,0.23676E-05,0.13717E-05,0.72785E-06,0.51380E-06,0.35400E-06,0.22499E-06,0.14820E-06,0.91928E-07,0.50449E-07,0.21587E-07,0.00000E+00,0.00000E+00,0.00000E+00,
