TABLE->,NIT-CMAX,NIT-SVALPM#1,NIT-SVALPM#1,NIT-SVALPM#1,NIT-SVALPM#2,NIT-SVALPM#2,NIT-SVALPM#2,NIT-SVALPM#3,NIT-SVALPM#3,NIT-SVALPM#3,NIT-SVALPM#4,NIT-SVALPM#4,NIT-SVALPM#4
VARS->,CMAX,XFIX,K1,N1,XFIX,K1,N1,XFIX,K1,N1,XFIX,K1,N1
A51161,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51163,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51165,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51167,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51169,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51171,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51173,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51175,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51177,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51179,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51181,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51183,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51185,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51187,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51191,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51193,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51195,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51197,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51199,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51510,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51515,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51520,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51530,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51540,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51550,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51570,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51580,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51590,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51595,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51600,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51610,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51620,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51630,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51640,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51650,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51660,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51670,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51678,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51680,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51683,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51685,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51690,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51700,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51710,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51720,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51730,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51735,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51740,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51750,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51760,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51770,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51775,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51790,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51800,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51810,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51820,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51830,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51840,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A54003,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A54023,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
