TABLE->,PHOS-CMAX,PHOS-SVALPM#1,PHOS-SVALPM#1,PHOS-SVALPM#1,PHOS-SVALPM#2,PHOS-SVALPM#2,PHOS-SVALPM#2,PHOS-SVALPM#3,PHOS-SVALPM#3,PHOS-SVALPM#3,PHOS-SVALPM#4,PHOS-SVALPM#4,PHOS-SVALPM#4
VARS->,CMAX,XFIX,K1,N1,XFIX,K1,N1,XFIX,K1,N1,XFIX,K1,N1
A42061,50,1.000000,35.47926,1.5,20.00000,0.704638,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42063,50,1.000000,47.45122,1.5,20.00000,0.526857,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42065,50,1.000000,83.84831,1.5,20.00000,0.298157,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42067,50,1.000000,0.379204,1.5,20.00000,65.92757,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42069,50,1.000000,100.0000,1.5,20.00000,0.126290,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42071,50,1.000000,0.478414,1.5,20.00000,52.25592,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42075,50,1.000000,1.510219,1.5,20.00000,16.55391,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42079,50,1.000000,100.0000,1.5,20.00000,0.068869,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42081,50,1.000000,41.39288,1.5,20.00000,0.603968,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42083,50,1.000000,44.45000,1.5,20.00000,0.562429,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42087,50,1.000000,0.932491,1.5,20.00000,26.80991,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42093,50,1.000000,15.69132,1.5,20.00000,1.593237,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42097,50,1.000000,10.72850,1.5,20.00000,2.330241,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42099,50,1.000000,5.868356,1.5,20.00000,4.260138,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42105,50,1.000000,41.35061,1.5,20.00000,0.604586,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42107,50,1.000000,2.201003,1.5,20.00000,11.35846,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42109,50,1.000000,0.531047,1.5,20.00000,47.07678,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42111,50,1.000000,39.07925,1.5,20.00000,0.639725,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42113,50,1.000000,69.52312,1.5,20.00000,0.359594,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42115,50,1.000000,48.69957,1.5,20.00000,0.513352,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42117,50,1.000000,67.36494,1.5,20.00000,0.371113,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42119,50,1.000000,0.594211,1.5,20.00000,42.07267,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42127,50,1.000000,36.80638,1.5,20.00000,0.679231,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42131,50,1.000000,83.03099,1.5,20.00000,0.301093,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42133,50,1.000000,39.31446,1.5,20.00000,0.635898,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A47091,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A47163,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51001,50,1.000000,0.749008,1.5,20.00000,33.37746,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51003,50,1.000000,100.0000,1.5,20.00000,0.045971,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51005,50,1.000000,100.0000,1.5,20.00000,0.104778,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51007,50,1.000000,0.471641,1.5,20.00000,53.00631,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51009,50,1.000000,100.0000,1.5,20.00000,0.126973,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51011,50,1.000000,97.02604,1.5,20.00000,0.257663,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51013,50,1.000000,45.03594,1.5,20.00000,0.555111,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51015,50,1.000000,59.35453,1.5,20.00000,0.421198,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51017,50,1.000000,100.0000,1.5,20.00000,0.234502,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51019,50,1.000000,71.30294,1.5,20.00000,0.350616,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51021,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51023,50,1.000000,77.95626,1.5,20.00000,0.320694,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51025,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51027,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51029,50,1.000000,13.22688,1.5,20.00000,1.890092,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51031,50,1.000000,100.0000,1.5,20.00000,0.185417,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51033,50,1.000000,100.0000,1.5,20.00000,0.093185,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51035,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51036,50,1.000000,96.27196,1.5,20.00000,0.259680,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51037,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51041,50,1.000000,43.45743,1.5,20.00000,0.575275,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51043,50,1.000000,100.0000,1.5,20.00000,0.181995,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51045,50,1.000000,100.0000,1.5,20.00000,0.247453,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51047,50,1.000000,78.19473,1.5,20.00000,0.319715,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51049,50,1.000000,0.683197,1.5,20.00000,36.59268,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51051,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51053,50,1.000000,0.508231,1.5,20.00000,49.19015,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51057,50,1.000000,100.0000,1.5,20.00000,0.097917,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51059,50,1.000000,46.10669,1.5,20.00000,0.542221,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51061,50,1.000000,41.89136,1.5,20.00000,0.596782,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51063,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51065,50,1.000000,100.0000,1.5,20.00000,0.135606,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51067,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51069,50,1.000000,100.0000,1.5,20.00000,0.087395,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51071,50,1.000000,94.87603,1.5,20.00000,0.263502,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51073,50,1.000000,80.88501,1.5,20.00000,0.309080,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51075,50,1.000000,24.90456,1.5,20.00000,1.003832,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51077,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51079,50,1.000000,22.46770,1.5,20.00000,1.112708,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51081,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51083,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51085,50,1.000000,79.57855,1.5,20.00000,0.314156,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51087,50,1.000000,100.0000,1.5,20.00000,0.217916,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
