landseg,SORGN,UORGN,LROGN,AORGN
F51165,     0.000,   259.473,    19.730,     3.240
F54031,     0.000,    60.332,     8.520,     2.272
A51171,     0.000,   160.744,    25.015,     2.779
A51187,     0.000,   118.718,    10.478,     1.275
F51187,     0.000,   116.181,    13.508,     1.422
A51043,     0.000,   127.094,    12.749,     1.360
A51840,     0.000,    69.754,    17.596,     1.812
A51660,     0.000,   105.648,    32.992,     2.808
F51660,     0.000,    79.453,    19.915,     2.522
B42041,     0.000,    65.662,    41.279,     2.377
B42055,     0.000,   117.447,    19.324,     1.604
A54003,     0.000,    81.426,    22.574,     1.742
A54037,     0.000,    55.160,    18.647,     1.685
F54003,     0.000,    79.166,    17.801,     1.585
A51139,     0.000,   213.251,    47.850,     4.573
F51139,     0.000,   211.866,    49.051,     4.598
A51790,     0.000,    84.416,    28.108,     2.031
F51790,     0.000,    42.312,    10.842,     1.395
A42099,     0.000,    99.353,    18.105,     1.446
A54065,     0.000,    63.848,    19.485,     1.503
A42057,     0.000,    81.536,    21.239,     1.110
C51165,     0.000,   251.479,    22.739,     3.767
A54027,     0.000,    75.225,    24.178,     1.789
A24001,     0.000,    65.548,    19.429,     1.190
C42009,     0.000,    73.369,    19.741,     0.965
F24001,     0.000,    63.211,    20.328,     1.418
F54027,     0.000,    79.414,    25.349,     1.838
B51139,     0.000,   227.172,    33.150,     4.179
B51187,     0.000,   116.938,     9.988,     1.272
F51043,     0.000,   126.646,    12.871,     1.625
F54037,     0.000,   105.551,    17.358,     1.644
A42009,     0.000,    70.493,    23.852,     1.698
A54071,     0.000,    70.759,    11.933,     1.979
F54071,     0.000,   143.646,    13.074,     1.888
A54023,     0.000,   113.357,    19.671,     2.054
A54057,     0.000,    68.030,    26.571,     2.059
B54023,     0.000,    48.888,    17.640,     1.817
B54057,     0.000,    70.345,    26.952,     1.817
B54071,     0.000,    72.049,    15.746,     2.179
B54031,     0.000,   133.281,    20.412,     2.414
A42111,     0.000,    45.758,    25.057,     1.580
B24001,     0.000,    58.837,    25.777,     1.969
B42009,     0.000,    50.417,    18.850,     1.459
A24023,     0.000,    37.032,    23.369,     1.619
F54023,     0.000,   113.850,    18.083,     2.002
A54077,     0.000,    39.573,    14.559,     1.110
A54093,     0.000,    26.903,    14.125,     1.311
F24023,     0.000,    37.501,    21.573,     1.515
F54057,     0.000,    39.146,    13.366,     1.444
F54065,     0.000,    31.749,     9.732,     1.132
A42071,     0.000,   130.108,    52.855,     3.332
A42133,     0.000,   107.463,    20.346,     1.547
A42075,     0.000,   105.122,    70.716,     3.256
A42011,     0.000,   123.163,     7.669,     1.164
F42133,     0.000,   121.206,    10.679,     1.348
F42075,     0.000,   174.375,     6.607,     1.589
F42071,     0.000,   170.923,    11.464,     1.682
A42041,     0.000,   103.150,    14.347,     1.272
F42041,     0.000,    55.517,    50.589,     2.543
F42011,     0.000,   115.950,     5.394,     1.185
A42107,     0.000,   100.871,    19.251,     1.536
F42107,     0.000,   101.635,    18.113,     1.386
A42067,     0.000,    90.888,     6.415,     1.436
A42043,     0.000,   130.459,    12.976,     1.098
F42043,     0.000,   133.459,     9.486,     1.036
A42087,     0.000,   110.087,    19.182,     1.729
A42027,     0.000,    83.063,    32.007,     1.567
A42109,     0.000,   126.726,    13.981,     1.650
