lseg,State,name ***
N51071,VA,GILES
N51073,VA,GLOUCESTER
N51075,VA,GOOCHLAND
N51079,VA,GREENE
H51079,VA,GREENE
L51079,VA,GREENE
N51085,VA,HANOVER
N51087,VA,HENRICO
N51091,VA,HIGHLAND
L51091,VA,HIGHLAND
N51093,VA,ISLE OF WIGHT
N51095,VA,JAMES CITY
N51097,VA,KING AND QUEEN
N51099,VA,KING GEORGE
N51101,VA,KING WILLIAM
N51103,VA,LANCASTER
N51107,VA,LOUDOUN
N51109,VA,LOUISA
N51111,VA,LUNENBURG
N51113,VA,MADISON
H51113,VA,MADISON
N51115,VA,MATHEWS
N51119,VA,MIDDLESEX
N51121,VA,MONTGOMERY
N51125,VA,NELSON
H51125,VA,NELSON
N51127,VA,NEW KENT
N51131,VA,NORTHAMPTON
N51133,VA,NORTHUMBERLAND
N51135,VA,NOTTOWAY
N51137,VA,ORANGE
N51139,VA,PAGE
H51139,VA,PAGE
N51145,VA,POWHATAN
N51147,VA,PRINCE EDWARD
N51149,VA,PRINCE GEORGE
N51153,VA,PRINCE WILLIAM
N51157,VA,RAPPAHANNOCK
H51157,VA,RAPPAHANNOCK
L51157,VA,RAPPAHANNOCK
N51159,VA,RICHMOND
N51161,VA,ROANOKE
N51163,VA,ROCKBRIDGE
L51163,VA,ROCKBRIDGE
N51165,VA,ROCKINGHAM
H51165,VA,ROCKINGHAM
N51171,VA,SHENANDOAH
N51177,VA,SPOTSYLVANIA
N51179,VA,STAFFORD
N51181,VA,SURRY
N51187,VA,WARREN
N51193,VA,WESTMORELAND
N51199,VA,YORK
N51510,VA,ALEXANDRIA
N51515,VA,BEDFORD
N51530,VA,BUENA VISTA
N51540,VA,CHARLOTTESVILLE
N51550,VA,CHESAPEAKE
N51570,VA,COLONIAL HEIGHTS
N51580,VA,COVINGTON
N51600,VA,FAIRFAX CITY
N51610,VA,FALLS CHURCH
N51630,VA,FREDERICKSBURG
N51650,VA,HAMPTON
N51660,VA,HARRISONBURG
N51670,VA,HOPEWELL
N51678,VA,LEXINGTON
N51680,VA,LYNCHBURG
N51683,VA,MANASSAS
N51685,VA,MANASSAS PARK
N51700,VA,NEWPORT NEWS
N51710,VA,NORFOLK
N51730,VA,PETERSBURG
N51735,VA,POQUOSON
N51740,VA,PORTSMOUTH
N51760,VA,RICHMOND
N51770,VA,ROANOKE
N51775,VA,SALEM
N51790,VA,STAUNTON
N51800,VA,SUFFOLK
N51810,VA,VIRGINIA BEACH
N51820,VA,WAYNESBORO
N51830,VA,WILLIAMSBURG
N51840,VA,WINCHESTER
N54003,WV,BERKELEY
N54023,WV,GRANT
H54023,WV,GRANT
L54023,WV,GRANT
N54025,WV,Greenbrier
N54027,WV,HAMPSHIRE
N54031,WV,HARDY
H54031,WV,HARDY
L54031,WV,HARDY
N54037,WV,JEFFERSON
N54057,WV,MINERAL
H54057,WV,MINERAL
N54063,WV,MONROE
N54065,WV,MORGAN
N54071,WV,PENDLETON
H54071,WV,PENDLETON
L54071,WV,PENDLETON
N54075,WV,Pocahontas
N54077,WV,PRESTON
N54083,WV,Randolph
N54093,WV,TUCKER
end,,
