river,name ***
OR2_7610_7780,BIG OTTER R
OR2_7650_8070,GOOSE CR
OR2_7670_7840,FALLING R
OR2_7900_7740,ROANOKE R
OR2_8020_8130,ROANOKE R
OR2_8130_7900,ROANOKE R
OR2_8460_8271,PIGG R
OR3_7740_8271,ROANOKE R
OR4_8120_7890,ROANOKE R
OR5_7890_7970,ROANOKE R
OR5_8200_8370,ROANOKE R
PL0_4510_0001,ANACOSTI R
PL0_5000_0001,HOLMES RUN
PL0_5010_5130,ACCOTINK CR
PL0_5070_0001,PISCATAWAY CR
PL0_5540_5490,QUANTICO CR
PL0_5730_5690,AQUIA CR
PL0_5750_0001,ST CLEMENT CR
PL1_4460_4780,ROCK CR
PL1_4540_0001,A
PL1_5230_0001,MATTAWOMAN CR
PL1_5370_5470,CEDAR RUN
PL1_5910_0001,ST MARYS R
PL2_5300_5630,ZEKIAH SWAMP RUN
PM1_3120_3400,BIG PIPE CR
PM1_3510_4000,CATOCTIN CR
PM1_4250_4500,GREAT SENECA CR
PM1_4430_4200,CATOCTIN R  S FK
PM2_2860_3040,MARSH CR
PM2_4860_4670,GOOSE CR
PM3_4670_4660,GOOSE CR
PM7_4820_0001,POTOMAC R
PS0_6150_6160,TBD
PS1_4790_4830,CEDAR CR
PS2_5550_5560,SHENANDOAH R  N FK
PS2_5560_5100,SHENANDOAH R  N FK
PS2_6490_6420,SOUTH R
PS2_6660_6490,SOUTH R
PS2_6730_6660,SOUTH R
PS3_5100_5080,SHENANDOAH R  N FK
PS3_6161_6280,NORTH R
PS3_6460_6230,MIDDLE R
PS4_5840_5240,SHENANDOAH R  S FK
PS4_6360_5840,SHENANDOAH R  S FK
PS5_4380_4370,SHENANDOAH R
PS5_5240_5200,SHENANDOAH R  S FK
PU0_6080_5620,TBD
PU1_3100_3690,SIDELING HILL CR
PU1_3850_4190,SAVAGE R
PU1_4190_4300,Savage River Dam
PU1_4840_4760,Mt. Storm Power Station Dam/Stony River Dam
PU2_3090_4050,ANTIETAM CR
PU2_4220_3900,OPEQUON CR
PU2_4360_4160,PATTERSON CR
PU2_4720_4750,POTOMAC R  N BR
PU2_4730_4220,OPEQUON CR
PU2_5190_4310,POTOMAC R  S BR  S FK
PU2_6050_5190,POTOMAC R  S BR  S FK
PU3_3290_3390,CONOCOCHEAGUE CR
PU3_3680_3890,WILLS CR
PU3_3860_3610,CACAPON R
PU4_3890_3990,POTOMAC R  N BR
PU4_4310_4210,POTOMAC R  S BR
PU6_3610_3530,POTOMAC R
PU6_3752_4080,POTOMAC R
PU6_4020_3870,POTOMAC R
RL0_6540_0001,PISCATAWAY CR
RL1_6180_0001,CAT POINT CR
RU2_5940_6200,ROBINSON R
RU2_6090_6220,RAPIDAN R
RU3_6170_6040,RAPIDAN R
RU5_6030_0001,RAPPAHANNOCK R
SJ2_2530_2820,BOBS CR
SJ2_2580_2500,SIDELING HILL CR
SJ3_2040_1980,LITTLE JUNIATA R
SJ3_2250_2230,JUNIATA R  FRANKSTOWN BR
SJ4_2060_2010,Warrior Ridge Dam
SJ4_2360_2340,Raystown Dam
SJ4_2660_2360,JUNIATA R  RAYSTOWN BR
SJ5_2210_2320,JUNIATA R
SL0_2180_2220,TBD
SL1_1730_1700,SHAMOKIN CR
SL1_2390_2420,MILL CR
SL1_2770_2730,CODORUS CR  S BR
SL1_2830_2760,CODORUS  W BR
SL2_1810_2030,MAHANTANGO CR
SL2_1850_1990,SWATARA CR
SL2_1990_2070,SWATARA CR
SL2_2910_3060,DEER CR
SL3_1710_1740,PENNS CR
SL3_2290_2260,SHERMAN CR
SL3_2350_2470,CONESTOGA CR
SL3_2400_2440,YELLOW BREECHES CR
SL3_2420_2700,CONESTOGA CR
SL3_2460_2430,CONEWAGO CR
SL3_2730_2550,CODORUS CR
SL4_2090_2100,SWATARA CR
SL4_2140_2240,SWATARA CR
SL4_2370_2330,CONODOGUINET CR
SL8_1760_1780,SUSQUEHANNA R
SL9_2490_2520,SUSQUEHANNA R
SL9_2720_0001,Conowingo Dam
SU1_0080_0210,BUTTERNUT CR
SU1_0820_0740,COWANESQUE R
SU2_0110_0240,OTSELIC R
SU2_0291_0320,East Sidney Dam
SU2_0510_0570,CANISTEO R
SU2_0670_0810,LACKAWANNA R
SU2_0741_0690,Cowanesque Dam
SU2_0900_0870,TOWANDA CR
SU2_0920_0830,TIOGA R
SU3_0090_0170,CHENANGO R
SU3_0370_0490,COHOCTON R
SU3_0710_0910,TUNKHANNOCK CR
SU3_0790_0770,TIOGA R
SU3_0810_0970,LACKAWANNA R
SU3_0831_0790,Tioga Dam
SU3_0970_1120,LACKAWANNA R
SU3_1310_1280,FISHING CR
SU4_0300_0310,UNADILLA R
SU4_0690_0650,TIOGA R
SU5_0340_0310,SUSQUEHANNA R
SU5_0610_0600,CHEMUNG R
SU6_0480_0520,SUSQUEHANNA R
SU7_0850_0730,SUSQUEHANNA R
SU7_1120_1140,SUSQUEHANNA R
SU8_1610_1530,SUSQUEHANNA R
SW0_1520_1600,BEECH CR
SW1_1180_1190,MUNCY CR
SW1_1450_1510,CHILLISQUAQUE CR
SW1_1830_1690,SPRING CR
SW1_1890_1830,SPRING CR
SW1_1910_1890,SPRING CR
SW2_1100_1130,KETTLE CR
SW3_1040_1220,LYCOMING CR
SW3_1091_1380,George B. Stevenson Dam
SW3_1130_1390,Alvin R. Bush Dam
SW3_1270_1370,DRIFTWOOD BR
SW3_1690_1660,Foster Joseph Sayers Dam
SW3_1870_1800,CLEARFIELD CR
SW3_1920_1750,MOSHANNON CR
SW4_1110_1150,PINE CR
SW4_1430_1490,BENNETTE BR
SW4_1720_1650,SUSQUEHANNA R  W BR
SW4_1860_1720,Curwensville Dam
SW4_1940_1860,SUSQUEHANNA R  W BR
SW6_1330_1230,SUSQUEHANNA R  W BR
TU2_8790_9070,HOLSTON R  MIDDLE FK
TU2_8950_9040,HOLSTON R  S FK
TU3_8650_8800,HOLSTON R  N FK
TU3_9230_9260,POWELL R
TU4_8680_8810,CLINCH R
WM1_3660_3910,GWYNNS FALLS
WM3_3880_4060,PATAPSCO R
WU1_3240_3331,WINTERS RUN
WU1_3350_3490,WESTERN RUN
WU2_3020_3320,GUNPOWDER FALLS
XL0_5320_0001,HUNTING CR
XL1_4690_0001,PATUXENT R  WESTERN BR
XU0_4090_4270,LITTLE PATUXENT R
XU0_4130_4070,PATUXENT R
XU2_4070_4330,Brighton Dam
XU2_4330_4480,Rocky Gorge Dam
XU3_4650_0001,PATUXENT R
YM2_6120_6430,PO R
YP0_6860_6840,TOTOPONOMOY CR
YP1_6570_6680,LITTLE R
YP2_6390_6330,North Anna Dam
YP3_6330_6700,N ANNA R
YP3_6470_6690,S ANNA R
YP4_6720_6750,PAMUNKEY R
BS4_8440_0003,double
JU4_7260_0003,double
JU4_7330_0003,double
JU5_7300_0003,double
MN5_8161_0003,double
NR5_8870_0003,double
NR6_7820_0003,double
OD5_8770_0003,double
PM4_4040_0003,double
PM7_4200_0003,double
PU4_4440_0003,double
PU4_5050_0003,double
RU3_5610_0003,double
RU4_5640_0003,double
SJ6_2130_0003,double
SL9_2270_0003,double
SU4_0260_0003,double
SU5_0420_0003,double
SU5_0530_0003,double
SU5_0650_0003,double
SU7_0720_0003,double
SU7_0960_0003,double
SW3_1580_0003,double
SW3_1690_0003,double
SW4_1260_0003,double
SW5_1350_0003,double
SW5_1540_0003,double
SW7_1320_0003,double
SW7_1640_0003,double
TU3_9180_0003,double
TU5_9280_0003,double
XU2_4270_0003,double
YM4_6620_0003,double
NR6_8500_0003,triple
end,
