A36017,2.869,30.000,43.770,39.179,43.779,5.798,6.374,4.500,8.250,60.572,240.000,17.657,16.101,37.500,18.750,17.657,16.101,18.750,17.657,16.101,37.500,18.750,35.016,31.343,35.023,4.638,5.099,6.600
A36023,3.044,30.000,44.184,39.540,36.052,5.644,6.508,4.500,8.250,61.843,240.000,17.885,17.236,37.500,18.750,17.885,17.236,18.750,17.885,17.236,37.500,18.750,35.347,31.632,28.842,4.515,5.207,6.600
A36025,2.758,30.000,43.429,39.648,35.779,5.747,6.165,4.500,8.250,58.597,240.000,14.968,14.637,37.500,18.750,14.968,14.637,18.750,14.968,14.637,37.500,18.750,34.743,31.718,28.623,4.598,4.932,6.600
A36043,2.654,30.000,43.252,38.719,42.104,5.796,6.622,4.500,8.250,62.946,240.000,16.753,16.149,37.500,18.750,16.753,16.149,18.750,16.753,16.149,37.500,18.750,34.601,30.975,33.683,4.637,5.298,6.600
A36051,2.947,30.000,41.460,37.148,41.749,5.990,7.617,4.500,8.250,72.385,240.000,13.209,14.141,37.500,18.750,13.209,14.141,18.750,13.209,14.141,37.500,18.750,33.168,29.718,33.399,4.792,6.094,6.600
A36053,3.112,30.000,43.020,38.483,38.909,6.048,7.096,4.500,8.250,67.424,240.000,16.060,18.050,37.500,18.750,16.060,18.050,18.750,16.060,18.050,37.500,18.750,34.416,30.786,31.127,4.839,5.677,6.600
A36065,2.880,30.000,39.554,35.394,58.209,5.941,6.828,4.500,8.250,64.889,240.000,16.467,17.377,37.500,18.750,16.467,17.377,18.750,16.467,17.377,37.500,18.750,31.644,28.316,46.567,4.753,5.462,6.600
A36067,3.277,30.000,40.471,36.183,33.872,6.085,8.762,4.500,8.250,83.237,240.000,17.583,19.005,37.500,18.750,17.583,19.005,18.750,17.583,19.005,37.500,18.750,32.377,28.946,27.098,4.868,7.010,6.600
A36069,3.070,30.000,38.783,34.710,43.662,6.132,8.386,4.500,8.250,79.677,240.000,12.005,14.179,37.500,18.750,12.005,14.179,18.750,12.005,14.179,37.500,18.750,31.026,27.768,34.929,4.906,6.709,6.600
A36077,2.815,30.000,41.351,37.015,37.992,5.816,6.246,4.500,8.250,59.359,240.000,15.903,14.934,37.500,18.750,15.903,14.934,18.750,15.903,14.934,37.500,18.750,33.081,29.612,30.393,4.653,4.997,6.600
A36095,2.771,30.000,39.436,35.302,34.050,5.738,6.629,4.500,8.250,63.005,240.000,15.702,15.049,37.500,18.750,15.702,15.049,18.750,15.702,15.049,37.500,18.750,31.549,28.241,27.240,4.590,5.303,6.600
A36097,2.893,30.000,41.114,36.813,37.571,5.838,6.204,4.500,8.250,58.958,240.000,12.517,13.689,37.500,18.750,12.517,13.689,18.750,12.517,13.689,37.500,18.750,32.891,29.450,30.057,4.670,4.963,6.600
A36101,2.756,30.000,38.097,34.108,31.822,5.407,6.156,4.500,8.250,58.504,240.000,9.566,11.558,37.500,18.750,9.566,11.558,18.750,9.566,11.558,37.500,18.750,30.478,27.286,25.458,4.326,4.925,6.600
A36107,2.833,30.000,42.515,38.048,36.328,5.958,6.417,4.500,8.250,60.988,240.000,13.770,13.767,37.500,18.750,13.770,13.767,18.750,13.770,13.767,37.500,18.750,34.012,30.439,29.062,4.766,5.134,6.600
A36109,2.988,30.000,39.043,34.933,33.319,5.674,7.645,4.500,8.250,72.641,240.000,16.554,15.901,37.500,18.750,16.554,15.901,18.750,16.554,15.901,37.500,18.750,31.234,27.947,26.655,4.539,6.116,6.600
A36123,2.875,30.000,39.970,35.782,39.509,6.143,7.679,4.500,8.250,72.971,240.000,12.098,13.327,37.500,18.750,12.098,13.327,18.750,12.098,13.327,37.500,18.750,31.976,28.625,31.607,4.914,6.143,6.600
A42001,3.527,30.000,38.046,33.983,35.723,8.853,9.318,4.500,8.250,88.507,240.000,13.551,19.459,37.500,18.750,13.551,19.459,18.750,13.551,19.459,37.500,18.750,30.437,27.186,28.578,7.082,7.454,6.600
A42009,2.969,30.000,36.385,32.546,33.799,7.695,8.845,4.500,8.250,84.060,240.000,13.061,14.928,37.500,18.750,13.061,14.928,18.750,13.061,14.928,37.500,18.750,29.108,26.037,27.039,6.156,7.076,6.600
A42011,3.561,30.000,35.444,31.675,33.886,8.817,15.385,4.500,8.250,146.178,240.000,22.442,21.858,37.500,18.750,22.442,21.858,18.750,22.442,21.858,37.500,18.750,28.355,25.340,27.109,7.054,12.308,6.600
A42013,3.190,30.000,36.941,33.044,33.598,8.638,15.806,4.500,8.250,150.223,240.000,14.851,16.931,37.500,18.750,14.851,16.931,18.750,14.851,16.931,37.500,18.750,29.553,26.435,26.879,6.910,12.645,6.600
A42015,2.951,30.000,34.011,30.416,36.918,7.481,9.103,4.500,8.250,86.506,240.000,12.688,14.231,37.500,18.750,12.688,14.231,18.750,12.688,14.231,37.500,18.750,27.209,24.333,29.534,5.985,7.282,6.600
A42021,3.438,30.000,34.424,30.769,35.307,7.298,8.711,4.500,8.250,82.755,240.000,18.723,20.593,37.500,18.750,18.723,20.593,18.750,18.723,20.593,37.500,18.750,27.539,24.615,28.246,5.838,6.969,6.600
A42023,2.921,30.000,72.072,20.531,36.373,14.506,16.858,4.500,8.250,160.095,240.000,18.578,18.185,37.500,18.750,18.578,18.185,18.750,18.578,18.185,37.500,18.750,57.658,16.425,29.098,11.605,13.486,6.600
A42025,3.297,30.000,33.956,23.398,33.324,7.313,8.818,4.500,8.250,83.782,240.000,25.776,24.784,37.500,18.750,25.776,24.784,18.750,25.776,24.784,37.500,18.750,27.165,18.719,26.659,5.850,7.055,6.600
A42027,3.077,30.000,33.470,29.930,60.393,7.805,9.700,4.500,8.250,92.183,240.000,12.389,16.498,37.500,18.750,12.389,16.498,18.750,12.389,16.498,37.500,18.750,26.776,23.944,48.315,6.244,7.760,6.600
A42029,3.803,30.000,31.631,28.250,34.223,8.565,12.290,4.500,8.250,116.756,240.000,15.101,23.139,37.500,18.750,15.101,23.139,18.750,15.101,23.139,37.500,18.750,25.305,22.600,27.379,6.852,9.832,6.600
A42033,3.047,30.000,34.148,30.540,36.910,7.391,8.096,4.500,8.250,76.934,240.000,17.421,17.259,37.500,18.750,17.421,17.259,18.750,17.421,17.259,37.500,18.750,27.319,24.432,29.528,5.913,6.477,6.600
A42035,2.930,30.000,34.309,30.693,33.278,8.118,12.288,4.500,8.250,116.780,240.000,17.380,17.421,37.500,18.750,17.380,17.421,18.750,17.380,17.421,37.500,18.750,27.447,24.554,26.622,6.495,9.831,6.600
A42037,3.091,30.000,33.785,30.210,51.474,7.251,9.114,4.500,8.250,86.598,240.000,18.313,17.962,37.500,18.750,18.313,17.962,18.750,18.313,17.962,37.500,18.750,27.028,24.168,41.180,5.800,7.291,6.600
A42041,3.352,30.000,36.934,33.013,33.667,8.026,13.164,4.500,8.250,125.100,240.000,13.132,17.816,37.500,18.750,13.132,17.816,18.750,13.132,17.816,37.500,18.750,29.547,26.410,26.933,6.421,10.531,6.600
A42043,3.421,30.000,37.194,33.240,34.892,8.865,12.535,4.500,8.250,119.092,240.000,12.999,18.538,37.500,18.750,12.999,18.538,18.750,12.999,18.538,37.500,18.750,29.755,26.592,27.914,7.092,10.028,6.600
A42047,3.052,30.000,34.582,30.921,34.234,7.271,7.526,4.500,8.250,71.511,240.000,18.522,18.614,37.500,18.750,18.522,18.614,18.750,18.522,18.614,37.500,18.750,27.666,24.737,27.388,5.817,6.021,6.600
A42055,3.481,30.000,38.160,34.099,34.958,8.793,15.527,4.500,8.250,147.545,240.000,11.431,18.671,37.500,18.750,11.431,18.671,18.750,11.431,18.671,37.500,18.750,30.528,27.279,27.966,7.034,12.421,6.600
A42057,3.069,30.000,37.015,33.081,38.371,7.761,8.250,4.500,8.250,78.391,240.000,12.235,15.303,37.500,18.750,12.235,15.303,18.750,12.235,15.303,37.500,18.750,29.612,26.465,30.697,6.209,6.600,6.600
A42061,2.967,30.000,36.341,32.505,33.808,8.035,9.314,4.500,8.250,88.515,240.000,13.812,15.077,37.500,18.750,13.812,15.077,18.750,13.812,15.077,37.500,18.750,29.073,26.004,27.046,6.428,7.451,6.600
A42063,3.297,30.000,34.495,30.839,33.173,7.490,8.617,4.500,8.250,81.870,240.000,19.424,19.177,37.500,18.750,19.424,19.177,18.750,19.424,19.177,37.500,18.750,27.596,24.671,26.538,5.992,6.893,6.600
A42065,3.107,30.000,33.452,29.912,35.928,7.264,7.855,4.500,8.250,74.632,240.000,19.253,17.905,37.500,18.750,19.253,17.905,18.750,19.253,17.905,37.500,18.750,26.761,23.930,28.742,5.811,6.284,6.600
A42067,3.215,30.000,39.867,35.638,34.879,9.785,11.974,4.500,8.250,113.725,240.000,12.615,16.730,37.500,18.750,12.615,16.730,18.750,12.615,16.730,37.500,18.750,31.893,28.510,27.903,7.828,9.579,6.600
A42069,3.207,30.000,35.084,31.369,33.124,7.537,8.243,4.500,8.250,78.318,240.000,15.408,18.160,37.500,18.750,15.408,18.160,18.750,15.408,18.160,37.500,18.750,28.067,25.095,26.499,6.030,6.594,6.600
A42071,4.356,30.000,41.758,37.262,35.010,10.742,23.515,4.500,8.250,223.300,240.000,12.898,24.194,37.500,18.750,12.898,24.194,18.750,12.898,24.194,37.500,18.750,33.407,29.809,28.008,8.594,18.812,6.600
A42075,4.027,30.000,38.881,34.719,40.674,10.556,19.224,4.500,8.250,182.553,240.000,13.568,23.019,37.500,18.750,13.568,23.019,18.750,13.568,23.019,37.500,18.750,31.105,27.775,32.539,8.444,15.379,6.600
A42079,3.181,30.000,33.504,29.956,34.857,7.410,8.395,4.500,8.250,79.766,240.000,15.489,18.405,37.500,18.750,15.489,18.405,18.750,15.489,18.405,37.500,18.750,26.803,23.965,27.886,5.928,6.716,6.600
A42081,2.950,30.000,33.326,29.806,35.029,7.486,8.996,4.500,8.250,85.486,240.000,18.308,16.069,37.500,18.750,18.308,16.069,18.750,18.308,16.069,37.500,18.750,26.661,23.845,28.023,5.989,7.197,6.600
A42083,3.059,30.000,34.295,31.237,34.425,7.444,6.848,4.500,8.250,65.068,240.000,21.628,20.401,37.500,18.750,21.628,20.401,18.750,21.628,20.401,37.500,18.750,27.436,24.990,27.540,5.956,5.478,6.600
A42087,3.128,30.000,36.021,32.220,34.186,9.023,12.359,4.500,8.250,117.434,240.000,16.059,16.903,37.500,18.750,16.059,16.903,18.750,16.059,16.903,37.500,18.750,28.817,25.776,27.349,7.218,9.887,6.600
A42093,3.105,30.000,33.579,30.024,46.397,7.444,10.135,4.500,8.250,96.307,240.000,13.647,16.653,37.500,18.750,13.647,16.653,18.750,13.647,16.653,37.500,18.750,26.864,24.019,37.117,5.955,8.108,6.600
A42097,3.212,30.000,34.467,30.810,49.493,8.313,10.103,4.500,8.250,95.970,240.000,14.539,17.690,37.500,18.750,14.539,17.690,18.750,14.539,17.690,37.500,18.750,27.574,24.648,39.595,6.650,8.082,6.600
A42099,3.296,30.000,37.860,33.840,34.438,8.349,10.331,4.500,8.250,98.155,240.000,15.835,17.876,37.500,18.750,15.835,17.876,18.750,15.835,17.876,37.500,18.750,30.288,27.072,27.551,6.679,8.265,6.600
A42105,2.940,30.000,34.868,31.191,38.591,7.611,7.813,4.500,8.250,74.251,240.000,17.078,16.763,37.500,18.750,17.078,16.763,18.750,17.078,16.763,37.500,18.750,27.894,24.952,30.873,6.089,6.250,6.600
A42107,3.306,30.000,37.080,33.137,32.315,8.639,10.072,4.500,8.250,95.672,240.000,18.417,20.398,37.500,18.750,18.417,20.398,18.750,18.417,20.398,37.500,18.750,29.664,26.509,25.852,6.911,8.058,6.600
A42109,3.277,30.000,38.736,34.620,33.109,9.263,12.303,4.500,8.250,116.860,240.000,14.960,17.987,37.500,18.750,14.960,17.987,18.750,14.960,17.987,37.500,18.750,30.989,27.696,26.487,7.410,9.842,6.600
A42111,3.190,30.000,35.239,31.512,36.093,7.536,9.695,4.500,8.250,92.132,240.000,16.721,17.872,37.500,18.750,16.721,17.872,18.750,16.721,17.872,37.500,18.750,28.191,25.209,28.874,6.029,7.756,6.600
A42113,3.189,30.000,34.410,30.765,35.739,7.680,8.689,4.500,8.250,82.569,240.000,21.037,18.715,37.500,18.750,21.037,18.715,18.750,21.037,18.715,37.500,18.750,27.528,24.612,28.591,6.144,6.952,6.600
A42115,3.120,30.000,34.814,31.123,35.603,7.665,7.748,4.500,8.250,73.626,240.000,18.700,18.330,37.500,18.750,18.700,18.330,18.750,18.700,18.330,37.500,18.750,27.851,24.899,28.482,6.132,6.198,6.600
A42117,2.874,30.000,33.995,30.404,38.091,7.349,7.656,4.500,8.250,72.762,240.000,12.898,13.475,37.500,18.750,12.898,13.475,18.750,12.898,13.475,37.500,18.750,27.196,24.323,30.473,5.879,6.125,6.600
A42119,3.241,30.000,35.684,31.901,40.954,9.289,15.190,4.500,8.250,144.324,240.000,21.292,19.106,37.500,18.750,21.292,19.106,18.750,21.292,19.106,37.500,18.750,28.547,25.521,32.763,7.431,12.152,6.600
A42127,3.073,30.000,35.697,31.920,37.622,7.466,8.177,4.500,8.250,77.705,240.000,22.880,20.391,37.500,18.750,22.880,20.391,18.750,22.880,20.391,37.500,18.750,28.557,25.536,30.098,5.972,6.541,6.600
A42131,2.888,30.000,33.348,29.829,33.124,7.339,7.789,4.500,8.250,74.024,240.000,11.583,14.373,37.500,18.750,11.583,14.373,18.750,11.583,14.373,37.500,18.750,26.679,23.863,26.499,5.871,6.231,6.600
A42133,3.576,30.000,36.344,32.479,42.411,8.525,10.178,4.500,8.250,96.683,240.000,11.818,19.390,37.500,18.750,11.818,19.390,18.750,11.818,19.390,37.500,18.750,29.075,25.983,33.929,6.820,8.142,6.600
A51001,2.809,30.000,28.290,25.191,38.997,8.518,6.869,4.500,8.250,65.248,240.000,17.359,16.427,37.500,18.750,17.359,16.427,18.750,17.359,16.427,37.500,18.750,22.632,20.152,31.198,6.814,5.495,6.600
A51003,2.732,30.000,32.131,28.726,33.914,9.107,6.115,4.500,8.250,58.110,240.000,10.502,15.556,37.500,18.750,10.502,15.556,18.750,10.502,15.556,37.500,18.750,25.705,22.981,27.131,7.285,4.892,6.600
A51005,2.367,30.000,37.106,33.182,31.210,7.326,5.277,4.500,8.250,50.173,240.000,10.266,11.089,37.500,18.750,10.266,11.089,18.750,10.266,11.089,37.500,18.750,29.685,26.545,24.968,5.861,4.222,6.600
A51007,2.770,30.000,34.036,30.349,31.773,12.122,7.651,4.500,8.250,72.672,240.000,9.367,15.194,37.500,18.750,9.367,15.194,18.750,9.367,15.194,37.500,18.750,27.229,24.279,25.419,9.698,6.121,6.600
A51009,2.483,30.000,33.417,29.896,30.584,9.239,5.976,4.500,8.250,56.799,240.000,10.464,13.270,37.500,18.750,10.464,13.270,18.750,10.464,13.270,37.500,18.750,26.734,23.917,24.468,7.391,4.781,6.600
A51011,2.690,30.000,31.241,27.924,33.755,9.292,6.397,4.500,8.250,60.780,240.000,10.507,14.720,37.500,18.750,10.507,14.720,18.750,10.507,14.720,37.500,18.750,24.993,22.340,27.004,7.433,5.117,6.600
A51013,3.939,30.000,32.352,28.834,30.169,10.383,5.196,4.500,8.250,49.341,240.000,18.641,22.280,37.500,18.750,18.641,22.280,18.750,18.641,22.280,37.500,18.750,25.882,23.067,24.135,8.306,4.157,6.600
A51015,2.878,30.000,44.628,39.794,32.808,11.181,6.683,4.500,8.250,63.483,240.000,8.675,14.473,37.500,18.750,8.675,14.473,18.750,8.675,14.473,37.500,18.750,35.702,31.835,26.247,8.945,5.346,6.600
A51017,2.262,30.000,39.741,35.521,33.549,9.182,5.521,4.500,8.250,52.492,240.000,10.545,11.382,37.500,18.750,10.545,11.382,18.750,10.545,11.382,37.500,18.750,31.793,28.417,26.839,7.346,4.417,6.600
A51019,2.578,30.000,38.551,34.497,32.792,9.398,6.329,4.500,8.250,60.143,240.000,10.078,14.014,37.500,18.750,10.078,14.014,18.750,10.078,14.014,37.500,18.750,30.841,27.598,26.233,7.519,5.063,6.600
A51023,2.376,30.000,41.722,37.283,32.174,9.186,5.969,4.500,8.250,56.741,240.000,11.089,11.673,37.500,18.750,11.089,11.673,18.750,11.089,11.673,37.500,18.750,33.378,29.827,25.739,7.349,4.775,6.600
A51029,2.610,30.000,40.975,36.592,33.542,10.382,6.766,4.500,8.250,64.264,240.000,9.793,13.647,37.500,18.750,9.793,13.647,18.750,9.793,13.647,37.500,18.750,32.780,29.274,26.834,8.306,5.412,6.600
A51031,2.590,30.000,32.414,28.981,31.232,8.682,6.282,4.500,8.250,59.704,240.000,9.857,13.690,37.500,18.750,9.857,13.690,18.750,9.857,13.690,37.500,18.750,25.931,23.185,24.986,6.945,5.026,6.600
A51033,3.006,30.000,23.919,21.330,33.128,8.765,5.981,4.500,8.250,56.822,240.000,8.690,15.702,37.500,18.750,8.690,15.702,18.750,8.690,15.702,37.500,18.750,19.135,17.064,26.502,7.012,4.785,6.600
A51036,2.940,30.000,26.783,23.869,29.790,8.624,6.112,4.500,8.250,58.056,240.000,10.442,16.427,37.500,18.750,10.442,16.427,18.750,10.442,16.427,37.500,18.750,21.426,19.095,23.832,6.899,4.890,6.600
A51041,3.078,30.000,26.290,23.441,30.991,10.077,6.747,4.500,8.250,64.099,240.000,8.366,16.210,37.500,18.750,8.366,16.210,18.750,8.366,16.210,37.500,18.750,21.032,18.753,24.793,8.061,5.398,6.600
A51043,2.805,30.000,37.785,33.724,34.482,9.342,6.071,4.500,8.250,57.691,240.000,7.682,13.429,37.500,18.750,7.682,13.429,18.750,7.682,13.429,37.500,18.750,30.228,26.979,27.585,7.474,4.857,6.600
A51045,2.464,30.000,36.462,32.572,32.322,9.235,5.733,4.500,8.250,54.497,240.000,11.774,11.545,37.500,18.750,11.774,11.545,18.750,11.774,11.545,37.500,18.750,29.170,26.058,25.857,7.388,4.586,6.600
A51047,2.749,30.000,31.740,28.364,33.125,9.338,6.705,4.500,8.250,63.710,240.000,9.421,14.494,37.500,18.750,9.421,14.494,18.750,9.421,14.494,37.500,18.750,25.392,22.691,26.500,7.470,5.364,6.600
A51049,2.678,30.000,44.068,39.351,33.049,12.273,7.535,4.500,8.250,71.556,240.000,9.716,13.963,37.500,18.750,9.716,13.963,18.750,9.716,13.963,37.500,18.750,35.254,31.481,26.439,9.819,6.028,6.600
A51053,2.834,30.000,27.683,24.651,26.714,11.211,7.027,4.500,8.250,66.695,240.000,9.711,15.714,37.500,18.750,9.711,15.714,18.750,9.711,15.714,37.500,18.750,22.146,19.721,21.371,8.969,5.621,6.600
A51057,2.982,30.000,26.931,24.026,39.261,9.100,6.193,4.500,8.250,58.833,240.000,9.569,15.932,37.500,18.750,9.569,15.932,18.750,9.569,15.932,37.500,18.750,21.545,19.221,31.409,7.280,4.954,6.600
A51059,3.647,30.000,37.794,33.745,32.822,10.840,7.563,4.500,8.250,71.838,240.000,9.202,19.321,37.500,18.750,9.202,19.321,18.750,9.202,19.321,37.500,18.750,30.235,26.996,26.257,8.672,6.051,6.600
A51061,2.918,30.000,30.650,27.369,34.257,9.368,6.328,4.500,8.250,60.124,240.000,9.750,14.943,37.500,18.750,9.750,14.943,18.750,9.750,14.943,37.500,18.750,24.520,21.895,27.406,7.494,5.062,6.600
A51065,2.650,30.000,29.498,26.354,30.172,9.088,6.108,4.500,8.250,58.041,240.000,8.268,13.990,37.500,18.750,8.268,13.990,18.750,8.268,13.990,37.500,18.750,23.599,21.083,24.138,7.270,4.886,6.600
A51069,2.820,30.000,36.580,32.666,34.639,9.469,5.958,4.500,8.250,56.623,240.000,8.159,13.156,37.500,18.750,8.159,13.156,18.750,8.159,13.156,37.500,18.750,29.264,26.132,27.711,7.575,4.767,6.600
A51071,2.605,30.000,37.396,33.394,35.852,9.437,5.656,4.500,8.250,53.756,240.000,13.603,12.612,37.500,18.750,13.603,12.612,18.750,13.603,12.612,37.500,18.750,29.917,26.715,28.681,7.550,4.524,6.600
A51073,2.782,30.000,22.921,20.438,31.401,9.382,6.905,4.500,8.250,65.623,240.000,17.002,16.914,37.500,18.750,17.002,16.914,18.750,17.002,16.914,37.500,18.750,18.336,16.350,25.121,7.506,5.524,6.600
A51075,2.796,30.000,30.094,26.875,31.966,9.957,6.747,4.500,8.250,64.104,240.000,9.515,14.591,37.500,18.750,9.515,14.591,18.750,9.515,14.591,37.500,18.750,24.075,21.500,25.573,7.965,5.398,6.600
