A36043,0.097,0.800,2.124,2.097,2.425,0.847,0.642,0.400,0.700,7.705,85.000,0.843,2.353,7.000,3.500,0.843,2.353,3.500,0.843,2.353,7.000,3.500,1.911,1.888,2.183,0.763,0.578,0.360
A36051,0.100,0.800,1.911,1.885,2.604,0.881,0.764,0.400,0.700,9.166,85.000,0.661,1.874,7.000,3.500,0.661,1.874,3.500,0.661,1.874,7.000,3.500,1.720,1.697,2.343,0.793,0.688,0.360
A36053,0.101,0.800,2.243,2.217,2.570,0.973,0.716,0.400,0.700,8.596,85.000,0.693,2.262,7.000,3.500,0.693,2.262,3.500,0.693,2.262,7.000,3.500,2.018,1.996,2.313,0.876,0.645,0.360
A36065,0.099,0.800,2.027,2.004,2.462,0.896,0.676,0.400,0.700,8.115,85.000,0.760,2.343,7.000,3.500,0.760,2.343,3.500,0.760,2.343,7.000,3.500,1.824,1.804,2.216,0.807,0.609,0.360
A36067,0.103,0.800,2.219,2.197,2.631,1.033,0.914,0.400,0.700,10.965,85.000,0.739,2.269,7.000,3.500,0.739,2.269,3.500,0.739,2.269,7.000,3.500,1.997,1.977,2.368,0.929,0.822,0.360
A36069,0.101,0.800,1.965,1.942,2.648,0.885,0.859,0.400,0.700,10.309,85.000,0.580,1.809,7.000,3.500,0.580,1.809,3.500,0.580,1.809,7.000,3.500,1.768,1.748,2.383,0.797,0.773,0.360
A36077,0.098,0.800,2.049,2.024,2.467,0.840,0.614,0.400,0.700,7.365,85.000,0.775,2.064,7.000,3.500,0.775,2.064,3.500,0.775,2.064,7.000,3.500,1.844,1.822,2.220,0.756,0.553,0.360
A36095,0.098,0.800,1.962,1.938,2.495,0.771,0.653,0.400,0.700,7.828,85.000,0.758,2.110,7.000,3.500,0.758,2.110,3.500,0.758,2.110,7.000,3.500,1.766,1.745,2.245,0.694,0.587,0.360
A36097,0.099,0.800,2.000,1.975,2.498,0.812,0.618,0.400,0.700,7.417,85.000,0.651,1.846,7.000,3.500,0.651,1.846,3.500,0.651,1.846,7.000,3.500,1.800,1.777,2.248,0.731,0.556,0.360
A36101,0.098,0.800,1.883,1.861,2.359,0.692,0.606,0.400,0.700,7.271,85.000,0.499,1.636,7.000,3.500,0.499,1.636,3.500,0.499,1.636,7.000,3.500,1.695,1.675,2.123,0.623,0.546,0.360
A36107,0.098,0.800,2.141,2.115,2.497,0.837,0.635,0.400,0.700,7.618,85.000,0.736,1.893,7.000,3.500,0.736,1.893,3.500,0.736,1.893,7.000,3.500,1.927,1.904,2.247,0.754,0.572,0.360
A36109,0.100,0.800,2.018,1.996,2.599,0.808,0.769,0.400,0.700,9.227,85.000,0.893,2.075,7.000,3.500,0.893,2.075,3.500,0.893,2.075,7.000,3.500,1.816,1.796,2.339,0.727,0.692,0.360
A36123,0.099,0.800,1.977,1.953,2.530,0.823,0.768,0.400,0.700,9.209,85.000,0.610,1.810,7.000,3.500,0.610,1.810,3.500,0.610,1.810,7.000,3.500,1.779,1.758,2.277,0.741,0.691,0.360
A42001,0.105,0.800,2.276,2.257,2.769,1.548,0.979,0.400,0.700,11.753,85.000,0.739,2.169,7.000,3.500,0.739,2.169,3.500,0.739,2.169,7.000,3.500,2.049,2.031,2.492,1.393,0.881,0.360
A42009,0.100,0.800,1.941,1.921,2.511,0.757,0.875,0.400,0.700,10.492,85.000,0.665,1.961,7.000,3.500,0.665,1.961,3.500,0.665,1.961,7.000,3.500,1.747,1.728,2.260,0.681,0.787,0.360
A42011,0.105,0.800,2.047,2.029,2.722,1.574,1.563,0.400,0.700,18.756,85.000,1.133,2.411,7.000,3.500,1.133,2.411,3.500,1.133,2.411,7.000,3.500,1.842,1.826,2.450,1.416,1.407,0.360
A42013,0.102,0.800,1.968,1.947,2.723,1.036,1.553,0.400,0.700,18.632,85.000,0.686,2.075,7.000,3.500,0.686,2.075,3.500,0.686,2.075,7.000,3.500,1.771,1.752,2.451,0.933,1.398,0.360
A42015,0.100,0.800,1.866,1.847,2.508,0.656,0.902,0.400,0.700,10.824,85.000,0.673,1.882,7.000,3.500,0.673,1.882,3.500,0.673,1.882,7.000,3.500,1.679,1.662,2.258,0.590,0.812,0.360
A42021,0.104,0.800,1.964,1.946,2.748,0.708,0.908,0.400,0.700,10.901,85.000,0.877,2.348,7.000,3.500,0.877,2.348,3.500,0.877,2.348,7.000,3.500,1.768,1.751,2.473,0.637,0.818,0.360
A42023,0.099,0.800,5.051,1.476,2.461,3.403,1.828,0.400,0.700,21.946,85.000,0.973,2.414,7.000,3.500,0.973,2.414,3.500,0.973,2.414,7.000,3.500,4.545,1.329,2.215,3.063,1.645,0.360
A42025,0.103,0.800,1.930,1.635,2.610,0.684,0.903,0.400,0.700,10.834,85.000,1.425,2.925,7.000,3.500,1.425,2.925,3.500,1.425,2.925,7.000,3.500,1.737,1.471,2.349,0.616,0.813,0.360
A42027,0.101,0.800,1.848,1.830,2.520,0.808,0.966,0.400,0.700,11.583,85.000,0.484,2.091,7.000,3.500,0.484,2.091,3.500,0.484,2.091,7.000,3.500,1.663,1.647,2.268,0.727,0.869,0.360
A42029,0.107,0.800,1.962,1.947,2.812,1.025,1.267,0.400,0.700,15.205,85.000,0.651,2.402,7.000,3.500,0.651,2.402,3.500,0.651,2.402,7.000,3.500,1.766,1.753,2.531,0.922,1.140,0.360
A42033,0.100,0.800,1.864,1.845,2.542,0.695,0.816,0.400,0.700,9.787,85.000,0.811,2.205,7.000,3.500,0.811,2.205,3.500,0.811,2.205,7.000,3.500,1.677,1.660,2.288,0.625,0.734,0.360
A42035,0.099,0.800,1.826,1.807,2.422,0.904,1.217,0.400,0.700,14.599,85.000,0.831,2.308,7.000,3.500,0.831,2.308,3.500,0.831,2.308,7.000,3.500,1.643,1.626,2.180,0.814,1.095,0.360
A42037,0.101,0.800,1.869,1.851,2.519,0.741,0.920,0.400,0.700,11.042,85.000,0.880,2.264,7.000,3.500,0.880,2.264,3.500,0.880,2.264,7.000,3.500,1.682,1.666,2.267,0.667,0.828,0.360
A42041,0.103,0.800,2.089,2.069,2.663,0.966,1.312,0.400,0.700,15.740,85.000,0.586,2.084,7.000,3.500,0.586,2.084,3.500,0.586,2.084,7.000,3.500,1.880,1.862,2.397,0.870,1.181,0.360
A42043,0.104,0.800,2.131,2.112,2.675,1.434,1.288,0.400,0.700,15.450,85.000,0.642,2.126,7.000,3.500,0.642,2.126,3.500,0.642,2.126,7.000,3.500,1.918,1.901,2.408,1.290,1.159,0.360
A42047,0.100,0.800,1.919,1.901,2.617,0.659,0.764,0.400,0.700,9.168,85.000,0.953,2.371,7.000,3.500,0.953,2.371,3.500,0.953,2.371,7.000,3.500,1.727,1.711,2.355,0.593,0.688,0.360
A42055,0.104,0.800,2.203,2.183,2.740,1.490,1.554,0.400,0.700,18.647,85.000,0.448,2.107,7.000,3.500,0.448,2.107,3.500,0.448,2.107,7.000,3.500,1.983,1.965,2.466,1.341,1.399,0.360
A42057,0.101,0.800,2.113,2.094,2.488,0.853,0.830,0.400,0.700,9.954,85.000,0.667,1.947,7.000,3.500,0.667,1.947,3.500,0.667,1.947,7.000,3.500,1.902,1.884,2.239,0.767,0.747,0.360
A42061,0.100,0.800,1.948,1.927,2.498,0.846,0.919,0.400,0.700,11.021,85.000,0.699,1.981,7.000,3.500,0.699,1.981,3.500,0.699,1.981,7.000,3.500,1.753,1.735,2.248,0.761,0.827,0.360
A42063,0.103,0.800,1.939,1.921,2.589,0.711,0.877,0.400,0.700,10.528,85.000,0.955,2.276,7.000,3.500,0.955,2.276,3.500,0.955,2.276,7.000,3.500,1.745,1.729,2.331,0.640,0.790,0.360
A42065,0.101,0.800,1.853,1.835,2.551,0.672,0.796,0.400,0.700,9.548,85.000,0.982,2.248,7.000,3.500,0.982,2.248,3.500,0.982,2.248,7.000,3.500,1.667,1.651,2.296,0.605,0.716,0.360
A42067,0.102,0.800,2.214,2.193,2.635,2.361,1.276,0.400,0.700,15.313,85.000,0.618,2.035,7.000,3.500,0.618,2.035,3.500,0.618,2.035,7.000,3.500,1.993,1.973,2.371,2.125,1.148,0.360
A42069,0.102,0.800,1.950,1.931,2.657,0.668,0.836,0.400,0.700,10.027,85.000,0.681,2.211,7.000,3.500,0.681,2.211,3.500,0.681,2.211,7.000,3.500,1.755,1.738,2.391,0.601,0.752,0.360
A42071,0.111,0.800,2.696,2.677,2.992,3.260,2.564,0.400,0.700,30.782,85.000,0.450,2.223,7.000,3.500,0.450,2.223,3.500,0.450,2.223,7.000,3.500,2.427,2.409,2.692,2.934,2.308,0.360
A42075,0.109,0.800,2.378,2.358,2.878,3.061,2.091,0.400,0.700,25.107,85.000,0.446,2.270,7.000,3.500,0.446,2.270,3.500,0.446,2.270,7.000,3.500,2.140,2.123,2.590,2.755,1.882,0.360
A42079,0.102,0.800,1.871,1.853,2.606,0.709,0.850,0.400,0.700,10.195,85.000,0.727,2.257,7.000,3.500,0.727,2.257,3.500,0.727,2.257,7.000,3.500,1.684,1.668,2.346,0.638,0.765,0.360
A42081,0.100,0.800,1.817,1.799,2.502,0.776,0.901,0.400,0.700,10.811,85.000,0.892,2.120,7.000,3.500,0.892,2.120,3.500,0.892,2.120,7.000,3.500,1.635,1.619,2.252,0.699,0.811,0.360
A42083,0.101,0.800,1.909,1.916,2.520,0.660,0.688,0.400,0.700,8.257,85.000,1.158,2.590,7.000,3.500,1.158,2.590,3.500,1.158,2.590,7.000,3.500,1.718,1.724,2.268,0.594,0.619,0.360
A42087,0.101,0.800,1.926,1.905,2.632,1.583,1.245,0.400,0.700,14.939,85.000,0.793,2.110,7.000,3.500,0.793,2.110,3.500,0.793,2.110,7.000,3.500,1.733,1.715,2.369,1.425,1.121,0.360
A42093,0.101,0.800,1.875,1.857,2.521,0.877,1.017,0.400,0.700,12.196,85.000,0.758,2.094,7.000,3.500,0.758,2.094,3.500,0.758,2.094,7.000,3.500,1.688,1.671,2.269,0.789,0.915,0.360
A42097,0.102,0.800,1.959,1.940,2.618,1.546,1.055,0.400,0.700,12.665,85.000,0.573,2.153,7.000,3.500,0.573,2.153,3.500,0.573,2.153,7.000,3.500,1.763,1.746,2.356,1.392,0.950,0.360
A42099,0.103,0.800,2.139,2.119,2.599,1.387,1.063,0.400,0.700,12.755,85.000,0.760,2.123,7.000,3.500,0.760,2.123,3.500,0.760,2.123,7.000,3.500,1.925,1.907,2.339,1.248,0.957,0.360
A42105,0.099,0.800,1.862,1.843,2.479,0.649,0.770,0.400,0.700,9.240,85.000,0.877,2.217,7.000,3.500,0.877,2.217,3.500,0.877,2.217,7.000,3.500,1.676,1.659,2.231,0.584,0.693,0.360
A42107,0.103,0.800,2.132,2.113,2.562,1.659,1.060,0.400,0.700,12.716,85.000,0.838,2.410,7.000,3.500,0.838,2.410,3.500,0.838,2.410,7.000,3.500,1.919,1.902,2.306,1.493,0.954,0.360
A42109,0.103,0.800,2.198,2.177,2.611,2.057,1.295,0.400,0.700,15.537,85.000,0.752,2.148,7.000,3.500,0.752,2.148,3.500,0.752,2.148,7.000,3.500,1.978,1.959,2.350,1.851,1.165,0.360
A42111,0.102,0.800,1.932,1.913,2.622,0.679,0.970,0.400,0.700,11.634,85.000,0.840,2.190,7.000,3.500,0.840,2.190,3.500,0.840,2.190,7.000,3.500,1.739,1.721,2.360,0.611,0.873,0.360
A42113,0.102,0.800,1.922,1.903,2.635,0.685,0.874,0.400,0.700,10.486,85.000,1.034,2.290,7.000,3.500,1.034,2.290,3.500,1.034,2.290,7.000,3.500,1.729,1.713,2.371,0.616,0.787,0.360
A42115,0.101,0.800,1.957,1.938,2.522,0.658,0.774,0.400,0.700,9.287,85.000,0.941,2.291,7.000,3.500,0.941,2.291,3.500,0.941,2.291,7.000,3.500,1.761,1.744,2.270,0.592,0.697,0.360
A42117,0.099,0.800,1.850,1.831,2.485,0.597,0.752,0.400,0.700,9.016,85.000,0.660,1.830,7.000,3.500,0.660,1.830,3.500,0.660,1.830,7.000,3.500,1.665,1.648,2.237,0.537,0.676,0.360
A42119,0.102,0.800,1.999,1.980,2.652,1.849,1.553,0.400,0.700,18.634,85.000,1.061,2.303,7.000,3.500,1.061,2.303,3.500,1.061,2.303,7.000,3.500,1.799,1.782,2.387,1.664,1.398,0.360
A42127,0.101,0.800,1.961,1.941,2.558,0.628,0.812,0.400,0.700,9.741,85.000,1.133,2.579,7.000,3.500,1.133,2.579,3.500,1.133,2.579,7.000,3.500,1.765,1.747,2.302,0.566,0.731,0.360
A42131,0.099,0.800,1.804,1.786,2.472,0.607,0.765,0.400,0.700,9.180,85.000,0.596,1.938,7.000,3.500,0.596,1.938,3.500,0.596,1.938,7.000,3.500,1.624,1.608,2.224,0.546,0.689,0.360
A42133,0.105,0.800,2.094,2.075,2.760,1.333,1.063,0.400,0.700,12.755,85.000,0.503,2.134,7.000,3.500,0.503,2.134,3.500,0.503,2.134,7.000,3.500,1.884,1.867,2.484,1.200,0.957,0.360
A51001,0.098,0.800,2.418,2.413,2.155,1.270,0.722,0.400,0.700,8.670,85.000,0.963,2.270,7.000,3.500,0.963,2.270,3.500,0.963,2.270,7.000,3.500,2.176,2.172,1.939,1.143,0.650,0.360
A51003,0.097,0.800,1.818,1.801,2.467,0.679,0.607,0.400,0.700,7.283,85.000,0.521,2.206,7.000,3.500,0.521,2.206,3.500,0.521,2.206,7.000,3.500,1.636,1.621,2.220,0.611,0.546,0.360
A51005,0.094,0.800,2.021,2.001,2.228,0.628,0.493,0.400,0.700,5.907,85.000,0.587,1.817,7.000,3.500,0.587,1.817,3.500,0.587,1.817,7.000,3.500,1.819,1.800,2.005,0.565,0.443,0.360
A51007,0.098,0.800,2.427,2.414,2.341,2.006,0.806,0.400,0.700,9.676,85.000,0.547,2.131,7.000,3.500,0.547,2.131,3.500,0.547,2.131,7.000,3.500,2.184,2.173,2.107,1.805,0.726,0.360
A51009,0.095,0.800,1.781,1.763,2.301,0.643,0.580,0.400,0.700,6.955,85.000,0.506,2.066,7.000,3.500,0.506,2.066,3.500,0.506,2.066,7.000,3.500,1.603,1.587,2.071,0.579,0.522,0.360
A51011,0.097,0.800,1.810,1.794,2.427,0.713,0.647,0.400,0.700,7.764,85.000,0.562,2.122,7.000,3.500,0.562,2.122,3.500,0.562,2.122,7.000,3.500,1.629,1.615,2.185,0.642,0.582,0.360
A51013,0.108,0.800,2.056,2.039,2.623,0.941,0.573,0.400,0.700,6.875,85.000,0.872,2.243,7.000,3.500,0.872,2.243,3.500,0.872,2.243,7.000,3.500,1.850,1.835,2.360,0.847,0.515,0.360
A51015,0.099,0.800,3.055,3.036,2.402,1.479,0.695,0.400,0.700,8.342,85.000,0.391,1.958,7.000,3.500,0.391,1.958,3.500,0.391,1.958,7.000,3.500,2.750,2.733,2.162,1.331,0.626,0.360
A51017,0.093,0.800,2.232,2.210,2.260,0.632,0.516,0.400,0.700,6.187,85.000,0.582,1.944,7.000,3.500,0.582,1.944,3.500,0.582,1.944,7.000,3.500,2.009,1.989,2.034,0.569,0.464,0.360
A51019,0.096,0.800,1.976,1.953,2.335,0.669,0.629,0.400,0.700,7.548,85.000,0.524,2.101,7.000,3.500,0.524,2.101,3.500,0.524,2.101,7.000,3.500,1.778,1.758,2.102,0.602,0.566,0.360
A51023,0.094,0.800,2.374,2.352,2.294,0.653,0.572,0.400,0.700,6.858,85.000,0.599,1.902,7.000,3.500,0.599,1.902,3.500,0.599,1.902,7.000,3.500,2.137,2.117,2.064,0.587,0.515,0.360
A51029,0.096,0.800,2.469,2.448,2.429,1.210,0.714,0.400,0.700,8.565,85.000,0.548,2.026,7.000,3.500,0.548,2.026,3.500,0.548,2.026,7.000,3.500,2.222,2.203,2.186,1.089,0.642,0.360
A51031,0.096,0.800,1.822,1.805,2.260,0.673,0.619,0.400,0.700,7.429,85.000,0.538,2.048,7.000,3.500,0.538,2.048,3.500,0.538,2.048,7.000,3.500,1.640,1.625,2.034,0.606,0.557,0.360
A51033,0.100,0.800,1.815,1.808,2.305,0.719,0.617,0.400,0.700,7.408,85.000,0.404,2.036,7.000,3.500,0.404,2.036,3.500,0.404,2.036,7.000,3.500,1.634,1.628,2.075,0.647,0.556,0.360
A51036,0.099,0.800,2.111,2.104,2.252,0.750,0.650,0.400,0.700,7.807,85.000,0.547,2.172,7.000,3.500,0.547,2.172,3.500,0.547,2.172,7.000,3.500,1.899,1.893,2.026,0.675,0.585,0.360
A51041,0.101,0.800,1.979,1.972,2.466,1.158,0.701,0.400,0.700,8.415,85.000,0.435,2.054,7.000,3.500,0.435,2.054,3.500,0.435,2.054,7.000,3.500,1.782,1.774,2.219,1.042,0.631,0.360
A51043,0.098,0.800,2.420,2.402,2.499,0.742,0.604,0.400,0.700,7.245,85.000,0.401,1.865,7.000,3.500,0.401,1.865,3.500,0.401,1.865,7.000,3.500,2.178,2.162,2.249,0.668,0.544,0.360
A51045,0.095,0.800,2.169,2.151,2.289,0.657,0.551,0.400,0.700,6.611,85.000,0.595,1.818,7.000,3.500,0.595,1.818,3.500,0.595,1.818,7.000,3.500,1.952,1.936,2.060,0.592,0.496,0.360
A51047,0.098,0.800,1.866,1.850,2.432,0.680,0.680,0.400,0.700,8.153,85.000,0.445,2.048,7.000,3.500,0.445,2.048,3.500,0.445,2.048,7.000,3.500,1.680,1.665,2.189,0.612,0.612,0.360
A51049,0.097,0.800,2.650,2.627,2.420,2.157,0.821,0.400,0.700,9.854,85.000,0.546,2.024,7.000,3.500,0.546,2.024,3.500,0.546,2.024,7.000,3.500,2.385,2.364,2.178,1.941,0.739,0.360
A51053,0.098,0.800,2.359,2.354,2.258,2.341,0.816,0.400,0.700,9.807,85.000,0.550,2.153,7.000,3.500,0.550,2.153,3.500,0.550,2.153,7.000,3.500,2.123,2.119,2.032,2.107,0.735,0.360
A51057,0.100,0.800,1.907,1.897,2.445,0.708,0.642,0.400,0.700,7.708,85.000,0.398,2.081,7.000,3.500,0.398,2.081,3.500,0.398,2.081,7.000,3.500,1.716,1.707,2.201,0.637,0.578,0.360
A51059,0.106,0.800,2.335,2.317,2.665,1.175,0.805,0.400,0.700,9.666,85.000,0.403,2.088,7.000,3.500,0.403,2.088,3.500,0.403,2.088,7.000,3.500,2.102,2.085,2.399,1.057,0.725,0.360
A51061,0.099,0.800,1.939,1.925,2.504,0.701,0.640,0.400,0.700,7.684,85.000,0.536,1.993,7.000,3.500,0.536,1.993,3.500,0.536,1.993,7.000,3.500,1.745,1.732,2.253,0.631,0.576,0.360
A51065,0.097,0.800,1.798,1.784,2.420,0.664,0.614,0.400,0.700,7.370,85.000,0.437,2.046,7.000,3.500,0.437,2.046,3.500,0.437,2.046,7.000,3.500,1.618,1.605,2.178,0.598,0.553,0.360
A51069,0.098,0.800,2.245,2.227,2.523,0.753,0.595,0.400,0.700,7.133,85.000,0.441,1.819,7.000,3.500,0.441,1.819,3.500,0.441,1.819,7.000,3.500,2.020,2.004,2.271,0.678,0.535,0.360
A51071,0.096,0.800,2.293,2.275,2.462,0.682,0.549,0.400,0.700,6.589,85.000,0.714,1.882,7.000,3.500,0.714,1.882,3.500,0.714,1.882,7.000,3.500,2.064,2.048,2.215,0.614,0.494,0.360
A51073,0.098,0.800,1.772,1.766,2.384,0.744,0.685,0.400,0.700,8.219,85.000,0.859,2.356,7.000,3.500,0.859,2.356,3.500,0.859,2.356,7.000,3.500,1.595,1.590,2.146,0.670,0.617,0.360
A51075,0.098,0.800,1.901,1.887,2.412,0.808,0.695,0.400,0.700,8.334,85.000,0.516,2.029,7.000,3.500,0.516,2.029,3.500,0.516,2.029,7.000,3.500,1.711,1.698,2.171,0.727,0.625,0.360
