ROMS CELLS,lseg,rseg,weight***
887,N51036,JB0_7271_0000,0.666666666
79,N51095,JB0_7072_0000,0.090909091
47,N51650,YL0_7371_0000,0.2
888,N51095,JB0_7072_0000,0.090909091
70,N51095,JB0_7072_0000,0.090909091
904,N51095,JB0_7072_0000,0.090909091
904,N51830,JB0_7072_0000,1
905,N51095,JB0_7072_0000,0.090909091
905,N51199,JB0_7072_0000,1
908,N51095,JB0_7391_0000,1
908,N51199,JB0_7391_0000,1
71,N51095,JB0_7390_0000,0.5
66,N51095,JB0_7390_0000,0.5
66,N51199,JB0_7390_0000,0.5
66,N51700,JB0_7390_0000,0.045454545
61,N51700,JB0_7390_0000,0.045454545
54,N51700,JB0_7390_0000,0.045454545
863,N51700,JB0_7390_0000,0.045454545
49,N51700,JB0_7390_0000,0.09090909
857,N51700,JB0_7390_0000,0.045454545
858,N51700,JB0_7390_0000,0.045454545
855,N51700,JB0_7390_0000,0.09090909
43,N51700,JB0_7390_0000,0.045454545
847,N51700,JB0_7390_0000,0.045454545
848,N51700,JB0_7390_0000,0.045454545
40,N51650,JB0_7390_0000,1
40,N51700,JB0_7390_0000,0.045454545
35,N51700,JB0_7390_0000,0.09090909
28,N51700,JB0_7390_0000,0.09090909
29,N51700,JB0_7390_0000,0.09090909
29,N51700,JB0_7580_0000,0.333333333
36,N51700,JB0_7580_0000,0.333333333
842,N51700,JB0_7580_0000,0.333333333
41,N51650,JB0_7580_0000,0.083333333
850,N51650,JB0_7580_0000,0.166666666
851,N51650,JB0_7580_0000,0.166666666
50,N51650,YL0_7371_0000,0.2
55,N51650,YL0_7371_0000,0.4
88,N51131,DE0_7130_0000,0.072727272
88,N51131,EL0_7220_0000,0.16
75,N51036,JB0_7050_0000,0.8
75,N51095,JB0_7050_0000,1
46,N51700,JB0_7390_0000,0.045454545
62,N51650,YL0_7371_0000,0.2
859,N51700,JB0_7390_0000,0.045454545
62,N51650,YL0_7372_0000,0.5
49,N51199,JB0_7390_0000,0.5
50,N51650,YL0_7370_0000,0.25
67,N51650,YL0_7370_0000,0.5
67,N51650,YL0_7372_0000,0.5
75,N51127,JB0_7050_0000,0.5
896,N51650,YL0_7370_0000,0.25
896,N51735,YL0_7370_0000,0.3
67,N51735,YL0_7370_0000,0.1
91,N51131,DE0_7130_0000,0.09090909
91,N51131,EL0_7220_0000,0.54
129,N51036,JB0_7050_0000,0.2
129,N51127,JB0_7050_0000,0.5
72,N51735,YL0_7370_0000,0.1
81,N51199,YL0_7370_0000,0.333333324
81,N51700,YL0_7370_0000,1
81,N51735,YL0_7370_0000,0.1
893,N51199,YL0_7370_0000,0.083333331
893,N51735,YL0_7370_0000,0.1
894,N51735,YL0_7370_0000,0.2
895,N51735,YL0_7370_0000,0.1
96,N51131,DE0_7130_0000,0.036363636
96,N51131,EL0_7220_0000,0.1
84,N51199,YL0_7370_0000,0.166666662
962,N51131,EL0_7060_0000,0.275
96,N51131,EL0_7060_0000,0.025
941,N51199,YL0_7370_0000,0.166666662
963,N51131,EL0_7060_0000,0.55
228,N51085,YP5_6780_0000,0.25
228,N51101,YP5_6780_0000,0.142857143
139,N51085,YP5_6780_0000,0.75
139,N51101,YP5_6780_0000,0.857142858
139,N51127,YP5_6780_0000,0.999999999
139,N51101,YP0_6781_0000,0.875
139,N51127,YP0_6781_0000,1
134,N51101,YP0_6781_0000,0.125
134,N51101,YP0_6782_0000,0.222222222
134,N51127,YP0_6782_0000,0.25
139,N51101,YP0_6782_0000,0.777777777
139,N51127,YP0_6782_0000,0.75
139,N51127,YP0_6783_0000,1
134,N51127,YL0_6930_0000,0.25
129,N51127,YL0_6930_0000,0.25
1013,N51127,YL0_6930_0000,0.25
124,N51127,YL0_6930_0000,0.25
124,N51095,YL0_6930_0000,0.125
117,N51095,YL0_6930_0000,0.25
993,N51095,YL0_6930_0000,0.125
110,N51095,YL0_6930_0000,0.25
982,N51095,YL0_6930_0000,0.125
103,N51095,YL0_6930_0000,0.125
103,N51199,YL0_6930_0000,0.25
953,N51199,YL0_6930_0000,0.125
98,N51199,YL0_6930_0000,0.25
943,N51199,YL0_6930_0000,0.125
93,N51199,YL0_6930_0000,0.25
93,N51830,YL0_6930_0000,1
93,N51199,YL0_6929_0000,0.5
931,N51199,YL0_6929_0000,0.5
931,N51199,YL0_6931_0000,0.0625
90,N51199,YL0_6931_0000,0.1875
927,N51199,YL0_6931_0000,0.0625
87,N51199,YL0_6931_0000,0.1875
915,N51199,YL0_6931_0000,0.0625
916,N51199,YL0_6931_0000,0.125
917,N51199,YL0_6931_0000,0.0625
918,N51199,YL0_6931_0000,0.0625
919,N51199,YL0_6931_0000,0.125
920,N51199,YL0_6931_0000,0.0625
920,N51199,YL0_7370_0000,0.083333331
921,N51199,YL0_7370_0000,0.083333331
940,N51199,YL0_7370_0000,0.083333331
134,N51101,YP0_6783_0000,0.666666666
101,N51131,EL0_7060_0000,0.125
135,N51101,YP0_6783_0000,0.333333333
228,N51097,YM0_6622_0000,0.4
228,N51101,YM0_6622_0000,0.4
222,N51097,YM0_6622_0000,0.2
222,N51101,YM0_6622_0000,0.2
212,N51097,YM0_6622_0000,0.2
212,N51101,YM0_6622_0000,0.2
139,N51097,YM0_6622_0000,0.2
139,N51101,YM0_6622_0000,0.2
139,N51097,YM0_6623_0000,0.999999999
139,N51101,YM0_6623_0000,0.999999999
139,N51097,YM0_6621_0000,0.714285715
139,N51101,YM0_6621_0000,0.833333335
1035,N51097,YM0_6621_0000,0.285714286
1035,N51101,YM0_6621_0000,0.166666667
1035,N51097,YP0_6783_0000,1
135,N51097,YL0_6930_0000,0.285714286
1013,N51097,YL0_6930_0000,0.142857143
130,N51097,YL0_6930_0000,0.142857143
1005,N51097,YL0_6930_0000,0.285714286
993,N51073,YL0_6930_0000,0.142857142
993,N51097,YL0_6930_0000,0.142857143
118,N51073,YL0_6930_0000,0.071428571
982,N51073,YL0_6930_0000,0.142857142
983,N51073,YL0_6930_0000,0.142857142
969,N51073,YL0_6930_0000,0.214285713
104,N51073,YL0_6930_0000,0.071428571
955,N51073,YL0_6930_0000,0.142857142
99,N51073,YL0_6930_0000,0.071428571
945,N51073,YL0_6932_0000,0.105263158
946,N51073,YL0_6932_0000,0.105263158
94,N51073,YL0_6932_0000,0.052631579
933,N51073,YL0_6932_0000,0.105263158
934,N51073,YL0_6932_0000,0.105263158
935,N51073,YL0_6932_0000,0.105263158
935,N51073,YL0_6931_0000,0.666666666
936,N51073,YL0_6932_0000,0.052631579
937,N51073,YL0_6932_0000,0.052631579
938,N51073,YL0_6932_0000,0.105263158
939,N51073,YL0_6932_0000,0.105263158
939,N51073,YL0_6931_0000,0.333333333
940,N51073,YL0_6932_0000,0.052631579
941,N51073,YL0_6932_0000,0.052631579
941,N51073,YL0_7230_0000,0.071428571
95,N51073,YL0_7230_0000,0.214285713
960,N51115,YL0_6872_0000,0.0625
108,N51131,EL0_7060_0000,0.025
959,N51115,YL0_6872_0000,0.125
961,N51115,YL0_6871_0000,0.142857142
115,N51131,EL0_6920_0000,0.125
100,N51073,YL0_7230_0000,0.142857142
106,N51115,YL0_6872_0000,0.125
957,N51073,YL0_7230_0000,0.571428571
973,N51115,YL0_6872_0000,0.0625
107,N51115,YL0_6871_0000,0.214285713
988,N51131,EL0_6920_0000,0.166666667
100,N51073,YL0_7010_0000,0.166666667
972,N51115,YL0_6872_0000,0.125
106,N51115,YL0_6871_0000,0.071428571
122,N51131,EL0_6920_0000,0.3125
998,N51131,EL0_6920_0000,0.395833333
119,N51073,YL0_7010_0000,0.5
112,N51073,YL0_7010_0000,0.166666667
986,N51073,YL0_7010_0000,0.166666667
114,N51115,YL0_6871_0000,0.214285713
986,N51073,YL0_6872_0000,0.5
986,N51115,YL0_6872_0000,0.125
113,N51115,YL0_6872_0000,0.25
995,N51073,YL0_6872_0000,0.5
995,N51115,YL0_6872_0000,0.0625
120,N51115,YL0_6872_0000,0.0625
121,N51115,YL0_6871_0000,0.142857142
127,N51131,EL0_6610_0000,0.05
1008,N51131,EL0_6610_0000,0.15
1023,N51131,EL0_6610_0000,0.55
126,N51115,YL0_6871_0000,0.071428571
126,N51115,YL0_6870_0000,0.125
132,N51131,EL0_6610_0000,0.075
1018,N51115,YL0_6870_0000,0.1875
1019,N51115,YL0_6870_0000,0.1875
1020,N51115,YL0_6870_0000,0.25
1017,N51115,YL0_6870_0000,0.125
137,N51131,EL0_6610_0000,0.025
131,N51115,YL0_6871_0000,0.071428571
1030,N51001,EL0_6610_0000,0.015625
1030,N51131,EL0_6610_0000,0.05
1031,N51001,EL0_6610_0000,0.065625
1031,N51131,EL0_6610_0000,0.05
1047,N51001,EL0_6610_0000,0.45
1047,N51131,EL0_6610_0000,0.05
1110,N51119,RL0_6500_0000,0.117647058
1026,N51115,YL0_6581_0000,0.5
1028,N51115,YL0_6870_0000,0.0625
1029,N51115,YL0_6871_0000,0.071428571
137,N51001,EL0_6610_0000,0.015625
154,N51119,RL0_6500_0000,0.235294116
1029,N51115,YL0_6870_0000,0.0625
142,N51001,EL0_6610_0000,0.096875
1045,N51001,EL0_6610_0000,0.015625
1046,N51001,EL0_6610_0000,0.015625
150,N51119,RL0_6500_0000,0.117647058
1055,N51073,YL0_6581_0000,0.5
1055,N51119,YL0_6581_0000,0.1
1037,N51073,YL0_6581_0000,0.5
1037,N51119,YL0_6581_0000,0.2
1037,N51115,YL0_6581_0000,0.25
136,N51115,YL0_6581_0000,0.25
136,N51119,YL0_6581_0000,0.1
1025,N51119,YL0_6581_0000,0.1
1041,N51119,YL0_6581_0000,0.1
1042,N51119,YL0_6581_0000,0.1
1043,N51119,YL0_6581_0000,0.1
141,N51119,YL0_6581_0000,0.2
188,N51057,RL0_6501_0000,0.25
180,N51057,RL0_6500_0000,0.4
180,N51057,RL0_6501_0000,0.25
1123,N51057,RL0_6500_0000,0.2
1124,N51057,RL0_6500_0000,0.2
176,N51057,RL0_6500_0000,0.2
176,N51119,RL0_6500_0000,0.058823529
1115,N51119,RL0_6500_0000,0.058823529
172,N51119,RL0_6500_0000,0.117647058
168,N51119,RL0_6500_0000,0.117647058
160,N51119,RL0_6500_0000,0.176470587
150,N51119,RL0_6531_0000,0.05
147,N51119,RL0_6531_0000,0.05
1082,N51119,RL0_6531_0000,0.15
1083,N51119,RL0_6531_0000,0.05
1057,N51119,RL0_6531_0000,0.05
1058,N51119,RL0_6531_0000,0.05
1069,N51119,RL0_6531_0000,0.05
1059,N51119,RL0_6531_0000,0.05
144,N51119,RL0_6531_0000,0.15
1038,N51119,RL0_6531_0000,0.05
1039,N51119,RL0_6531_0000,0.05
1040,N51119,RL0_6531_0000,0.05
1041,N51119,RL0_6531_0000,0.05
1042,N51119,RL0_6531_0000,0.05
1043,N51119,RL0_6531_0000,0.05
1043,N51119,RL0_6530_0000,1
141,N51119,RL0_6531_0000,0.05
145,N51001,EL0_6610_0000,0.078125
1061,N51001,EL0_6610_0000,0.046875
1062,N51001,EL0_6610_0000,0.1
1064,N51001,EL0_6610_0000,0.1
212,N51057,RL5_6321_0000,0.333333334
212,N51057,RL5_6320_0000,1
204,N51057,RL5_6321_0000,0.166666667
198,N51057,RL5_6321_0000,0.166666667
198,N51057,RL0_6501_0000,0.25
192,N51057,RL0_6501_0000,0.25
228,N51057,RL5_6072_0000,0.5
222,N51057,RL5_6321_0000,0.166666667
218,N51057,RL5_6321_0000,0.166666667
242,N51057,RL5_6071_0000,0.285714286
236,N51057,RL5_6071_0000,0.142857143
1250,N51057,RL5_6072_0000,0.5
148,N51001,EL0_6550_0000,0.15
1076,N51001,EL0_6550_0000,0.1
1077,N51001,EL0_6550_0000,0.2
1079,N51001,EL0_6550_0000,0.55
346,N51033,RL5_6070_0000,0.55555556
346,N51057,RL5_6070_0000,0.166666667
312,N51057,RL5_6070_0000,0.333333334
260,N51057,RL5_6070_0000,0.500000001
260,N51057,RL5_6071_0000,0.428571429
250,N51057,RL5_6071_0000,0.142857143
354,N51177,RL5_6070_0000,1
354,N51179,RL5_6070_0000,1
354,N51630,RL5_6070_0000,1
354,N51033,RL5_6070_0000,0.444444448
354,N51099,RL5_6070_0000,0.294117645
346,N51099,RL5_6070_0000,0.647058819
1076,N51001,EL0_6480_0000,0.0666667
312,N51099,RL5_6070_0000,0.058823529
312,N51193,RL5_6070_0000,0.25
260,N51193,RL5_6070_0000,0.75
260,N51193,RL5_6071_0000,1
260,N51159,RL5_6071_0000,0.25
251,N51159,RL5_6071_0000,0.25
243,N51159,RL5_6071_0000,0.25
237,N51159,RL5_6071_0000,0.25
237,N51159,RL5_6072_0000,0.5
1250,N51159,RL5_6072_0000,0.5
229,N51159,RL1_6322_0000,1
229,N51193,RL1_6322_0000,1
218,N51159,RL5_6321_0000,0.2
212,N51159,RL5_6321_0000,0.2
219,N51159,RL5_6321_0000,0.2
213,N51159,RL5_6321_0000,0.2
205,N51159,RL5_6321_0000,0.2
199,N51133,RL0_6501_0000,1
199,N51159,RL0_6501_0000,0.666666666
199,N51193,RL0_6501_0000,1
193,N51159,RL0_6501_0000,0.222222222
1174,N51159,RL0_6501_0000,0.111111111
189,N51159,RL0_6500_0000,0.045454545
181,N51159,RL0_6500_0000,0.43181818
1127,N51103,RL0_6500_0000,0.15
177,N51103,RL0_6500_0000,0.2
173,N51103,RL0_6500_0000,0.2
169,N51103,RL0_6500_0000,0.15
1097,N51103,RL0_6500_0000,0.1
155,N51103,RL0_6500_0000,0.15
155,N51103,RL0_6531_0000,0.055555556
1082,N51103,RL0_6531_0000,0.111111112
1084,N51103,RL0_6531_0000,0.111111112
151,N51103,RL0_6531_0000,0.055555556
1069,N51103,RL0_6531_0000,0.055555556
1070,N51103,RL0_6531_0000,0.055555556
1071,N51103,RL0_6531_0000,0.055555556
1072,N51103,RL0_6531_0000,0.111111112
1073,N51103,RL0_6531_0000,0.055555556
1074,N51103,RL0_6531_0000,0.055555556
1075,N51103,RL0_6531_0000,0.222222224
153,N51001,EL0_6480_0000,0.1333334
1149,N51159,RL0_6500_0000,0.09090909
1126,N51103,RL0_6500_0000,0.05
1126,N51159,RL0_6500_0000,0.045454545
1083,N51103,RL0_6531_0000,0.055555556
1075,N51103,RL0_6451_0000,1
1086,N51001,EL0_6480_0000,0.111111069
1088,N51001,EL0_6480_0000,0.555555429
1127,N51159,RL0_6500_0000,0.09090909
156,N51103,RL0_6530_0000,0.047619048
157,N51103,RL0_6530_0000,0.142857144
152,N51103,RL0_6450_0000,0.4
1075,N51103,RL0_6450_0000,0.1
1099,N51103,RL0_6530_0000,0.047619048
1090,N51103,RL0_6450_0000,0.1
159,N51001,EL0_6480_0000,0.1333334
177,N51159,RL0_6500_0000,0.295454545
162,N51103,RL0_6530_0000,0.380952381
163,N51103,RL0_6530_0000,0.380952381
158,N51103,RL0_6450_0000,0.3
163,N51133,RL0_6530_0000,1
159,N51001,EL0_6191_0000,0.057142857
158,N51133,RL0_6450_0000,0.028571429
1089,N51103,RL0_6450_0000,0.1
1089,N51133,RL0_6450_0000,0.057142858
165,N51001,EL0_6191_0000,0.114285714
164,N51133,RL0_6450_0000,0.085714287
1102,N51001,EL0_6191_0000,0.057142857
1103,N51001,EL0_6191_0000,0.057142857
166,N51001,EL0_6191_0000,0.657142857
1093,N51001,EL0_6190_0000,0.083333333
1093,N51001,EL0_6191_0000,0.057142857
170,N51133,RL0_6450_0000,0.142857145
167,N51001,EL0_6190_0000,0.083333333
171,N51001,EL0_6190_0000,0.249999999
1121,N51001,EL0_6190_0000,0.083333333
175,N51001,EL0_6190_0000,0.083333333
1119,N51133,RL0_6450_0000,0.114285716
179,N51001,EL0_6190_0000,0.083333333
1129,N51133,RL0_6450_0000,0.028571429
1142,N51001,EL0_6190_0000,0.083333333
1144,N51001,EL0_6190_0000,0.083333333
1145,N51001,EL0_6190_0000,0.083333333
1147,N51001,EL0_5973_0000,1
1147,N51001,EL0_6190_0000,0.083333333
1147,N51001,EL3_5972_0000,0.5
1170,N24039,EL3_5974_0000,0.040909091
1172,N24039,EL0_6010_0000,0.5
187,N24039,EL0_6010_0000,0.5
1147,N24039,EL3_5971_0000,0.25
187,N24039,EL3_5971_0000,0.75
187,N24047,EL3_5972_0000,1
187,N51001,EL3_5972_0000,0.5
187,N24047,EL3_5971_0000,1
187,N24039,EL3_5970_0000,1
187,N24047,EL3_5970_0000,1
187,N24047,EL3_5870_0000,1
187,N24047,EL0_5271_0000,1
187,N24047,EL1_5660_0000,1
182,N51133,RL0_6450_0000,0.114285716
1151,N51133,RL0_6450_0000,0.028571429
1152,N51133,RL0_6450_0000,0.028571429
1153,N51133,RL0_6450_0000,0.028571429
1154,N51133,RL0_6450_0000,0.028571429
178,N51133,RL0_6450_0000,0.028571429
1132,N51133,RL0_6450_0000,0.114285716
1133,N51133,RL0_6450_0000,0.028571429
1168,N24039,EL3_5974_0000,0.281818182
1134,N51133,RL0_6450_0000,0.057142858
1179,N51001,EL0_5896_0000,0.181818182
1165,N24039,EL3_5974_0000,0.040909091
1167,N24039,EL3_5974_0000,0.040909091
1135,N51133,RL0_6450_0000,0.028571429
1178,N51001,EL0_5896_0000,0.272727273
1180,N51001,EL0_5896_0000,0.272727273
1162,N24039,EL3_5974_0000,0.040909091
1164,N24039,EL3_5974_0000,0.040909091
1156,N51133,RL0_6450_0000,0.057142858
1181,N51001,EL0_5896_0000,0.272727273
186,N24039,EL3_5974_0000,0.040909091
1158,N24039,EL3_5974_0000,0.040909091
1161,N24039,EL3_5974_0000,0.190909091
1157,N24039,EL0_6011_0000,0.12500004
186,N24039,EL0_6011_0000,0.08333336
1160,N24039,EL3_5974_0000,0.040909091
1331,N51193,PL0_6130_0000,0.376923076
230,N51133,PL0_6140_0000,0.466666666
230,N51193,PL0_6140_0000,0.444444444
190,N51133,PL0_6271_0000,0.3
1201,N24039,EL3_5974_0000,0.2
472,N51059,PL0_5251_0000,0.090909091
472,N51153,PL0_5251_0000,0.2
1311,N51193,PL0_6130_0000,0.238461538
1184,N51133,PL0_6271_0000,0.1
1185,N51133,PL0_6271_0000,0.1
1176,N51133,PL0_6271_0000,0.3
185,N24039,EL0_6011_0000,0.08333336
466,N51059,PL0_5251_0000,0.272727273
466,N51153,PL0_5251_0000,0.2
402,N51179,PL0_5850_0000,0.8
354,N51099,PL0_5920_0000,0.666666666
312,N51193,PL0_6100_0000,0.5
1330,N51193,PL0_6130_0000,0.038461538
1240,N51133,PL0_6140_0000,0.333333333
354,N51179,PL0_5900_0000,1.000000001
278,N51193,PL0_6130_0000,0.038461538
1332,N51193,PL0_6130_0000,0.038461538
270,N51193,PL0_6130_0000,0.076923076
271,N51193,PL0_6130_0000,0.076923076
1252,N51133,PL0_6140_0000,0.2
1216,N51133,PL0_6270_0000,0.25
194,N51133,PL0_6272_0000,0.125
194,N51133,PL0_6271_0000,0.2
191,N24039,EL0_6011_0000,0.12500004
1190,N24039,EL0_6011_0000,0.291666755
460,N51059,PL0_5251_0000,0.363636364
460,N51153,PL0_5251_0000,0.3
396,N51179,PL0_5850_0000,0.15
354,N51099,PL0_5900_0000,0.999999999
370,N51099,PL0_5920_0000,0.083333333
362,N51099,PL0_5920_0000,0.083333333
346,N51099,PL0_5920_0000,0.083333333
346,N51099,PL0_5923_0000,0.5
338,N51099,PL0_5923_0000,0.5
338,N51099,PL0_6100_0000,1
338,N51193,PL0_6100_0000,0.25
338,N51193,PL0_6101_0000,0.142857143
330,N51193,PL0_6101_0000,0.142857143
302,N51193,PL0_6101_0000,0.285714286
302,N51193,PL0_6100_0000,0.25
294,N51193,PL0_6101_0000,0.285714286
1353,N51193,PL0_6101_0000,0.142857143
1353,N51193,PL0_6131_0000,0.333333333
1354,N51193,PL0_6131_0000,0.333333333
1355,N51193,PL0_6130_0000,0.038461538
1355,N51193,PL0_6131_0000,0.333333333
286,N51193,PL0_6130_0000,0.038461538
1333,N51193,PL0_6130_0000,0.038461538
1252,N51193,PL0_6140_0000,0.111111111
1252,N51133,PL0_6272_0000,0.0625
220,N51133,PL0_6270_0000,0.053571429
200,N51133,PL0_6270_0000,0.107142858
200,N51133,PL0_6272_0000,0.125
1185,N51133,PL0_6272_0000,0.0625
436,N51153,PL0_5491_0000,0.5
388,N51179,PL0_5850_0000,0.05
354,N51099,PL0_5901_0000,1
376,N51099,PL0_5904_0000,0.833333334
376,N51099,PL0_5921_0000,0.500000001
262,N51193,PL0_6140_0000,0.111111111
252,N51193,PL0_6140_0000,0.222222222
252,N51193,PL0_6141_0000,0.333333334
238,N51193,PL0_6141_0000,0.166666667
1242,N51133,PL0_6272_0000,0.0625
224,N51133,PL0_6270_0000,0.107142858
224,N51133,PL0_6272_0000,0.0625
1218,N51133,PL0_6270_0000,0.053571429
214,N51133,PL0_6270_0000,0.160714287
214,N51133,PL0_6272_0000,0.1875
1205,N51133,PL0_6270_0000,0.053571429
1205,N51133,PL0_6272_0000,0.0625
1206,N51133,PL0_6270_0000,0.053571429
1206,N51133,PL0_6272_0000,0.0625
206,N51133,PL0_6270_0000,0.107142858
206,N51133,PL0_6272_0000,0.125
1194,N51133,PL0_6270_0000,0.053571429
1194,N51133,PL0_6272_0000,0.0625
1188,N24039,EL0_6011_0000,0.04166668
1213,N24039,EL0_6003_0000,0.166666666
217,N24039,EL0_6003_0000,0.233333333
1249,N24039,EL0_6003_0000,0.4
472,N51059,PL0_5131_0000,0.9
472,N51600,PL0_5131_0000,1
454,N51153,PL0_5251_0000,0.3
454,N51153,PL0_5491_0000,0.4
426,N51153,PL0_5493_0000,1
426,N51179,PL0_5493_0000,0.25
426,N51179,PL0_5494_0000,0.5
416,N51179,PL0_5493_0000,0.25
416,N51179,PL0_5494_0000,0.5
408,N51179,PL0_5493_0000,0.5
408,N51179,PL0_5491_0000,1
402,N51179,PL0_5495_0000,0.5
396,N51179,PL0_5495_0000,0.5
354,N51179,PL0_5851_0000,1
354,N51099,PL0_5902_0000,0.999999999
354,N51099,PL0_5903_0000,1
354,N51099,PL0_5904_0000,0.166666667
