land,for,hvf,pas,npa,urs,afo,trp,alf,nal,hyw,nhy,hyo,hom,nho,hwm,nhi,lwm,nlo,pul,puh,ext,bar,iml,imh,css
A42033,,,MVR,MVR,FV,M,MV,FVTUR,FVTUR,FMVLTR,FMVLTUR,VTU,FVPLTUR,FVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FV,FV
A42035,,,MVR,MVR,FV,M,MV,FVTUR,FVTUR,FMVLTR,FMVLTUR,VTU,FVPLTUR,FVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FV,FV
A42037,,,MVR,MVR,FV,M,MV,FVTUR,FVTUR,FMVLTR,FMVLTUR,VTU,FVPLTUR,FVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FV,FV
A42041,,,MVR,MVR,FV,M,MV,FVTUR,FVTUR,FMVLTR,FMVLTUR,VTU,FVPLTUR,FVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FV,FV
A42043,,,MVR,MVR,FV,M,MV,FVTUR,FVTUR,FMVLTR,FMVLTUR,VTU,FVPLTUR,FVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FV,FV
A42047,,,MVR,MVR,FV,M,MV,FVTUR,FVTUR,FMVLTR,FMVLTUR,VTU,FVPLTUR,FVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FV,FV
A42055,,,MVR,MVR,FV,M,MV,FVTUR,FVTUR,FMVLTR,FMVLTUR,VTU,FVPLTUR,FVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FV,FV
A42057,,,MVR,MVR,FV,M,MV,FVTUR,FVTUR,FMVLTR,FMVLTUR,VTU,FVPLTUR,FVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FV,FV
A42061,,,MVR,MVR,FV,M,MV,FVTUR,FVTUR,FMVLTR,FMVLTUR,VTU,FVPLTUR,FVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FV,FV
A42063,,,MVR,MVR,FV,M,MV,FVTUR,FVTUR,FMVLTR,FMVLTUR,VTU,FVPLTUR,FVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FV,FV
A42065,,,MVR,MVR,FV,M,MV,FVTUR,FVTUR,FMVLTR,FMVLTUR,VTU,FVPLTUR,FVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FV,FV
A42067,,,MVR,MVR,FV,M,MV,FVTUR,FVTUR,FMVLTR,FMVLTUR,VTU,FVPLTUR,FVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FV,FV
A42069,,,MVR,MVR,FV,M,MV,FVTUR,FVTUR,FMVLTR,FMVLTUR,VTU,FVPLTUR,FVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FV,FV
A42071,,,MVR,MVR,FV,M,MV,FVTUR,FVTUR,FMVLTR,FMVLTUR,VTU,FVPLTUR,FVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FV,FV
A42075,,,MVR,MVR,FV,M,MV,FVTUR,FVTUR,FMVLTR,FMVLTUR,VTU,FVPLTUR,FVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FV,FV
