TABLE->,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2
VARS->,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,IAMSU,INO3,ISLON,ISRON,AGPLTN,LITTRN
A37169,15,1,0.03,0.3,0,50,300,5,0.5,2,0,550,200,5,1,8,0,300,100,6,0.5,1,0,100,0,0,0,0,na,na
A37171,15,1,0.03,0.3,0,50,300,5,0.5,2,0,550,200,5,1,8,0,300,100,6,0.5,1,0,100,0,0,0,0,na,na
A37181,15,1,0.03,0.3,0,50,300,5,0.5,2,0,550,200,5,1,8,0,300,100,6,0.5,1,0,100,0,0,0,0,na,na
A37185,15,1,0.03,0.3,0,50,300,5,0.5,2,0,550,200,5,1,8,0,300,100,6,0.5,1,0,100,0,0,0,0,na,na
A37189,15,1,0.03,0.3,0,50,300,5,0.5,2,0,550,200,5,1,8,0,300,100,6,0.5,1,0,100,0,0,0,0,na,na
A42001,2.077500,1,0.03,0.3,0,50,496.0310,5,0.5,2,0,550,13.35500,5,1,8,0,300,0.753500,6,0.5,1,0,100,0,0,0,0,na,na
A42009,4.845000,1,0.03,0.3,0,50,589.5380,5,0.5,2,0,550,32.70800,5,1,8,0,300,3.206500,6,0.5,1,0,100,0,0,0,0,na,na
A42011,1.041000,1,0.03,0.3,0,50,553.1450,5,0.5,2,0,550,42.05300,5,1,8,0,300,3.848000,6,0.5,1,0,100,0,0,0,0,na,na
A42013,5.180000,1,0.03,0.3,0,50,595.7075,5,0.5,2,0,550,61.88600,5,1,8,0,300,5.338500,6,0.5,1,0,100,0,0,0,0,na,na
A42015,3.627000,1,0.03,0.3,0,50,564.3980,5,0.5,2,0,550,20.61950,5,1,8,0,300,1.864500,6,0.5,1,0,100,0,0,0,0,na,na
A42021,6.814000,1,0.03,0.3,0,50,456.7710,5,0.5,2,0,550,22.31100,5,1,8,0,300,1.991500,6,0.5,1,0,100,0,0,0,0,na,na
A42023,0.607500,1,0.03,0.3,0,50,1478.506,5,0.5,2,0,550,16.10100,5,1,8,0,300,1.300500,6,0.5,1,0,100,0,0,0,0,na,na
A42025,3.274000,1,0.03,0.3,0,50,451.7650,5,0.5,2,0,550,13.02450,5,1,8,0,300,1.494000,6,0.5,1,0,100,0,0,0,0,na,na
A42027,4.081500,1,0.03,0.3,0,50,143.2685,5,0.5,2,0,550,168.8020,5,1,8,0,300,12.81850,6,0.5,1,0,100,0,0,0,0,na,na
A42029,2.494500,1,0.03,0.3,0,50,429.5175,5,0.5,2,0,550,98.55650,5,1,8,0,300,10.11850,6,0.5,1,0,100,0,0,0,0,na,na
A42033,14.06000,1,0.03,0.3,0,50,435.1100,5,0.5,2,0,550,30.15650,5,1,8,0,300,2.662000,6,0.5,1,0,100,0,0,0,0,na,na
