river,cal5 name  ***
NR5_8870_8760,NEW R
NR5_9050_8870,NEW R
NR5_9080_9050,NEW R
NR6_7820_0003,"NEW RIVER AT RADFORD, VA"
NR6_7820_7960,NEW R
NR6_7960_8050,NEW R
NR6_8050_8051,NEW R
NR6_8051_8000,"NEW RIVER AT GLEN LYN, VA"
NR6_8170_7960,WALKER CR
NR6_8180_8051,WOLF CR
NR6_8500_0003,"NEW RIVER AT ALLISONIA, VA"
NR6_8500_7820,CLAYTOR DAM
NR6_8640_8500,NEW R
OD1_8910_8930,"SOUTH MAYO RIVER NEAR NETTLERIDGE, VA"
OD1_9270_9110,NEATMANS CR
OD2_8560_8630,"SMITH RIVER NEAR PHILPOTT, VA"
OD2_8670_8890,"SANDY RIVER NEAR DANVILLE, VA"
OD2_8830_8710,"HYCO RIVER NEAR DENNISTON, VA"
OD2_8840_9020,"DAN RIVER NEAR FRANCISCO, NC"
OD2_8920_8830,"HYCO R BL ABAY D NR MCGEHEES MILL, NC"
OD3_8340_8520,"BANISTER RIVER AT HALIFAX, VA"
OD3_8520_8621,BANISTER R
OD3_8630_8720,"SMITH RIVER AT BASSETT, VA"
OD3_8710_8470,HYCO R
OD3_8720_8900,"SMITH RIVER AT EDEN, NC"
OD3_8850_8931,"NORTH MAYO RIVER NEAR SPENCER, VA"
OD3_8930_8931,S MAYO R
OD3_8931_9140,MAYO R
OD3_9020_9110,DAN R
OD4_8990_8900,DAN R
OD4_9110_9140,DAN R
OD4_9140_8990,"DAN RIVER NEAR WENTWORTH, NC"
OD5_8770_0003,"DAN RIVER AT DANVILLE, VA"
OD5_8770_8780,DAN R
OD5_8780_8660,"DAN RIVER AT PACES, VA"
OD5_8890_8770,SANDY R
OD5_8900_8770,DAN R
OD5_8940_8780,COUNTRY LINE CR
OD6_8621_8470,DAN R
OD6_8660_8621,DAN R
OR1_7700_7980,"CUB CREEK AT PHENIX, VA"
OR1_8280_8020,"S F ROANOKE RIVER NEAR SHAWSVILLE, VA"
OR1_8320_8271,"BLACKWATER RIVER NEAR ROCKY MOUNT, VA"
OR2_7610_7780,"BIG OTTER RIVER NEAR EVINGTON, VA"
OR2_7650_8070,"GOOSE CREEK NEAR HUDDLESTON, VA"
OR2_7670_7840,"FALLING RIVER NEAR NARUNA, VA"
OR2_7780_7890,BIG OTTER R
OR2_7840_7970,FALLING R
OR2_7900_7740,"ROANOKE RIVER AT ROANOKE, VA"
OR2_8020_8130,"ROANOKE RIVER AT LAFAYETTE, VA"
OR2_8070_8120,GOOSE CR
OR2_8130_7900,"ROANOKE RIVER AT GLENVAR, VA"
OR2_8450_8490,ALLENS CR
OR2_8460_8271,"PIGG RIVER NEAR SANDY LEVEL, VA"
OR3_7740_8271,"ROANOKE RIVER AT NIAGARA, VA"
OR4_8120_7890,"ROANOKE RIVER AT ALTAVISTA, VA"
OR4_8271_8120,SMITH MOUNTAIN AND LEESVILLE DAMS
OR5_7890_7970,"ROANOKE (STAUNTON) RIVER AT BROOKNEAL, VA"
OR5_7910_8410,ROANOKE CR
OR5_7970_8200,ROANOKE R
OR5_7980_8200,CLUB CR
OR5_8200_8370,"ROANOKE (STAUNTON) RIVER AT RANDOLPH, VA"
OR5_8370_8410,ROANOKE R
OR5_8410_8470,ROANOKE R
OR7_8470_8490,JOHN H. KERR DAM
PL0_4510_0001,"NW BRANCH ANACOSTIA RIVER NEAR HYATTSVILLE, MD"
