landseg,SORGN,UORGN,LROGN,AORGN
A42011,     0.000,   162.108,    72.132,     0.896
F42133,     0.000,    76.088,    52.284,     0.388
F42075,     0.000,   138.229,    67.103,     0.976
F42071,     0.000,   221.058,    73.635,     0.619
A42041,     0.000,    72.820,    58.115,     0.358
F42041,     0.000,    19.856,    40.549,     0.079
F42011,     0.000,   179.641,    71.907,     0.788
A42107,     0.000,   134.153,    73.456,     0.830
F42107,     0.000,   197.938,    75.014,     0.657
A42067,     0.000,    69.286,    50.299,     0.576
A42043,     0.000,    69.503,    29.978,     0.451
F42043,     0.000,   129.905,    59.770,     0.568
A42087,     0.000,   112.597,    66.192,     0.896
A42027,     0.000,    79.564,    75.988,     0.671
A42109,     0.000,   102.439,    54.965,     0.698
F42087,     0.000,   179.070,    74.354,     0.838
A42097,     0.000,   128.746,    74.600,     0.693
A42037,     0.000,   181.760,    75.326,     0.615
A42061,     0.000,   170.920,    73.640,     0.811
A42119,     0.000,   159.557,    73.855,     0.883
B42043,     0.000,   100.523,    46.796,     0.510
A42013,     0.000,   129.786,    73.649,     0.891
A42021,     0.000,    97.162,    45.429,     0.616
B42027,     0.000,   110.921,    73.079,     0.910
B42119,     0.000,    99.281,    52.308,     0.725
A42093,     0.000,   194.278,    73.921,     0.394
B42081,     0.000,    57.161,    56.848,     0.414
A42025,     0.000,   160.679,    75.643,     0.464
A42079,     0.000,    78.069,    72.254,     0.915
F42013,     0.000,    78.748,    47.351,     0.758
F42021,     0.000,    77.598,    35.030,     0.404
A42113,     0.000,   127.550,    73.533,     0.659
B42079,     0.000,   161.066,    76.006,     0.763
B42035,     0.000,    85.740,    43.828,     0.722
A42081,     0.000,   123.752,    74.989,     0.586
F42061,     0.000,    56.520,    41.537,     0.403
A42115,     0.000,   128.401,    73.839,     1.036
A42127,     0.000,   177.552,    74.830,     0.884
A42117,     0.000,   102.681,    60.034,     0.215
F42009,     0.000,   146.651,    72.774,     0.650
B42015,     0.000,   108.396,    59.519,     0.584
B42131,     0.000,   139.599,    73.249,     0.743
A42131,     0.000,    67.492,    64.417,     0.876
A42069,     0.000,    90.849,    74.098,     1.358
F42069,     0.000,    79.758,    73.455,     1.427
A42035,     0.000,    98.931,    56.057,     1.245
A42015,     0.000,    97.021,    54.310,     0.518
A42105,     0.000,    93.218,    42.201,     0.584
A42023,     0.000,   311.973,    49.966,     0.738
A36015,     0.000,   136.886,    53.081,     0.478
A36101,     0.000,   108.064,    55.887,     0.337
F42117,     0.000,   138.412,    59.105,     0.000
A36097,     0.000,   137.766,    66.352,     0.643
A36107,     0.000,   131.791,    58.546,     0.802
A36109,     0.000,   165.740,    66.078,     0.849
A42033,     0.000,   109.704,    53.311,     0.822
F42027,     0.000,    75.563,    49.742,     0.634
A36051,     0.000,   134.960,    49.738,     0.465
A36069,     0.000,   128.765,    64.783,     0.586
A36123,     0.000,   129.548,    61.827,     0.343
F36101,     0.000,   114.039,    57.330,     0.332
A36007,     0.000,   118.318,    63.694,     0.945
A42047,     0.000,   128.665,    48.711,     0.646
A36023,     0.000,   124.239,    71.723,     1.118
A42083,     0.000,   135.566,    46.923,     0.482
A42063,     0.000,   148.572,    68.017,     0.869
A42065,     0.000,   157.722,    70.553,     0.612
F42033,     0.000,   142.650,    70.221,     0.846
A36003,     0.000,   150.711,    61.856,     0.345
F36003,     0.000,   150.151,    62.168,     0.456
A36017,     0.000,   123.059,    71.801,     1.096
A36053,     0.000,    66.765,    54.877,     0.704
F42035,     0.000,   190.688,    73.731,     0.873
F42081,     0.000,   170.254,    74.761,     0.556
A36067,     0.000,    78.595,    71.403,     1.161
F36007,     0.000,    93.338,    62.172,     0.991
F42119,     0.000,   181.904,    73.719,     0.823
A36065,     0.000,    83.772,    71.152,     1.157
A36025,     0.000,   143.673,    74.966,     0.629
A36077,     0.000,   135.896,    73.707,     0.779
F36025,     0.000,   142.760,    75.146,     0.631
A36043,     0.000,    91.099,    72.787,     1.044
F36015,     0.000,   140.168,    55.074,     0.401
A36095,     0.000,   143.187,    74.317,     0.671
F42115,     0.000,   187.812,    72.907,     0.805
F42079,     0.000,   192.541,    75.152,     0.571
F42097,     0.000,   207.529,    74.132,     0.690
end
