TABLE->,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2
VARS->,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,IAMSU,INO3,ISLON,ISRON,AGPLTN,LITTRN
A42081,0.,1,0.03,0.3,0,50,903.3190,5,0.5,2,0,550,364.4285,5,1,8,0,300,8.109500,6,0.5,1,0,100,0,0,0,0,na,na
A42083,0.,1,0.03,0.3,0,50,1240.291,5,0.5,2,0,550,165.9240,5,1,8,0,300,4.511000,6,0.5,1,0,100,0,0,0,0,na,na
A42087,0.001000,1,0.03,0.3,0,50,607.0790,5,0.5,2,0,550,326.0100,5,1,8,0,300,7.629500,6,0.5,1,0,100,0,0,0,0,na,na
A42093,0.001000,1,0.03,0.3,0,50,1755.230,5,0.5,2,0,550,261.3255,5,1,8,0,300,5.535000,6,0.5,1,0,100,0,0,0,0,na,na
A42097,0.,1,0.03,0.3,0,50,575.0855,5,0.5,2,0,550,397.0190,5,1,8,0,300,8.959999,6,0.5,1,0,100,0,0,0,0,na,na
A42099,0.001000,1,0.03,0.3,0,50,865.5105,5,0.5,2,0,550,361.7150,5,1,8,0,300,7.533500,6,0.5,1,0,100,0,0,0,0,na,na
A42105,0.,1,0.03,0.3,0,50,688.0080,5,0.5,2,0,550,159.4945,5,1,8,0,300,4.514000,6,0.5,1,0,100,0,0,0,0,na,na
A42107,0.000500,1,0.03,0.3,0,50,833.7510,5,0.5,2,0,550,394.2920,5,1,8,0,300,7.826500,6,0.5,1,0,100,0,0,0,0,na,na
A42109,0.002000,1,0.03,0.3,0,50,495.8560,5,0.5,2,0,550,243.2430,5,1,8,0,300,6.537000,6,0.5,1,0,100,0,0,0,0,na,na
A42111,0.001000,1,0.03,0.3,0,50,650.3805,5,0.5,2,0,550,273.5585,5,1,8,0,300,6.871000,6,0.5,1,0,100,0,0,0,0,na,na
A42113,0.,1,0.03,0.3,0,50,1030.052,5,0.5,2,0,550,354.8925,5,1,8,0,300,9.241501,6,0.5,1,0,100,0,0,0,0,na,na
A42115,0.,1,0.03,0.3,0,50,999.6280,5,0.5,2,0,550,351.6765,5,1,8,0,300,8.324000,6,0.5,1,0,100,0,0,0,0,na,na
A42117,0.,1,0.03,0.3,0,50,641.8195,5,0.5,2,0,550,259.1515,5,1,8,0,300,6.716500,6,0.5,1,0,100,0,0,0,0,na,na
A42119,0.001000,1,0.03,0.3,0,50,1297.316,5,0.5,2,0,550,363.4470,5,1,8,0,300,7.522000,6,0.5,1,0,100,0,0,0,0,na,na
A42127,0.,1,0.03,0.3,0,50,2553.062,5,0.5,2,0,550,356.9570,5,1,8,0,300,8.174500,6,0.5,1,0,100,0,0,0,0,na,na
A42131,0.,1,0.03,0.3,0,50,244.0555,5,0.5,2,0,550,304.2400,5,1,8,0,300,8.530500,6,0.5,1,0,100,0,0,0,0,na,na
A42133,0.001000,1,0.03,0.3,0,50,374.5090,5,0.5,2,0,550,358.6180,5,1,8,0,300,7.542500,6,0.5,1,0,100,0,0,0,0,na,na
A47091,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,100,0,0,0,0,na,na
A47163,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,100,0,0,0,0,na,na
A51001,0.005000,1,0.03,0.3,0,50,447.1255,5,0.5,2,0,550,159.6865,5,1,8,0,300,3.960000,6,0.5,1,0,100,0,0,0,0,na,na
A51003,0.007000,1,0.03,0.3,0,50,227.6075,5,0.5,2,0,550,155.1160,5,1,8,0,300,4.452500,6,0.5,1,0,100,0,0,0,0,na,na
A51005,0.,1,0.03,0.3,0,50,518.1315,5,0.5,2,0,550,343.1425,5,1,8,0,300,8.068000,6,0.5,1,0,100,0,0,0,0,na,na
A51007,0.005500,1,0.03,0.3,0,50,492.4820,5,0.5,2,0,550,45.43500,5,1,8,0,300,1.345000,6,0.5,1,0,100,0,0,0,0,na,na
