 seg,scen,Total,Stream,PS,Sep,Atdep,calscen,Total,Stream,PS,Sep,Atdep
SW3_1220_1320,p53_1985                 , 0.17613E+08, 0.16214E+08, 0.58210E+06, 0.44149E+06, 0.37569E+06,p53cal                   , 0.16204E+08, 0.14836E+08, 0.60364E+06, 0.43544E+06, 0.32880E+06
JL1_6760_6910,p53_1985                 , 0.91203E+07, 0.72810E+07, 0.39694E+05, 0.17889E+06, 0.16207E+07,p53cal                   , 0.87018E+07, 0.69345E+07, 0.40540E+05, 0.21030E+06, 0.15164E+07
SJ2_2570_2660,p53_1985                 , 0.20639E+08, 0.20056E+08, 0.57849E+03, 0.31361E+06, 0.26950E+06,p53cal                   , 0.19416E+08, 0.18842E+08, 0.18717E+04, 0.32449E+06, 0.24738E+06
SU3_1500_1420,p53_1985                 , 0.19756E+08, 0.19463E+08, 0.69795E+04, 0.92435E+05, 0.19339E+06,p53cal                   , 0.18525E+08, 0.18250E+08, 0.12871E+05, 0.88692E+05, 0.17381E+06
PU2_3900_3750,p53_1985                 , 0.63465E+08, 0.58018E+08, 0.36706E+07, 0.47473E+06, 0.13016E+07,p53cal                   , 0.62515E+08, 0.56855E+08, 0.38068E+07, 0.56620E+06, 0.12876E+07
JL1_6940_7200,p53_1985                 , 0.61996E+07, 0.55053E+07, 0.12620E+06, 0.97656E+05, 0.47050E+06,p53cal                   , 0.57421E+07, 0.50734E+07, 0.12703E+06, 0.10121E+06, 0.44048E+06
PS4_5080_4380,p53_1985                 , 0.86351E+08, 0.84337E+08, 0.26430E+05, 0.19913E+06, 0.17884E+07,p53cal                   , 0.84582E+08, 0.82704E+08, 0.30480E+05, 0.22583E+06, 0.16213E+07
SW3_1060_1260,p53_1985                 , 0.28910E+08, 0.26375E+08, 0.00000E+00, 0.12630E+06, 0.24082E+07,p53cal                   , 0.25844E+08, 0.23598E+08, 0.00000E+00, 0.12314E+06, 0.21224E+07
SU2_1020_0980,p53_1985                 , 0.10984E+08, 0.90326E+07, 0.00000E+00, 0.35647E+06, 0.15945E+07,p53cal                   , 0.99288E+07, 0.81530E+07, 0.00000E+00, 0.36258E+06, 0.14132E+07
PU2_3770_3600,p53_1985                 , 0.40170E+08, 0.34235E+08, 0.25037E+06, 0.89610E+06, 0.47884E+07,p53cal                   , 0.38030E+08, 0.32304E+08, 0.27604E+06, 0.10753E+07, 0.43745E+07
SJ3_2450_2120,p53_1985                 , 0.30318E+08, 0.29024E+08, 0.53344E+05, 0.71296E+05, 0.11690E+07,p53cal                   , 0.28762E+08, 0.27581E+08, 0.54805E+05, 0.73862E+05, 0.10521E+07
PS3_6460_6230,p53_1985                 , 0.92716E+08, 0.84830E+08, 0.41713E+07, 0.12572E+07, 0.24575E+07,p53cal                   , 0.92915E+08, 0.84609E+08, 0.46007E+07, 0.13519E+07, 0.23531E+07
JL1_6910_6960,p53_1985                 , 0.81708E+07, 0.79159E+07, 0.00000E+00, 0.59162E+05, 0.19571E+06,p53cal                   , 0.78614E+07, 0.76220E+07, 0.00000E+00, 0.67151E+05, 0.17221E+06
PU2_2840_3080,p53_1985                 , 0.25923E+08, 0.23668E+08, 0.29839E+06, 0.33222E+06, 0.16251E+07,p53cal                   , 0.24292E+08, 0.22171E+08, 0.29894E+06, 0.34237E+06, 0.14800E+07
