TABLE->,SLD-PARM1,SLD-PARM1,SLD-PARM1,SLD-PARM2,SLD-PARM2,SLD-PARM2,SLD-PARM2,SLD-STOR
A42027,0,0,0,0.725847,2,0.1,0.07675,1
A42029,0,0,0,0.715900,2,0.1,0.07675,1
A42033,0,0,0,0.748420,2,0.1,0.07675,1
A42035,0,0,0,0.604847,2,0.1,0.07675,1
A42037,0,0,0,0.556099,2,0.1,0.07675,1
A42041,0,0,0,0.718654,2,0.1,0.07675,1
A42043,0,0,0,0.733953,2,0.1,0.07675,1
A42047,0,0,0,0.566582,2,0.1,0.07675,1
A42055,0,0,0,0.795021,2,0.1,0.07675,1
A42057,0,0,0,0.829932,2,0.1,0.07675,1
A42061,0,0,0,0.854024,2,0.1,0.07675,1
A42063,0,0,0,0.574410,2,0.1,0.07675,1
A42065,0,0,0,0.611747,2,0.1,0.07675,1
A42067,0,0,0,0.894345,2,0.1,0.07675,1
A42069,0,0,0,0.895244,2,0.1,0.07675,1
A42071,0,0,0,0.811652,2,0.1,0.07675,1
A42075,0,0,0,0.636529,2,0.1,0.07675,1
A42079,0,0,0,0.677507,2,0.1,0.07675,1
A42081,0,0,0,0.916723,2,0.1,0.07675,1
A42083,0,0,0,0.442820,2,0.1,0.07675,1
A42087,0,0,0,0.755447,2,0.1,0.07675,1
A42093,0,0,0,0.556575,2,0.1,0.07675,1
A42097,0,0,0,0.548267,2,0.1,0.07675,1
A42099,0,0,0,0.805472,2,0.1,0.07675,1
A42105,0,0,0,0.709448,2,0.1,0.07675,1
A42107,0,0,0,0.504046,2,0.1,0.07675,1
A42109,0,0,0,0.587892,2,0.1,0.07675,1
A42111,0,0,0,0.646168,2,0.1,0.07675,1
A42113,0,0,0,0.685870,2,0.1,0.07675,1
A42115,0,0,0,0.640160,2,0.1,0.07675,1
A42117,0,0,0,0.907985,2,0.1,0.07675,1
A42119,0,0,0,0.672653,2,0.1,0.07675,1
A42127,0,0,0,0.505582,2,0.1,0.07675,1
A42131,0,0,0,0.964192,2,0.1,0.07675,1
A42133,0,0,0,0.723673,2,0.1,0.07675,1
A47091,0,0,0,2.5,2,0.1,0.07675,1
A47163,0,0,0,2.5,2,0.1,0.07675,1
A51001,0,0,0,0.540741,2,0.1,0.07675,1
A51003,0,0,0,0.486842,2,0.1,0.07675,1
A51005,0,0,0,0.641974,2,0.1,0.07675,1
A51007,0,0,0,0.406465,2,0.1,0.07675,1
A51009,0,0,0,0.606985,2,0.1,0.07675,1
A51011,0,0,0,0.512965,2,0.1,0.07675,1
A51013,0,0,0,0.752444,2,0.1,0.07675,1
A51015,0,0,0,0.534767,2,0.1,0.07675,1
A51017,0,0,0,0.651519,2,0.1,0.07675,1
A51019,0,0,0,0.673805,2,0.1,0.07675,1
A51021,0,0,0,2.5,2,0.1,0.07675,1
A51023,0,0,0,0.788710,2,0.1,0.07675,1
A51025,0,0,0,2.5,2,0.1,0.07675,1
A51027,0,0,0,2.5,2,0.1,0.07675,1
A51029,0,0,0,0.599119,2,0.1,0.07675,1
A51031,0,0,0,0.661084,2,0.1,0.07675,1
A51033,0,0,0,0.724340,2,0.1,0.07675,1
A51035,0,0,0,2.5,2,0.1,0.07675,1
A51036,0,0,0,0.744304,2,0.1,0.07675,1
A51037,0,0,0,2.5,2,0.1,0.07675,1
A51041,0,0,0,0.668399,2,0.1,0.07675,1
A51043,0,0,0,0.544853,2,0.1,0.07675,1
A51045,0,0,0,0.879235,2,0.1,0.07675,1
A51047,0,0,0,0.492204,2,0.1,0.07675,1
A51049,0,0,0,0.538173,2,0.1,0.07675,1
A51051,0,0,0,2.5,2,0.1,0.07675,1
A51053,0,0,0,0.478507,2,0.1,0.07675,1
A51057,0,0,0,0.712990,2,0.1,0.07675,1
A51059,0,0,0,0.796146,2,0.1,0.07675,1
A51061,0,0,0,0.570983,2,0.1,0.07675,1
A51063,0,0,0,2.5,2,0.1,0.07675,1
A51065,0,0,0,0.566592,2,0.1,0.07675,1
A51067,0,0,0,2.5,2,0.1,0.07675,1
A51069,0,0,0,0.606808,2,0.1,0.07675,1
A51071,0,0,0,0.538516,2,0.1,0.07675,1
A51073,0,0,0,0.519916,2,0.1,0.07675,1
A51075,0,0,0,0.601490,2,0.1,0.07675,1
A51077,0,0,0,2.5,2,0.1,0.07675,1
A51079,0,0,0,0.362932,2,0.1,0.07675,1
A51081,0,0,0,2.5,2,0.1,0.07675,1
A51083,0,0,0,2.5,2,0.1,0.07675,1
A51085,0,0,0,0.775844,2,0.1,0.07675,1
A51087,0,0,0,0.771904,2,0.1,0.07675,1
A51089,0,0,0,2.5,2,0.1,0.07675,1
A51091,0,0,0,0.601064,2,0.1,0.07675,1
A51093,0,0,0,0.695846,2,0.1,0.07675,1
A51095,0,0,0,0.538170,2,0.1,0.07675,1
A51097,0,0,0,0.761905,2,0.1,0.07675,1
A51099,0,0,0,0.586824,2,0.1,0.07675,1
A51101,0,0,0,0.803881,2,0.1,0.07675,1
A51103,0,0,0,0.573357,2,0.1,0.07675,1
A51105,0,0,0,2.5,2,0.1,0.07675,1
A51107,0,0,0,0.692303,2,0.1,0.07675,1
A51109,0,0,0,0.498314,2,0.1,0.07675,1
A51111,0,0,0,2.5,2,0.1,0.07675,1
A51113,0,0,0,0.435325,2,0.1,0.07675,1
A51115,0,0,0,0.576358,2,0.1,0.07675,1
A51117,0,0,0,2.5,2,0.1,0.07675,1
A51119,0,0,0,0.562040,2,0.1,0.07675,1
A51121,0,0,0,0.770372,2,0.1,0.07675,1
A51125,0,0,0,0.467597,2,0.1,0.07675,1
A51127,0,0,0,0.808571,2,0.1,0.07675,1
A51131,0,0,0,0.683616,2,0.1,0.07675,1
A51133,0,0,0,0.557496,2,0.1,0.07675,1
A51135,0,0,0,0.410042,2,0.1,0.07675,1
A51137,0,0,0,0.465220,2,0.1,0.07675,1
A51139,0,0,0,0.688591,2,0.1,0.07675,1
A51141,0,0,0,2.5,2,0.1,0.07675,1
A51143,0,0,0,2.5,2,0.1,0.07675,1
A51145,0,0,0,0.493589,2,0.1,0.07675,1
A51147,0,0,0,0.475593,2,0.1,0.07675,1
A51149,0,0,0,0.669069,2,0.1,0.07675,1
A51153,0,0,0,0.855663,2,0.1,0.07675,1
A51155,0,0,0,2.5,2,0.1,0.07675,1
A51157,0,0,0,0.529115,2,0.1,0.07675,1
A51159,0,0,0,0.662886,2,0.1,0.07675,1
A51161,0,0,0,0.874544,2,0.1,0.07675,1
A51163,0,0,0,0.643692,2,0.1,0.07675,1
A51165,0,0,0,0.699615,2,0.1,0.07675,1
A51167,0,0,0,2.5,2,0.1,0.07675,1
A51169,0,0,0,2.5,2,0.1,0.07675,1
A51171,0,0,0,0.685134,2,0.1,0.07675,1
A51173,0,0,0,2.5,2,0.1,0.07675,1
A51175,0,0,0,2.5,2,0.1,0.07675,1
A51177,0,0,0,0.480262,2,0.1,0.07675,1
A51179,0,0,0,0.537111,2,0.1,0.07675,1
A51181,0,0,0,0.590397,2,0.1,0.07675,1
A51183,0,0,0,2.5,2,0.1,0.07675,1
A51185,0,0,0,2.5,2,0.1,0.07675,1
A51187,0,0,0,0.537081,2,0.1,0.07675,1
A51191,0,0,0,2.5,2,0.1,0.07675,1
A51193,0,0,0,0.647732,2,0.1,0.07675,1
A51195,0,0,0,2.5,2,0.1,0.07675,1
A51197,0,0,0,2.5,2,0.1,0.07675,1
A51199,0,0,0,0.643213,2,0.1,0.07675,1
A51510,0,0,0,0.739475,2,0.1,0.07675,1
A51515,0,0,0,2.5,2,0.1,0.07675,1
A51520,0,0,0,2.5,2,0.1,0.07675,1
A51530,0,0,0,0.470873,2,0.1,0.07675,1
A51540,0,0,0,0.377632,2,0.1,0.07675,1
A51550,0,0,0,0.684628,2,0.1,0.07675,1
A51570,0,0,0,0.625156,2,0.1,0.07675,1
A51580,0,0,0,0.523833,2,0.1,0.07675,1
A51590,0,0,0,2.5,2,0.1,0.07675,1
A51595,0,0,0,2.5,2,0.1,0.07675,1
A51600,0,0,0,0.679143,2,0.1,0.07675,1
A51610,0,0,0,0.685431,2,0.1,0.07675,1
A51620,0,0,0,2.5,2,0.1,0.07675,1
A51630,0,0,0,0.431806,2,0.1,0.07675,1
A51640,0,0,0,2.5,2,0.1,0.07675,1
A51650,0,0,0,0.631989,2,0.1,0.07675,1
A51660,0,0,0,0.636251,2,0.1,0.07675,1
A51670,0,0,0,0.632571,2,0.1,0.07675,1
A51678,0,0,0,0.460953,2,0.1,0.07675,1
A51680,0,0,0,0.651486,2,0.1,0.07675,1
A51683,0,0,0,0.651296,2,0.1,0.07675,1
A51685,0,0,0,0.668290,2,0.1,0.07675,1
A51690,0,0,0,2.5,2,0.1,0.07675,1
A51700,0,0,0,0.739704,2,0.1,0.07675,1
A51710,0,0,0,0.611940,2,0.1,0.07675,1
A51720,0,0,0,2.5,2,0.1,0.07675,1
A51730,0,0,0,0.583552,2,0.1,0.07675,1
A51735,0,0,0,0.668899,2,0.1,0.07675,1
A51740,0,0,0,0.589665,2,0.1,0.07675,1
A51750,0,0,0,2.5,2,0.1,0.07675,1
A51760,0,0,0,0.732761,2,0.1,0.07675,1
A51770,0,0,0,2.5,2,0.1,0.07675,1
A51775,0,0,0,2.5,2,0.1,0.07675,1
A51790,0,0,0,0.484309,2,0.1,0.07675,1
A51800,0,0,0,0.738099,2,0.1,0.07675,1
A51810,0,0,0,0.605076,2,0.1,0.07675,1
A51820,0,0,0,0.344767,2,0.1,0.07675,1
A51830,0,0,0,0.535313,2,0.1,0.07675,1
A51840,0,0,0,0.461183,2,0.1,0.07675,1
A54003,0,0,0,0.742313,2,0.1,0.07675,1
A54023,0,0,0,0.647501,2,0.1,0.07675,1
A54027,0,0,0,0.693328,2,0.1,0.07675,1
A54031,0,0,0,0.712983,2,0.1,0.07675,1
A54037,0,0,0,0.743930,2,0.1,0.07675,1
A54057,0,0,0,0.605845,2,0.1,0.07675,1
A54063,0,0,0,0.580063,2,0.1,0.07675,1
A54065,0,0,0,0.701257,2,0.1,0.07675,1
A54071,0,0,0,0.989631,2,0.1,0.07675,1
A54077,0,0,0,0.506042,2,0.1,0.07675,1
A54093,0,0,0,0.461619,2,0.1,0.07675,1
B24001,0,0,0,0.542641,2,0.1,0.07675,1
B24021,0,0,0,0.706292,2,0.1,0.07675,1
B37005,0,0,0,2.5,2,0.1,0.07675,1
B37009,0,0,0,2.5,2,0.1,0.07675,1
B42001,0,0,0,0.564849,2,0.1,0.07675,1
B42009,0,0,0,0.741711,2,0.1,0.07675,1
B42015,0,0,0,0.645101,2,0.1,0.07675,1
B42027,0,0,0,0.639370,2,0.1,0.07675,1
B42035,0,0,0,0.605667,2,0.1,0.07675,1
B42041,0,0,0,0.628246,2,0.1,0.07675,1
B42043,0,0,0,0.733204,2,0.1,0.07675,1
B42055,0,0,0,1.067850,2,0.1,0.07675,1
B42079,0,0,0,0.697569,2,0.1,0.07675,1
B42081,0,0,0,1.124542,2,0.1,0.07675,1
B42119,0,0,0,0.543087,2,0.1,0.07675,1
B42131,0,0,0,0.637560,2,0.1,0.07675,1
B51003,0,0,0,0.392842,2,0.1,0.07675,1
B51009,0,0,0,0.431970,2,0.1,0.07675,1
B51015,0,0,0,0.505854,2,0.1,0.07675,1
B51017,0,0,0,0.527014,2,0.1,0.07675,1
B51019,0,0,0,0.733585,2,0.1,0.07675,1
B51023,0,0,0,0.575503,2,0.1,0.07675,1
B51035,0,0,0,2.5,2,0.1,0.07675,1
B51061,0,0,0,0.414907,2,0.1,0.07675,1
B51067,0,0,0,2.5,2,0.1,0.07675,1
B51071,0,0,0,2.5,2,0.1,0.07675,1
B51077,0,0,0,2.5,2,0.1,0.07675,1
B51079,0,0,0,0.407274,2,0.1,0.07675,1
B51091,0,0,0,0.480400,2,0.1,0.07675,1
B51105,0,0,0,2.5,2,0.1,0.07675,1
B51113,0,0,0,0.440054,2,0.1,0.07675,1
B51125,0,0,0,0.475062,2,0.1,0.07675,1
B51139,0,0,0,0.646315,2,0.1,0.07675,1
B51141,0,0,0,2.5,2,0.1,0.07675,1
B51157,0,0,0,0.551551,2,0.1,0.07675,1
B51161,0,0,0,2.5,2,0.1,0.07675,1
B51163,0,0,0,0.565074,2,0.1,0.07675,1
B51165,0,0,0,0.984506,2,0.1,0.07675,1
B51167,0,0,0,2.5,2,0.1,0.07675,1
B51169,0,0,0,2.5,2,0.1,0.07675,1
B51171,0,0,0,0.660013,2,0.1,0.07675,1
B51173,0,0,0,2.5,2,0.1,0.07675,1
B51185,0,0,0,2.5,2,0.1,0.07675,1
B51187,0,0,0,0.527887,2,0.1,0.07675,1
B51191,0,0,0,2.5,2,0.1,0.07675,1
B51195,0,0,0,2.5,2,0.1,0.07675,1
B51197,0,0,0,2.5,2,0.1,0.07675,1
B54023,0,0,0,0.772229,2,0.1,0.07675,1
B54031,0,0,0,0.729528,2,0.1,0.07675,1
B54057,0,0,0,0.599778,2,0.1,0.07675,1
B54071,0,0,0,0.965220,2,0.1,0.07675,1
C42009,0,0,0,0.719060,2,0.1,0.07675,1
C51015,0,0,0,0.597929,2,0.1,0.07675,1
C51071,0,0,0,2.5,2,0.1,0.07675,1
C51165,0,0,0,0.454201,2,0.1,0.07675,1
F10005,0,0,0,0.754189,2,0.1,0.07675,1
F11001,0,0,0,0.598020,2,0.1,0.07675,1
F24001,0,0,0,0.626371,2,0.1,0.07675,1
F24003,0,0,0,0.712532,2,0.1,0.07675,1
F24005,0,0,0,0.868723,2,0.1,0.07675,1
F24009,0,0,0,0.491685,2,0.1,0.07675,1
F24013,0,0,0,0.725699,2,0.1,0.07675,1
F24015,0,0,0,0.617781,2,0.1,0.07675,1
F24017,0,0,0,0.757964,2,0.1,0.07675,1
F24019,0,0,0,0.736471,2,0.1,0.07675,1
F24021,0,0,0,0.805539,2,0.1,0.07675,1
F24023,0,0,0,0.604071,2,0.1,0.07675,1
F24025,0,0,0,0.610419,2,0.1,0.07675,1
F24027,0,0,0,0.823714,2,0.1,0.07675,1
F24029,0,0,0,0.795038,2,0.1,0.07675,1
F24031,0,0,0,0.978577,2,0.1,0.07675,1
F24033,0,0,0,0.556296,2,0.1,0.07675,1
F24035,0,0,0,0.866247,2,0.1,0.07675,1
F24037,0,0,0,0.679726,2,0.1,0.07675,1
F24039,0,0,0,0.480335,2,0.1,0.07675,1
F24041,0,0,0,0.640484,2,0.1,0.07675,1
F24043,0,0,0,0.874896,2,0.1,0.07675,1
F24045,0,0,0,0.543714,2,0.1,0.07675,1
F24510,0,0,0,0.719293,2,0.1,0.07675,1
F36003,0,0,0,0.758638,2,0.1,0.07675,1
F36007,0,0,0,1.268775,2,0.1,0.07675,1
F36015,0,0,0,0.882340,2,0.1,0.07675,1
F36025,0,0,0,0.572953,2,0.1,0.07675,1
F36101,0,0,0,1.331932,2,0.1,0.07675,1
F42001,0,0,0,0.510388,2,0.1,0.07675,1
F42009,0,0,0,0.739130,2,0.1,0.07675,1
F42011,0,0,0,0.514858,2,0.1,0.07675,1
F42013,0,0,0,0.853313,2,0.1,0.07675,1
F42021,0,0,0,0.653432,2,0.1,0.07675,1
F42027,0,0,0,0.723153,2,0.1,0.07675,1
F42033,0,0,0,0.729407,2,0.1,0.07675,1
F42035,0,0,0,0.580203,2,0.1,0.07675,1
F42041,0,0,0,0.728987,2,0.1,0.07675,1
F42043,0,0,0,0.718121,2,0.1,0.07675,1
F42055,0,0,0,0.790526,2,0.1,0.07675,1
F42061,0,0,0,0.867445,2,0.1,0.07675,1
F42069,0,0,0,0.896894,2,0.1,0.07675,1
F42071,0,0,0,0.783495,2,0.1,0.07675,1
F42075,0,0,0,0.622941,2,0.1,0.07675,1
F42079,0,0,0,0.642955,2,0.1,0.07675,1
F42081,0,0,0,0.873218,2,0.1,0.07675,1
F42087,0,0,0,0.741960,2,0.1,0.07675,1
F42097,0,0,0,0.539016,2,0.1,0.07675,1
F42107,0,0,0,0.492279,2,0.1,0.07675,1
F42115,0,0,0,0.620907,2,0.1,0.07675,1
F42117,0,0,0,0.913106,2,0.1,0.07675,1
F42119,0,0,0,0.664022,2,0.1,0.07675,1
F42133,0,0,0,0.710746,2,0.1,0.07675,1
F51001,0,0,0,0.574703,2,0.1,0.07675,1
F51003,0,0,0,0.488753,2,0.1,0.07675,1
F51005,0,0,0,0.645436,2,0.1,0.07675,1
F51009,0,0,0,0.593886,2,0.1,0.07675,1
F51011,0,0,0,0.515178,2,0.1,0.07675,1
F51013,0,0,0,0.743308,2,0.1,0.07675,1
F51015,0,0,0,0.518231,2,0.1,0.07675,1
F51017,0,0,0,0.652590,2,0.1,0.07675,1
F51019,0,0,0,0.673458,2,0.1,0.07675,1
F51023,0,0,0,0.795951,2,0.1,0.07675,1
F51033,0,0,0,0.723442,2,0.1,0.07675,1
F51041,0,0,0,0.635314,2,0.1,0.07675,1
F51043,0,0,0,0.546175,2,0.1,0.07675,1
F51045,0,0,0,0.884237,2,0.1,0.07675,1
F51053,0,0,0,0.464089,2,0.1,0.07675,1
F51057,0,0,0,0.687533,2,0.1,0.07675,1
F51059,0,0,0,0.767534,2,0.1,0.07675,1
F51061,0,0,0,0.573687,2,0.1,0.07675,1
F51069,0,0,0,0.582297,2,0.1,0.07675,1
F51071,0,0,0,0.537751,2,0.1,0.07675,1
F51079,0,0,0,0.362342,2,0.1,0.07675,1
F51085,0,0,0,0.792766,2,0.1,0.07675,1
F51087,0,0,0,0.759201,2,0.1,0.07675,1
F51091,0,0,0,0.591066,2,0.1,0.07675,1
F51095,0,0,0,0.538288,2,0.1,0.07675,1
F51099,0,0,0,0.580339,2,0.1,0.07675,1
F51101,0,0,0,0.791777,2,0.1,0.07675,1
F51107,0,0,0,0.688067,2,0.1,0.07675,1
F51113,0,0,0,0.437966,2,0.1,0.07675,1
F51121,0,0,0,0.762096,2,0.1,0.07675,1
F51125,0,0,0,0.467330,2,0.1,0.07675,1
F51131,0,0,0,0.666692,2,0.1,0.07675,1
F51137,0,0,0,0.465970,2,0.1,0.07675,1
F51139,0,0,0,0.692640,2,0.1,0.07675,1
F51145,0,0,0,0.484186,2,0.1,0.07675,1
F51147,0,0,0,0.460262,2,0.1,0.07675,1
F51149,0,0,0,0.649092,2,0.1,0.07675,1
F51153,0,0,0,0.856692,2,0.1,0.07675,1
F51157,0,0,0,0.535043,2,0.1,0.07675,1
F51159,0,0,0,0.647314,2,0.1,0.07675,1
F51161,0,0,0,0.875011,2,0.1,0.07675,1
F51163,0,0,0,0.641658,2,0.1,0.07675,1
F51165,0,0,0,0.691712,2,0.1,0.07675,1
F51171,0,0,0,0.671179,2,0.1,0.07675,1
F51177,0,0,0,0.480836,2,0.1,0.07675,1
F51179,0,0,0,0.536364,2,0.1,0.07675,1
F51181,0,0,0,0.572447,2,0.1,0.07675,1
F51187,0,0,0,0.540236,2,0.1,0.07675,1
F51193,0,0,0,0.637420,2,0.1,0.07675,1
F51199,0,0,0,0.645360,2,0.1,0.07675,1
F51510,0,0,0,0.692724,2,0.1,0.07675,1
F51530,0,0,0,0.472198,2,0.1,0.07675,1
F51540,0,0,0,0.366690,2,0.1,0.07675,1
F51550,0,0,0,0.665557,2,0.1,0.07675,1
F51580,0,0,0,0.516718,2,0.1,0.07675,1
F51630,0,0,0,0.419502,2,0.1,0.07675,1
F51650,0,0,0,0.625034,2,0.1,0.07675,1
F51660,0,0,0,0.617495,2,0.1,0.07675,1
F51670,0,0,0,0.642072,2,0.1,0.07675,1
F51700,0,0,0,0.739696,2,0.1,0.07675,1
F51710,0,0,0,0.613831,2,0.1,0.07675,1
F51730,0,0,0,0.571355,2,0.1,0.07675,1
F51735,0,0,0,0.648551,2,0.1,0.07675,1
F51740,0,0,0,0.577297,2,0.1,0.07675,1
F51760,0,0,0,0.726000,2,0.1,0.07675,1
F51790,0,0,0,0.467674,2,0.1,0.07675,1
F51800,0,0,0,0.724924,2,0.1,0.07675,1
F51810,0,0,0,0.598698,2,0.1,0.07675,1
F51820,0,0,0,0.346012,2,0.1,0.07675,1
F51830,0,0,0,0.535280,2,0.1,0.07675,1
F54003,0,0,0,0.715058,2,0.1,0.07675,1
F54023,0,0,0,0.645806,2,0.1,0.07675,1
F54027,0,0,0,0.698179,2,0.1,0.07675,1
F54031,0,0,0,0.716993,2,0.1,0.07675,1
F54037,0,0,0,0.740581,2,0.1,0.07675,1
F54057,0,0,0,0.576766,2,0.1,0.07675,1
F54063,0,0,0,0.576246,2,0.1,0.07675,1
F54065,0,0,0,0.680554,2,0.1,0.07675,1
F54071,0,0,0,0.973783,2,0.1,0.07675,1
end,,,,,,,,
