TABLE->,IWT-PARM1,IWT-PARM1,IWT-PARM2,IWT-PARM2,IWT-PARM2
A42071,0,0,421.03,35,0.65
A42075,0,0,513.23,35,0.65
A42079,0,0,975.49,35,0.65
A42081,0,0,1101.5,35,0.65
A42083,0,0,1743.54,35,0.65
A42087,0,0,697.69,35,0.65
A42093,0,0,615.21,35,0.65
A42097,0,0,691.06,35,0.65
A42099,0,0,558.8,35,0.65
A42105,0,0,1815.73,35,0.65
A42107,0,0,966.66,35,0.65
A42109,0,0,589.15,35,0.65
A42111,0,0,2092.14,35,0.65
A42113,0,0,1624.61,35,0.65
A42115,0,0,1308.04,35,0.65
A42117,0,0,1431.49,35,0.65
A42119,0,0,755.99,35,0.65
A42127,0,0,1418.57,35,0.65
A42131,0,0,877.53,35,0.65
A42133,0,0,569.8,35,0.65
A47091,0,0,2903.76,35,0.65
A47163,0,0,1699.48,35,0.65
A51001,0,0,22.76,35,0.65
A51003,0,0,552.58,35,0.65
A51005,0,0,1390.24,35,0.65
A51007,0,0,352.06,35,0.65
A51009,0,0,782.62,35,0.65
A51011,0,0,760.74,35,0.65
A51013,0,0,229.22,35,0.65
A51015,0,0,1431.15,35,0.65
A51017,0,0,2320.78,35,0.65
A51019,0,0,1178.23,35,0.65
A51021,0,0,2720.54,35,0.65
A51023,0,0,1212.22,35,0.65
A51025,0,0,292.96,35,0.65
A51027,0,0,1903.18,35,0.65
A51029,0,0,517.24,35,0.65
A51031,0,0,788.86,35,0.65
A51033,0,0,198.12,35,0.65
A51035,0,0,2547.38,35,0.65
A51036,0,0,81.43,35,0.65
A51037,0,0,540.75,35,0.65
A51041,0,0,214.37,35,0.65
A51043,0,0,596.77,35,0.65
A51045,0,0,1653.76,35,0.65
A51047,0,0,436.96,35,0.65
A51049,0,0,389.35,35,0.65
A51051,0,0,1942.21,35,0.65
A51053,0,0,227.67,35,0.65
A51057,0,0,69.44,35,0.65
A51059,0,0,295.02,35,0.65
A51061,0,0,457.85,35,0.65
A51063,0,0,2592.35,35,0.65
A51065,0,0,393.02,35,0.65
A51067,0,0,1102.94,35,0.65
A51069,0,0,785.46,35,0.65
A51071,0,0,2089.68,35,0.65
A51073,0,0,42.97,35,0.65
A51075,0,0,268.34,35,0.65
A51077,0,0,2630.08,35,0.65
A51079,0,0,609.52,35,0.65
A51081,0,0,152,35,0.65
A51083,0,0,470.13,35,0.65
A51085,0,0,183.03,35,0.65
A51087,0,0,199.97,35,0.65
A51089,0,0,937.62,35,0.65
A51091,0,0,2752.29,35,0.65
A51093,0,0,38.74,35,0.65
A51095,0,0,74.12,35,0.65
A51097,0,0,89.61,35,0.65
A51099,0,0,119.43,35,0.65
A51101,0,0,82.48,35,0.65
A51103,0,0,35.78,35,0.65
A51105,0,0,1665.28,35,0.65
A51107,0,0,350.53,35,0.65
A51109,0,0,421.05,35,0.65
A51111,0,0,495.33,35,0.65
A51113,0,0,548.66,35,0.65
A51115,0,0,13.3,35,0.65
A51117,0,0,367.09,35,0.65
A51119,0,0,36.38,35,0.65
A51121,0,0,1972.95,35,0.65
A51125,0,0,701.8,35,0.65
A51127,0,0,87.77,35,0.65
A51131,0,0,22.35,35,0.65
A51133,0,0,33.98,35,0.65
A51135,0,0,424.27,35,0.65
A51137,0,0,437.09,35,0.65
A51139,0,0,933.77,35,0.65
A51141,0,0,1339.18,35,0.65
A51143,0,0,717.06,35,0.65
A51145,0,0,302.18,35,0.65
A51147,0,0,459.7,35,0.65
A51149,0,0,112.18,35,0.65
A51153,0,0,248.91,35,0.65
A51155,0,0,2197.32,35,0.65
A51157,0,0,624.61,35,0.65
A51159,0,0,113.77,35,0.65
A51161,0,0,1217.8,35,0.65
A51163,0,0,1214.43,35,0.65
A51165,0,0,1237.6,35,0.65
A51167,0,0,2249.97,35,0.65
A51169,0,0,1688.82,35,0.65
A51171,0,0,903.02,35,0.65
A51173,0,0,2565.67,35,0.65
A51175,0,0,64.84,35,0.65
A51177,0,0,263.85,35,0.65
A51179,0,0,202.93,35,0.65
A51181,0,0,84.02,35,0.65
A51183,0,0,101.65,35,0.65
A51185,0,0,2776.15,35,0.65
A51187,0,0,614.3,35,0.65
A51191,0,0,2093.34,35,0.65
A51193,0,0,47.6,35,0.65
A51195,0,0,2220.59,35,0.65
A51197,0,0,2449.27,35,0.65
A51199,0,0,42.24,35,0.65
A51510,0,0,113.04,35,0.65
A51515,0,0,952.98,35,0.65
A51520,0,0,1809.66,35,0.65
A51530,0,0,916.71,35,0.65
A51540,0,0,463.91,35,0.65
A51550,0,0,13.52,35,0.65
A51570,0,0,55.64,35,0.65
A51580,0,0,1310.7,35,0.65
A51590,0,0,538.43,35,0.65
A51595,0,0,116.3,35,0.65
A51600,0,0,392.48,35,0.65
A51610,0,0,331.4,35,0.65
A51620,0,0,37.34,35,0.65
A51630,0,0,144.89,35,0.65
A51640,0,0,2491.16,35,0.65
A51650,0,0,10.17,35,0.65
A51660,0,0,1371.47,35,0.65
A51670,0,0,63.31,35,0.65
A51678,0,0,1060.55,35,0.65
A51680,0,0,764.88,35,0.65
A51683,0,0,251.84,35,0.65
A51685,0,0,253.11,35,0.65
A51690,0,0,891.75,35,0.65
A51700,0,0,30.29,35,0.65
A51710,0,0,10.94,35,0.65
A51720,0,0,2521.02,35,0.65
A51730,0,0,113.05,35,0.65
A51735,0,0,5.31,35,0.65
A51740,0,0,10.83,35,0.65
A51750,0,0,1900.96,35,0.65
A51760,0,0,174.91,35,0.65
A51770,0,0,1048.19,35,0.65
A51775,0,0,1090.4,35,0.65
A51790,0,0,1513.29,35,0.65
A51800,0,0,34.67,35,0.65
A51810,0,0,12.75,35,0.65
A51820,0,0,1340.52,35,0.65
A51830,0,0,89.56,35,0.65
A51840,0,0,774.36,35,0.65
A54003,0,0,534.48,35,0.65
A54023,0,0,2503.57,35,0.65
A54027,0,0,1056.14,35,0.65
A54031,0,0,1534.33,35,0.65
A54037,0,0,513.49,35,0.65
A54057,0,0,1078,35,0.65
A54063,0,0,2054.56,35,0.65
A54065,0,0,763.04,35,0.65
A54071,0,0,1933.71,35,0.65
A54077,0,0,2023.25,35,0.65
A54093,0,0,2555.25,35,0.65
B24001,0,0,1209.86,35,0.65
B24021,0,0,599.4,35,0.65
B37005,0,0,2744.72,35,0.65
B37009,0,0,2930.45,35,0.65
B42001,0,0,845.56,35,0.65
B42009,0,0,1295.75,35,0.65
B42015,0,0,1399.23,35,0.65
B42027,0,0,1596.71,35,0.65
B42035,0,0,752.58,35,0.65
B42041,0,0,670.88,35,0.65
B42043,0,0,437.21,35,0.65
B42055,0,0,795.25,35,0.65
B42079,0,0,1319.19,35,0.65
B42081,0,0,641.25,35,0.65
B42119,0,0,537.68,35,0.65
B42131,0,0,1376.98,35,0.65
B51003,0,0,945.85,35,0.65
B51009,0,0,1322.04,35,0.65
B51015,0,0,1831.67,35,0.65
B51017,0,0,1564.17,35,0.65
B51019,0,0,896.01,35,0.65
B51023,0,0,1423.16,35,0.65
B51035,0,0,1411.78,35,0.65
B51061,0,0,904.75,35,0.65
B51067,0,0,1939.39,35,0.65
B51071,0,0,1751.67,35,0.65
B51077,0,0,3561.46,35,0.65
B51079,0,0,1182.67,35,0.65
B51091,0,0,2192.45,35,0.65
B51105,0,0,2124.34,35,0.65
B51113,0,0,824.05,35,0.65
B51125,0,0,1874.77,35,0.65
B51139,0,0,1431.99,35,0.65
B51141,0,0,2447.42,35,0.65
B51157,0,0,1143.47,35,0.65
B51161,0,0,1446.99,35,0.65
B51163,0,0,1055.18,35,0.65
B51165,0,0,1477.19,35,0.65
B51167,0,0,2288.31,35,0.65
B51169,0,0,2509.71,35,0.65
B51171,0,0,1324.03,35,0.65
B51173,0,0,3523.18,35,0.65
B51185,0,0,2562.78,35,0.65
B51187,0,0,1122.84,35,0.65
B51191,0,0,3030.52,35,0.65
B51195,0,0,2932.42,35,0.65
B51197,0,0,2975.53,35,0.65
B54023,0,0,1121.52,35,0.65
B54031,0,0,947.3,35,0.65
B54057,0,0,800.42,35,0.65
B54071,0,0,2228.17,35,0.65
C42009,0,0,1158.54,35,0.65
C51015,0,0,1657.15,35,0.65
C51071,0,0,2009.72,35,0.65
C51165,0,0,1340.23,35,0.65
F10005,0,0,31.61,35,0.65
F11001,0,0,82.35,35,0.65
F24001,0,0,609.95,35,0.65
F24003,0,0,138.34,35,0.65
F24005,0,0,339.96,35,0.65
F24009,0,0,37.85,35,0.65
F24013,0,0,769.1,35,0.65
F24015,0,0,42.75,35,0.65
F24017,0,0,61.19,35,0.65
F24019,0,0,2.34,35,0.65
F24021,0,0,352.34,35,0.65
F24023,0,0,1551.82,35,0.65
F24025,0,0,32.51,35,0.65
F24027,0,0,417.62,35,0.65
F24029,0,0,12.7,35,0.65
F24031,0,0,307.07,35,0.65
F24033,0,0,211.85,35,0.65
F24035,0,0,11.44,35,0.65
F24037,0,0,28.44,35,0.65
F24039,0,0,2.87,35,0.65
F24041,0,0,34.03,35,0.65
F24043,0,0,426.78,35,0.65
F24045,0,0,28.04,35,0.65
F24510,0,0,42.04,35,0.65
F36003,0,0,1373.35,35,0.65
F36007,0,0,1048.98,35,0.65
F36015,0,0,905.5,35,0.65
F36025,0,0,1183.14,35,0.65
F36101,0,0,1193.21,35,0.65
F42001,0,0,539.76,35,0.65
F42009,0,0,1250.45,35,0.65
F42011,0,0,1411.15,35,0.65
F42013,0,0,1594.76,35,0.65
F42021,0,0,2392.14,35,0.65
F42027,0,0,690.26,35,0.65
F42033,0,0,1190.51,35,0.65
F42035,0,0,599.68,35,0.65
F42041,0,0,418.88,35,0.65
F42043,0,0,658.26,35,0.65
F42055,0,0,719.2,35,0.65
F42061,0,0,815.75,35,0.65
F42069,0,0,887.65,35,0.65
F42071,0,0,319.94,35,0.65
F42075,0,0,490.6,35,0.65
F42079,0,0,567.3,35,0.65
F42081,0,0,545.15,35,0.65
F42087,0,0,635.58,35,0.65
F42097,0,0,522.19,35,0.65
F42107,0,0,836.6,35,0.65
F42115,0,0,1544.09,35,0.65
F42117,0,0,1111.71,35,0.65
F42119,0,0,554.2,35,0.65
F42133,0,0,343.42,35,0.65
F51001,0,0,15.23,35,0.65
F51003,0,0,543.16,35,0.65
F51005,0,0,1890.77,35,0.65
F51009,0,0,953.74,35,0.65
F51011,0,0,755.56,35,0.65
F51013,0,0,70.55,35,0.65
F51015,0,0,1598.49,35,0.65
F51017,0,0,2700.12,35,0.65
F51019,0,0,1485.71,35,0.65
F51023,0,0,1627.51,35,0.65
F51033,0,0,193.87,35,0.65
F51041,0,0,115.66,35,0.65
F51043,0,0,1307.31,35,0.65
F51045,0,0,1982.83,35,0.65
F51053,0,0,145.69,35,0.65
F51057,0,0,40.3,35,0.65
F51059,0,0,163.07,35,0.65
F51061,0,0,727.52,35,0.65
F51069,0,0,703.39,35,0.65
F51071,0,0,2349.05,35,0.65
F51079,0,0,2061.53,35,0.65
F51085,0,0,105.62,35,0.65
F51087,0,0,146.51,35,0.65
F51091,0,0,3460.47,35,0.65
F51095,0,0,52.61,35,0.65
F51099,0,0,16.99,35,0.65
F51101,0,0,49.09,35,0.65
F51107,0,0,284.6,35,0.65
F51113,0,0,3290.16,35,0.65
F51121,0,0,2098.86,35,0.65
F51125,0,0,2002.3,35,0.65
F51131,0,0,6.1,35,0.65
F51137,0,0,318.51,35,0.65
F51139,0,0,904.79,35,0.65
F51145,0,0,407.12,35,0.65
F51147,0,0,456.5,35,0.65
F51149,0,0,125.22,35,0.65
F51153,0,0,130.61,35,0.65
F51157,0,0,2371.12,35,0.65
F51159,0,0,21.09,35,0.65
F51161,0,0,2318.02,35,0.65
F51163,0,0,1827.65,35,0.65
F51165,0,0,1575.38,35,0.65
F51171,0,0,1303.59,35,0.65
F51177,0,0,345.04,35,0.65
F51179,0,0,196.59,35,0.65
F51181,0,0,106.74,35,0.65
F51187,0,0,648.5,35,0.65
F51193,0,0,19.93,35,0.65
F51199,0,0,56.07,35,0.65
F51510,0,0,12.2,35,0.65
F51530,0,0,1031.35,35,0.65
F51540,0,0,487.68,35,0.65
F51550,0,0,7.53,35,0.65
F51580,0,0,1722,35,0.65
F51630,0,0,119.16,35,0.65
F51650,0,0,5.59,35,0.65
F51660,0,0,1315.6,35,0.65
F51670,0,0,43.27,35,0.65
F51700,0,0,28.73,35,0.65
F51710,0,0,10.12,35,0.65
F51730,0,0,119.1,35,0.65
F51735,0,0,7.12,35,0.65
F51740,0,0,7.68,35,0.65
F51760,0,0,144.47,35,0.65
F51790,0,0,1459.8,35,0.65
F51800,0,0,21.89,35,0.65
F51810,0,0,15.07,35,0.65
F51820,0,0,1473.49,35,0.65
F51830,0,0,76.16,35,0.65
F54003,0,0,508.75,35,0.65
F54023,0,0,2067.82,35,0.65
F54027,0,0,1415.75,35,0.65
F54031,0,0,1743.06,35,0.65
F54037,0,0,452.49,35,0.65
F54057,0,0,941.44,35,0.65
F54063,0,0,2979.55,35,0.65
F54065,0,0,526.23,35,0.65
F54071,0,0,2166.19,35,0.65
end,,,,,
