riverseg,landseg,for,hvf,hwm,nhi,lwm,nlo,hom,nho,hyw,nhy,hyo,alf,nal,pas,npa,trp,urs,afo,cfo,rpd,rid,rcn,rex,npd,nid,nex,cpd,cid,ccn,cex,wat
PL0_5851_0000,A51179,90.303001,0.912,2.2839999,0.26899999,3.8340001,0.45199999,0.20299999,0,10.831,0,1.823,0.52700001,0,10.895,2.60E-02,0.53600001,3.00E-02,0.18,0,0,0,0,0,4.8000002,1.3,0,0,0,0,0,6.2270002
PL0_5900_0000,A51179,42907.133,433.405,201.168,205.07401,337.76401,344.32199,32.231998,0,1723.66,0,308.367,83.814003,0,1718.048,19.839001,67,4.7080002,28.666,0,205,39.299999,157.144,0,2789,1032,0,0,0,0,0,341.82001
PL1_5690_0001,A51179,600.914,6.0700002,0.245,0,0.41100001,0,1.90E-02,0,1.039,0,0.226,5.10E-02,0,0.917,0.13,0,0.003,1.70E-02,0,277,63.599998,6.7989998,0,0.1,0.1,0,0,0,0,0,56.487999
RL5_6070_0000,A51179,15190.349,153.438,306.77499,20.469999,515.08002,34.369999,25.964001,0,1388.483,0,246.117,67.515999,0,1327.286,72.657997,56.257,3.7920001,23.092,0,3660,789,158.655,58.720001,2483,600,225.05499,0,0,0,0,172.578
RU4_5640_6030,A51179,10968.347,110.791,56.796001,40.583,95.360001,68.139999,7.7259998,0,311.815,101.357,69.328003,20.091,0,412.28601,4.296,20.649,1.1289999,6.871,0,0,0,15.11,0,288,236,0,0,0,0,0,105.192
RU5_6030_0001,A51179,8888.9424,89.787003,62.105999,0,104.277,0,4.928,0,263.51199,0,47.723,12.813,0,265.68701,0,9.6630001,0.72000003,4.382,0,0,0,45.330002,0,696,218,359.83301,0,0,0,0,310.90701
JB0_7072_0000,A51181,23892.752,241.341,2912.637,0,2606.155,0,2098.5779,0,264.02499,0,479.84799,16.750999,0,509.63901,0,22.17,7.3870001,4.915,0,0,0,0,0,1060,477,4.6700001,0,0,0,0,280.66101
JB0_7270_0000,A51181,14866.439,150.166,860.82501,67.839996,770.24402,60.702,669.10999,0,84.181999,0,151.72701,5.3410001,0,161.558,0.935,8.3360004,2.355,1.567,0,0,0,0,0,256,158,0,0,0,0,0,137.439
JB0_7271_0000,A51181,5268.5928,53.217999,209.201,19.042999,187.188,17.040001,164.452,0,20.690001,0,37.299,1.313,0,39.674,0.26300001,2.0409999,0.579,0.385,0,0,0,0,0,120,80.900002,18.236,0,0,0,0,15.568
JB0_7390_0000,A51181,6821.4131,68.903,634.862,41.957001,568.05798,37.542,487.65302,0,61.352001,0,110.623,3.892,0,98.682999,19.743,6.0320001,1.717,1.142,0,0,0,0,0,108,105,0,0,0,0,0,88.735001
JB0_7392_0000,A51181,637.71997,6.4419999,36.074001,3.0699999,32.278,2.747,28.204,0,3.5480001,0,6.401,0.22499999,0,5.4039998,1.4450001,0.345,9.90E-02,6.60E-02,0,0,0,0,0,21.1,15.9,0,0,0,0,0,154.564
MN1_7590_7860,A51181,17995.852,181.776,2181.4199,0,1951.88,0,1571.73,0,197.742,0,355.897,12.545,0,381.694,0,20.089001,5.533,3.681,0,0,0,0,0,193,212,0,0,0,0,0,50.039001
MN3_7540_7680,A51181,54844.48,553.98499,4439.041,0,3971.9431,0,3198.364,0,402.39099,0,724.22601,25.528999,0,776.72198,0,40.880001,11.259,7.491,0,0,0,0,0,672,626,3.336,0,0,0,0,160.34599
MN3_7680_7860,A51181,5262.7749,53.159,1590.085,0,1422.7679,0,1145.6689,0,144.138,0,259.42099,9.1450005,0,278.22501,0,14.643,4.033,2.683,0,0,0,3.0220001,0,396,116,8.6730003,0,0,0,0,24.462999
MN4_7810_8080,A51181,1502.822,15.18,204.13901,0,182.659,0,147.084,0,18.504999,0,33.305,1.174,0,35.719002,0,1.88,0.51800001,0.344,0,0,0,0.75599998,0,64.900002,14.3,0,0,0,0,0,16.011999
PS1_4830_5080,A51187,245.38699,2.4790001,1.224,0.40400001,1.964,0.64899999,4.7909999,0,43.948002,3.598,8.8179998,4.8569999,0,99.286003,7.5599999,5.467,0.102,0.642,0,0,0,0,0,15.2,30.700001,0,0,0,0,0,0.667
PS3_5100_5080,A51187,399.71301,4.0380001,1.561,0.148,2.506,0.23800001,5.0310001,0,42.549999,7.3730001,9.283,5.0999999,0,101.81,10.378,5.717,0.108,0.675,0,0,0,0,0,4,5.4000001,0,0,0,0,0,23.351
PS4_5080_4380,A51187,6306.3208,63.700001,28.108,0,45.141998,0.001,82.422997,0.336,788.52002,32.737999,151.895,83.902,0,1802.171,43.381001,94.862999,1.7690001,11.098,0,0,0,7.5549998,0,927,273,165.239,0,0,0,0,268.87399
PS5_4380_4370,A51187,11350.24,114.649,127.792,0,205.242,0,375.76199,0.50400001,3699.1741,34.675999,688.45697,381.46201,0,8301.2217,89.582001,433.431,8.0430002,50.456,0,0,0,22.665001,0,2425,704,119.426,0,0,0,0,645.16498
PS5_5200_4380,A51187,5747.5479,58.056,23.533001,0,37.794998,0,69.140999,0.148,687.58197,0,125.27,70.246002,0,1545.152,0,81.323997,1.4809999,9.291,0,0,0,22.665001,0,2875,860,0,0,0,0,0,174.802
PS5_5240_5200,A51187,11592.44,117.095,35.630001,7.5190001,57.224998,12.076,126.71,0.338,1019.002,241.748,233.65601,128.802,0,2395.042,438.147,145.15401,2.7160001,17.037,0,0,0,7.5549998,0,1043,386,0,0,0,0,0,935.83398
PL0_6100_0000,A51193,19252.273,194.467,2365.9829,0,2069.6379,0,197.23399,0,153.825,0,302.41901,26.156,0,606.39001,0,27.896,5.2940001,2.511,0,0,0,37.775002,0,2353,616,86.956001,0,0,0,0,379.18201
PL0_6101_0000,A51193,2955.5029,29.854,519.75403,0,454.65399,0,43.327999,0,33.792,0,65.978996,5.7459998,0,133.21001,0,6.5840001,1.163,0.552,0,0,0,15.11,0,684,168,0,0,0,0,0,112.976
PL0_6130_0000,A51193,26406.201,266.729,7332.8818,0,6414.4189,0,611.28802,0,387.70099,89.047997,924.828,81.065002,0,1879.38,0,98.915001,16.407,7.783,0,0,0,45.330002,0,3383,834,2.4460001,0,0,0,0,516.84399
PL0_6131_0000,A51193,901.01898,9.1009998,84.579002,0,73.986,0,7.0510001,0,4.1550002,1.344,10.667,0.935,0,21.677,0,1.141,0.189,9.00E-02,0,0,0,0.68000001,0,43.900002,7.1399999,0,0,0,0,0,53.152
PL0_6140_0000,A51193,10021.099,101.223,2611.0161,426.43799,2283.979,373.026,253.21001,0,197.481,0,383.086,33.578999,0,747.19702,31.287001,40.973,6.796,3.224,0,0,0,0,0,1743,446,12.009,0,0,0,0,273.54501
PL0_6141_0000,A51193,1471.832,14.867,190.325,23.754,166.48801,20.778,17.846001,0,13.918,0,27,2.3670001,0,53.124001,1.743,2.888,0.479,0.227,0,0,0,0,0,73.400002,30.9,0,0,0,0,0,62.715
