 station,segment,name
1575500,SL3_2730_2550,CODORUS CR
1576000,SL9_2490_2520,SUSQUEHANNA R
1576500,SL3_2350_2470,CONESTOGA CR
1576540,SL1_2390_2420,MILL CR
1576600,SL3_2420_2700,CONESTOGA CR
1576754,SL3_2420_2700,CONESTOGA CR
1578310,SL9_2720_0001,CONOWINGO DAM
1591000,XU0_4130_4070,PATUXENT R
1594000,XU2_4270_0003,LITTLE PATUXENT R
1594440,XU3_4650_0001,PATUXENT R
1594526,XL1_4690_0001,PATUXENT R  WESTERN BR
1594670,XL0_5320_0001,HUNTING CR
1595200,PU1_4840_4760,MT. STORM POWER STATION DAM/STONY R DAM
1603000,PU4_3890_3990,POTOMAC R  N BR
1604500,PU2_4360_4160,PATTERSON CR
1606500,PU4_5050_0003,POTOMAC R  S BR
1607500,PU2_6050_5190,POTOMAC R  S BR  S FK
1608000,PU2_5190_4310,POTOMAC R  S BR  S FK
1608500,PU4_4310_4210,POTOMAC R  S BR
1611500,PU3_3860_3610,CACAPON R
1614500,PU3_3290_3390,CONOCOCHEAGUE CR
1616500,PU2_4220_3900,OPEQUON CR
1618000,PU6_3752_4080,POTOMAC R
1619500,PU2_3090_4050,ANTIETAM CR
1625000,PS3_6460_6230,MIDDLE R
1626000,PS2_6730_6660,SOUTH R
1627500,PS2_6490_6420,SOUTH R
1629500,PS4_5840_5240,SHENANDOAH R  S FK
1631000,PS5_5240_5200,SHENANDOAH R  S FK
1633000,PS2_5560_5100,SHENANDOAH R  N FK
1634000,PS3_5100_5080,SHENANDOAH R  N FK
1636500,PS5_4380_4370,SHENANDOAH R
1638480,PM1_4430_4200,CATOCTIN R  S FK
1638500,PM7_4200_0003,POTOMAC R
1639000,PM2_2860_3040,MARSH CR
1639500,PM1_3120_3400,BIG PIPE CR
1643000,PM4_4040_0003,MONOCACY R
1643020,PM4_4040_0003,MONOCACY R
1645000,PM1_4250_4500,GREAT SENECA CR
1646500,PM7_4820_0001,POTOMAC R
1649500,PL1_4540_0001,NORTH EAST BRANCH ANACOSTIA
1653600,PL0_5070_0001,PISCATAWAY CR
1654000,PL0_5010_5130,ACCOTINK CR
1658000,PL1_5230_0001,MATTAWOMAN CR
1658500,PL0_5540_5490,QUANTICO CR
1660920,PL2_5300_5630,ZEKIAH SWAMP RUN
1661050,PL0_5750_0001,ST CLEMENT CR
1664000,RU4_5640_0003,RAPPAHANNOCK R
1667500,RU3_6170_6040,RAPIDAN R
1668000,RU5_6030_0001,RAPPAHANNOCK R
1673000,YP4_6720_6750,PAMUNKEY R
1674500,YM4_6620_0003,MATTAPONI R
1AACO014.5,PL0_5010_5130,ACCOTINK CR
1AAUA007.9,PL0_5010_5130,ACCOTINK CR
1AAUA014.5,PL0_5730_5690,AQUIA CR
1ACAM000.9,PL0_5000_0001,HOLMES RUN
1ACAM002.9,PL0_5000_0001,HOLMES RUN
1ACAX004.5,PM1_4430_4200,CATOCTIN R  S FK
1ACER016.4,PL1_5370_5470,CEDAR RUN
1AGOO011.2,PM3_4670_4660,GOOSE CR
1AGOO030.7,PM2_4860_4670,GOOSE CR
1AHOR001.0,PL0_5000_0001,HOLMES RUN
1AHOR001.3,PL0_5000_0001,HOLMES RUN
1AOCC006.7,PL3_5250_0001,OCCOQUAN MAIN DAM
1AOCC021.3,PL3_5360_5250,CEDAR RUN
1AOCC024.7,PL3_5360_5250,CEDAR RUN
1AOPE032.5,PU2_4730_4220,OPEQUON CR
1ASOQ006.7,PL0_5540_5490,QUANTICO CR
1BBLK006.0,PS0_6150_6160,BLACKS RUN AT HARRISONBURG VA
1BBLK006.8,PS0_6150_6160,BLACKS RUN AT HARRISONBURG VA
1BCDR013.2,PS1_4790_4830,CEDAR CR
1BMDL001.8,PS3_6460_6230,MIDDLE R
1BNFS010.3,PS3_5100_5080,SHENANDOAH R  N FK
1BNFS070.6,PS2_5560_5100,SHENANDOAH R  N FK
1BNFS093.5,PS2_5550_5560,SHENANDOAH R  N FK
1BNTH014.0,PS3_6161_6280,NORTH R
1BSSF003.5,PS5_5240_5200,SHENANDOAH R  S FK
1BSSF054.2,PS4_5840_5240,SHENANDOAH R  S FK
1BSSF100.1,PS4_6360_5840,SHENANDOAH R  S FK
1BSTH007.8,PS2_6490_6420,SOUTH R
1BSTH027.8,PS2_6730_6660,SOUTH R
1BTRL000.0,PS2_5550_5560,SHENANDOAH R  N FK
20060,PM1_4250_4500,GREAT SENECA CR
2019500,JU5_7500_7420,JAMES R
2035000,JL7_7100_7030,JAMES R
2037500,JL7_6800_7070,JAMES R
2041650,JA5_7480_0001,GEORGE F. BRASFIELD DAM
2042500,JB3_6820_7053,CHICAHOMINY R
2047000,MN5_8161_0003,NOTTOWAY R
2052000,MN4_8260_8400,MEHERIN R
2054500,OR2_8020_8130,ROANOKE R
2060500,OR4_8120_7890,ROANOKE R
2066000,OR5_8200_8370,ROANOKE R
2072000,OD2_8560_8630,PHILPOTT DAM
2-APP016.3,JA5_7480_0001,GEORGE F. BRASFIELD DAM
2-APP110.9,JA2_7550_7280,APPOMATTOX R
2-BCC004.7,JU2_6600_6810,BACK CR
2-BCC005.5,JU2_6600_6810,BACK CR
2-BLP000.7,JU1_6300_6650,BULLPASTURE R
2-BUF002.1,JL2_7240_7350,BUFFALO R
2-CAT023.8,JU1_7750_7560,CATAWBA CR
2-CFP004.6,JU2_6410_6640,CALFPASTURE R
2-CHK032.7,JB3_6820_7053,CHICAHOMINY R
2-CWP002.5,JU3_6650_7300,COWPASTURE R
2-DPC005.2,JA1_7600_7570,WEST CR
2-JKS000.3,JU4_7000_7300,JAMES R
2-JKS023.6,JU4_7330_0003,JACKSON R
2-JKS030.6,JU3_6950_7330,JACKSON R
2-JKS044.1,JU3_6900_6950,GATHRIGHT DAM
2-JKS044.6,JU3_6900_6950,GATHRIGHT DAM
2-JKS058.6,JU3_6380_6900,JACKSON R
2-JMS117.3,JL7_6800_7070,JAMES R
2-JMS127.5,JL7_6800_7070,JAMES R
2-JMS157.2,JL7_7100_7030,JAMES R
2-JMS189.3,JL6_6890_6990,JAMES R
2-JMS229.1,JL6_7430_7320,JAMES R
2-JMS275.7,JL6_7160_7440,JAMES R
2-JMS282.2,JL6_7160_7440,JAMES R
2-JMS309.1,JU5_7500_7420,JAMES R
2-JMS345.7,JU5_7300_0003,JAMES R
2-JOB000.3,JU1_7630_7490,JOHNS CR
2-MCM005.1,JL1_6560_6440,MECHUMS R
2-MRY014.7,JU4_7260_0003,MAURY R
2-MRY038.1,JU3_6640_6790,MAURY R
2-MRY038.2,JU3_6640_6790,MAURY R
2-PNY005.2,JL1_7080_7190,PINEY R
2-POT000.1,JU4_7000_7300,JAMES R
2-RKF026.4,JL1_6770_6850,ROCKFISH R  N FK
2-RRN002.1,JL2_6240_6520,RIVANNA R  N FK
2-RRS003.1,JL2_6441_6520,SOUTH RIVANNA DAM
2-RVN015.9,JL4_6520_6710,RIVIANNA R
2-SLT003.6,JL2_7110_7120,SLATE R
2-SLT003.8,JL2_7110_7120,SLATE R
2-TYE020.6,JL1_6940_7200,TYE R
3164000,NR5_8870_0003,NEW R
3167000,NR2_8600_8700,REED CR
3168000,NR6_8500_0003,CLAYTOR DAM
3170000,NR3_8420_8430,LITTLE R
3176500,NR6_8051_8000,NEW R
3207800,BS3_8350_8330,BIG SANDY R  LEVISA FK
3208500,BS4_8440_0003,BIG SANDY R  RUSSELL FK
3209000,BS4_8540_8441,JOHN W. FLANNAGAN DAM
3475000,TU2_8790_9070,HOLSTON R  MIDDLE FK
3488000,TU3_8650_8800,HOLSTON R  N FK
3524000,TU4_8680_8810,CLINCH R
3531500,TU3_9230_9260,POWELL R
3-CAT011.6,RL1_6180_0001,CAT POINT CR
3-HAZ009.5,RU3_5610_0003,HAZEL R
3-PIS009.2,RL0_6540_0001,PISCATAWAY CR
3-RAP030.2,RU3_6170_6040,RAPIDAN R
3-RAP066.5,RU2_6090_6220,RAPIDAN R
3-ROB001.9,RU2_5940_6200,ROBINSON R
3-RPP147.1,RU4_5640_0003,RAPPAHANNOCK R
4ABWR032.3,OR1_8320_8271,BLACKWATER R
4AFRV010.9,OR2_7670_7840,FALLING R
4AGSE013.7,OR2_7650_8070,GOOSE CR
4ANMR002.6,OD3_8850_8931,N MAYO R
4APGG008.4,OR2_8460_8271,PIGG R
4ASMR016.0,OD1_8910_8930,S MAYO R
4ASRV007.4,OD2_8670_8890,SANDY R
5ABLW058.2,MN3_7540_7680,BLACKWATER R
5ANTW035.4,MN5_8161_0003,NOTTOWAY R
5ANTW078.2,MN3_7930_8010,NOTTOWAY R
6ALEV131.5,BS3_8350_8330,BIG SANDY R  LEVISA FK
6ARSS025.4,BS4_8440_0003,BIG SANDY R  RUSSELL FK
6BCLN271.5,TU4_8680_8810,CLINCH R
6CMFH013.2,TU2_8790_9070,HOLSTON R  MIDDLE FK
6CNFH085.2,TU3_8650_8800,HOLSTON R  N FK
6CSFH097.4,TU2_8950_9040,HOLSTON R  S FK
8-LTL009.5,YP1_6570_6680,LITTLE R
8-MPN054.1,YM4_6620_0003,MATTAPONI R
8-MPN094.7,YM2_6120_6430,PO R
8-NAR005.4,YP3_6330_6700,N ANNA R
8-NAR032.3,YP2_6390_6330,NORTH ANNA DAM
8-NAR033.9,YP2_6390_6330,NORTH ANNA DAM
8-PMK082.3,YP4_6720_6750,PAMUNKEY R
8-TPT004.3,YP0_6860_6840,TOTOPONOMOY CR
9-LRV009.1,NR3_8420_8430,LITTLE R
9-NEW030.1,NR6_8051_8000,NEW R
9-NEW107.5,NR6_8500_0003,CLAYTOR DAM
9-NEW148.2,NR5_8870_0003,NEW R
9-WFC003.6,NR2_8210_8180,WOLF CR
A4,PL0_4510_0001,ANACOSTI R
A7,PL1_4540_0001,NORTH EAST BRANCH ANACOSTIA
ANA0082,PL0_4510_0001,ANACOSTI R
ANT0044,PU2_3090_4050,ANTIETAM CR
ANT0203,PU2_3090_4050,ANTIETAM CR
ANT0366,PU0_3000_3090,ANTIETAM CR  E BR
BDK0000,PU3_3680_3890,WILLS CR
BPC0035,PM1_3120_3400,BIG PIPE CR
CAC0031,PM1_4000_4290,CATOCTIN CR
CAC0148,PM1_3510_4000,CATOCTIN CR
CAS0479,GY0_3800_3801,CASSELMAN R
CCR0001,GY0_4240_3951,DEEP CR HYDROELECTRIC DAM
CHO0626,EM2_3980_0001,CHOPTANK R
CJB0005,PM0_4640_4820,CABIN JOHN CR
CLA0019,PL0_5530_5710,CLARK RUN
CON0005,PU3_3390_3730,CONOCOCHEAGUE CR
CON0180,PU3_3290_3390,CONOCOCHEAGUE CR
DER0015,SL2_3060_0001,DEER CR
DER0231,SL2_2910_3060,DEER CR
EVI0118,PU1_3170_3580,EVITTS CR
GEO0009,PU1_3940_3970,GEORGES CR
GIC0004,PL0_5510_0001,GILBERT SWAMP RUN
GUN0125,WU3_3481_0001,GUNPOWDER FALLS
GUN0258,WU2_3020_3320,GUNPOWDER FALLS
GUN0476,WU0_3021_3020,PRETTYBOY DAM
GWN0115,WM1_3660_3910,GWYNNS FALLS
JON0184,WM0_3650_0001,JONES FALLS
LIC0094,PU2_2840_3080,LICKING CR
LR-LR1,PU3_4280_3860,LOST R
LXT0173,XU2_4270_0003,LITTLE PATUXENT R
LYO0004,GY0_4530_4532,LITTLE YOUGHIOGHENY R
MCN0017,PL0_5830_0001,MCINTOSH RUN
MON0020,PM4_4040_4410,MONOCACY R
MON0155,PM4_4040_0003,MONOCACY R
MON0167,PM4_4040_0003,MONOCACY R
MON0269,PM4_3340_3341,MONOCACY R
MON0528,PM2_2860_3040,MARSH CR
NAJ0110,PL0_5720_0001,NANJEMOY CR
NAS0073,EL1_5430_0001,NASSAWANGO CR
NB-NC1,PU4_3970_3890,POTOMAC R  N BR
NBP0023,PU5_3930_4170,POTOMAC R  N BR
NBP0103,PU4_3780_3930,POTOMAC R  N BR
NBP0196,PU4_3890_3990,POTOMAC R  N BR
NBP0326,PU4_3970_3890,POTOMAC R  N BR
NBP0461,PU4_3970_3890,POTOMAC R  N BR
NBP0534,PU4_4440_0003,POTOMAC R  N BR
NBP0689,PU3_4450_4440,BLOOMINGTON/JENNINGS RANDOLPH
NB-PC1,PU2_4160_3930,PATTERSON CR
NB-SR1,PU1_4840_4760,MT. STORM POWER STATION DAM/STONY R DAM
NPA0165,WM0_3881_3880,LIBERTY DAM
PAT0176,WM3_4060_0001,PATAPSCO R
PAT0285,WM3_3880_4060,PATAPSCO R
PC-000-006,PU3_3860_3610,CACAPON R
PIS0033,PL0_5070_0001,PISCATAWAY CR
POK0527,EL2_5110_5270,POCOMOKE R
POT1184,PM7_4820_0001,POTOMAC R
POT1471,PM7_4620_0003,POTOMAC R
POT1472,PM7_4620_0003,POTOMAC R
POT1595,PM7_4200_0003,POTOMAC R
POT1596,PM7_4200_0003,POTOMAC R
POT1830,PU6_3752_4080,POTOMAC R
POT2386,PU6_3610_3530,POTOMAC R
POT2766,PU6_4020_3870,POTOMAC R
PT-OP2,PU2_4220_3900,OPEQUON CR
PT-PT1,PU6_4180_4150,POTOMAC R
PT-SC1,PU6_3440_3590,POTOMAC R
PXT0603,XU3_4650_0001,PATUXENT R
PXT0809,XU2_4330_4480,ROCKY GORGE DAM
PXT0972,XU0_4130_4070,PATUXENT R
RCM0111,PL1_4460_4780,ROCK CR
SAV0000,PU1_4300_4440,SAVAGE R
SAV0037,PU1_4190_4300,SAVAGE R DAM
SB3-SB10,PU4_4210_4170,POTOMAC R  S BR
SCC0023,PL0_5750_0001,ST CLEMENT CR
SEN0008,PM1_4500_4580,SENECA CR
SF-SF4,PU2_6050_5190,POTOMAC R  S BR  S FK
SMR0120,PL1_5910_0001,ST MARYS R
SR-SH3,PS5_4370_4150,SHENANDOAH R
SUS0109,SL9_2720_0001,CONOWINGO DAM
TOC0038,PU1_3030_3440,TONOLOWAY CR
TOW0030,PU2_3370_4020,TOWN CR
TOW0283,PU2_3180_3370,TOWN CR
WGP0050,WU1_3350_3490,WESTERN RUN
WIL0013,PU3_3680_3890,WILLS CR
WIL0067,PU2_3140_3680,WILLS CR
WQN0201,SL9_2490_2520,SUSQUEHANNA R
WQN0202,SL9_2270_0003,SUSQUEHANNA R
WQN0203,SL8_1760_1780,SUSQUEHANNA R
WQN0205,SL3_2350_2470,CONESTOGA CR
WQN0207,SL3_2730_2550,CODORUS CR
WQN0208,SL1_2830_2760,CODORUS  W BR
WQN0209,SL1_2770_2730,CODORUS CR  S BR
WQN0210,SL3_2460_2430,CONEWAGO CR
WQN0211,SL4_2140_2240,SWATARA CR
WQN0213,SL4_2370_2330,CONODOGUINET CR
WQN0214,SJ6_2130_0003,JUNIATA R
WQN0215,SJ5_2210_2320,JUNIATA R
WQN0216,SJ4_2060_2010,WARRIOR RIDGE DAM
WQN0217,SJ3_2040_1980,LITTLE JUNIATA R
WQN0223,SJ4_2660_2360,JUNIATA R  RAYSTOWN BR
WQN0224,SJ3_2250_2230,JUNIATA R  FRANKSTOWN BR
WQN0226,SL2_1810_2030,MAHANTANGO CR
WQN0229,SL3_1710_1740,PENNS CR
WQN0230,SL1_1730_1700,SHAMOKIN CR
WQN0231,SL3_2420_2700,CONESTOGA CR
WQN0243,SL3_2290_2260,SHERMAN CR
WQN0301,SU8_1610_1530,SUSQUEHANNA R
WQN0302,SU7_1120_1140,SUSQUEHANNA R
WQN0305,SU7_0850_0730,SUSQUEHANNA R
WQN0306,SU6_0480_0520,SUSQUEHANNA R
WQN0313,SU3_0970_1120,LACKAWANNA R
WQN0314,SU3_0810_0970,LACKAWANNA R
WQN0315,SU2_0670_0810,LACKAWANNA R
WQN0317,SU3_0710_0910,TUNKHANNOCK CR
WQN0318,SU2_0900_0870,TOWANDA CR
WQN0319,SU3_0831_0790,TIOGA DAM
WQN0320,SU2_0741_0690,COWANESQUE DAM
WQN0324,SU3_0790_0770,TIOGA R
WQN0332,SU5_0610_0600,CHEMUNG R
WQN0401,SW7_1640_0003,SUSQUEHANNA R  W BR
WQN0402,SW7_1320_0003,SUSQUEHANNA R  W BR
WQN0403,SW6_1330_1230,SUSQUEHANNA R  W BR
WQN0404,SW5_1540_0003,SUSQUEHANNA R  W BR
WQN0405,SW4_1860_1720,CURWENSVILLE DAM
WQN0406,SW4_1940_1860,SUSQUEHANNA R  W BR
WQN0408,SW4_1260_0003,LOYALSOCK CR
WQN0409,SW3_1040_1220,LYCOMING CR
WQN0410,SW5_1350_0003,PINE CR
WQN0411,SW4_1110_1150,PINE CR
WQN0412,SW3_1690_1660,FOSTER JOSEPH SAYERS DAM
WQN0413,SW3_1690_0003,FOSTER JOSEPH SAYERS DAM
WQN0415,SW1_1890_1830,SPRING CR
WQN0418,SW4_1430_1490,BENNETTE BR
WQN0419,SW3_1091_1380,GEORGE B. STEVENSON DAM
WQN0420,SW3_1270_1370,DRIFTWOOD BR
WQN0421,SW3_1920_1750,MOSHANNON CR
WQN0422,SW3_1870_1800,CLEARFIELD CR
WQN0423,SW0_1520_1600,BEECH CR
WQN0425,SW1_1450_1510,CHILLISQUAQUE CR
WQN0434,SW3_1130_1390,ALVIN R. BUSH DAM
WQN0446,SW1_1180_1190,MUNCY CR
WXT0045,XL1_4690_0001,PATUXENT R  WESTERN BR
YOU0925,GY0_3951_3952,YOUGHIOGHENY R
YOU1139,GY0_4532_0003,YOUGHIOGHENY R
