
ITER 1
                    SUSQ POTO JAME RAPP APPO PAMU MATT PATU CHOP
set PIPX      = (	34.5	-13.2	-69.4	-15.5	332.3	71.0	793.7	-21.8	344.1 )
set ORGP      = (	-42.2	-71.0	-52.5	-65.7	-59.3	-45.8	-57.2	-42.4	-84.7 )
set TOTP      = (	-11.5	-41.9	-42.2	-32.1	-8.1	-9.0	-22.7	-26.0	4.4 )
set TSED      = (	-20.4	-33.8	-24.7	-1.8	3.9	-0.4	0.2	35.9	166.1 )
set TSSX      = (	-20.5	-33.4	-2.4	29.3	22.5	28.8	51.9	37.5	167.4 )

ITER 11
                    SUSQ POTO JAME RAPP APPO PAMU MATT PATU CHOP
set NH3X      = (	-45.8	-11.9	2.1	52.0	10.0	24.4	104.7	2.0	91.1 )
set NO23      = (	-37.4	-32.1	17.3	21.9	69.3	42.8	121.4	-11.2	68.2 )
set ORGN      = (	54.7	-33.1	-51.4	-43.7	-43.8	-22.5	-14.3	50.9	-49.9 )
set TOTN      = (	-13.1	-31.8	-28.4	-11.1	-9.9	0.3	24.0	8.3	29.0 )
set PO4X      = (	3.7	-29.2	33.0	-4.7	-25.7	19.1	25.3	-2.2	-14.8 )
set PIPX      = (	44.0	-12.2	-69.2	-15.3	322.3	67.7	824.2	-20.1	345.1 )
set ORGP      = (	-38.7	-71.1	-53.4	-65.8	-59.0	-45.3	-56.9	-42.5	-84.8 )
set TOTP      = (	-11.9	-42.0	-42.0	-32.2	-9.2	-8.9	-22.2	-25.9	4.4 )
set TSED      = (	-17.0	-31.0	-22.5	-1.7	1.1	-2.4	1.8	38.7	166.4 )
set TSSX      = (	-16.8	-30.7	0.5	29.4	19.3	26.3	54.1	40.2	167.8 )

ITER 12
                    SUSQ POTO JAME RAPP APPO PAMU MATT PATU CHOP
set NH3X      = (	-40.9	-11.5	6.7	51.6	10.2	34.7	98.7	2.4	91.0 )
set NO23      = (	-37.1	-31.9	18.0	22.3	69.3	43.0	120.1	-10.5	68.3 )
set ORGN      = (	52.7	-32.3	-50.9	-43.9	-43.1	-22.8	-13.8	50.4	-50.3 )
set TOTN      = (	-13.2	-31.4	-27.8	-11.1	-9.5	0.6	23.8	8.6	28.9 )
set PO4X      = (	32.8	-28.5	32.1	-4.4	-26.4	12.2	24.1	-2.3	-14.9 )
set PIPX      = (	39.2	-15.6	-69.9	-16.0	314.6	92.2	853.8	-18.3	345.9 )
set ORGP      = (	-42.0	-70.7	-52.6	-66.0	-58.4	-46.0	-56.7	-43.2	-84.9 )
set TOTP      = (	-11.0	-42.9	-42.3	-32.7	-9.9	-5.9	-21.7	-25.4	4.4 )
set TSED      = (	-17.3	-34.3	-23.1	-3.7	-1.0	31.3	3.6	41.3	166.9 )
set TSSX      = (	-17.5	-34.0	-0.2	26.8	16.7	69.3	56.8	42.9	168.2 )

ITER 13
                    SUSQ POTO JAME RAPP APPO PAMU MATT PATU CHOP
set NH3X      = (	-43.2	-8.8	15.0	52.6	10.7	32.3	93.8	2.6	91.0 )
set NO23      = (	-36.8	-31.7	18.3	22.9	69.2	43.4	118.2	-10.5	68.1 )
set ORGN      = (	56.2	-31.7	-51.3	-44.1	-42.6	-22.5	-13.4	50.6	-50.5 )
set TOTN      = (	-12.2	-31.0	-27.6	-11.0	-9.2	0.8	23.4	8.7	28.7 )
set PO4X      = (	-1.3	-27.8	32.3	-5.3	-27.1	13.8	23.4	-4.5	-15.0 )
set PIPX      = (	49.5	-16.5	-69.9	-16.0	313.5	93.3	875.6	-16.3	346.2 )
set ORGP      = (	-38.3	-70.3	-53.2	-66.3	-58.1	-45.9	-56.5	-42.9	-84.8 )
set TOTP      = (	-10.9	-42.9	-42.4	-32.9	-9.9	-5.3	-21.3	-25.0	4.5 )
set TSED      = (	-12.8	-32.8	-20.0	-4.1	-0.8	35.9	4.8	44.1	167.2 )
set TSSX      = (	-12.8	-32.5	3.7	26.3	16.9	75.2	58.5	45.7	168.6 )

ITER 14
                    SUSQ POTO JAME RAPP APPO PAMU MATT PATU CHOP
set NH3X      = (	-40.1	-6.8	30.6	51.0	11.0	31.1	89.6	3.0	91.0 )
set NO23      = (	-36.1	-31.5	19.1	22.9	69.2	42.0	116.8	-10.1	68.2 )
set ORGN      = (	53.1	-31.4	-51.1	-44.1	-42.2	-22.3	-13.0	50.4	-51.1 )
set TOTN      = (	-12.4	-30.7	-26.7	-11.0	-8.8	0.4	23.2	9.0	28.6 )
set PO4X      = (	31.8	-27.0	30.8	-4.7	-27.6	15.5	22.7	-4.8	-14.9 )
set PIPX      = (	40.6	-18.0	-68.2	-17.4	315.0	94.5	896.5	-14.4	346.6 )
set ORGP      = (	-43.0	-70.1	-52.9	-66.3	-57.7	-45.7	-56.4	-43.2	-84.9 )
set TOTP      = (	-11.3	-43.2	-41.9	-33.6	-9.5	-4.6	-20.9	-24.4	4.5 )
set TSED      = (	-17.5	-31.5	-10.6	-12.9	-0.1	39.6	6.1	46.8	167.5 )
set TSSX      = (	-17.8	-31.1	15.8	14.7	17.7	80.0	60.3	48.4	169.0 )

ITER 15
                    SUSQ POTO JAME RAPP APPO PAMU MATT PATU CHOP
set NH3X      = (	-41.8	-4.1	46.4	49.5	11.3	29.7	86.2	3.1	91.0 )
set NO23      = (	-35.9	-31.4	21.0	23.0	69.8	41.1	115.8	-9.9	68.1 )
set ORGN      = (	56.6	-30.9	-51.8	-44.1	-41.8	-22.3	-12.8	50.5	-51.6 )
set TOTN      = (	-11.4	-30.4	-26.0	-11.0	-8.4	0.1	22.9	9.1	28.3 )
set PO4X      = (	-1.2	-26.8	33.3	-1.5	-27.8	16.8	22.1	-5.7	-14.9 )
set PIPX      = (	49.9	-17.3	-66.0	-18.5	316.8	95.7	914.8	-13.2	347.0 )
set ORGP      = (	-38.8	-69.7	-53.9	-66.2	-57.4	-45.7	-56.3	-43.2	-85.0 )
set TOTP      = (	-11.1	-42.7	-40.7	-33.8	-9.2	-4.1	-20.5	-24.1	4.5 )
set TSED      = (	-13.5	-29.0	0.2	-22.3	1.3	43.1	7.2	48.5	167.8 )
set TSSX      = (	-13.5	-28.6	29.7	2.4	19.3	84.5	62.1	50.1	169.2 )

ITER 16
                    SUSQ POTO JAME RAPP APPO PAMU MATT PATU CHOP
set NH3X      = (	-37.5	-2.3	39.1	53.0	11.5	28.6	83.6	3.5	90.9 )
set NO23      = (	-35.1	-31.2	21.5	23.3	69.4	40.2	116.4	-9.6	68.2 )
set ORGN      = (	52.7	-30.7	-51.2	-44.4	-41.4	-22.2	-12.5	50.4	-52.0 )
set TOTN      = (	-11.7	-30.2	-25.7	-10.9	-8.2	-0.1	23.1	9.3	28.3 )
set PO4X      = (	32.2	-25.2	32.8	-3.5	-27.6	17.6	21.5	-6.1	-14.9 )
set PIPX      = (	44.3	-17.1	-69.1	-17.8	314.1	96.9	931.4	-11.6	347.6 )
set ORGP      = (	-44.2	-69.6	-53.0	-66.5	-56.9	-45.7	-56.1	-43.3	-85.1 )
set TOTP      = (	-11.0	-42.3	-41.9	-33.8	-9.1	-3.7	-20.2	-23.6	4.6 )
