 STATION SW7_1640_0003 for TOTN
   upstream segment SW2_1770_1690 SW7_1320_0003 TOTP
   upstream segment SW1_1830_1690 SW7_1320_0003 TOTP
   upstream segment SW3_1130_1390 SW7_1320_0003 TOTP
   upstream segment SW4_1490_1400 SW7_1320_0003 TOTP
   upstream segment SW5_1540_1400 SW7_1320_0003 TOTP
   upstream segment SW1_1890_1830 SW7_1320_0003 TOTP
   upstream segment SW2_1100_1130 SW7_1320_0003 TOTP
   upstream segment SW3_1380_1490 SW7_1320_0003 TOTP
   upstream segment SW4_1430_1490 SW7_1320_0003 TOTP
   upstream segment SW3_1750_1540 SW7_1320_0003 TOTP
   upstream segment SW5_1650_1540 SW7_1320_0003 TOTP
   upstream segment SW1_1910_1890 SW7_1320_0003 TOTP
   upstream segment SW3_1091_1380 SW7_1320_0003 TOTP
   upstream segment SW2_1360_1430 SW7_1320_0003 TOTP
   upstream segment SW3_1370_1430 SW7_1320_0003 TOTP
   upstream segment SW3_1920_1750 SW7_1320_0003 TOTP
   upstream segment SW3_1800_1650 SW7_1320_0003 TOTP
   upstream segment SW4_1720_1650 SW7_1320_0003 TOTP
   upstream segment SW3_1090_1091 SW7_1320_0003 TOTP
   upstream segment SW3_1270_1370 SW7_1320_0003 TOTP
   upstream segment SW3_1870_1800 SW7_1320_0003 TOTP
   upstream segment SW4_1860_1720 SW7_1320_0003 TOTP
   upstream segment SW1_1170_1270 SW7_1320_0003 TOTP
   upstream segment SW2_1240_1270 SW7_1320_0003 TOTP
   upstream segment SW4_1940_1860 SW7_1320_0003 TOTP
   upstream segment SW2_1950_1940 SW7_1320_0003 TOTP
   upstream segment SW2_2020_1940 SW7_1320_0003 TOTP
     upstream station SW3_1040_1220 SW7_1320_0003 TOTP
 STATION SW7_1640_0003 for TOTP
   upstream segment SW1_1570_1640 SW7_1640_0003 TOTP
   upstream segment SW7_1460_1640 SW7_1640_0003 TOTP
   upstream segment SW1_1560_1460 SW7_1640_0003 TOTP
   upstream segment SW7_1410_1460 SW7_1640_0003 TOTP
   upstream segment SW2_1190_1410 SW7_1640_0003 TOTP
   upstream segment SW7_1300_1410 SW7_1640_0003 TOTP
   upstream segment SW1_1180_1190 SW7_1640_0003 TOTP
   upstream segment SW4_1260_1300 SW7_1640_0003 TOTP
   upstream segment SW7_1320_1300 SW7_1640_0003 TOTP
   upstream segment SW1_1160_1260 SW7_1640_0003 TOTP
   upstream segment SW3_1060_1260 SW7_1640_0003 TOTP
   upstream segment SW3_1220_1320 SW7_1640_0003 TOTP
   upstream segment SW7_1340_1320 SW7_1640_0003 TOTP
   upstream segment SW2_1030_1060 SW7_1640_0003 TOTP
   upstream segment SW2_1070_1060 SW7_1640_0003 TOTP
   upstream segment SW3_1250_1340 SW7_1640_0003 TOTP
