river,land,weight***
PM7_4620_0003,A51840, 0.138
PM7_4620_0003,A54003, 0.138
PM7_4620_0003,A54037, 0.154
PM7_4820_0001,A51187, 0.106
PM7_4820_0001,A51043, 0.138
PM7_4820_0001,A51840, 0.169
PM7_4820_0001,A54003, 0.169
PM7_4820_0001,A54037, 0.190
PM7_4820_0001,A54065, 0.123
YM2_6120_6430,A51033, 0.214
YM2_6120_6430,A51177, 0.519
YM4_6620_0003,A51097, 1.000
YM4_6620_0003,A51101, 0.894
YM4_6620_0003,A51033, 0.786
YM4_6620_0003,A51177, 0.312
YP0_6860_6840,A51085, 0.422
YP1_6570_6680,A51085, 0.218
YP1_6570_6680,A51109, 0.265
YP2_6390_6330,A51137, 0.306
YP2_6390_6330,A51109, 0.210
YP3_6330_6700,A51137, 0.282
YP3_6330_6700,A51177, 0.169
YP3_6330_6700,A51109, 0.202
YP4_6720_6750,A51101, 0.106
YP4_6720_6750,A51137, 0.149
YP4_6720_6750,A51085, 0.184
YP4_6720_6750,A51109, 0.323
YP4_6720_6750,A51075, 0.175
EL0_4562_0003,A10001, 0.140
EL0_4562_0003,A10005, 1.000
EL1_5430_0001,A24047, 1.000
EL1_5430_0001,A24045, 1.000
EM2_3980_0001,A10001, 0.860
EM2_3980_0001,A24011, 1.000
EM2_3980_0001,A24035, 1.000
RL0_6540_0001,A51057, 1.000
RL1_6180_0001,A51193, 1.000
RL1_6180_0001,A51159, 1.000
RU2_5940_6200,A51047, 0.165
RU2_5940_6200,A51113, 0.564
RU2_5940_6200,B51113, 0.340
RU2_6090_6220,B51113, 0.336
RU2_6090_6220,A51079, 0.210
RU2_6090_6220,B51079, 0.323
RU4_5640_0003,A51061, 0.122
RU4_5640_0003,B51061, 0.299
RU4_5640_0003,A51047, 0.366
RU4_5640_0003,A51157, 0.691
RU4_5640_0003,B51157, 0.691
RU3_6170_6040,A51137, 0.129
RU3_6170_6040,A51113, 0.298
RU3_6170_6040,B51113, 0.210
RU3_6170_6040,A51079, 0.112
RU3_6170_6040,B51079, 0.101
RU5_6030_0001,B51061, 0.134
RU5_6030_0001,A51137, 0.135
RU5_6030_0001,A51630, 1.000
RU5_6030_0001,A51047, 0.469
RU5_6030_0001,A51157, 0.309
RU5_6030_0001,B51157, 0.309
RU5_6030_0001,A51113, 0.139
RU5_6030_0001,B51113, 0.114
JA1_7600_7570,A51007, 0.417
JA1_7600_7570,A51135, 0.793
JA2_7550_7280,A51147, 0.595
JA2_7550_7280,A51011, 0.759
JA2_7550_7280,A51049, 0.261
JA5_7480_0001,A51041, 1.000
JA5_7480_0001,A51145, 0.683
JA5_7480_0001,A51007, 0.583
JA5_7480_0001,A51135, 0.207
JA5_7480_0001,A51147, 0.405
JA5_7480_0001,A51011, 0.241
JA5_7480_0001,A51049, 0.457
JA5_7480_0001,A51053, 1.000
JB3_6820_7053,A51127, 1.000
JB3_6820_7053,A51085, 0.176
JB3_6820_7053,A51036, 1.000
JB3_6820_7053,A51087, 1.000
