  river,land,weight,maxLsegImportance***
JL2_6240_6520,A51003, 0.151, 0.966
JL2_6240_6520,A51079, 0.474, 0.292
JL2_6240_6520,B51079, 0.424, 0.256
RU4_5640_0003,A51061, 0.115, 1.000
RU4_5640_0003,A51047, 0.304, 0.240
RU4_5640_0003,A51157, 0.336, 0.461
RU4_5640_0003,B51157, 0.321, 0.261
RU3_5610_0003,A51047, 0.226, 0.240
RU3_5610_0003,A51157, 0.536, 0.461
RU3_5610_0003,B51157, 0.557, 0.261
PU4_5050_0003,A54023, 0.111, 0.416
PU4_5050_0003,B54071, 0.472, 0.530
JL1_6770_6850,A51125, 0.479, 0.454
JL1_6770_6850,B51125, 0.396, 0.546
PM7_4200_0003,A51187, 0.148, 0.042
PM7_4200_0003,A54037, 0.108, 0.155
PM7_4200_0003,A54065, 0.156, 0.049
PM7_4200_0003,B51187, 0.127, 0.030
DE0_3791_0001,A10001, 0.271, 1.000
PM4_4040_0003,A24013, 0.209, 1.000
PM4_4040_0003,A24021, 1.000, 0.340
PM4_4040_0003,A42001, 0.149, 0.816
PM4_4040_0003,B42001, 0.193, 0.118
PM4_4040_0003,B24021, 0.104, 1.000
OD5_8770_0003,A51089, 0.139, 0.506
OD5_8770_0003,A37157, 0.360, 0.198
OD5_8770_0003,A51590, 0.278, 0.017
OD5_8770_0003,A51690, 0.184, 0.020
OD5_8770_0003,A37067, 0.269, 0.086
OD5_8770_0003,A37169, 0.228, 0.371
OD5_8770_0003,A37171, 0.106, 0.047
OD5_8770_0003,A37081, 0.269, 0.011
JL1_7080_7190,B51125, 0.179, 0.546
JL1_7080_7190,A51009, 0.179, 0.826
JL1_7080_7190,B51009, 0.746, 0.501
NR5_8870_0003,B51077, 0.556, 0.158
NR5_8870_0003,A51077, 0.587, 0.168
NR5_8870_0003,A37005, 0.665, 0.049
NR5_8870_0003,B37005, 0.662, 0.141
NR5_8870_0003,A37009, 0.398, 0.221
NR5_8870_0003,B37009, 0.321, 0.260
NR5_8870_0003,A37189, 0.166, 0.519
DE0_4231_0001,A10001, 0.271, 1.000
MN5_8161_0003,A51053, 0.206, 0.984
MN5_8161_0003,A51175, 0.276, 0.180
MN5_8161_0003,A51183, 0.396, 0.234
MN5_8161_0003,A51081, 0.287, 0.129
GY0_4532_0003,A24023, 0.127, 1.000
GY0_4532_0003,A54077, 0.630, 0.383
JU5_7300_0003,B51017, 0.193, 0.391
JU5_7300_0003,A51017, 0.138, 0.559
JU5_7300_0003,A51005, 0.177, 0.821
JU5_7300_0003,A54063, 0.105, 0.297
JU5_7300_0003,A51580, 0.364, 0.004
JB3_6820_7053,A51036, 1.000, 0.071
JB3_6820_7053,A51127, 1.000, 0.153
JB3_6820_7053,A51087, 1.000, 0.460
JB3_6820_7053,A51760, 1.000, 0.025
JB3_6820_7053,A51085, 0.130, 1.000
JU4_7260_0003,A51163, 0.447, 0.488
JU4_7260_0003,B51163, 0.481, 0.065
JU4_7260_0003,C51015, 0.149, 0.906
JU4_7260_0003,A51678, 0.728, 0.004
BS4_8440_0003,A51027, 0.205, 1.000
BS4_8440_0003,A51051, 0.635, 0.723
YP4_6720_6750,A51085, 0.116, 1.000
YP4_6720_6750,A51137, 0.302, 0.173
YP4_6720_6750,A51109, 0.264, 0.703
YP4_6720_6750,A51075, 0.109, 0.041
YP4_6720_6750,A51101, 0.109, 0.009
JL4_6520_6710,A51003, 0.210, 0.966
JL4_6520_6710,B51003, 0.397, 0.196
JL4_6520_6710,A51079, 0.120, 0.292
JL4_6520_6710,A51065, 0.481, 0.114
JL4_6520_6710,A51540, 0.899, 0.015
JL2_7240_7350,A51009, 0.821, 0.826
JL2_7240_7350,B51009, 0.254, 0.501
YP3_6470_6690,A51085, 0.102, 1.000
YP3_6470_6690,A51109, 0.415, 0.703
YP3_6470_6690,A51075, 0.304, 0.041
YP1_6570_6680,A51085, 0.204, 1.000
YP1_6570_6680,A51109, 0.321, 0.703
YP0_6860_6840,A51085, 0.448, 1.000
YM2_6120_6430,A51033, 0.263, 0.598
YM2_6120_6430,A51177, 0.686, 0.767
XU3_4650_0001,A24003, 1.000, 0.170
XU3_4650_0001,A24027, 0.264, 1.000
JL1_6940_7200,A51125, 0.521, 0.454
JL1_6940_7200,B51125, 0.425, 0.546
JU1_7750_7560,A51023, 0.456, 0.462
JU1_7750_7560,A51161, 0.460, 0.538
XU0_4130_4070,A24031, 0.151, 1.000
XU0_4130_4070,A24027, 0.249, 1.000
XL1_4690_0001,A24033, 0.316, 1.000
XL0_5320_0001,A24009, 1.000, 1.000
JU2_6410_6640,C51015, 0.452, 0.906
WU1_3350_3490,A24005, 0.496, 1.000
WU1_3240_3331,A24025, 0.620, 1.000
JU1_7630_7490,A51045, 0.474, 0.888
JU1_7630_7490,A51071, 0.759, 0.112
WM1_3660_3910,A24005, 0.504, 1.000
TU4_8680_8810,A51185, 0.362, 0.402
TU4_8680_8810,B51185, 0.678, 0.114
TU4_8680_8810,A51167, 0.573, 0.381
TU4_8680_8810,B51167, 0.531, 0.103
TU3_8650_8800,A51185, 0.207, 0.402
TU3_8650_8800,A51021, 0.149, 0.640
TU3_8650_8800,A51173, 0.288, 0.768
TU3_9230_9260,A51195, 0.416, 0.584
TU3_9230_9260,A51105, 1.000, 0.247
TU3_9230_9260,B51195, 0.727, 0.072
TU3_9230_9260,B51105, 1.000, 0.254
TU3_9230_9260,A51720, 0.749, 0.010
TU2_8950_9040,A51173, 0.312, 0.768
TU2_8950_9040,B51077, 0.159, 0.158
TU2_8950_9040,B51173, 0.682, 0.356
TU2_8790_9070,A51173, 0.400, 0.768
TU2_8790_9070,A51191, 0.598, 0.210
JU3_6640_6790,A51163, 0.281, 0.488
JU3_6640_6790,C51015, 0.284, 0.906
JU3_6640_6790,B51017, 0.164, 0.391
SL9_2490_2520,A42067, 0.482, 0.016
SL9_2490_2520,A42087, 0.196, 0.048
SL9_2490_2520,A42109, 0.331, 0.014
SL9_2490_2520,B42043, 0.126, 0.052
SL9_2490_2520,B42081, 0.113, 0.079
SL9_2490_2520,A42025, 0.173, 0.000
SL8_1760_1780,B42119, 0.106, 0.033
SL8_1760_1780,B42081, 0.160, 0.079
SL8_1760_1780,A42025, 0.244, 0.000
SL8_1760_1780,B42035, 0.145, 0.045
SL8_1760_1780,B42131, 0.150, 0.011
SU8_1610_1530,A42025, 0.398, 0.000
SU8_1610_1530,A42079, 0.168, 0.247
SU8_1610_1530,B42131, 0.235, 0.011
SU8_1610_1530,A42131, 0.135, 0.138
SU8_1610_1530,A42015, 0.107, 0.518
SU8_1610_1530,A36015, 0.123, 0.110
SU8_1610_1530,A36107, 0.140, 0.106
SU8_1610_1530,A36109, 0.140, 0.019
SU8_1610_1530,A36007, 0.101, 0.129
SU7_1120_1140,B42131, 0.264, 0.011
SU7_1120_1140,A42131, 0.152, 0.138
SU7_1120_1140,A42015, 0.120, 0.518
SU7_1120_1140,A36015, 0.138, 0.110
SU7_1120_1140,A36107, 0.158, 0.106
SU7_1120_1140,A36109, 0.158, 0.019
SU7_1120_1140,A36007, 0.113, 0.129
SU7_0850_0730,A36015, 0.177, 0.110
SU7_0850_0730,A36107, 0.202, 0.106
SU7_0850_0730,A36109, 0.202, 0.019
SU7_0850_0730,A36007, 0.145, 0.129
SU6_0480_0520,A36007, 0.158, 0.129
SU6_0480_0520,A36065, 0.103, 0.066
SU6_0480_0520,A36025, 0.296, 0.252
SU6_0480_0520,A36077, 0.167, 1.000
SU6_0480_0520,A36043, 0.241, 0.081
SU6_0480_0520,A36095, 0.276, 0.040
SU5_0340_0310,A36025, 0.570, 0.252
SU5_0340_0310,A36077, 0.254, 1.000
SU5_0340_0310,A36043, 0.242, 0.081
SU5_0340_0310,A36095, 0.599, 0.040
SU4_0300_0310,A36017, 0.152, 0.552
SU4_0300_0310,A36065, 0.410, 0.066
SU4_0300_0310,A36077, 0.200, 1.000
SU4_0300_0310,A36043, 0.516, 0.081
JU1_6300_6650,B51091, 0.676, 0.653
SU5_0610_0600,A36015, 0.404, 0.110
SU5_0610_0600,A36101, 0.205, 0.856
SU5_0610_0600,A36097, 0.213, 0.086
SU5_0610_0600,A36051, 0.131, 0.034
SU5_0610_0600,A36069, 0.131, 0.002
SU5_0610_0600,A36123, 0.131, 0.022
JU2_7450_7360,A51045, 0.119, 0.888
JU2_7450_7360,A51005, 0.260, 0.821
JU2_7450_7360,A54063, 0.559, 0.297
SU3_0090_0170,A36017, 0.121, 0.552
SU3_0090_0170,A36053, 0.628, 0.743
SU3_0090_0170,A36065, 0.487, 0.066
SU1_0080_0210,A36077, 0.379, 1.000
JU3_7490_7400,A51045, 0.407, 0.888
JU3_7490_7400,A51071, 0.241, 0.112
JU3_6650_7300,B51017, 0.516, 0.391
JU3_6650_7300,B51091, 0.324, 0.653
JU2_7140_7330,A51005, 0.446, 0.821
JU2_7140_7330,A54063, 0.336, 0.297
SU2_0920_0830,A42117, 0.341, 0.927
SW6_1330_1230,A42035, 0.156, 0.246
SW6_1330_1230,A42023, 0.112, 0.646
SW6_1330_1230,A42033, 0.144, 0.623
SW6_1330_1230,A42047, 0.140, 0.376
JU1_6290_6590,A51091, 0.330, 0.982
SU2_0110_0240,A36023, 0.158, 0.697
SU2_0110_0240,A36017, 0.351, 0.552
SU2_0110_0240,A36053, 0.222, 0.743
SU2_0510_0570,A36101, 0.199, 0.856
SU2_0510_0570,A36003, 1.000, 0.523
SW4_1430_1490,A42023, 0.347, 0.646
SW4_1430_1490,A42047, 0.577, 0.376
SW4_1430_1490,A42083, 0.299, 0.082
JU3_6380_6900,A51017, 0.349, 0.559
JU3_6380_6900,A51091, 0.155, 0.982
SW4_1940_1860,A42021, 0.373, 0.439
SW4_1940_1860,A42033, 0.170, 0.623
SW4_1940_1860,A42063, 0.815, 0.200
SW4_1940_1860,A42065, 0.815, 0.004
SW3_1270_1370,A42023, 0.541, 0.646
SW3_1270_1370,A42047, 0.283, 0.376
SW3_1270_1370,A42083, 0.701, 0.082
SU1_0820_0740,A42117, 0.153, 0.927
SU1_0820_0740,A42105, 0.257, 0.891
SW3_1870_1800,A42021, 0.428, 0.439
SW3_1870_1800,A42033, 0.229, 0.623
JU1_6590_6600,A51017, 0.152, 0.559
JU1_6590_6600,A51091, 0.257, 0.982
JU2_6600_6810,A51017, 0.361, 0.559
JU2_6600_6810,A51091, 0.149, 0.982
SU3_0370_0490,A36101, 0.358, 0.856
SU3_0370_0490,A36097, 0.544, 0.086
SU3_0370_0490,A36051, 0.703, 0.034
SU3_0370_0490,A36069, 0.703, 0.002
SU3_0370_0490,A36123, 0.703, 0.022
SW1_1830_1690,A42027, 0.218, 1.000
SW3_1920_1750,B42027, 0.396, 0.754
SW3_1920_1750,A42033, 0.200, 0.623
SU2_0900_0870,B42015, 0.890, 0.416
SU2_0900_0870,A42015, 0.636, 0.518
JU5_7500_7420,A51023, 0.179, 0.462
JU5_7500_7420,B51017, 0.127, 0.391
JU5_7500_7420,A51005, 0.117, 0.821
JU5_7500_7420,A51580, 0.240, 0.004
JU5_7500_7420,B51023, 0.115, 0.019
SW1_1890_1830,A42027, 0.218, 1.000
SW4_1110_1150,A42117, 0.226, 0.927
SW4_1110_1150,A42105, 0.174, 0.891
SU3_0710_0910,A42115, 0.380, 0.723
SU3_0710_0910,A42131, 0.713, 0.138
SU3_0710_0910,A42069, 0.157, 0.772
SW1_1910_1890,A42027, 0.218, 1.000
SW2_1100_1130,A42105, 0.453, 0.891
SW0_1520_1600,B42027, 0.604, 0.754
SW0_1520_1600,A42035, 0.458, 0.246
SU3_0970_1120,A42079, 0.149, 0.247
SU3_0970_1120,A42127, 0.134, 0.277
SU3_0970_1120,A42069, 0.526, 0.772
SU3_0810_0970,A42115, 0.185, 0.723
SU3_0810_0970,A42127, 0.393, 0.277
SU3_0810_0970,A42069, 0.316, 0.772
JL6_7160_7440,A51023, 0.126, 0.462
JL6_7160_7440,A51163, 0.144, 0.488
JL6_7160_7440,B51163, 0.200, 0.065
JL6_7160_7440,A51678, 0.144, 0.004
JL6_7160_7440,A51530, 0.278, 0.002
JL6_7160_7440,A51580, 0.153, 0.004
JL6_7160_7440,B51023, 0.246, 0.019
SU3_1310_1280,A42037, 0.627, 0.455
SU3_1310_1280,A42079, 0.683, 0.247
SU3_1310_1280,B42079, 1.000, 0.107
SU3_1310_1280,A42113, 0.100, 1.000
JL6_7430_7320,A51023, 0.112, 0.462
JL6_7430_7320,A51163, 0.128, 0.488
JL6_7430_7320,B51163, 0.177, 0.065
JL6_7430_7320,A51678, 0.128, 0.004
JL6_7430_7320,A51530, 0.246, 0.002
JL6_7430_7320,A51580, 0.135, 0.004
JL6_7430_7320,B51023, 0.218, 0.019
JL6_7430_7320,A51680, 0.340, 0.014
EL1_5430_0001,A24047, 0.733, 0.385
EL1_5430_0001,A24045, 0.722, 0.615
SJ4_2660_2360,C42009, 0.265, 0.616
SJ4_2660_2360,A42009, 0.640, 0.384
SJ4_2660_2360,B42009, 0.223, 0.796
SW3_1040_1220,A42081, 0.563, 0.709
SU2_0670_0810,A42115, 0.435, 0.723
SU2_0670_0810,A42127, 0.473, 0.277
EL2_4400_4590,A10001, 0.271, 1.000
SW1_1180_1190,A42113, 0.528, 1.000
JL6_6890_6990,B51163, 0.142, 0.065
JL6_6890_6990,A51530, 0.198, 0.002
JL6_6890_6990,A51580, 0.109, 0.004
JL6_6890_6990,B51023, 0.175, 0.019
JL6_6890_6990,A51680, 0.274, 0.014
SJ2_2530_2820,A42009, 0.248, 0.384
SJ2_2530_2820,B42009, 0.610, 0.796
EL2_5110_5270,A10005, 0.428, 0.834
EL2_5110_5270,A24047, 0.267, 0.385
EL2_5110_5270,A24045, 0.278, 0.615
SJ3_2250_2230,A42013, 0.542, 0.926
SW1_1450_1510,A42097, 0.125, 0.883
SW1_1450_1510,A42037, 0.212, 0.455
SW1_1450_1510,A42093, 1.000, 0.667
SL3_1710_1740,A42087, 0.594, 0.048
SL3_1710_1740,A42027, 0.152, 1.000
SL3_1710_1740,A42109, 0.313, 0.014
SL3_1710_1740,A42119, 1.000, 0.209
SL3_1710_1740,B42119, 0.587, 0.033
SJ2_2580_2500,A42057, 0.769, 0.513
SJ2_2580_2500,A42061, 0.860, 0.486
SJ3_2040_1980,A42061, 0.140, 0.486
SJ3_2040_1980,A42013, 0.458, 0.926
SL1_1730_1700,A42097, 0.698, 0.883
SL1_1730_1700,A42037, 0.161, 0.455
SL4_2140_2240,A42075, 0.262, 1.000
SL4_2140_2240,A42011, 0.269, 0.184
SL4_2140_2240,A42043, 0.200, 0.173
SL4_2140_2240,B42043, 0.874, 0.052
SL2_1810_2030,A42107, 0.210, 1.000
SL2_1810_2030,A42043, 0.800, 0.173
SL2_1810_2030,A42097, 0.177, 0.883
SL4_2090_2100,A42075, 0.205, 1.000
SL4_2090_2100,A42011, 0.400, 0.184
SL4_2090_2100,A42107, 0.150, 1.000
SL4_2370_2330,A42055, 0.164, 0.578
SL4_2370_2330,B42055, 0.248, 0.364
SL4_2370_2330,A42041, 0.707, 0.658
SL2_1990_2070,A42107, 0.291, 1.000
SL3_2290_2260,A42099, 1.000, 0.997
SL2_1850_1990,A42107, 0.348, 1.000
SL3_2730_2550,A42133, 0.288, 1.000
SL1_2830_2760,A42133, 0.287, 1.000
SL3_2400_2440,B42041, 1.000, 0.521
SL3_2400_2440,A42041, 0.293, 0.658
SL3_2420_2700,A42071, 0.326, 1.000
SL3_2420_2700,A42011, 0.133, 0.184
SL0_2180_2220,A42075, 0.533, 1.000
SL1_2770_2730,A42133, 0.288, 1.000
SL3_2350_2470,A42071, 0.305, 1.000
SL3_2350_2470,A42011, 0.198, 0.184
SL3_2460_2430,A42001, 0.282, 0.816
SL3_2460_2430,B42001, 0.317, 0.118
SL3_2460_2430,A42133, 0.137, 1.000
SL1_2390_2420,A42071, 0.370, 1.000
SL2_2910_3060,A24025, 0.380, 1.000
RU5_6030_0001,A51137, 0.286, 0.173
RU5_6030_0001,A51047, 0.331, 0.240
RU5_6030_0001,A51630, 1.000, 0.000
RU5_6030_0001,A51157, 0.128, 0.461
RU5_6030_0001,B51157, 0.122, 0.261
RU3_6170_6040,A51079, 0.120, 0.292
RU3_6170_6040,B51079, 0.113, 0.256
RU3_6170_6040,A51137, 0.412, 0.173
RU3_6170_6040,A51113, 0.340, 0.655
RU3_6170_6040,B51113, 0.230, 0.385
RU2_6090_6220,A51079, 0.286, 0.292
RU2_6090_6220,B51079, 0.463, 0.256
RU2_6090_6220,A51113, 0.144, 0.655
RU2_6090_6220,B51113, 0.471, 0.385
RU2_5940_6200,A51047, 0.140, 0.240
RU2_5940_6200,A51113, 0.516, 0.655
RU2_5940_6200,B51113, 0.299, 0.385
RL1_6180_0001,A51193, 1.000, 0.646
RL1_6180_0001,A51159, 1.000, 0.354
RL0_6540_0001,A51057, 1.000, 1.000
PM7_4820_0001,A51187, 0.123, 0.042
PM7_4820_0001,A54065, 0.130, 0.049
PM7_4820_0001,B51187, 0.106, 0.030
PU6_3752_4080,A54003, 0.153, 0.299
PU6_3752_4080,A54065, 0.252, 0.049
PU6_3752_4080,A54027, 0.112, 0.486
PU6_3752_4080,A24001, 0.137, 0.151
EM2_3980_0001,A10001, 0.186, 1.000
EM2_3980_0001,A24011, 1.000, 0.287
PU6_3610_3530,A54031, 0.120, 0.465
PU6_3610_3530,A54065, 0.140, 0.049
PU6_3610_3530,A54027, 0.165, 0.486
PU6_3610_3530,A24001, 0.201, 0.151
PU6_3610_3530,B54023, 0.102, 0.273
PU6_3610_3530,A54057, 0.127, 0.144
PU6_3610_3530,B54031, 0.108, 0.209
PU6_4020_3870,A54027, 0.104, 0.486
PU6_4020_3870,A24001, 0.176, 0.151
PU6_4020_3870,B54023, 0.132, 0.273
PU6_4020_3870,A54057, 0.165, 0.144
PU6_4020_3870,B54057, 0.107, 0.506
PU6_4020_3870,B54031, 0.140, 0.209
PU6_4020_3870,B24001, 0.115, 0.239
PU4_3890_3990,A42111, 0.224, 0.475
PU4_3890_3990,A54023, 0.190, 0.416
PU4_3890_3990,A54057, 0.529, 0.144
PU4_3890_3990,B24001, 0.402, 0.239
PU2_4720_4750,A24023, 0.113, 1.000
PU2_4720_4750,A54023, 0.495, 0.416
PU2_4720_4750,A54093, 1.000, 0.012
JL7_7100_7030,A51065, 0.194, 0.114
JL7_7100_7030,A51540, 0.101, 0.015
JL7_7100_7030,A51530, 0.145, 0.002
JL7_7100_7030,B51023, 0.128, 0.019
JL7_7100_7030,A51680, 0.200, 0.014
JL7_7100_7030,A51075, 0.118, 0.041
JL7_6800_7070,A51041, 1.000, 0.002
JL7_6800_7070,A51145, 0.240, 0.086
JL7_6800_7070,A51049, 0.120, 0.147
JL7_6800_7070,A51065, 0.180, 0.114
JL7_6800_7070,A51530, 0.134, 0.002
JL7_6800_7070,B51023, 0.119, 0.019
JL7_6800_7070,A51680, 0.186, 0.014
JL7_6800_7070,A51075, 0.469, 0.041
PU4_4310_4210,A54027, 0.114, 0.486
PU4_4310_4210,A54071, 0.116, 0.901
PU4_4310_4210,B54023, 0.197, 0.273
PU4_4310_4210,B54071, 0.210, 0.530
PU4_4310_4210,B54031, 0.298, 0.209
PU1_3850_4190,A24023, 0.202, 1.000
PU3_3680_3890,A42111, 0.776, 0.475
PU3_3680_3890,A42009, 0.113, 0.384
PU3_3680_3890,B24001, 0.483, 0.239
PU3_3680_3890,B42009, 0.167, 0.796
PU2_5190_4310,A54031, 0.158, 0.465
PU2_5190_4310,A54071, 0.303, 0.901
PU2_5190_4310,B54031, 0.454, 0.209
PU0_6080_5620,A51091, 0.109, 0.982
PU0_6080_5620,A54071, 0.150, 0.901
PU0_6080_5620,B54071, 0.318, 0.530
PU2_4360_4160,A54023, 0.205, 0.416
PU2_4360_4160,B54023, 0.568, 0.273
PU2_4360_4160,A54057, 0.179, 0.144
PU2_4360_4160,B54057, 0.893, 0.506
PU2_6050_5190,A54071, 0.431, 0.901
PS5_4380_4370,A51165, 0.108, 0.374
PS5_4380_4370,A51171, 0.184, 0.337
PS5_4380_4370,A51187, 0.469, 0.042
PS5_4380_4370,A51043, 0.148, 0.151
PS5_4380_4370,A54037, 0.131, 0.155
PS5_4380_4370,A51139, 0.271, 0.109
PS5_4380_4370,C51165, 0.177, 0.052
PS5_4380_4370,B51139, 0.273, 0.077
PS5_4380_4370,B51187, 0.402, 0.030
PS5_5240_5200,A51165, 0.120, 0.374
PS5_5240_5200,A51187, 0.260, 0.042
PS5_5240_5200,A51660, 0.124, 0.044
PS5_5240_5200,A51139, 0.478, 0.109
PS5_5240_5200,A51790, 0.124, 0.053
PS5_5240_5200,C51165, 0.329, 0.052
PS5_5240_5200,B51139, 0.508, 0.077
PS5_5240_5200,B51187, 0.365, 0.030
PU1_3100_3690,A24043, 0.113, 0.623
PU1_3100_3690,A42057, 0.231, 0.513
PU1_3100_3690,A24001, 0.486, 0.151
PU1_3100_3690,C42009, 0.735, 0.616
PU3_3860_3610,A54031, 0.616, 0.465
PU3_3860_3610,A54065, 0.322, 0.049
PU3_3860_3610,A54027, 0.504, 0.486
PS4_5840_5240,A51015, 0.110, 0.745
PS4_5840_5240,A51165, 0.143, 0.374
PS4_5840_5240,A51660, 0.148, 0.044
PS4_5840_5240,A51139, 0.250, 0.109
PS4_5840_5240,A51790, 0.147, 0.053
PS4_5840_5240,C51165, 0.392, 0.052
PS4_5840_5240,B51139, 0.219, 0.077
PS4_6360_5840,A51015, 0.141, 0.745
PS4_6360_5840,A51660, 0.189, 0.044
PS4_6360_5840,A51790, 0.188, 0.053
PS4_6360_5840,C51165, 0.102, 0.052
PS3_6161_6280,C51015, 0.115, 0.906
PS3_6161_6280,A51165, 0.199, 0.374
PS3_6161_6280,B51165, 0.170, 0.902
PS3_6161_6280,A51660, 0.540, 0.044
PU3_3290_3390,B42001, 0.134, 0.118
PU3_3290_3390,A42055, 0.516, 0.578
PU3_3290_3390,B42055, 0.752, 0.364
PS2_6490_6420,A51015, 0.167, 0.745
PS2_6490_6420,B51015, 0.330, 0.407
PS2_6490_6420,A51820, 0.456, 0.080
PS3_6460_6230,A51015, 0.236, 0.745
PS3_6460_6230,A51790, 0.541, 0.053
PS2_6660_6490,A51015, 0.162, 0.745
PS2_6660_6490,B51015, 0.336, 0.407
PS2_6660_6490,A51820, 0.544, 0.080
PU2_4220_3900,A51069, 0.217, 0.825
PU2_4220_3900,A51043, 0.384, 0.151
PU2_4220_3900,A51840, 0.577, 0.034
PU2_4220_3900,A54003, 0.847, 0.299
PU2_4220_3900,A54037, 0.762, 0.155
PS3_5100_5080,B51171, 0.256, 0.420
PS3_5100_5080,A51165, 0.171, 0.374
PS3_5100_5080,B51165, 0.135, 0.902
PS3_5100_5080,A51171, 0.537, 0.337
PS2_5560_5100,A51165, 0.259, 0.374
PS2_5560_5100,B51165, 0.205, 0.902
PS2_5560_5100,A51171, 0.279, 0.337
PU2_4730_4220,A51069, 0.460, 0.825
PU2_4730_4220,A51043, 0.469, 0.151
PU2_4730_4220,A51840, 0.423, 0.034
PS2_5550_5560,B51165, 0.490, 0.902
PS2_5550_5560,A54031, 0.106, 0.465
PU2_3090_4050,A24043, 0.887, 0.623
PU2_3090_4050,A42055, 0.320, 0.578
PS2_6730_6660,A51015, 0.184, 0.745
PS2_6730_6660,B51015, 0.334, 0.407
PS1_4790_4830,A51069, 0.323, 0.825
PS1_4790_4830,B51171, 0.744, 0.420
PM1_3510_4000,B24021, 0.896, 1.000
PM2_2860_3040,A42001, 0.570, 0.816
PM2_2860_3040,B42001, 0.356, 0.118
