TABLE->,PHOS-STOR1#1,PHOS-STOR1#1,PHOS-STOR1#1,PHOS-STOR1#1,PHOS-STOR1#2,PHOS-STOR1#2,PHOS-STOR1#2,PHOS-STOR1#2,PHOS-STOR1#3,PHOS-STOR1#3,PHOS-STOR1#3,PHOS-STOR1#3,PHOS-STOR1#4,PHOS-STOR1#4,PHOS-STOR1#4,PHOS-STOR1#4
VARS->,ORGP,P4AD,P4SU,PLTP,ORGP,P4AD,P4SU,PLTP,ORGP,P4AD,P4SU,PLTP,ORGP,P4AD,P4SU,PLTP
A51169,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A51171,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A51173,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A51175,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A51177,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A51179,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A51181,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A51183,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A51185,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A51187,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A51191,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A51193,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A51195,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A51197,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A51199,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A51510,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A51515,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A51520,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A51530,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A51540,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A51550,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A51570,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A51580,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A51590,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A51595,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A51600,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A51610,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A51620,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A51630,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A51640,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A51650,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A51660,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A51670,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A51678,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A51680,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A51683,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A51685,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A51690,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A51700,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A51710,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A51720,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A51730,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A51735,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A51740,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A51750,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A51760,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
