landseg,for,hvf,hwm,nhi,lwm,nlo,hom,nho,hyw,nhy,hyo,alf,nal,pas,npa,trp,urs,afo,cfo,rpd,rid,rcn,rex,npd,nid,nex,cpd,cid,ccn,cex,wat
A24037,0,0,11.058,12.381,11.058,12.381,8.143,10.204,18.227,18.161,16.158,20.26,20.01,18.486,18.295,18.486,15.719,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A24039,0,0,14.344,16.503,14.344,16.503,15.396,17.606,19.295,21.571,15.798,26.339,25.034,16.31,17.249,16.607,15.806,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A24041,0,0,13.864,15.187,13.864,15.187,22.7,16.903,17.93,19.633,16.008,24.187,22.619,18.259,18.727,18.259,15.795,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A24043,0,0,14.181,15.227,14.181,15.227,27.508,26.991,19.886,20.69,17.08,27.221,26.322,19.011,19.513,18.414,15.692,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A24045,0,0,13.959,13.792,13.959,13.792,17,18.078,19.123,17.59,17.44,31.794,28.747,17.493,18.88,18.004,15.808,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A24047,0,0,14.842,15.258,14.842,15.258,18.553,19.182,18.074,18.254,16.108,26.292,26.52,20.105,19.672,20.105,15.806,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A24510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A36003,0,0,16.494,17.687,16.494,17.687,15.446,16.403,18.575,18.565,17.331,21.92,21.896,18.938,0,18.938,15.805,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A36007,0,0,19.4,20.292,19.4,20.292,24.05,25.494,17.583,17.438,19.61,20.671,18.206,19.68,0,19.68,15.796,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A36011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A36015,0,0,15.616,16.066,15.263,15.584,28.244,26.144,16.096,15.557,17.292,22.838,19.218,18.656,0,18.656,15.782,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A36017,0,0,19.066,19.921,19.066,19.921,17.574,14.722,19.49,19.206,20.581,22.165,21.096,19.844,0,19.844,15.736,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A36023,0,0,19.125,20.187,19.125,20.187,17.661,18.876,21.01,20.061,18.091,22.515,22.331,20.737,0,20.737,15.777,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A36025,0,0,20.851,20.738,20.798,20.414,21.147,22.377,19.024,16.715,23.696,22.158,20.531,19.936,0,19.936,15.763,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A36043,0,0,18.037,19.255,18.037,19.255,17.97,20.16,19.858,19.563,18.52,21.232,21.049,19.539,0,19.539,15.789,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A36051,0,0,15.451,15.776,15.451,15.776,32.374,31.993,17.545,17.768,16.456,25.205,24.64,18.084,0,18.084,15.801,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A36053,0,0,17.294,18.944,17.294,18.944,18.85,18.392,19.498,19.811,18.258,24.111,22.637,20.019,0,20.019,15.771,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A36065,0,0,16.877,18.216,16.877,18.216,15.272,14.636,19.46,20.327,19.192,24.121,23.291,19.159,0,19.159,15.787,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A36067,0,0,15.646,16.913,15.646,16.913,27.369,26.365,18.78,19.982,16.359,24.101,23.728,18.443,0,18.443,15.805,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A36069,0,0,14.935,15.337,14.935,15.337,26.338,27.97,17.116,17.219,16.136,23.57,23.264,17.928,0,17.928,15.799,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A36077,0,0,18.35,18.581,18.35,18.581,18.431,20.033,18.994,17.213,18.49,21.583,21.941,19.758,0,19.758,15.787,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A36095,0,0,18.483,18.878,18.483,18.878,25.562,26.207,17.827,16.908,20.617,20.21,19.174,19.003,0,19.003,15.776,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A36097,0,0,14.626,15.807,14.626,15.807,26.088,25.631,16.997,16.636,17.353,19.787,19.42,19.916,0,19.916,15.785,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A36101,0,0,14.616,15.305,14.616,15.305,24.602,24.019,17.914,17.489,17.337,21.108,21.002,19.211,0,19.211,15.782,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A36107,0,0,17.04,17.519,17.04,17.519,24.211,25.426,17.333,17.093,17.557,19.199,18.561,19.577,0,19.577,15.798,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A36109,0,0,15.637,16.621,15.637,16.621,32.672,33.776,18.589,17.622,16.764,23.926,23.25,18.432,0,18.432,15.792,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A36123,0,0,15.005,15.203,15.005,15.203,28.057,27.555,16.448,16.555,16.304,21.933,20.277,16.916,0,16.916,15.751,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A42001,0,0,11.708,11.708,11.708,11.708,29.341,29.341,19.754,19.754,17.303,24.152,24.152,18.634,0,18.634,15.801,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A42009,0,0,16.338,16.338,16.338,16.338,28.073,28.073,17.591,17.591,17.025,24.631,24.631,18.106,0,18.106,15.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A42011,0,0,15.53,15.53,15.53,15.53,27.067,27.067,21.232,21.232,17.118,27.258,27.258,18.542,0,18.542,15.804,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A42013,0,0,18.386,18.386,18.386,18.386,31.425,31.425,16.922,16.922,17.781,27.242,27.242,18.517,0,18.517,15.776,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A42015,0,0,16.28,16.28,16.28,16.28,24.978,24.978,18.041,18.041,17.641,21.174,21.174,18.241,0,18.241,15.735,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A42021,0,0,11.431,11.431,11.431,11.524,20.43,20.43,18.011,18.011,16.991,21.398,21.398,16.744,0,16.744,15.799,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A42023,0,0,18.37,18.37,18.771,18.771,19.328,18.612,15.443,15.443,21.411,19.7,20.567,21.242,0,21.242,15.804,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A42025,0,0,10.718,10.718,0,0,27.235,27.009,17.814,17.814,16.188,24.212,24.412,18.652,0,18.652,15.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A42027,0,0,15.233,15.233,15.233,15.233,17.16,17.16,18.739,18.739,16.893,24.74,24.74,17.659,0,17.659,15.802,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A42029,0,0,17.936,17.936,17.936,17.936,21.791,21.791,20.784,20.784,20.298,28.889,28.889,18.42,0,18.42,15.809,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A42033,0,0,12.46,12.46,12.46,12.46,23.329,23.239,15.849,15.849,16.877,19.404,19.404,17.201,0,17.201,15.797,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A42035,0,0,16.002,16.002,16.002,16.002,19.777,19.777,18.656,18.656,16.647,25.213,25.213,17.364,0,17.364,15.806,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A42037,0,0,12.826,12.826,12.826,12.826,19.235,19.235,18.029,18.029,16.295,23.921,23.921,17.664,0,17.664,15.809,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A42041,0,0,13.782,13.782,13.782,13.782,28.969,28.969,18.095,18.095,16.67,25.578,25.578,16.867,0,16.867,15.791,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A42043,0,0,12.536,12.536,12.536,12.536,25.29,25.29,20.03,20.03,16.355,25.527,25.527,17.402,0,17.402,15.796,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A42047,0,0,12.066,12.066,12.066,11.527,26.201,26.201,17.921,17.921,16.45,20.72,20.72,16.378,0,16.378,15.806,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A42055,0,0,15.077,15.077,15.077,15.077,28.571,28.571,20.092,20.092,16.792,25.838,25.838,17.585,0,17.585,15.789,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A42057,0,0,12.231,12.231,12.231,12.231,18.404,18.404,19.203,19.203,17.029,23.702,23.702,17.316,0,17.316,15.806,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A42061,0,0,16.014,16.014,16.014,16.014,23.151,23.151,16.735,16.735,16.467,24.576,24.576,17.825,0,17.825,15.766,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A42063,0,0,13.066,12.816,13.066,12.816,20.917,19.134,18.75,17.9,17.025,22.138,22.117,17.748,0,17.748,15.808,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A42065,0,0,12.484,13.105,12.484,13.105,25.785,22.189,16.943,16.244,16.436,19.77,19.256,17.532,0,17.532,15.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A42067,0,0,13.009,13.009,13.009,13.009,26.79,26.79,20.286,20.286,16.102,24.37,24.37,17.547,0,17.547,15.771,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A42069,0,0,15.702,15.702,15.702,15.702,24.876,24.876,18.172,18.172,17.464,20.873,20.873,17.718,0,17.718,15.775,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A42071,0,0,19.46,19.46,19.46,19.46,15.516,15.516,20.977,20.977,17.186,31.113,31.113,18.047,0,18.047,15.804,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A42075,0,0,17.036,17.036,17.036,17.036,23.858,23.858,20.522,20.522,17.955,28.319,28.319,17.839,0,17.839,15.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A42079,0,0,12.713,12.713,12.713,12.713,24.562,24.562,16.418,16.418,15.984,20.907,20.907,17.429,0,17.429,15.747,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A42081,0,0,13.628,13.628,13.628,13.628,26.097,26.097,16.961,16.961,16.448,22.421,22.421,18.439,0,18.439,15.804,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A42083,0,0,16.113,16.23,15.912,16.042,21.68,22.243,17.315,17.315,19.827,18.813,18.854,19.248,0,19.248,15.806,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A42087,0,0,17.094,17.094,17.094,17.094,26.525,26.525,19.306,19.306,17.173,28.644,28.644,17.447,0,17.447,15.707,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A42093,0,0,12.667,12.667,12.667,12.667,19.186,19.186,18.982,18.982,16.211,23.543,23.543,16.52,0,16.52,15.806,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A42097,0,0,13.388,13.388,13.388,13.388,20.2,20.2,20.268,20.268,15.954,26.014,26.014,16.804,0,16.804,15.802,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A42099,0,0,12.433,12.433,12.433,12.433,24.373,24.373,19.717,19.717,16.638,24.146,24.146,17.825,0,17.825,15.784,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A42105,0,0,16.077,16.077,16.077,16.435,24.894,24.894,18.048,18.048,17.461,21.612,21.612,19.035,0,19.035,15.806,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A42107,0,0,11.898,11.898,11.898,11.898,24.056,24.056,18.249,18.249,16.245,25.797,25.797,16.939,0,16.939,15.803,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A42109,0,0,12.358,12.358,12.358,12.358,23.195,23.195,19.564,19.564,16.242,24.621,24.621,17.677,0,17.677,15.806,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A42111,0,0,13.845,14.499,13.845,14.499,23.907,24.08,19.456,19.482,16.689,20.926,20.746,18.109,0,18.109,15.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A42113,0,0,17.181,17.181,17.181,17.181,21.174,21.174,17.656,17.656,19.581,21.509,21.509,18.8,0,18.8,15.806,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A42115,0,0,17.944,17.944,17.944,17.944,19.161,19.161,18.46,18.46,19.336,20.875,20.875,18.427,0,18.427,15.805,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A42117,0,0,15.685,15.685,15.685,15.685,21.417,21.417,18.647,18.647,19.207,21.147,21.147,19.285,0,19.285,15.775,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A42119,0,0,14.627,14.627,14.627,14.627,20.027,20.027,18.132,18.132,16.655,25.745,25.745,17.706,0,17.706,15.799,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A42127,0,0,18.355,18.355,18.355,18.355,22.513,22.513,18.578,18.578,22.4,21.088,21.088,18.962,0,18.962,15.779,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A42131,0,0,15.926,15.926,15.926,15.926,25.079,25.079,18.172,18.172,17.362,21.842,21.842,18.936,0,18.936,15.781,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A42133,0,0,13.604,13.604,13.604,13.604,23.217,23.217,19.37,19.37,16.819,26.097,26.097,18.423,0,18.423,15.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A51001,0,0,12.985,14.89,12.985,14.89,13.111,14.115,18.381,17.047,15.92,20.794,0,20.163,20.813,20.163,15.809,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A51003,0,0,13.762,14.471,13.762,14.471,28.074,27.938,17.63,18.066,21.125,20.797,0,19.017,18.856,19.017,15.746,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A51005,0,0,17.983,19.179,17.983,19.179,23.682,25.115,15.332,15.397,17.839,19.051,0,18.476,18.523,18.476,15.785,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A51007,0,0,14.07,15.099,14.07,15.099,7.641,7.412,18.377,19.613,15.873,25.432,0,17.675,18.267,17.675,15.784,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A51009,0,0,16.489,18.323,16.489,18.323,24.775,23.579,17.806,19.598,19.351,16.499,0,18.918,19.364,18.918,15.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A51011,0,0,11.887,12.499,11.887,12.499,11.167,11.148,16.418,17.559,16.823,19.214,0,17.519,17.797,17.519,15.778,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A51013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A51015,0,0,16.559,17.922,16.559,17.922,19.84,18.486,20.457,21.605,20.532,24.026,0,20.818,21.195,20.818,15.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A51017,0,0,14.92,15.638,14.92,15.638,19.461,19.317,16.676,16.62,24.596,17.912,0,19.078,19.645,19.078,15.785,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A51019,0,0,13.689,15.31,13.689,15.31,22.239,22.601,17.54,18.649,20.2,18.298,0,18.609,18.897,18.609,15.723,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A51023,0,0,15.749,16.339,15.749,16.339,26.549,26.182,16.173,16.825,19.262,22.566,0,19.708,20.208,19.708,15.785,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A51029,0,0,11.021,12.448,11.021,12.448,14.092,17.466,18.058,19.095,18.816,19.973,0,16.647,16.955,16.647,15.785,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A51031,0,0,11.009,11.788,11.009,11.788,7.185,8.585,16.167,16.176,17.015,17.339,0,18.16,18.798,18.16,15.765,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A51033,0,0,14.528,15.777,14.528,15.777,21.22,18.902,17.755,17.114,16.323,24.108,0,18.611,17.691,18.611,15.786,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A51036,0,0,16.102,17.523,16.102,17.523,16.588,25.986,16.565,16.374,15.892,19.075,0,19.265,17.692,19.265,15.776,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A51037,0,0,11.598,0,0,0,6.241,0,16.722,0,16.034,19.483,0,17.983,0,17.983,15.775,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A51041,0,0,12.563,16.746,12.563,16.746,14.463,14.263,15.471,15.616,18.042,16.667,0,17.668,17.704,17.668,15.793,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A51043,0,0,15.327,16.949,15.327,16.949,28.49,27.98,16.651,17.26,18.68,22.436,0,19.138,19.599,19.138,15.787,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A51045,0,0,16.742,18.633,16.742,18.633,22.809,25.367,17.023,17.992,18.404,17.862,0,18.609,18.951,18.609,15.784,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A51047,0,0,14.275,14.944,14.275,14.944,19.697,18.414,18.835,19.032,17.999,24.08,0,18.543,19.109,18.543,15.786,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A51049,0,0,13.796,14.448,13.796,14.448,12.217,12.492,18.016,20.156,17.077,21.557,0,17.157,17.549,17.157,15.785,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A51053,0,0,10.488,10.709,10.488,10.709,7.351,8.616,16.012,15.717,16.135,24.266,0,18.109,18.109,18.109,15.786,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A51057,0,0,14.928,16.032,14.928,16.032,18.198,18.442,19.023,20.498,15.841,20.643,0,19.191,20.055,19.191,15.784,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A51059,0,0,15.058,16.797,15.058,16.797,25.822,25.713,16.325,15.516,15.73,17.978,0,18.924,20.084,18.924,15.808,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A51061,0,0,15.735,18.279,15.735,18.279,23.863,22.197,18.528,19.038,19.397,23.23,0,20.144,20.671,20.144,15.744,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A51065,0,0,11.639,10.482,11.639,10.482,18.76,18.906,17.976,18.396,18.048,19.71,0,17.93,18.662,17.93,15.785,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A51069,0,0,12.075,13.28,12.075,13.28,29.379,29.318,15.841,16.913,18.457,23.342,0,18.985,19.196,18.985,15.766,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A51071,0,0,16.653,19.652,16.653,19.652,17.795,19.008,17.345,18.811,18.193,17.267,0,19.355,22.265,19.355,15.786,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A51073,0,0,13.394,14.234,13.394,14.234,22.839,24.942,16.331,17.508,17.403,22.83,0,17.351,18.05,17.351,15.805,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A51075,0,0,13.484,15.266,13.484,15.266,20.616,19.825,19.128,20.292,16.392,18.87,0,18.103,17.789,18.103,15.689,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A51079,0,0,14.873,17.831,14.873,17.831,22.006,22.07,18.959,21.64,18.588,18.457,0,18.195,18.343,18.195,15.785,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A51085,0,0,14.468,16.571,14.468,16.571,15.968,15.54,19.852,21.292,17.681,24.597,0,18.059,18.15,18.059,15.792,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A51087,0,0,13.581,15.112,13.581,15.112,18.28,17.435,16.454,17.365,17.462,22.068,0,17.061,16.396,17.061,15.809,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A51091,0,0,22.139,24.445,21.784,23.084,17.746,18.809,18.34,19.724,24.651,19.503,0,19.702,20.245,19.702,15.785,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A51093,0,0,11.034,11.579,11.034,11.579,7.589,6.792,16.383,18.448,15.879,24.891,0,18.519,18.965,18.519,15.784,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A51095,0,0,14.413,13.894,14.413,13.894,24.586,23.905,17.46,16.513,16.456,19.832,0,16.99,17.911,16.99,15.787,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A51097,0,0,13.991,15.108,13.991,15.108,26.683,40.751,15.587,16.504,15.892,17.778,0,17.545,18.938,17.545,15.784,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A51099,0,0,13.847,15.397,13.847,15.397,26.534,27.74,16.284,15.972,16.845,19.841,0,20.389,20.062,20.389,15.786,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A51101,0,0,14.981,16.218,14.981,16.218,20.273,18.041,17.752,18.424,16.14,24.746,0,19.912,20.43,19.912,15.785,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A51103,0,0,14.267,16.044,14.267,16.044,21.761,26.268,21.224,22.564,15.829,21.19,0,18.499,18.499,18.499,15.786,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A51107,0,0,12.056,13.079,12.056,13.079,24.121,20.913,18.041,17.58,17.792,21.952,0,18.19,18.634,18.19,15.776,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A51109,0,0,13.138,15.603,13.138,15.603,15.492,14.978,18.891,19.694,17.943,21.462,0,17.676,18.152,17.676,15.795,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A51111,0,0,8.873,0,0,0,5.885,0,15.388,0,16.205,23.599,0,16.925,0,16.925,15.785,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A51113,0,0,16.07,17.604,16.07,17.604,25.875,25.615,20.668,22.504,18.57,26.677,0,19.259,19.977,19.259,15.709,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A51115,0,0,10.993,11.514,10.993,11.514,16.778,13.51,16.354,17.408,15.922,22.4,0,18.329,19.195,18.329,15.791,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A51119,0,0,14.192,15.31,14.192,15.31,20.678,21.715,15.385,17.244,16.412,17.116,0,16.986,16.986,16.986,15.786,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A51121,0,0,17.886,20.123,17.886,20.123,16.457,16.808,18.272,19.725,20.617,21.743,0,19.932,19.948,19.932,15.784,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A51125,0,0,11.944,16.661,11.944,16.661,27.393,27.581,17.798,18.468,18.389,17.585,0,18.267,18.316,18.267,15.792,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A51127,0,0,13.46,14.499,13.46,14.499,18.951,22.019,18.968,18.862,15.859,22.154,0,16.94,16.464,16.94,15.784,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A51131,0,0,12.024,13.276,12.024,13.276,9.66,8.862,15.717,15.135,15.852,22.633,0,17.895,19.052,17.895,15.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A51133,0,0,15.743,17.515,15.743,17.515,17.553,11.943,20.418,17.726,15.913,21.052,0,18.368,20.424,18.368,15.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A51135,0,0,13.068,13.759,13.068,13.759,6.88,5.767,17.48,19.486,16.988,20.491,0,17.349,16.963,17.349,15.786,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A51137,0,0,15.848,17.403,15.848,17.403,23.989,22.766,17.58,18.144,20.21,22.594,0,18.897,19.089,18.897,15.782,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A51139,0,0,14.992,16.744,14.992,16.744,21.497,19.218,20.751,21.885,21.739,21.851,0,19.025,19.604,19.025,15.664,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A51145,0,0,13.459,14.612,13.459,14.612,14.35,12.77,17.431,18.648,16.718,23.538,0,18.581,18.4,18.581,15.648,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A51147,0,0,12.738,14.306,12.738,14.306,9.453,8.425,17.873,20.231,17.523,17.671,0,17.027,17.885,17.027,15.784,0,0,0,0,0,0,0,0,0,0,0,0,0,0
