TABLE->,HYDR-PARM2,HYDR-PARM2,HYDR-PARM2,HYDR-PARM2,HYDR-PARM2,HYDR-PARM2,HYDR-INIT,HYDR-INIT,HYDR-INIT,HYDR-INIT,HYDR-INIT,HYDR-INIT,HYDR-INIT,HYDR-INIT,HYDR-INIT,HYDR-INIT,HYDR-INIT
MN3_8190_8260,1,39.86,114.8,NA,0.5,NA,2587.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MN4_8260_8400,1,23.02,111.52,NA,0.5,NA,1906.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MN4_8400_8380,1,20.85,52.48,NA,0.5,NA,1837.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MN1_7730_8160,1,28.56,88.56,NA,0.5,NA,481.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MN1_7620_7710,1,34.14,229.6,NA,0.5,NA,721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MN5_8230_8161,1,48.71,219.76,NA,0.5,NA,1297.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MN2_7720_7830,1,22.13,229.6,NA,0.5,NA,430.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MN3_7770_7930,1,43.21,308.32,NA,0.5,NA,1909.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MN2_7830_7950,1,23.1,62.32,NA,0.5,NA,819.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MN3_7930_8010,1,36.38,78.72,NA,0.5,NA,1818.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MN3_8010_7950,1,4.94,49.2,NA,0.5,NA,250.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MN4_7950_7710,1,2.99,16.4,NA,0.5,NA,192.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MN4_7710_8161,1,30.32,32.8,NA,0.5,NA,2489.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MN5_8161_8160,1,6.87,13.12,NA,0.5,NA,635.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TU2_8790_9070,1,42.83,659.28,NA,0.5,NA,1074.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TU1_9220_9200,1,20.23,144.32,NA,0.5,NA,180.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TU2_9070_9090,1,11.23,85.28,NA,0.5,NA,319.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TU2_8950_9040,1,14.83,383.76,NA,0.5,NA,170.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TU2_9100_9200,1,20.57,488.72,NA,0.5,NA,287.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TU2_9200_9180,1,2.92,104.96,NA,0.5,NA,60.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TU3_9040_9180,1,18.67,295.2,NA,0.5,NA,346.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TU3_9180_9090,1,5.27,78.72,NA,0.5,NA,187.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TU3_8880_9230,1,44.25,1000.4,NA,0.5,NA,1080.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TU3_9060_9230,1,14.79,662.56,NA,0.5,NA,191.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TU3_9230_9260,1,12.28,3.28,NA,0.5,NA,432.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TU1_9010_9290,1,42.62,1075.84,NA,0.5,NA,576.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TU3_8650_8800,1,42.87,777.36,NA,0.5,NA,1135.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TU4_8800_9290,1,70.64,511.68,NA,0.5,NA,3984.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TU2_8970_9280,1,42.35,711.76,NA,0.5,NA,751.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TU2_8860_9000,1,29.87,892.16,NA,0.5,NA,423.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TU1_8570_8680,1,40.85,521.52,NA,0.5,NA,686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TU3_8480_8680,1,40.56,603.52,NA,0.5,NA,1088.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TU4_8680_8810,1,22.4,344.4,NA,0.5,NA,1187.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TU4_8810_9000,1,24.74,157.44,NA,0.5,NA,1577.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TU5_9000_9280,1,33.35,144.32,NA,0.5,NA,2890.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BS2_8590_8440,1,22.87,459.2,NA,0.5,NA,529.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BS1_8730_8540,1,17.5,987.28,NA,0.5,NA,207.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BS3_8580_8440,1,28.73,1348.08,NA,0.5,NA,505.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BS4_8440_8441,1,2.64,59.04,NA,0.5,NA,100.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BS4_8540_8441,1,10,2,NA,0.5,NA,27905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BS3_8350_8330,1,29.8,1020.08,NA,0.5,NA,1105.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OR2_8450_8490,1,20.11,180.4,NA,0.5,NA,380.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OD2_8920_8830,1,10,2,NA,0.5,NA,106280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OD3_8340_8520,1,67,442.8,NA,0.5,NA,4381.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OR5_7910_8410,1,27.35,124.64,NA,0.5,NA,891.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OD2_8830_8710,1,11.09,13.12,NA,0.5,NA,445.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OD2_8670_8890,1,22.49,403.44,NA,0.5,NA,437.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OD3_8520_8621,1,11.59,49.2,NA,0.5,NA,810.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OR2_7670_7840,1,23.28,272.24,NA,0.5,NA,601.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OR1_7700_7980,1,23.16,200.08,NA,0.5,NA,407.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OD3_8710_8470,1,15.14,59.04,NA,0.5,NA,822.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OD5_8940_8780,1,33.8,193.52,NA,0.5,NA,770.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OD2_8560_8630,1,10,2,NA,0.5,NA,106280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OR2_7610_7780,1,37.55,678.96,NA,0.5,NA,1612.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OD5_8890_8770,1,6.41,78.72,NA,0.5,NA,132.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OD3_8850_8931,1,27.91,596.96,NA,0.5,NA,536.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OR2_7840_7970,1,8.73,82,NA,0.5,NA,301.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OR5_7980_8200,1,10.74,68.88,NA,0.5,NA,260.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OD3_8630_8720,1,20.82,147.6,NA,0.5,NA,1030.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OD1_9270_9110,1,22.1,344.4,NA,0.5,NA,489.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OR2_7650_8070,1,32.61,377.2,NA,0.5,NA,941.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OR2_7780_7890,1,12.04,49.2,NA,0.5,NA,605.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OR1_8320_8271,1,35.15,616.64,NA,0.5,NA,697.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OD3_8720_8900,1,27.02,164,NA,0.5,NA,1780.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OD1_8910_8930,1,21.46,879.04,NA,0.5,NA,340.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OD3_8930_8931,1,13.58,144.32,NA,0.5,NA,319.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OR2_8070_8120,1,11.64,49.2,NA,0.5,NA,428.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OR2_8460_8271,1,59.17,610.08,NA,0.5,NA,2758.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OR1_8280_8020,1,17.89,1246.4,NA,0.5,NA,265.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OD2_8840_9020,1,37.84,1918.8,NA,0.5,NA,766.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OD3_9020_9110,1,30.76,314.88,NA,0.5,NA,1445.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OR2_8020_8130,1,10.82,183.68,NA,0.5,NA,319.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OR2_8130_7900,1,7.79,127.92,NA,0.5,NA,249.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OR2_7900_7740,1,14.48,147.6,NA,0.5,NA,586.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OD3_8931_9140,1,17.37,219.76,NA,0.5,NA,744.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OD4_9110_9140,1,13.46,42.64,NA,0.5,NA,994.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OD4_9140_8990,1,9.02,9.84,NA,0.5,NA,966.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OR3_7740_8271,1,6.88,68.88,NA,0.5,NA,353.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OR4_8271_8120,1,10,2,NA,0.5,NA,863768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OR4_8120_7890,1,16.16,36.08,NA,0.5,NA,2628.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OR5_7890_7970,1,35.19,154.16,NA,0.5,NA,7135.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OD4_8990_8900,1,11.51,26.24,NA,0.5,NA,1320.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OD5_8900_8770,1,32.4,114.8,NA,0.5,NA,5489.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OD5_8770_8780,1,17.48,13.12,NA,0.5,NA,3464.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OD5_8780_8660,1,15.54,49.2,NA,0.5,NA,3322.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OR5_7970_8200,1,19.58,16.4,NA,0.5,NA,4429.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OD6_8660_8621,1,22.66,22.96,NA,0.5,NA,5136.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OD6_8621_8470,1,4.84,3.28,NA,0.5,NA,1276.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OR5_8200_8370,1,10.04,9.84,NA,0.5,NA,2387.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OR5_8370_8410,1,2.63,6.56,NA,0.5,NA,629.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OR5_8410_8470,1,19.09,22.96,NA,0.5,NA,4972.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OR7_8470_8490,1,10,2,NA,0.5,NA,1055100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NR1_8030_8051,1,13.18,178.72,NA,0.5,NA,127.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NR1_7880_8050,1,18.02,1361.2,NA,0.5,NA,140.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NR2_8210_8180,1,48.16,741.28,NA,0.5,NA,1284.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NR3_8420_8430,1,64.97,803.6,NA,0.5,NA,2259.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NR3_8290_8170,1,54.54,731.44,NA,0.5,NA,1730.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NR6_8180_8051,1,4.31,78.72,NA,0.5,NA,121.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NR3_8690_8500,1,47.95,921.68,NA,0.5,NA,1513.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NR3_8430_7820,1,6.85,141.04,NA,0.5,NA,261.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NR6_8170_7960,1,8.16,9.84,NA,0.5,NA,283.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NR3_8740_8500,1,29.64,974.16,NA,0.5,NA,362.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NR2_8600_8700,1,39.87,518.24,NA,0.5,NA,1189.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NR1_8820_8760,1,33.32,1039.76,NA,0.5,NA,611.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NR5_8700_8640,1,7.07,75.44,NA,0.5,NA,220.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NR1_8960_8870,1,23.22,646.16,NA,0.5,NA,286.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NR1_9150_9050,1,28.35,678.96,NA,0.5,NA,470.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NR1_9030_9080,1,18.65,1046.32,NA,0.5,NA,213.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NR2_9250_9170,1,25.05,797.04,NA,0.5,NA,473.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NR3_9310_9240,1,44.35,373.92,NA,0.5,NA,1082.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NR3_9190_9170,1,13.09,790.48,NA,0.5,NA,116.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NR3_9170_9130,1,18.45,95.12,NA,0.5,NA,601.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NR3_9240_9130,1,25.16,134.48,NA,0.5,NA,909.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NR4_9130_9080,1,8.91,59.04,NA,0.5,NA,571.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NR5_9080_9050,1,26.16,209.92,NA,0.5,NA,2064.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NR5_9050_8870,1,10.96,52.48,NA,0.5,NA,980.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NR5_8870_8760,1,30.32,285.36,NA,0.5,NA,3374.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NR5_8760_8640,1,13.38,59.04,NA,0.5,NA,1657.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NR6_8640_8500,1,7.03,9.84,NA,0.5,NA,1001.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NR6_8500_7820,1,10,2,NA,0.5,NA,1055100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NR6_7820_7960,1,42.34,157.44,NA,0.5,NA,9043.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NR6_7960_8050,1,5.35,19.68,NA,0.5,NA,1235.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NR6_8050_8051,1,8.41,39.36,NA,0.5,NA,1975.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NR6_8051_8000,1,6.5,22.96,NA,0.5,NA,1631.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YM1_6370_6620,1,20.67,111.52,NA,0.5,NA,406.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YM2_6120_6430,1,41.38,291.92,NA,0.5,NA,1522.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YM3_6430_6620,1,23.15,26.24,NA,0.5,NA,1003.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YM4_6620_0001,1,8.21,9.84,NA,0.5,NA,470.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GY0_3800_3801,1,12.39,406.7,NA,0.5,NA,148.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GY0_3950_3952,1,17.29,1066,NA,0.5,NA,169.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GY0_4240_3951,1,10,2,NA,0.5,NA,10701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GY0_4530_4532,1,11.24,164,NA,0.5,NA,96.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GY0_4531_4532,1,20.08,295.2,NA,0.5,NA,312.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GY0_4532_3951,1,9.2,249.28,NA,0.5,NA,222.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GY0_3951_3952,1,15.78,646.16,NA,0.5,NA,594.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
XU0_4090_4270,1,17.03,272.24,NA,0.5,NA,150.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
XU0_4130_4070,1,6.99,108.24,NA,0.5,NA,55.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
XU0_4091_4270,1,22.5,314.88,NA,0.5,NA,265.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
XU2_4270_4650,1,17.07,150.88,NA,0.5,NA,372.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
XU2_4070_4330,1,10,2,NA,0.5,NA,1950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
XU2_4330_4480,1,10,2,NA,0.5,NA,1690,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
XU2_4480_4650,1,18.03,131.2,NA,0.5,NA,424.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
XU3_4650_0001,1,3.61,6.56,NA,0.5,NA,131.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YP1_6570_6680,1,28.89,226.32,NA,0.5,NA,543.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YP3_6470_6690,1,76.12,380.48,NA,0.5,NA,3882.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YP2_6390_6330,1,10,2,NA,0.5,NA,279231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YP1_6680_6670,1,8.49,36.08,NA,0.5,NA,172.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YP3_6690_6720,1,11.31,45.92,NA,0.5,NA,655.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YP3_6330_6700,1,28.64,141.04,NA,0.5,NA,1651.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YP3_6700_6670,1,2.11,13.12,NA,0.5,NA,92.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YP3_6670_6720,1,1.29,1.64,NA,0.5,NA,66.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YP4_6720_6750,1,8.14,22.96,NA,0.5,NA,624.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YP4_6750_0001,1,15.41,29.52,NA,0.5,NA,1230.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JA1_7600_7570,1,18.31,150.88,NA,0.5,NA,463.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JA2_7410_7470,1,32.51,226.32,NA,0.5,NA,756.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JA2_7570_7480,1,5.07,9.84,NA,0.5,NA,157.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JA1_7640_7280,1,19.67,164,NA,0.5,NA,492.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JA2_7550_7280,1,39.66,341.12,NA,0.5,NA,1690.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JA4_7280_7340,1,44.29,95.12,NA,0.5,NA,3593.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JA4_7340_7470,1,3.52,6.56,NA,0.5,NA,291.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JA4_7470_7480,1,11.44,32.8,NA,0.5,NA,1133.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JA5_7480_0001,1,10,2,NA,0.5,NA,2639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RU2_5220_5640,1,42.33,711.76,NA,0.5,NA,1552.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RU2_5940_6200,1,32.15,2292.72,NA,0.5,NA,898.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RU2_5500_5610,1,29.95,1708.88,NA,0.5,NA,755.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RU2_5810_5610,1,31.47,1315.28,NA,0.5,NA,667.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RU2_6090_6220,1,23.15,2082.8,NA,0.5,NA,459.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RU3_5610_5640,1,13.63,52.48,NA,0.5,NA,635.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RU4_5640_6030,1,25.57,160.72,NA,0.5,NA,2370.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RU2_6200_6170,1,1.73,1.64,NA,0.5,NA,51.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RU2_6220_6170,1,23.65,150.88,NA,0.5,NA,840.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RU3_6170_6040,1,9.37,26.24,NA,0.5,NA,543.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RU4_6040_6030,1,30.87,150.88,NA,0.5,NA,2421.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RU5_6030_0001,1,11.68,55.76,NA,0.5,NA,1730.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU1_1630_1610,1,23,719.96,NA,0.5,NA,294.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU2_1550_1620,1,41.1,1254.6,NA,0.5,NA,812.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU2_1200_1310,1,28.35,721.6,NA,0.5,NA,524.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU1_1480_1500,1,26.26,964.32,NA,0.5,NA,255.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU2_1210_1310,1,29.87,1334.96,NA,0.5,NA,555.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU2_0670_0810,1,12.97,354.24,NA,0.5,NA,105.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU2_1290_1500,1,27.43,531.36,NA,0.5,NA,372.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU3_1310_1280,1,5.15,72.16,NA,0.5,NA,160.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU3_1280_1590,1,11.57,104.96,NA,0.5,NA,475.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU3_1500_1420,1,10.12,147.6,NA,0.5,NA,221.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU2_1020_0980,1,30.26,1344.8,NA,0.5,NA,580.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU3_0810_0970,1,17.52,659.28,NA,0.5,NA,312.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU1_0660_0710,1,22.91,613.36,NA,0.5,NA,407.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU2_0990_0950,1,26.34,1548.16,NA,0.5,NA,515.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU3_0970_1120,1,23.33,377.2,NA,0.5,NA,883.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU2_0780_0710,1,17.78,908.56,NA,0.5,NA,227.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU2_0760_0960,1,27.32,669.12,NA,0.5,NA,509.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU2_0700_0860,1,34.03,787.2,NA,0.5,NA,1031.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU3_0710_0910,1,14.75,121.36,NA,0.5,NA,687.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU3_0910_1010,1,3.87,65.6,NA,0.5,NA,187.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU1_0940_0900,1,24.06,1184.08,NA,0.5,NA,350.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU2_0800_0850,1,34.44,675.68,NA,0.5,NA,933.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU2_0890_0900,1,29.75,741.28,NA,0.5,NA,597.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU2_0680_0610,1,20.12,662.56,NA,0.5,NA,446.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU2_0450_0720,1,35.91,603.52,NA,0.5,NA,787.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU2_0900_0870,1,1.45,39.36,NA,0.5,NA,43.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
