TABLE->,IWAT-PARM1,IWAT-PARM1,IWAT-PARM1,IWAT-PARM1,IWAT-PARM1,IWAT-PARM2,IWAT-PARM2,IWAT-PARM2,IWAT-PARM2,IWAT-PARM3,IWAT-PARM3
VARS->,CSNO,RTOP,VRS,VNN,RTLI,LSUR,SLSUR,NSUR,RETSC,PETMAX,PETMIN
A42097,1,1,0,0,0,261,0.086,0.08,0.1,40,35
A42099,1,1,0,0,0,251,0.095,0.08,0.1,40,35
A42105,1,1,0,0,0,241,0.103,0.08,0.1,40,35
A42107,1,1,0,0,0,243,0.102,0.08,0.1,40,35
A42109,1,1,0,0,0,273,0.077,0.08,0.1,40,35
A42111,1,1,0,0,0,246,0.099,0.08,0.1,40,35
A42113,1,1,0,0,0,221,0.124,0.08,0.1,40,35
A42115,1,1,0,0,0,225,0.12,0.08,0.1,40,35
A42117,1,1,0,0,0,246,0.099,0.08,0.1,40,35
A42119,1,1,0,0,0,282,0.072,0.08,0.1,40,35
A42127,1,1,0,0,0,258,0.089,0.08,0.1,40,35
A42131,1,1,0,0,0,229,0.115,0.08,0.1,40,35
A42133,1,1,0,0,0,293,0.065,0.08,0.1,40,35
A47091,1,1,0,0,0,348,0.039,0.08,0.1,40,35
A47163,1,1,0,0,0,292,0.065,0.08,0.1,40,35
A51001,1,1,0,0,0,517,0.009,0.08,0.1,40,35
A51003,1,1,0,0,0,274,0.077,0.08,0.1,40,35
A51005,1,1,0,0,0,216,0.13,0.08,0.1,40,35
A51007,1,1,0,0,0,333,0.045,0.08,0.1,40,35
A51009,1,1,0,0,0,261,0.086,0.08,0.1,40,35
A51011,1,1,0,0,0,308,0.057,0.08,0.1,40,35
A51013,1,1,0,0,0,303,0.059,0.08,0.1,40,35
A51015,1,1,0,0,0,288,0.068,0.08,0.1,40,35
A51017,1,1,0,0,0,210,0.137,0.08,0.1,40,35
A51019,1,1,0,0,0,224,0.12,0.08,0.1,40,35
A51021,1,1,0,0,0,147,0.243,0.08,0.1,40,35
A51023,1,1,0,0,0,242,0.102,0.08,0.1,40,35
A51025,1,1,0,0,0,342,0.041,0.08,0.1,40,35
A51027,1,1,0,0,0,203,0.146,0.08,0.1,40,35
A51029,1,1,0,0,0,306,0.058,0.08,0.1,40,35
A51031,1,1,0,0,0,293,0.065,0.08,0.1,40,35
A51033,1,1,0,0,0,337,0.044,0.08,0.1,40,35
A51035,1,1,0,0,0,178,0.183,0.08,0.1,40,35
A51036,1,1,0,0,0,368,0.033,0.08,0.1,40,35
A51037,1,1,0,0,0,320,0.051,0.08,0.1,40,35
A51041,1,1,0,0,0,334,0.045,0.08,0.1,40,35
A51043,1,1,0,0,0,333,0.045,0.08,0.1,40,35
A51045,1,1,0,0,0,251,0.094,0.08,0.1,40,35
A51047,1,1,0,0,0,314,0.053,0.08,0.1,40,35
A51049,1,1,0,0,0,328,0.047,0.08,0.1,40,35
A51051,1,1,0,0,0,203,0.146,0.08,0.1,40,35
A51053,1,1,0,0,0,363,0.034,0.08,0.1,40,35
A51057,1,1,0,0,0,376,0.031,0.08,0.1,40,35
A51059,1,1,0,0,0,316,0.053,0.08,0.1,40,35
A51061,1,1,0,0,0,315,0.053,0.08,0.1,40,35
A51063,1,1,0,0,0,239,0.105,0.08,0.1,40,35
A51065,1,1,0,0,0,308,0.057,0.08,0.1,40,35
A51067,1,1,0,0,0,221,0.124,0.08,0.1,40,35
A51069,1,1,0,0,0,298,0.062,0.08,0.1,40,35
A51071,1,1,0,0,0,194,0.158,0.08,0.1,40,35
A51073,1,1,0,0,0,419,0.021,0.08,0.1,40,35
A51075,1,1,0,0,0,322,0.05,0.08,0.1,40,35
A51077,1,1,0,0,0,267,0.082,0.08,0.1,40,35
A51079,1,1,0,0,0,287,0.068,0.08,0.1,40,35
A51081,1,1,0,0,0,375,0.031,0.08,0.1,40,35
A51083,1,1,0,0,0,274,0.077,0.08,0.1,40,35
A51085,1,1,0,0,0,363,0.034,0.08,0.1,40,35
A51087,1,1,0,0,0,370,0.032,0.08,0.1,40,35
A51089,1,1,0,0,0,226,0.119,0.08,0.1,40,35
A51091,1,1,0,0,0,228,0.117,0.08,0.1,40,35
A51093,1,1,0,0,0,445,0.016,0.08,0.1,40,35
A51095,1,1,0,0,0,364,0.034,0.08,0.1,40,35
A51097,1,1,0,0,0,350,0.039,0.08,0.1,40,35
A51099,1,1,0,0,0,340,0.042,0.08,0.1,40,35
A51101,1,1,0,0,0,331,0.046,0.08,0.1,40,35
A51103,1,1,0,0,0,418,0.021,0.08,0.1,40,35
A51105,1,1,0,0,0,212,0.135,0.08,0.1,40,35
A51107,1,1,0,0,0,338,0.043,0.08,0.1,40,35
A51109,1,1,0,0,0,321,0.05,0.08,0.1,40,35
A51111,1,1,0,0,0,342,0.042,0.08,0.1,40,35
A51113,1,1,0,0,0,286,0.069,0.08,0.1,40,35
A51115,1,1,0,0,0,429,0.019,0.08,0.1,40,35
A51117,1,1,0,0,0,294,0.064,0.08,0.1,40,35
A51119,1,1,0,0,0,386,0.028,0.08,0.1,40,35
A51121,1,1,0,0,0,249,0.096,0.08,0.1,40,35
A51125,1,1,0,0,0,261,0.087,0.08,0.1,40,35
A51127,1,1,0,0,0,310,0.056,0.08,0.1,40,35
A51131,1,1,0,0,0,548,0.006,0.08,0.1,40,35
A51133,1,1,0,0,0,455,0.015,0.08,0.1,40,35
A51135,1,1,0,0,0,330,0.047,0.08,0.1,40,35
A51137,1,1,0,0,0,311,0.055,0.08,0.1,40,35
A51139,1,1,0,0,0,294,0.064,0.08,0.1,40,35
A51141,1,1,0,0,0,189,0.166,0.08,0.1,40,35
A51143,1,1,0,0,0,248,0.097,0.08,0.1,40,35
A51145,1,1,0,0,0,315,0.053,0.08,0.1,40,35
A51147,1,1,0,0,0,311,0.055,0.08,0.1,40,35
A51149,1,1,0,0,0,368,0.033,0.08,0.1,40,35
A51153,1,1,0,0,0,303,0.059,0.08,0.1,40,35
A51155,1,1,0,0,0,352,0.038,0.08,0.1,40,35
A51157,1,1,0,0,0,271,0.079,0.08,0.1,40,35
A51159,1,1,0,0,0,379,0.03,0.08,0.1,40,35
A51161,1,1,0,0,0,235,0.11,0.08,0.1,40,35
A51163,1,1,0,0,0,240,0.105,0.08,0.1,40,35
A51165,1,1,0,0,0,293,0.065,0.08,0.1,40,35
A51167,1,1,0,0,0,212,0.135,0.08,0.1,40,35
A51169,1,1,0,0,0,212,0.135,0.08,0.1,40,35
A51171,1,1,0,0,0,292,0.065,0.08,0.1,40,35
A51173,1,1,0,0,0,160,0.215,0.08,0.1,40,35
A51175,1,1,0,0,0,559,0.006,0.08,0.1,40,35
A51177,1,1,0,0,0,326,0.048,0.08,0.1,40,35
A51179,1,1,0,0,0,300,0.061,0.08,0.1,40,35
A51181,1,1,0,0,0,357,0.036,0.08,0.1,40,35
A51183,1,1,0,0,0,356,0.037,0.08,0.1,40,35
A51185,1,1,0,0,0,151,0.233,0.08,0.1,40,35
A51187,1,1,0,0,0,274,0.077,0.08,0.1,40,35
A51191,1,1,0,0,0,212,0.135,0.08,0.1,40,35
A51193,1,1,0,0,0,406,0.023,0.08,0.1,40,35
A51195,1,1,0,0,0,203,0.146,0.08,0.1,40,35
A51197,1,1,0,0,0,191,0.162,0.08,0.1,40,35
A51199,1,1,0,0,0,460,0.014,0.08,0.1,40,35
A51510,1,1,0,0,0,321,0.051,0.08,0.1,40,35
A51515,1,1,0,0,0,268,0.081,0.08,0.1,40,35
A51520,1,1,0,0,0,212,0.135,0.08,0.1,40,35
A51530,1,1,0,0,0,260,0.087,0.08,0.1,40,35
A51540,1,1,0,0,0,275,0.076,0.08,0.1,40,35
A51550,1,1,0,0,0,553,0.006,0.08,0.1,40,35
A51570,1,1,0,0,0,376,0.031,0.08,0.1,40,35
A51580,1,1,0,0,0,237,0.107,0.08,0.1,40,35
A51590,1,1,0,0,0,288,0.068,0.08,0.1,40,35
A51595,1,1,0,0,0,396,0.025,0.08,0.1,40,35
A51600,1,1,0,0,0,319,0.051,0.08,0.1,40,35
A51610,1,1,0,0,0,346,0.04,0.08,0.1,40,35
A51620,1,1,0,0,0,423,0.02,0.08,0.1,40,35
A51630,1,1,0,0,0,323,0.05,0.08,0.1,40,35
A51640,1,1,0,0,0,171,0.195,0.08,0.1,40,35
A51650,1,1,0,0,0,526,0.008,0.08,0.1,40,35
A51660,1,1,0,0,0,297,0.062,0.08,0.1,40,35
A51670,1,1,0,0,0,355,0.037,0.08,0.1,40,35
A51678,1,1,0,0,0,255,0.092,0.08,0.1,40,35
A51680,1,1,0,0,0,255,0.092,0.08,0.1,40,35
A51683,1,1,0,0,0,374,0.031,0.08,0.1,40,35
A51685,1,1,0,0,0,318,0.052,0.08,0.1,40,35
A51690,1,1,0,0,0,237,0.108,0.08,0.1,40,35
A51700,1,1,0,0,0,476,0.012,0.08,0.1,40,35
A51710,1,1,0,0,0,509,0.009,0.08,0.1,40,35
A51720,1,1,0,0,0,203,0.146,0.08,0.1,40,35
A51730,1,1,0,0,0,357,0.036,0.08,0.1,40,35
A51735,1,1,0,0,0,578,0.005,0.08,0.1,40,35
