specifier,FLOW,HEAT,NH3X,NO23,ORGN,TOTN,PO4X,PIPX,ORGP,TOTP,TSSX,ORGC,TSED,acre
osp, 0.2185395E+07, 0.2832709E+08, 0.1391510E+06, 0.8578898E+06, 0.1012090E+07, 0.2009131E+07, 0.8778934E+05, 0.6542155E+05, 0.6149584E+05, 0.2147070E+06, 0.9526691E+09, 0.1890537E+08, 0.4711524E+06, 0.1419952E+07
fsp, 0.0000000E+00, 0.0000000E+00, 0.1045333E+07, 0.0000000E+00, 0.2258784E+07, 0.3304114E+07, 0.8290234E+05, 0.0000000E+00, 0.9721134E+05, 0.1801137E+06, 0.8203542E+07, 0.0000000E+00, 0.4070142E+04, 0.2927418E+04
fnp, 0.0000000E+00, 0.0000000E+00, 0.3597206E+07, 0.0000000E+00, 0.7058576E+07, 0.1065578E+08, 0.2552523E+06, 0.0000000E+00, 0.1342736E+06, 0.3895262E+06, 0.4228520E+08, 0.0000000E+00, 0.2099188E+05, 0.1002117E+05
nir, 0.7865348E+06, 0.8036420E+07, 0.1460295E+07, 0.0000000E+00, 0.3144056E+07, 0.4604354E+07, 0.2088971E+05, 0.8964548E+05, 0.8791396E+04, 0.1193267E+06, 0.1195505E+09, 0.5280624E+08, 0.5921683E+05, 0.3058200E+06
nnr, 0.6984919E+06, 0.7193383E+07, 0.1129634E+07, 0.0000000E+00, 0.2435634E+07, 0.3565268E+07, 0.1634978E+05, 0.7017834E+05, 0.6883025E+04, 0.9341123E+05, 0.9487868E+08, 0.3827149E+08, 0.4704786E+05, 0.2694230E+06
nci, 0.2671100E+06, 0.2726765E+07, 0.4157566E+06, 0.0000000E+00, 0.8954730E+06, 0.1311229E+07, 0.6655437E+04, 0.2842213E+05, 0.2789940E+04, 0.3786753E+05, 0.1143237E+08, 0.1545165E+08, 0.5671163E+04, 0.1035023E+06
mir, 0.5122873E+06, 0.5414860E+07, 0.1259645E+07, 0.0000000E+00, 0.2632348E+07, 0.3891994E+07, 0.1665513E+05, 0.7006720E+05, 0.8148606E+04, 0.9487097E+05, 0.4628710E+08, 0.3597669E+08, 0.2301572E+05, 0.2003155E+06
mnr, 0.1229977E+07, 0.1302359E+08, 0.2503250E+07, 0.0000000E+00, 0.5234820E+07, 0.7738074E+07, 0.3221455E+05, 0.1358748E+06, 0.1579616E+05, 0.1838855E+06, 0.1101846E+09, 0.7126347E+08, 0.5478773E+05, 0.4798519E+06
mci, 0.1506164E+06, 0.1532893E+07, 0.3064005E+06, 0.0000000E+00, 0.6410385E+06, 0.9474388E+06, 0.4430981E+04, 0.1855976E+05, 0.2160461E+04, 0.2515120E+05, 0.1680094E+08, 0.8676288E+07, 0.8367751E+04, 0.5932592E+05
cir, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.1834138E+05
cnr, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.5002414E+05
cci, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.8391738E+03
stb, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00
stf, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00
sho, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00
mun, 0.1829505E+07, 0.3394728E+08, 0.2459071E+08, 0.2269561E+08, 0.9574973E+07, 0.5686128E+08, 0.2832520E+07, 0.0000000E+00, 0.1231700E+07, 0.4064218E+07, 0.7252014E+08, 0.5640936E+08, 0.3608064E+05
ind, 0.3934767E+06, 0.7414598E+07, 0.3339821E+07, 0.6902468E+07, 0.2234888E+07, 0.1247719E+08, 0.1230662E+07, 0.0000000E+00, 0.4530228E+06, 0.1683687E+07, 0.5335352E+08, 0.1366416E+08, 0.2653763E+05
cso, 0.1245478E+06, 0.2607678E+07, 0.3846072E+06, 0.2872551E+06, 0.1227682E+07, 0.1899545E+07, 0.7373786E+05, 0.0000000E+00, 0.1572851E+06, 0.2310231E+06, 0.3937196E+08, 0.8011061E+07, 0.1950875E+05
sep, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.1190764E+08, 0.0000000E+00, 0.1190764E+08, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00
rib, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.2236004E+04, 0.0000000E+00, 0.2236004E+04, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00
rpa, 0.0000000E+00, 0.0000000E+00, 0.7993757E+06, 0.0000000E+00, 0.3039633E+07, 0.3839012E+07, 0.5478726E+06, 0.0000000E+00, 0.5579332E+06, 0.1105805E+07, 0.1027940E+10, 0.1724295E+08, 0.5100582E+06
wat, 0.0000000E+00, 0.0000000E+00, 0.2609986E+07, 0.5123024E+07, 0.3137028E+06, 0.8046718E+07, 0.8950862E+05, 0.0000000E+00, 0.2649453E+06, 0.3544536E+06, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.9271457E+06
EL2_4400_4590, 0.3511060E+05, 0.4553337E+06, 0.3242969E+05, 0.2559302E+06, 0.1068306E+06, 0.3951905E+06, 0.1873445E+05, 0.7534449E+04, 0.5294444E+04, 0.3156334E+05, 0.6180156E+08, 0.8518098E+06, 0.3087507E+05, 0.2991157E+05
EL0_4560_4562, 0.3998290E+05, 0.5699806E+06, 0.3429589E+05, 0.2608232E+06, 0.1211747E+06, 0.4162939E+06, 0.1861796E+05, 0.6187875E+04, 0.5692536E+04, 0.3049837E+05, 0.2549145E+08, 0.5010836E+06, 0.1272458E+05, 0.2634559E+05
EL0_4561_4562, 0.2996918E+05, 0.4300126E+06, 0.2459335E+05, 0.1717647E+06, 0.8878722E+05, 0.2851453E+06, 0.1112842E+05, 0.3257571E+04, 0.3477177E+04, 0.1786317E+05, 0.1152304E+08, 0.3021692E+06, 0.5751964E+04, 0.1924834E+05
EL0_4562_0001, 0.1036889E+05, 0.1500067E+06, 0.1942499E+05, 0.1247681E+06, 0.7027696E+05, 0.2144701E+06, 0.5092495E+04, 0.1584475E+04, 0.1531032E+04, 0.8208003E+04, 0.6323018E+07, 0.1486789E+06, 0.3156265E+04, 0.6152333E+04
EL2_4590_0001, 0.8993940E+05, 0.1198066E+07, 0.6941884E+05, 0.4930461E+06, 0.2425889E+06, 0.8050541E+06, 0.4049074E+05, 0.1664113E+05, 0.1255338E+05, 0.6968526E+05, 0.6724139E+08, 0.1303630E+07, 0.3359273E+05, 0.5385914E+05
EL0_4591_0000, 0.8464962E+05, 0.1167579E+07, 0.9487508E+05, 0.6189359E+06, 0.2828857E+06, 0.9966964E+06, 0.2154504E+05, 0.1239270E+05, 0.8073878E+04, 0.4201162E+05, 0.2462947E+07, 0.3070180E+07, 0.1231473E+04, 0.5145455E+05
EL0_4592_0000, 0.1168996E+05, 0.1583855E+06, 0.8729646E+04, 0.6863923E+05, 0.2888748E+05, 0.1062564E+06, 0.2229853E+04, 0.2048202E+04, 0.7603229E+03, 0.5038378E+04, 0.4205089E+06, 0.3786226E+06, 0.2102544E+03, 0.8299659E+04
EL0_4593_0000, 0.1438723E+05, 0.1982363E+06, 0.1338135E+05, 0.7257127E+05, 0.3592800E+05, 0.1218806E+06, 0.4387929E+04, 0.2306761E+04, 0.1156345E+04, 0.7851035E+04, 0.2890343E+06, 0.4552080E+06, 0.1445172E+03, 0.1019399E+05
EL0_4594_0000, 0.2599612E+05, 0.3664212E+06, 0.2549975E+05, 0.1764237E+06, 0.8399166E+05, 0.2859151E+06, 0.5944540E+04, 0.3869010E+04, 0.2081500E+04, 0.1189505E+05, 0.6376742E+06, 0.9201528E+06, 0.3188371E+03, 0.1756936E+05
EL0_4595_0000, 0.1894891E+05, 0.2630538E+06, 0.1362778E+05, 0.9123074E+05, 0.4507147E+05, 0.1499300E+06, 0.3095582E+04, 0.3024217E+04, 0.1405022E+04, 0.7524822E+04, 0.4649654E+06, 0.5583170E+06, 0.2324827E+03, 0.1380286E+05
EL0_4596_0000, 0.7150386E+04, 0.9992347E+05, 0.3681128E+04, 0.2259041E+05, 0.1316127E+05, 0.3943280E+05, 0.7167217E+03, 0.7021895E+03, 0.3468441E+03, 0.1765755E+04, 0.9629150E+05, 0.1563080E+06, 0.4814575E+02, 0.5398033E+04
EL2_4630_0000, 0.9021705E+05, 0.1310057E+07, 0.1926460E+06, 0.1072116E+07, 0.5477513E+06, 0.1812512E+07, 0.3618398E+05, 0.7919560E+04, 0.1006430E+05, 0.5416782E+05, 0.3637514E+07, 0.4530592E+07, 0.1818756E+04, 0.5290389E+05
EL0_4631_0000, 0.3768495E+05, 0.5512629E+06, 0.4005869E+05, 0.2428222E+06, 0.1385133E+06, 0.4213943E+06, 0.4877731E+04, 0.1514400E+04, 0.1584970E+04, 0.7977102E+04, 0.4415776E+06, 0.1047319E+07, 0.2207888E+03, 0.2467136E+05
EL0_4632_0000, 0.6241543E+05, 0.9124899E+06, 0.8610360E+05, 0.5331074E+06, 0.2968762E+06, 0.9160872E+06, 0.1162702E+05, 0.3660279E+04, 0.3662438E+04, 0.1894974E+05, 0.9075861E+06, 0.2359232E+07, 0.4537930E+03, 0.3980427E+05
EL0_4633_0000, 0.1230890E+06, 0.1798833E+07, 0.1854543E+06, 0.1150942E+07, 0.6310111E+06, 0.1967408E+07, 0.2606927E+05, 0.8055699E+04, 0.7739677E+04, 0.4186464E+05, 0.2032985E+07, 0.4838379E+07, 0.1016492E+04, 0.7648280E+05
EL0_5040_0000, 0.2052879E+05, 0.2850935E+06, 0.1610451E+05, 0.9999310E+05, 0.4877233E+05, 0.1648699E+06, 0.3142418E+04, 0.2605835E+04, 0.1287843E+04, 0.7036095E+04, 0.3017664E+06, 0.5410449E+06, 0.1508832E+03, 0.1488323E+05
EL2_5110_5270, 0.5311195E+05, 0.6702372E+06, 0.3824663E+05, 0.2640747E+06, 0.1301731E+06, 0.4324942E+06, 0.1515256E+05, 0.7406791E+04, 0.4405931E+04, 0.2696528E+05, 0.8947255E+07, 0.7184381E+06, 0.4465630E+04, 0.3564862E+05
EL1_5150_0001, 0.1450100E+05, 0.1772700E+06, 0.1109654E+05, 0.8912560E+05, 0.3669551E+05, 0.1369177E+06, 0.4351917E+04, 0.4128139E+04, 0.1499846E+04, 0.9979902E+04, 0.1499602E+08, 0.2205558E+06, 0.7495929E+04, 0.1030543E+05
EL0_5151_0000, 0.6279906E+05, 0.8503982E+06, 0.4559139E+05, 0.3056045E+06, 0.1196199E+06, 0.4708158E+06, 0.1287091E+05, 0.1143133E+05, 0.5113995E+04, 0.2941623E+05, 0.1572777E+07, 0.1788525E+07, 0.7863885E+03, 0.4443297E+05
EL2_5272_5270, 0.1735042E+05, 0.1855476E+06, 0.1169894E+05, 0.9106359E+05, 0.4347077E+05, 0.1462333E+06, 0.4137912E+04, 0.4039456E+04, 0.1587399E+04, 0.9764767E+04, 0.1748984E+08, 0.8798737E+05, 0.8703430E+04, 0.1251012E+05
EL2_5270_0001, 0.9329773E+05, 0.1165115E+07, 0.6613536E+05, 0.4741068E+06, 0.2215257E+06, 0.7617681E+06, 0.1724536E+05, 0.1857696E+05, 0.7075800E+04, 0.4289812E+05, 0.1579014E+08, 0.1091539E+07, 0.7880955E+04, 0.6828785E+05
EL0_5271_0000, 0.2396761E+05, 0.3430205E+06, 0.3125696E+05, 0.1623510E+06, 0.7754022E+05, 0.2711482E+06, 0.6484615E+04, 0.4050692E+04, 0.3297391E+04, 0.1383270E+05, 0.1299448E+07, 0.8470577E+06, 0.6497242E+03, 0.1789907E+05
EL0_5280_0000, 0.5560628E+05, 0.7591584E+06, 0.5095648E+05, 0.2257189E+06, 0.9688005E+05, 0.3735555E+06, 0.9987027E+04, 0.8253216E+04, 0.6824572E+04, 0.2506481E+05, 0.1416987E+07, 0.1431568E+07, 0.7084930E+03, 0.4122118E+05
EL0_5281_0000, 0.7565171E+04, 0.1040415E+06, 0.5132167E+04, 0.1304644E+05, 0.8077931E+04, 0.2625654E+05, 0.4277831E+03, 0.3761131E+03, 0.6240654E+03, 0.1427961E+04, 0.3836744E+05, 0.1090482E+06, 0.1918372E+02, 0.5805832E+04
EL0_5283_0000, 0.1061064E+04, 0.1420764E+05, 0.6071951E+03, 0.2984811E+04, 0.1691169E+04, 0.5283175E+04, 0.6217497E+02, 0.7748698E+02, 0.4908948E+02, 0.1887515E+03, 0.8952774E+04, 0.2205578E+05, 0.4476388E+01, 0.7502789E+03
EL0_5400_0001, 0.3796198E+05, 0.4579400E+06, 0.2985472E+05, 0.1639241E+06, 0.8814152E+05, 0.2819204E+06, 0.9349252E+04, 0.8007548E+04, 0.4437124E+04, 0.2179393E+05, 0.1286156E+08, 0.6470431E+06, 0.6424643E+04, 0.2426940E+05
EL1_5430_0001, 0.3822902E+05, 0.4551801E+06, 0.1093426E+05, 0.7386433E+05, 0.4134694E+05, 0.1261455E+06, 0.4411436E+04, 0.4659133E+04, 0.2227844E+04, 0.1129842E+05, 0.1390032E+08, 0.8421005E+05, 0.6937390E+04, 0.2888113E+05
EL1_5570_0001, 0.4849298E+05, 0.5828998E+06, 0.1740146E+05, 0.1224117E+06, 0.6558769E+05, 0.2054009E+06, 0.5801429E+04, 0.6766400E+04, 0.2937214E+04, 0.1550504E+05, 0.1890817E+08, 0.4951133E+06, 0.9437484E+04, 0.3845311E+05
EL1_5660_0000, 0.1827309E+05, 0.2590849E+06, 0.1374283E+05, 0.1054834E+06, 0.4514421E+05, 0.1643704E+06, 0.2383577E+04, 0.2810367E+04, 0.1015887E+04, 0.6209830E+04, 0.5727981E+06, 0.5452320E+06, 0.2863991E+03, 0.1379887E+05
EL0_5761_0000, 0.3659214E+05, 0.5094560E+06, 0.2536990E+05, 0.1471818E+06, 0.8372178E+05, 0.2562735E+06, 0.4731216E+04, 0.4764614E+04, 0.2551245E+04, 0.1204708E+05, 0.7040278E+06, 0.1010162E+07, 0.3520139E+03, 0.2726570E+05
EL0_5762_0000, 0.2324940E+05, 0.3258258E+06, 0.2268138E+05, 0.1326722E+06, 0.6720120E+05, 0.2225548E+06, 0.3600659E+04, 0.3449197E+04, 0.2013005E+04, 0.9062863E+04, 0.5510468E+06, 0.7297664E+06, 0.2755234E+03, 0.1834999E+05
EL0_5763_0000, 0.1568699E+05, 0.2224994E+06, 0.8757862E+04, 0.5292927E+05, 0.3121810E+05, 0.9290523E+05, 0.2734636E+04, 0.2982164E+04, 0.1612282E+04, 0.7329083E+04, 0.4222987E+06, 0.4885513E+06, 0.2111494E+03, 0.1353760E+05
EL3_5870_0000, 0.4238354E+05, 0.6007905E+06, 0.2551675E+05, 0.1842405E+06, 0.8296809E+05, 0.2927255E+06, 0.5414298E+04, 0.6568963E+04, 0.2378057E+04, 0.1436132E+05, 0.1259722E+07, 0.1137279E+07, 0.6298607E+03, 0.3214818E+05
EL0_5891_0000, 0.6261639E+03, 0.8867245E+04, 0.1048407E+04, 0.2631656E+04, 0.1454554E+04, 0.5134618E+04, 0.8567831E+02, 0.8168814E+02, 0.1184708E+03, 0.2858373E+03, 0.2933844E+05, 0.1798267E+05, 0.1466923E+02, 0.5227470E+03
EL0_5892_0000, 0.2974543E+04, 0.4218427E+05, 0.1331395E+04, 0.7527562E+04, 0.5479272E+04, 0.1433823E+05, 0.2802369E+03, 0.3463628E+03, 0.2242492E+03, 0.8508489E+03, 0.3497344E+05, 0.7724085E+05, 0.1748672E+02, 0.2558524E+04
EL0_5893_0000, 0.1184808E+04, 0.1649499E+05, 0.1475645E+04, 0.6592245E+04, 0.5698828E+04, 0.1376672E+05, 0.1321433E+03, 0.1659884E+03, 0.1229001E+03, 0.4210318E+03, 0.3140159E+05, 0.5875235E+05, 0.1570080E+02, 0.9452997E+03
EL3_5972_0000, 0.3650718E+05, 0.5265159E+06, 0.2413421E+05, 0.1743241E+06, 0.7110299E+05, 0.2695614E+06, 0.8974282E+04, 0.1036076E+05, 0.3166886E+04, 0.2250193E+05, 0.9407220E+06, 0.1219670E+07, 0.4703609E+03, 0.2935196E+05
EL1_6000_0001, 0.1162000E+05, 0.1415900E+06, 0.4950784E+04, 0.3205942E+05, 0.1826079E+05, 0.5527100E+05, 0.1721124E+04, 0.1886728E+04, 0.9817313E+03, 0.4589584E+04, 0.1964756E+06, 0.1707103E+06, 0.9424612E+02, 0.9699349E+04
EL0_6001_0000, 0.4226441E+05, 0.6003090E+06, 0.2700458E+05, 0.1837440E+06, 0.9531749E+05, 0.3060660E+06, 0.9791862E+04, 0.9563627E+04, 0.4969197E+04, 0.2432469E+05, 0.1543634E+07, 0.1499954E+07, 0.7718170E+03, 0.3451380E+05
EL0_6002_0000, 0.1154999E+05, 0.1638199E+06, 0.6554289E+04, 0.4323382E+05, 0.2411520E+05, 0.7390332E+05, 0.2502496E+04, 0.2736485E+04, 0.1381880E+04, 0.6620860E+04, 0.4073508E+06, 0.4038139E+06, 0.2036754E+03, 0.9688287E+04
EL0_6003_0000, 0.1887653E+05, 0.2665269E+06, 0.1580871E+05, 0.8471739E+05, 0.4844333E+05, 0.1489695E+06, 0.4156269E+04, 0.4390737E+04, 0.2422420E+04, 0.1096943E+05, 0.6451984E+06, 0.7318124E+06, 0.3225992E+03, 0.1576262E+05
EL0_6011_0000, 0.4469512E+04, 0.6406999E+05, 0.8543530E+04, 0.2709071E+05, 0.2037060E+05, 0.5600484E+05, 0.2991220E+04, 0.6519528E+03, 0.9718368E+03, 0.4615010E+04, 0.1125470E+06, 0.2196729E+06, 0.5627348E+02, 0.2731514E+04
EL0_6480_0000, 0.1557212E+05, 0.2268712E+06, 0.2368621E+05, 0.1419322E+06, 0.6669580E+05, 0.2323142E+06, 0.4912432E+04, 0.4637911E+04, 0.2100874E+04, 0.1165122E+05, 0.3879632E+06, 0.7738022E+06, 0.1939816E+03, 0.1227161E+05
EL0_6550_0000, 0.1695090E+05, 0.2485090E+06, 0.1840713E+05, 0.1351941E+06, 0.5994015E+05, 0.2135413E+06, 0.4227376E+04, 0.4775253E+04, 0.1652305E+04, 0.1065493E+05, 0.6171653E+06, 0.7176404E+06, 0.3085826E+03, 0.1395057E+05
EL0_6610_0000, 0.5281702E+05, 0.7922489E+06, 0.7963164E+05, 0.6638518E+06, 0.2494538E+06, 0.9929374E+06, 0.1603721E+05, 0.1680772E+05, 0.5201834E+04, 0.3804676E+05, 0.1972184E+07, 0.2824995E+07, 0.9860919E+03, 0.4436409E+05
