TABLE->,HT-BED-FLAGS,HT-BED-FLAGS,HT-BED-FLAGS,HEAT-PARM,HEAT-PARM,HEAT-PARM,HEAT-PARM,HEAT-PARM,HEAT-PARM,MON-HT-TGRND,MON-HT-TGRND,MON-HT-TGRND,MON-HT-TGRND,MON-HT-TGRND,MON-HT-TGRND,MON-HT-TGRND,MON-HT-TGRND,MON-HT-TGRND,MON-HT-TGRND,MON-HT-TGRND,MON-HT-TGRND,HEAT-INIT,HEAT-INIT
VARS->,BDFG,TGFG,TSTP,ELEV,ELDAT,CFSAEX,KATRAD,KCOND,KEVAP,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TW,AIRTMP
SU2_1550_1620,0,na,na,1075,-0021,0.20,14.06250,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
SU2_1200_1310,0,na,na,0987,0469,0.20,14.06250,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
SU1_1480_1500,0,na,na,1109,0590,0.10,14.06250,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
SU2_1210_1310,0,na,na,1294,0319,0.20,14.06250,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
SU2_0670_0810,0,na,na,1742,0800,0.20,16.96875,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
SU2_1290_1500,0,na,na,0892,0374,0.20,14.06250,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
SU3_1310_1280,0,na,na,0590,-0385,0.30,14.06250,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
SU3_1280_1590,0,na,na,0502,-0473,0.30,14.06250,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
SU3_1500_1420,0,na,na,0553,0034,0.30,14.06250,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
SU2_1020_0980,0,na,na,1237,0672,0.20,13.56250,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
SU3_0810_0970,0,na,na,1235,0330,0.30,13.93750,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
SU1_0660_0710,0,na,na,1074,0133,0.10,15.43750,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
SU2_0990_0950,0,na,na,1378,-0589,0.20,13.56250,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
SU3_0970_1120,0,na,na,0717,-0189,0.30,14.93750,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
SU2_0780_0710,0,na,na,1222,0280,0.20,15.43750,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
SU2_0760_0960,0,na,na,0945,0003,0.20,13.56250,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
SU2_0700_0860,0,na,na,1040,0098,0.20,13.56250,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
SU3_0710_0910,0,na,na,0707,-0235,0.30,15.43750,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
SU3_0910_1010,0,na,na,0613,0049,0.30,13.56250,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
SU1_0940_0900,0,na,na,1402,-0352,0.10,14.56250,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
