LSEG,SWX,IWX,SED,AGX
N51610,2,8,59,102
N51630,1,4,28,102
N51650,1,2,13,102
N51660,1,3,15,102
N51670,1,3,21,102
N51678,1,2,13,102
N51680,1,5,34,102
N51683,1,2,13,102
N51685,1,3,17,102
N51700,1,2,14,102
N51710,1,2,13,102
N51730,1,4,30,102
N51735,1,2,13,102
N51740,1,2,13,102
N51760,1,2,14,102
N51790,1,5,32,102
N51800,1,4,23,102
N51810,1,2,13,102
N51820,1,4,27,102
N51830,1,4,31,102
N51840,1,3,22,102
N54003,2,8,57,102
H54023,2,6,45,102
L54023,2,7,49,102
N54023,3,18,118,102
N54027,2,10,78,102
H54031,4,22,133,102
L54031,1,3,22,102
N54031,3,16,112,102
N54037,1,4,27,102
H54057,4,23,135,102
N54057,2,9,69,102
N54063,3,15,107,102
N54065,2,11,81,102
H54071,4,22,131,102
L54071,2,8,56,102
N54071,3,15,106,102
N54077,3,13,92,102
N54093,2,11,84,102
