POT_IJ,BAY_IJ,BAY_ICM
95024,7044,2094
93024,7045,2136
91023,7046,2173
90022,7047,2212
88021,7048,2254
87023,7049,2285
86023,7050,2318
85021,7051,2343
84019,7052,2371
84024,7053,2396
83025,7054,2420
82024,7055,2443
81024,7056,2465
80026,7057,2487
80023,7058,2507
80020,7059,2527
79022,7060,2551
79021,7061,2572
78022,7062,2590
78022,7063,2609
77023,7064,2626
77020,7065,2645
76023,7066,2661
75023,7067,2677
74021,7068,2695
72022,7069,2715
71023,7070,2729
69024,7071,2742
68025,7072,2755
67025,7073,2771
66022,7074,2784
66024,7075,2797
65023,7076,2811
64025,7077,2824
64022,7078,2838
62025,7079,2848
61024,7080,2863
61022,7081,2873
60022,7082,2883
59021,7083,2893
59021,7084,2902
58023,7085,2909
57023,7086,2916
56024,7087,2921
55024,7088,2926
54023,7089,2932
53024,7090,2938
52024,7091,2943
51024,7092,2948
50024,7093,2951
49024,7094,2954
48024,7095,2957
47024,7096,2960
149003,8010,27
148003,8011,42
148003,8012,57
148003,8013,74
147003,8014,91
146003,8015,108
145003,8016,125
144003,8017,143
143003,8018,161
142003,8019,176
140003,8020,203
139003,8021,242
139005,8022,299
139007,8023,348
139010,8024,393
137013,8025,454
135014,8026,524
132015,8027,611
129016,8028,693
126017,8029,765
123018,8030,845
121019,8031,931
120020,8032,1034
118021,8033,1166
116023,8034,1286
114024,8035,1415
111026,8036,1542
108027,8037,1664
106027,8038,1770
104027,8039,1836
102027,8040,1902
101026,8041,1960
100026,8042,2010
99027,8043,2052
95026,8044,2095
93026,8045,2137
91026,8046,2174
90024,8047,2213
88024,8048,2255
87024,8049,2286
86025,8050,2319
85022,8051,2344
85025,8052,2372
84025,8053,2397
83026,8054,2421
82026,8055,2444
81026,8056,2466
80027,8057,2488
80024,8058,2508
80021,8059,2528
79023,8060,2552
79022,8061,2573
78023,8062,2591
78024,8063,2610
77026,8064,2627
76027,8065,2646
76025,8066,2662
75026,8067,2678
74024,8068,2696
72025,8069,2716
71025,8070,2730
69025,8071,2743
68025,8072,2756
67025,8073,2772
66025,8074,2785
66025,8075,2798
65025,8076,2812
64025,8077,2825
64024,8078,2839
62025,8079,2849
61025,8080,2864
60025,8081,2874
60024,8082,2884
59024,8083,2894
59023,8084,2903
58023,8085,2910
57024,8086,2917
56025,8087,2922
55025,8088,2927
54025,8089,2933
53024,8090,2939
52024,8091,2944
51024,8092,2949
50024,8093,2952
49024,8094,2955
48024,8095,2958
47024,8096,2961
150003,9010,28
150003,9011,43
150003,9012,58
150003,9013,75
150003,9014,92
150003,9015,109
150003,9016,126
150003,9017,144
150003,9018,162
149003,9019,177
148003,9020,204
148004,9021,243
147006,9022,300
146009,9023,349
145011,9024,394
143014,9025,455
141016,9026,525
139017,9027,612
134018,9028,694
128019,9029,766
126020,9030,846
124021,9031,932
122022,9032,1035
120024,9033,1167
118025,9034,1287
115026,9035,1416
95027,9044,2096
93027,9045,2138
91027,9046,2175
90027,9047,2214
89027,9048,2256
87027,9049,2287
86026,9050,2320
85023,9051,2345
85026,9052,2373
84026,9053,2398
83027,9054,2422
82027,9055,2445
81027,9056,2467
80027,9057,2489
80025,9058,2509
79027,9059,2529
79024,9060,2553
79024,9061,2574
78024,9062,2592
78024,9063,2611
77027,9064,2628
76027,9065,2647
76027,9066,2663
75026,9067,2679
54025,9089,2934
152003,10010,29
152003,10011,44
152003,10012,59
152003,10013,76
152003,10014,93
152003,10015,110
152003,10016,127
153003,10017,145
153003,10018,163
153003,10019,178
152003,10020,205
152005,10021,244
152007,10022,301
151010,10023,350
150012,10024,395
148015,10025,456
145017,10026,526
142018,10027,613
137020,10028,695
131022,10029,767
128023,10030,847
126024,10031,933
124025,10032,1036
122026,10033,1168
120027,10034,1288
118028,10035,1417
118028,10036,1543
91030,10047,2215
79027,10059,2530
75028,10067,2680
152003,11010,30
152003,11011,45
153003,11012,60
153003,11013,77
153003,11014,94
153003,11015,111
153003,11016,128
153003,11017,146
146018,11026,527
143020,11027,614
139023,11028,696
134026,11029,768
130026,11030,848
128027,11031,934
126027,11032,1037
124028,11033,1169
122028,11034,1289
120029,11035,1418
118030,11036,1544
75029,11067,2681
153003,12010,31
153003,12011,46
153003,12012,61
153003,12013,78
154061,12014,95
154061,12015,112
154061,12016,129
154061,12017,147
147019,12026,528
144023,12027,615
141026,12028,697
136028,12029,769
132028,12030,849
130029,12031,935
128029,12032,1038
126029,12033,1170
124030,12034,1290
121031,12035,1419
119032,12036,1545
112035,12038,1771
111036,12039,1837
164074,13010,32
164074,13011,47
164074,13012,62
164074,13013,79
164074,13014,96
154061,13015,113
154061,13016,130
154061,13017,148
147022,13026,529
145025,13027,616
142027,13028,698
137029,13029,770
134030,13030,850
131030,13031,936
130031,13032,1039
127031,13033,1171
125032,13034,1291
122033,13035,1420
119034,13036,1546
117035,13037,1665
114036,13038,1772
113037,13039,1838
164074,14010,33
164074,14011,48
164074,14012,63
164074,14013,80
164074,14014,97
164074,14015,114
164074,14016,131
164074,14017,149
147024,14026,530
145027,14027,617
142029,14028,699
138031,14029,771
136032,14030,851
133032,14031,937
131033,14032,1040
129033,14033,1172
126033,14034,1292
123034,14035,1421
120035,14036,1547
117036,14037,1666
115038,14038,1773
114038,14039,1839
112040,14040,1903
110040,14041,1961
107040,14042,2011
105040,14043,2053
104040,14044,2097
147026,15026,531
145028,15027,618
142030,15028,700
139032,15029,772
137033,15030,852
134034,15031,938
132034,15032,1041
129034,15033,1173
127035,15034,1293
123035,15035,1422
120036,15036,1548
118037,15037,1667
116038,15038,1774
114039,15039,1840
112040,15040,1904
110040,15041,1962
107041,15042,2012
105040,15043,2054
104040,15044,2098
103040,15045,2139
102040,15046,2176
101040,15047,2216
99040,15048,2257
98040,15049,2288
96040,15050,2321
94040,15051,2346
93040,15052,2374
91040,15053,2399
90040,15054,2423
88040,15055,2446
87040,15056,2468
86040,15057,2490
84040,15058,2510
83040,15059,2531
82040,15060,2554
80040,15061,2575
79040,15062,2593
78040,15063,2612
78040,15064,2629
77040,15065,2648
76040,15066,2664
75040,15067,2682
75040,15068,2697
74040,15069,2717
73040,15070,2731
72040,15071,2744
71040,15072,2757
70040,15073,2773
69040,15074,2786
68040,15075,2799
68040,15076,2813
67040,15077,2826
66040,15078,2840
66040,15079,2850
66040,15080,2865
65040,15081,2875
64040,15082,2885
63040,15083,2895
62040,15084,2904
61040,15085,2911
61040,15086,2918
60040,15087,2923
59040,15088,2928
59040,15089,2935
58040,15090,2940
57040,15091,2945
146028,16026,532
145029,16027,619
143031,16028,701
140033,16029,773
137034,16030,853
134035,16031,939
132036,16032,1042
130036,16033,1174
127036,16034,1294
123036,16035,1423
120037,16036,1549
118038,16037,1668
116039,16038,1775
114041,16039,1841
112041,16040,1905
110041,16041,1963
107041,16042,2013
105041,16043,2055
104041,16044,2099
103041,16045,2140
102041,16046,2177
100040,16047,2217
99040,16048,2258
98041,16049,2289
96041,16050,2322
94041,16051,2347
93041,16052,2375
92042,16053,2400
90042,16054,2424
89042,16055,2447
87042,16056,2469
86042,16057,2491
84041,16058,2511
83041,16059,2532
82041,16060,2555
80042,16061,2576
79041,16062,2594
78041,16063,2613
78041,16064,2630
77041,16065,2649
76041,16066,2665
75040,16067,2683
75041,16068,2698
74040,16069,2718
73040,16070,2732
72040,16071,2745
71040,16072,2758
70040,16073,2774
69040,16074,2787
68040,16075,2800
68040,16076,2814
67040,16077,2827
66040,16078,2841
66040,16079,2851
66040,16080,2866
65040,16081,2876
64040,16082,2886
63040,16083,2896
62040,16084,2905
61040,16085,2912
61040,16086,2919
60040,16087,2924
59040,16088,2929
59040,16089,2936
58040,16090,2941
57040,16091,2946
147028,17025,457
146030,17026,533
144031,17027,620
143032,17028,702
140034,17029,774
137036,17030,854
135036,17031,940
132037,17032,1043
130037,17033,1175
127037,17034,1295
124037,17035,1424
121038,17036,1550
118039,17037,1669
116041,17038,1776
114042,17039,1842
112042,17040,1906
110042,17041,1964
107042,17042,2014
105042,17043,2056
104042,17044,2100
103042,17045,2141
102041,17046,2178
101041,17047,2218
100042,17048,2259
98041,17049,2290
96042,17050,2323
95042,17051,2348
93042,17052,2376
92043,17053,2401
90043,17054,2425
89043,17055,2448
87043,17056,2470
86042,17057,2492
84042,17058,2512
83042,17059,2533
81043,17060,2556
80043,17061,2577
79042,17062,2595
78041,17063,2614
78042,17064,2631
77041,17065,2650
76041,17066,2666
75041,17067,2684
75041,17068,2699
146031,18025,458
145032,18026,534
144033,18027,621
142034,18028,703
140035,18029,775
137037,18030,855
134038,18031,941
133038,18032,1044
130038,18033,1176
128038,18034,1296
124038,18035,1425
121039,18036,1551
118041,18037,1670
116042,18038,1777
115043,18039,1843
112043,18040,1907
110043,18041,1965
107043,18042,2015
105043,18043,2057
104043,18044,2101
103043,18045,2142
102042,18046,2179
101042,18047,2219
100043,18048,2260
98042,18049,2291
96042,18050,2324
95043,18051,2349
93043,18052,2377
92043,18053,2402
90043,18054,2426
89044,18055,2449
87044,18056,2471
86043,18057,2493
84044,18058,2513
83043,18059,2534
81043,18060,2557
80044,18061,2578
79042,18062,2596
78042,18063,2615
78042,18064,2632
77042,18065,2651
76042,18066,2667
75042,18067,2685
75042,18068,2700
74044,18069,2719
73044,18070,2733
72044,18071,2746
72044,18072,2759
71044,18073,2775
70044,18074,2788
70044,18075,2801
69044,18076,2815
69044,18077,2828
68044,18078,2842
68044,18079,2852
67044,18080,2867
66044,18081,2877
66044,18082,2887
65044,18083,2897
64044,18084,2906
63044,18085,2913
146032,19025,459
145033,19026,535
143034,19027,622
142035,19028,704
140036,19029,776
137038,19030,856
135039,19031,942
133039,19032,1045
131039,19033,1177
128039,19034,1297
124039,19035,1426
121040,19036,1552
118042,19037,1671
116043,19038,1778
114044,19039,1844
112044,19040,1908
110044,19041,1966
107044,19042,2016
105043,19043,2058
104044,19044,2102
103044,19045,2143
102043,19046,2180
101043,19047,2220
100044,19048,2261
98044,19049,2292
96044,19050,2325
95044,19051,2350
93044,19052,2378
92044,19053,2403
90044,19054,2427
89044,19055,2450
87044,19056,2472
86044,19057,2494
84044,19058,2514
83044,19059,2535
81044,19060,2558
80044,19061,2579
79044,19062,2597
78043,19063,2616
78044,19064,2633
77043,19065,2652
76044,19066,2668
75043,19067,2686
75043,19068,2701
74044,19069,2720
73044,19070,2734
72044,19071,2747
72044,19072,2760
71044,19073,2776
70044,19074,2789
70044,19075,2802
69044,19076,2816
69044,19077,2829
68044,19078,2843
68044,19079,2853
67044,19080,2868
66044,19081,2878
66044,19082,2888
65044,19083,2898
64044,19084,2907
63044,19085,2914
146032,20025,460
145033,20026,536
143035,20027,623
142036,20028,705
140037,20029,777
137039,20030,857
134041,20031,943
133041,20032,1046
131041,20033,1178
128040,20034,1298
124040,20035,1427
121041,20036,1553
118043,20037,1672
116044,20038,1779
115044,20039,1845
112044,20040,1909
110044,20041,1967
107044,20042,2017
105044,20043,2059
104044,20044,2103
146033,21025,461
144035,21026,537
143036,21027,624
142037,21028,706
140038,21029,778
137041,21030,858
134043,21031,944
133043,21032,1047
131043,21033,1179
128042,21034,1299
125042,21035,1428
121042,21036,1554
118044,21037,1673
116045,21038,1780
115045,21039,1846
145035,22025,462
144036,22026,538
143037,22027,625
141039,22028,707
139041,22029,779
137043,22030,859
135044,22031,945
133044,22032,1048
131044,22033,1180
128044,22034,1300
125043,22035,1429
122043,22036,1555
119045,22037,1674
116046,22038,1781
115046,22039,1847
112049,22041,1968
145036,23025,463
144037,23026,539
142039,23027,626
141040,23028,708
139043,23029,780
136045,23030,860
134045,23031,946
133045,23032,1049
131045,23033,1181
128045,23034,1301
125044,23035,1430
122044,23036,1556
119045,23037,1675
117046,23038,1782
115047,23039,1848
114048,23040,1910
113049,23041,1969
112051,23042,2018
112051,23043,2060
111051,23044,2104
145037,24025,464
143040,24026,540
142041,24027,627
141042,24028,709
139045,24029,781
136046,24030,861
134046,24031,947
132047,24032,1050
131046,24033,1182
128046,24034,1302
125045,24035,1431
122045,24036,1557
119046,24037,1676
117047,24038,1783
116047,24039,1849
114049,24040,1911
113050,24041,1970
112051,24042,2019
112051,24043,2061
111051,24044,2105
145038,25025,465
143042,25026,541
142043,25027,628
141044,25028,710
139046,25029,782
136047,25030,862
134047,25031,948
132048,25032,1051
131047,25033,1183
128047,25034,1303
125046,25035,1432
122046,25036,1558
120046,25037,1677
118047,25038,1784
116048,25039,1850
115049,25040,1912
114050,25041,1971
113051,25042,2020
112052,25043,2062
144042,26025,466
143044,26026,542
142045,26027,629
141046,26028,711
139047,26029,783
136048,26030,863
134049,26031,949
132049,26032,1052
131049,26033,1184
128048,26034,1304
125048,26035,1433
123047,26036,1559
120047,26037,1678
118047,26038,1785
116049,26039,1851
115050,26040,1913
114051,26041,1972
113051,26042,2021
112052,26043,2063
112053,26044,2106
112053,26045,2144
112054,26046,2181
144045,27025,467
143046,27026,543
142047,27027,630
141047,27028,712
138049,27029,784
136050,27030,864
134050,27031,950
132050,27032,1053
130050,27033,1185
128050,27034,1305
125049,27035,1434
123048,27036,1560
120047,27037,1679
118048,27038,1786
117049,27039,1852
115050,27040,1914
114051,27041,1973
113052,27042,2022
112052,27043,2064
112053,27044,2107
112053,27045,2145
112054,27046,2182
144047,28025,468
144047,28026,544
142049,28027,631
141049,28028,713
139051,28029,785
136052,28030,865
134052,28031,951
132052,28032,1054
130052,28033,1186
127052,28034,1306
125051,28035,1435
122049,28036,1561
120048,28037,1680
119048,28038,1787
118049,28039,1853
115051,28040,1915
115051,28041,1974
113052,28042,2023
113052,28043,2065
112053,28044,2108
112054,28045,2146
112054,28046,2183
145048,29025,469
144049,29026,545
142050,29027,632
141051,29028,714
139052,29029,786
136054,29030,866
134054,29031,952
132054,29032,1055
130054,29033,1187
127053,29034,1307
125052,29035,1436
122050,29036,1562
145049,30025,470
144050,30026,546
142052,30027,633
141053,30028,715
139054,30029,787
136055,30030,867
134056,30031,953
132056,30032,1056
130056,30033,1188
127055,30034,1308
125054,30035,1437
122054,30036,1563
145051,31025,471
144052,31026,547
143053,31027,634
141054,31028,716
139056,31029,788
137057,31030,868
134058,31031,954
132058,31032,1057
130058,31033,1189
127057,31034,1309
125057,31035,1438
121056,31036,1564
145052,32025,472
144053,32026,548
143054,32027,635
141056,32028,717
139057,32029,789
137058,32030,869
134059,32031,955
132059,32032,1058
130059,32033,1190
128059,32034,1310
124058,32035,1439
121058,32036,1565
145054,33025,473
144055,33026,549
143056,33027,636
141057,33028,718
140058,33029,790
137060,33030,870
135061,33031,956
133061,33032,1059
131061,33033,1191
128061,33034,1311
124060,33035,1440
120061,33036,1566
146055,34024,396
145056,34025,474
144057,34026,550
143057,34027,637
142058,34028,719
141059,34029,791
138061,34030,871
136062,34031,957
134063,34032,1060
132063,34033,1192
129063,34034,1312
125063,34035,1441
120063,34036,1567
117064,34037,1681
113064,34038,1788
112064,34039,1854
111064,34040,1916
146057,35024,397
145058,35025,475
144058,35026,551
143059,35027,638
143059,35028,720
141061,35029,792
139062,35030,872
137063,35031,958
135064,35032,1061
132064,35033,1193
129064,35034,1313
125064,35035,1442
120065,35036,1568
146058,36024,398
145059,36025,476
145059,36026,552
144060,36027,639
143061,36028,721
141062,36029,793
139064,36030,873
137065,36031,959
135066,36032,1062
133066,36033,1194
129066,36034,1314
125066,36035,1443
120066,36036,1569
116067,36037,1682
112067,36038,1789
108066,36039,1855
104067,36040,1917
99066,36041,1975
95066,36042,2024
92066,36043,2066
88066,36044,2109
86066,36045,2147
84066,36046,2184
81066,36047,2221
78067,36048,2262
147059,37024,399
146060,37025,477
145061,37026,553
144062,37027,640
143062,37028,722
142063,37029,794
140065,37030,874
138066,37031,960
136067,37032,1063
133068,37033,1195
130068,37034,1315
125067,37035,1444
120067,37036,1570
116068,37037,1683
112068,37038,1790
108068,37039,1856
104068,37040,1918
100068,37041,1976
96068,37042,2025
92067,37043,2067
89068,37044,2110
86068,37045,2148
84067,37046,2185
81067,37047,2222
78067,37048,2263
76067,37049,2293
74068,37050,2326
72068,37051,2351
58071,37062,2598
147061,38024,400
146062,38025,478
146062,38026,554
145063,38027,641
144064,38028,723
142065,38029,795
140067,38030,875
138068,38031,961
136069,38032,1064
133071,38033,1196
130071,38034,1316
125069,38035,1445
120069,38036,1571
116069,38037,1684
112070,38038,1791
108070,38039,1857
104070,38040,1919
101071,38041,1977
96069,38042,2026
92069,38043,2068
89070,38044,2111
86070,38045,2149
84069,38046,2186
81069,38047,2223
78069,38048,2264
76068,38049,2294
74069,38050,2327
72069,38051,2352
70070,38052,2379
70068,38053,2404
68069,38054,2428
66071,38055,2451
65071,38056,2473
63071,38057,2495
62071,38058,2515
61071,38059,2536
60071,38060,2559
59071,38061,2580
58073,38062,2599
56072,38063,2617
55072,38064,2634
53072,38065,2653
52072,38066,2669
51072,38067,2687
49072,38068,2702
47072,38069,2721
46072,38070,2735
45072,38071,2748
44072,38072,2761
43072,38073,2777
42072,38074,2790
40072,38075,2803
38072,38076,2817
36072,38077,2830
148061,39024,401
147062,39025,479
146063,39026,555
145064,39027,642
144065,39028,724
142067,39029,796
140069,39030,876
138071,39031,962
136072,39032,1065
133073,39033,1197
129073,39034,1317
125071,39035,1446
120070,39036,1572
116071,39037,1685
112071,39038,1792
108072,39039,1858
104073,39040,1920
101073,39041,1978
97071,39042,2027
93072,39043,2069
89072,39044,2112
86072,39045,2150
84071,39046,2187
81071,39047,2224
78071,39048,2265
76070,39049,2295
74071,39050,2328
72070,39051,2353
70072,39052,2380
70069,39053,2405
68070,39054,2429
66071,39055,2452
65071,39056,2474
63071,39057,2496
62072,39058,2516
61072,39059,2537
60072,39060,2560
59072,39061,2581
58073,39062,2600
56072,39063,2618
54072,39064,2635
53072,39065,2654
52072,39066,2670
51072,39067,2688
49072,39068,2703
47072,39069,2722
46072,39070,2736
45072,39071,2749
44072,39072,2762
43072,39073,2778
42072,39074,2791
40072,39075,2804
38072,39076,2818
36072,39077,2831
148063,40024,402
147064,40025,480
146065,40026,556
146065,40027,643
144067,40028,725
143068,40029,797
140072,40030,877
138074,40031,963
136074,40032,1066
133075,40033,1198
129074,40034,1318
124073,40035,1447
120072,40036,1573
116072,40037,1686
112073,40038,1793
108073,40039,1859
105074,40040,1921
101073,40041,1979
97072,40042,2028
93073,40043,2070
89074,40044,2113
86073,40045,2151
84073,40046,2188
81073,40047,2225
78073,40048,2266
76071,40049,2296
74072,40050,2329
72071,40051,2354
70073,40052,2381
70071,40053,2406
68072,40054,2430
66072,40055,2453
65071,40056,2475
63073,40057,2497
62073,40058,2517
61073,40059,2538
60073,40060,2561
59073,40061,2582
58073,40062,2601
56072,40063,2619
54072,40064,2636
53072,40065,2655
52072,40066,2671
51072,40067,2689
49072,40068,2704
47072,40069,2723
46072,40070,2737
45072,40071,2750
44072,40072,2763
43072,40073,2779
42072,40074,2792
40072,40075,2805
38072,40076,2819
36072,40077,2832
149064,41024,403
148065,41025,481
147066,41026,557
146067,41027,644
145069,41028,726
143072,41029,798
141074,41030,878
139075,41031,964
136076,41032,1067
133076,41033,1199
128075,41034,1319
124074,41035,1448
119073,41036,1574
116073,41037,1687
112073,41038,1794
108073,41039,1860
105074,41040,1922
72072,41051,2355
150065,42024,404
149066,42025,482
148067,42026,558
147069,42027,645
146071,42028,727
144074,42029,799
141076,42030,879
138077,42031,965
136078,42032,1068
133078,42033,1200
129077,42034,1320
123075,42035,1449
105075,42040,1923
151066,43024,405
150067,43025,483
149069,43026,559
148072,43027,646
146074,43028,728
144076,43029,800
142077,43030,880
138079,43031,966
135079,43032,1069
132079,43033,1201
128078,43034,1321
122076,43035,1450
117076,43036,1575
115076,43037,1688
105076,43040,1924
153068,44024,406
152070,44025,484
151072,44026,560
149074,44027,647
147076,44028,729
145078,44029,801
142079,44030,881
138081,44031,967
135082,44032,1070
131081,44033,1202
127080,44034,1322
122079,44035,1451
118078,44036,1576
116079,44037,1689
155073,45024,407
154074,45025,485
152075,45026,561
150076,45027,648
148078,45028,730
146079,45029,802
143081,45030,882
139083,45031,968
135084,45032,1071
131083,45033,1203
127083,45034,1323
122081,45035,1452
119081,45036,1577
117081,45037,1690
159075,46022,302
159075,46023,351
157076,46024,408
155077,46025,486
153078,46026,562
151079,46027,649
149080,46028,731
147081,46029,803
143084,46030,883
139085,46031,969
135086,46032,1072
131086,46033,1204
127085,46034,1324
123085,46035,1453
120085,46036,1578
117085,46037,1691
168084,47018,164
166083,47019,179
164082,47020,206
161080,47021,245
160079,47022,303
159079,47023,352
158079,47024,409
154082,47025,487
152082,47026,563
150083,47027,650
148084,47028,732
147085,47029,804
143087,47030,884
139088,47031,970
135089,47032,1073
131089,47033,1205
127088,47034,1325
123088,47035,1454
120088,47036,1579
117088,47037,1692
114089,47038,1795
111089,47039,1861
166085,48019,180
163084,48020,207
161083,48021,246
160083,48022,304
159083,48023,353
156085,48024,410
151087,48025,488
149088,48026,564
148088,48027,651
147089,48028,733
145090,48029,805
142091,48030,885
139092,48031,971
135093,48032,1074
131093,48033,1206
127092,48034,1326
124092,48035,1455
98097,48041,1980
89097,48045,2152
85096,48047,2226
75098,48051,2356
74099,48052,2382
52097,48064,2637
176088,49003,3
175088,49004,5
175088,49005,7
174088,49006,10
174088,49007,13
174088,49008,16
173088,49009,19
173088,49010,34
173088,49011,49
173088,49012,64
173088,49013,81
172088,49014,98
172088,49015,115
171088,49016,132
169088,49017,150
167088,49018,165
165087,49019,181
162087,49020,208
159088,49021,247
157089,49022,305
155090,49023,354
154090,49024,411
150092,49025,489
148093,49026,565
147093,49027,652
144094,49029,806
142095,49030,886
138096,49031,972
135097,49032,1075
131096,49033,1207
127096,49034,1327
121095,49035,1456
116096,49036,1580
111100,49037,1693
106100,49038,1796
102100,49039,1862
100100,49040,1925
98099,49041,1981
96101,49042,2029
93101,49043,2071
90101,49044,2114
89099,49045,2153
87099,49046,2189
85097,49047,2227
82099,49048,2267
80099,49049,2297
77099,49050,2330
75099,49051,2357
74100,49052,2383
71101,49053,2407
70097,49054,2431
52099,49064,2638
163091,50019,182
161091,50020,209
159092,50021,248
156094,50022,306
155094,50023,355
153095,50024,412
150096,50025,490
149096,50026,566
147097,50027,653
145098,50028,734
143099,50029,807
141099,50030,887
138100,50031,973
135100,50032,1076
130100,50033,1208
125099,50034,1328
121098,50035,1457
116100,50036,1581
111101,50037,1694
107102,50038,1797
103102,50039,1863
100101,50040,1926
97100,50041,1982
96102,50042,2030
93103,50043,2072
90102,50044,2115
89100,50045,2154
87099,50046,2190
85098,50047,2228
82099,50048,2268
79101,50049,2298
77100,50050,2331
75100,50051,2358
74102,50052,2384
71102,50053,2408
55100,50062,2602
52100,50064,2639
31102,50072,2764
154098,51024,413
152099,51025,491
150100,51026,567
148101,51027,654
141103,51030,888
138104,51031,974
134104,51032,1077
129103,51033,1209
124102,51034,1329
120102,51035,1458
116102,51036,1582
112104,51037,1695
107104,51038,1798
103104,51039,1864
100103,51040,1927
98103,51041,1983
96104,51042,2031
93104,51043,2073
90104,51044,2116
89103,51045,2155
87101,51046,2191
85100,51047,2229
82102,51048,2269
79103,51049,2299
77102,51050,2332
75102,51051,2359
74104,51052,2385
71104,51053,2409
69103,51054,2432
67106,51055,2454
66106,51056,2476
64103,51057,2498
63102,51058,2518
61101,51059,2539
58101,51060,2562
56101,51061,2583
55100,51062,2603
53101,51063,2620
52101,51064,2640
50101,51065,2656
48102,51066,2672
43102,51067,2690
40102,51068,2705
37100,51069,2724
36099,51070,2738
31104,51072,2765
156100,52023,356
155101,52024,414
154101,52025,492
152102,52026,568
150103,52027,655
142109,52030,889
139110,52031,975
135111,52032,1078
130109,52033,1210
124106,52034,1330
120105,52035,1459
117105,52036,1583
112106,52037,1696
107106,52038,1799
103106,52039,1865
101106,52040,1928
99107,52041,1984
97108,52042,2032
94108,52043,2074
91107,52044,2117
89105,52045,2156
86104,52046,2192
84104,52047,2230
82104,52048,2270
79105,52049,2300
77104,52050,2333
75104,52051,2360
74107,52052,2386
71106,52053,2410
69105,52054,2433
67108,52055,2455
66108,52056,2477
64106,52057,2499
63105,52058,2519
61103,52059,2540
59105,52060,2563
56103,52061,2584
55101,52062,2604
53102,52063,2621
52103,52064,2641
50103,52065,2657
48105,52066,2673
43104,52067,2691
40105,52068,2706
37105,52069,2725
36106,52070,2739
