riverseg,landseg,landuse,nutrient,loadingrate
EL0_5400_0001,A24045,afo,sedm,1.52
EL0_5890_0000,A24019,cfo,sedm,0
EL0_5890_0000,A24039,cfo,sedm,0
EL0_5895_0000,A51001,afo,sedm,0
EL0_5896_0000,F51001,cfo,sedm,0
EL0_6011_0000,F24039,afo,sedm,0
EL2_4400_4590,A10001,afo,sedm,1.9
EL2_5110_5270,A10005,cfo,sedm,0
EL2_5110_5270,A24045,afo,sedm,1.52
EL2_5270_0001,A24047,afo,sedm,2.5699999
EL3_5971_0000,A24047,cfo,sedm,0
EM0_4324_0000,A24041,cfo,sedm,0
EM0_4551_0000,A24041,afo,sedm,0.28999999
EM0_4874_0000,A24041,cfo,sedm,0
EM0_4881_0000,A24019,cfo,sedm,0
EM0_5261_0000,A24019,afo,sedm,0.75999999
EM0_5263_0000,A24019,cfo,sedm,0
EM3_4326_0000,A10001,afo,sedm,1.9
EU0_2941_0000,A24015,cfo,sedm,0
EU0_3011_0000,A24015,cfo,sedm,0
EU0_3130_0000,A24015,afo,sedm,4.6599998
EU0_3363_0000,A24015,afo,sedm,4.6599998
EU0_3363_0000,A24029,afo,sedm,12.07
EU0_3570_0000,A24029,cfo,sedm,0
EU0_3571_0000,A24029,cfo,sedm,0
EU0_3721_0000,A24035,afo,sedm,1.52
EU0_4013_0000,A24029,afo,sedm,12.07
EU0_4124_0000,A24035,cfo,sedm,0
EU0_4470_0000,A24041,cfo,sedm,0
EU0_4872_0000,A24035,cfo,sedm,0
EU1_2810_0001,A42029,afo,sedm,4.6599998
EU1_2981_0000,A10003,afo,sedm,7.5999999
EU1_2983_0000,A10003,cfo,sedm,0
EU1_2983_0000,A24015,afo,sedm,4.6599998
GY0_3952_0000,A54077,afo,sedm,15.2
JA1_7640_7280,A51147,cfo,sedm,0
JA2_7410_7470,A51007,afo,sedm,8.5500002
JA4_7340_7470,A51007,afo,sedm,8.5500002
JA4_7340_7470,A51041,afo,sedm,2.6600001
JA4_7340_7470,A51145,cfo,sedm,0
JA5_7460_0000,A51670,cfo,sedm,0
JA5_7460_0000,F51149,afo,sedm,6.0799999
JA5_7460_0000,F51149,cfo,sedm,0
JB0_7050_0000,A51036,afo,sedm,1.8099999
JB0_7050_0000,A51036,cfo,sedm,0
JB0_7050_0000,A51127,cfo,sedm,0
JB0_7071_0000,F51041,afo,sedm,2.6600001
JB0_7072_0000,F51830,afo,sedm,0
JB0_7074_0000,F51670,afo,sedm,0
JB0_7381_0000,A51810,afo,sedm,0.86000001
JB0_7381_0000,F51710,afo,sedm,0
JB0_7390_0000,A51181,cfo,sedm,0
JB0_7390_0000,A51650,cfo,sedm,0
JB0_7391_0000,F51095,cfo,sedm,0
JB0_7399_0000,F51740,cfo,sedm,0
JB0_7580_0000,A51700,cfo,sedm,0
JB0_7662_0000,F51810,afo,sedm,0.86000001
JB0_7760_0000,A51800,cfo,sedm,0
JB0_7760_0000,F51800,cfo,sedm,0
JB2_7800_0001,A51800,cfo,sedm,0
JB3_6820_7053,A51036,cfo,sedm,0
JB3_6820_7053,A51085,afo,sedm,34.009998
JL1_6770_6850,A51125,cfo,sedm,0
JL1_6770_6850,B51125,afo,sedm,22.23
JL1_6910_6960,A51065,afo,sedm,6.27
JL1_7080_7190,A51009,cfo,sedm,0
