lseg,State,name ***
F24025,MD,HARFORD
F24027,MD,HOWARD
F24029,MD,KENT
F24031,MD,MONTGOMERY
F24033,MD,PRINCE GEORGES
F24035,MD,QUEEN ANNES
F24037,MD,ST MARYS
F24039,MD,SOMERSET
F24041,MD,TALBOT
F24043,MD,WASHINGTON
F24045,MD,WICOMICO
F24510,MD,BALTIMORE
F36003,NY,ALLEGANY
F36007,NY,BROOME
F36015,NY,CHEMUNG
F36025,NY,DELAWARE
F36101,NY,STEUBEN
F42001,PA,ADAMS
F42009,PA,BEDFORD
F42011,PA,BERKS
F42013,PA,BLAIR
F42021,PA,CAMBRIA
F42027,PA,CENTRE
F42033,PA,CLEARFIELD
F42035,PA,CLINTON
F42041,PA,CUMBERLAND
F42043,PA,DAUPHIN
F42055,PA,FRANKLIN
F42061,PA,HUNTINGDON
F42069,PA,LACKAWANNA
F42071,PA,LANCASTER
F42075,PA,LEBANON
F42079,PA,LUZERNE
F42081,PA,LYCOMING
F42087,PA,MIFFLIN
F42097,PA,NORTHUMBERLAND
F42107,PA,SCHUYLKILL
F42115,PA,SUSQUEHANNA
F42117,PA,TIOGA
F42119,PA,UNION
F42133,PA,YORK
F51001,VA,ACCOMACK
F51003,VA,ALBEMARLE
F51005,VA,ALLEGHANY
F51009,VA,AMHERST
F51011,VA,APPOMATTOX
F51013,VA,ARLINGTON
F51015,VA,AUGUSTA
F51017,VA,BATH
F51019,VA,BEDFORD
F51023,VA,BOTETOURT
F51033,VA,CAROLINE
F51041,VA,CHESTERFIELD
F51043,VA,CLARKE
F51045,VA,CRAIG
F51053,VA,DINWIDDIE
F51057,VA,ESSEX
F51059,VA,FAIRFAX
F51061,VA,FAUQUIER
F51069,VA,FREDERICK
F51071,VA,GILES
F51079,VA,GREENE
F51085,VA,HANOVER
F51087,VA,HENRICO
F51091,VA,HIGHLAND
F51095,VA,JAMES CITY
F51099,VA,KING GEORGE
F51101,VA,KING WILLIAM
F51107,VA,LOUDOUN
F51113,VA,MADISON
F51121,VA,MONTGOMERY
F51125,VA,NELSON
F51131,VA,NORTHAMPTON
F51137,VA,ORANGE
F51139,VA,PAGE
F51145,VA,POWHATAN
F51147,VA,PRINCE EDWARD
F51149,VA,PRINCE GEORGE
F51153,VA,PRINCE WILLIAM
F51157,VA,RAPPAHANNOCK
F51159,VA,RICHMOND
F51161,VA,ROANOKE
F51163,VA,ROCKBRIDGE
F51165,VA,ROCKINGHAM
F51171,VA,SHENANDOAH
F51177,VA,SPOTSYLVANIA
F51179,VA,STAFFORD
F51181,VA,SURRY
F51187,VA,WARREN
F51193,VA,WESTMORELAND
F51199,VA,YORK
F51510,VA,ALEXANDRIA
F51530,VA,BUENA VISTA
F51540,VA,CHARLOTTESVILLE
F51550,VA,CHESAPEAKE
F51580,VA,COVINGTON
F51630,VA,FREDERICKSBURG
F51650,VA,HAMPTON
F51660,VA,HARRISONBURG
F51670,VA,HOPEWELL
F51700,VA,NEWPORT NEWS
F51710,VA,NORFOLK
F51730,VA,PETERSBURG
F51735,VA,POQUOSON
F51740,VA,PORTSMOUTH
F51760,VA,RICHMOND
F51790,VA,STAUNTON
F51800,VA,SUFFOLK
F51810,VA,VIRGINIA BEACH
F51820,VA,WAYNESBORO
F51830,VA,WILLIAMSBURG
F54003,WV,BERKELEY
F54023,WV,GRANT
F54027,WV,HAMPSHIRE
F54031,WV,HARDY
F54037,WV,JEFFERSON
F54057,WV,MINERAL
F54063,WV,MONROE
F54065,WV,MORGAN
F54071,WV,PENDLETON
end,,
