landseg,SORGN,UORGN,LROGN,AORGN
A42131,     0.000,    54.286,    21.129,    12.984
A42069,     0.000,    50.977,    24.143,    16.018
F42069,     0.000,    54.214,    21.093,    15.758
A42035,     0.000,    55.037,    31.488,     7.237
A42015,     0.000,    67.103,    15.949,     8.670
A42105,     0.000,    58.391,    21.772,     5.986
A42023,     0.000,    45.183,    17.676,     4.202
A36015,     0.000,    74.073,    21.890,     7.575
A36101,     0.000,    63.476,    26.342,     7.019
F42117,     0.000,    70.403,    11.471,     7.149
A36097,     0.000,    63.768,    25.345,     8.483
A36107,     0.000,    81.920,    28.435,     9.090
A36109,     0.000,    68.227,    21.920,     8.253
A42033,     0.000,    36.759,    23.718,     5.769
F42027,     0.000,    46.151,    35.978,     8.590
A36051,     0.000,    67.875,    37.417,     6.529
A36069,     0.000,    60.240,    33.839,     8.647
A36123,     0.000,    65.178,    27.601,     8.515
F36101,     0.000,    65.202,    24.675,     6.771
A36007,     0.000,    78.354,    42.196,    12.231
A42047,     0.000,    48.264,    12.668,     5.199
A36023,     0.000,    76.608,    49.962,    13.345
A42083,     0.000,    60.891,    16.202,     5.311
A42063,     0.000,    45.886,    20.980,     5.970
A42065,     0.000,    48.520,    11.091,     5.957
F42033,     0.000,    38.635,    21.714,     5.647
A36003,     0.000,    80.144,    19.456,     6.793
F36003,     0.000,    80.767,    19.897,     6.795
A36017,     0.000,    82.663,    39.248,    13.119
A36053,     0.000,    61.200,    48.289,    13.475
F42035,     0.000,    66.045,    15.992,     5.891
F42081,     0.000,    56.476,    12.245,     8.112
A36067,     0.000,    45.760,    48.299,    14.171
F36007,     0.000,    69.863,    51.608,    12.931
F42119,     0.000,    71.702,    17.765,     6.445
A36065,     0.000,    59.354,    36.037,    13.218
A36025,     0.000,    87.549,    42.014,    16.179
A36077,     0.000,    74.812,    33.841,    13.319
F36025,     0.000,    86.012,    43.270,    16.649
A36043,     0.000,    79.896,    29.681,    14.720
F36015,     0.000,    75.652,    19.346,     7.469
A36095,     0.000,    64.663,    36.716,    15.253
F42115,     0.000,    74.107,     8.239,    10.507
F42079,     0.000,    49.201,     9.506,    10.295
F42097,     0.000,    51.458,    28.541,     8.892
end
