landseg,SORGN,UORGN,LROGN,AORGN
F24021,     0.000,    54.403,    27.864,     8.159
A51069,     0.000,    55.710,    18.968,     9.298
B51171,     0.000,    86.396,    11.884,     8.817
F51069,     0.000,    66.086,     8.820,     6.740
F51171,     0.000,    83.494,    14.808,    10.098
A24043,     0.000,     7.421,    64.533,    14.413
A42055,     0.000,    50.879,    38.895,    11.745
F24043,     0.000,    46.374,    31.216,    10.285
F42055,     0.000,    71.683,    20.719,     7.476
A51820,     0.000,     9.219,    54.894,    11.535
F51820,     0.000,    11.664,    52.550,    11.303
A51165,     0.000,    90.620,    47.442,    22.068
A54031,     0.000,   118.297,     8.091,     9.159
B51165,     0.000,   145.708,     6.541,     3.927
F51165,     0.000,   139.095,     8.703,     5.485
F54031,     0.000,   113.447,    10.763,    11.334
A51171,     0.000,    67.937,    29.812,    14.145
A51187,     0.000,    61.332,    22.730,    12.041
F51187,     0.000,    54.338,    28.868,    13.496
A51043,     0.000,    63.018,    33.547,    12.423
A51840,     0.000,     0.000,    39.221,    10.687
A51660,     0.000,     0.000,    68.306,    15.006
F51660,     0.000,    24.013,    49.579,    12.015
B42041,     0.000,    34.053,    45.177,    12.494
B42055,     0.000,    67.743,    22.396,     7.848
A54003,     0.000,    27.052,    35.540,    12.822
A54037,     0.000,    29.740,    45.845,    13.280
F54003,     0.000,    55.357,    13.000,     8.043
A51139,     0.000,    78.009,    29.523,    20.184
F51139,     0.000,    76.411,    31.221,    20.838
A51790,     0.000,     0.000,    37.624,    10.605
F51790,     0.000,    28.030,    40.310,     8.417
A42099,     0.000,    70.629,    12.667,     5.824
A54065,     0.000,    66.367,     3.668,     6.000
A42057,     0.000,    68.387,     6.657,     5.666
C51165,     0.000,   127.145,    13.841,     8.523
A54027,     0.000,    50.471,    23.790,    11.045
A24001,     0.000,    73.555,    13.227,     7.770
C42009,     0.000,    94.239,     5.863,     4.794
F24001,     0.000,    69.156,    14.995,     8.636
F54027,     0.000,    46.771,    26.745,    11.577
B51139,     0.000,    99.293,     9.007,     8.884
B51187,     0.000,    64.799,    16.780,    10.054
F51043,     0.000,    63.900,    31.512,    13.092
F54037,     0.000,    64.955,    18.015,     8.754
A42009,     0.000,    82.539,    14.873,     7.553
A54071,     0.000,    64.379,    39.318,    14.315
F54071,     0.000,    89.362,    18.932,    10.117
A54023,     0.000,    89.356,    15.452,     8.318
A54057,     0.000,    49.519,    28.604,    10.816
B54023,     0.000,    54.549,    45.323,    16.656
B54057,     0.000,    28.288,    46.472,    14.990
B54071,     0.000,    48.618,    51.883,    15.832
B54031,     0.000,   110.115,    12.411,    13.445
