TABLE->,PHOS-CMAX,PHOS-SVALPM#1,PHOS-SVALPM#1,PHOS-SVALPM#1,PHOS-SVALPM#2,PHOS-SVALPM#2,PHOS-SVALPM#2,PHOS-SVALPM#3,PHOS-SVALPM#3,PHOS-SVALPM#3,PHOS-SVALPM#4,PHOS-SVALPM#4,PHOS-SVALPM#4
VARS->,CMAX,XFIX,K1,N1,XFIX,K1,N1,XFIX,K1,N1,XFIX,K1,N1
A42061,50,1.000000,4.280337,1.5,20.00000,5.840662,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42063,50,1.000000,3.534524,1.5,20.00000,7.073089,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42065,50,1.000000,5.530588,1.5,20.00000,4.520315,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42067,50,1.000000,3.904000,1.5,20.00000,6.403689,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42069,50,1.000000,3.658067,1.5,20.00000,6.834212,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42071,50,1.000000,11.19781,1.5,20.00000,2.232579,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42075,50,1.000000,33.59943,1.5,20.00000,0.744060,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42079,50,1.000000,3.977609,1.5,20.00000,6.285183,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42081,50,1.000000,6.161076,1.5,20.00000,4.057733,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42083,50,1.000000,2.758378,1.5,20.00000,9.063296,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42087,50,1.000000,3.329843,1.5,20.00000,7.507864,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42093,50,1.000000,4.026174,1.5,20.00000,6.209370,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42097,50,1.000000,20.34251,1.5,20.00000,1.228953,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42099,50,1.000000,6.834456,1.5,20.00000,3.657936,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42105,50,1.000000,2.607683,1.5,20.00000,9.587053,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42107,50,1.000000,10.13080,1.5,20.00000,2.467723,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42109,50,1.000000,4.394337,1.5,20.00000,5.689140,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42111,50,1.000000,4.016379,1.5,20.00000,6.224511,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42113,50,1.000000,4.265022,1.5,20.00000,5.861634,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42115,50,1.000000,3.021483,1.5,20.00000,8.274083,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42117,50,1.000000,4.225578,1.5,20.00000,5.916350,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42119,50,1.000000,3.315383,1.5,20.00000,7.540606,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42127,50,1.000000,2.403027,1.5,20.00000,10.40354,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42131,50,1.000000,2.756955,1.5,20.00000,9.067977,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42133,50,1.000000,8.098434,1.5,20.00000,3.087017,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A47091,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A47163,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51001,50,1.000000,0.957995,1.5,20.00000,26.09616,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51003,50,1.000000,8.988235,1.5,20.00000,2.781413,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51005,50,1.000000,2.096188,1.5,20.00000,11.92641,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51007,50,1.000000,2.352047,1.5,20.00000,10.62904,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51009,50,1.000000,5.633091,1.5,20.00000,4.438060,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51011,50,1.000000,14.02203,1.5,20.00000,1.782909,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51013,50,1.000000,5.413495,1.5,20.00000,4.618089,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51015,50,1.000000,4.412147,1.5,20.00000,5.666175,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51017,50,1.000000,3.816865,1.5,20.00000,6.549879,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51019,50,1.000000,9.076451,1.5,20.00000,2.754381,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51021,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51023,50,1.000000,2.272296,1.5,20.00000,11.00209,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51025,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51027,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51029,50,1.000000,3.350135,1.5,20.00000,7.462385,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51031,50,1.000000,12.93380,1.5,20.00000,1.932920,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51033,50,1.000000,8.242548,1.5,20.00000,3.033043,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51035,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51036,50,1.000000,1.556731,1.5,20.00000,16.05928,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51037,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51041,50,1.000000,4.218390,1.5,20.00000,5.926433,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51043,50,1.000000,1.823105,1.5,20.00000,13.71286,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51045,50,1.000000,2.856867,1.5,20.00000,8.750847,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51047,50,1.000000,11.62162,1.5,20.00000,2.151163,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51049,50,1.000000,2.116298,1.5,20.00000,11.81308,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51051,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51053,50,1.000000,2.645060,1.5,20.00000,9.451581,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51057,50,1.000000,10.66066,1.5,20.00000,2.345072,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51059,50,1.000000,8.873940,1.5,20.00000,2.817238,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51061,50,1.000000,2.346405,1.5,20.00000,10.65460,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51063,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51065,50,1.000000,12.02817,1.5,20.00000,2.078454,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51067,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51069,50,1.000000,2.703619,1.5,20.00000,9.246863,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51071,50,1.000000,2.790691,1.5,20.00000,8.958353,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51073,50,1.000000,3.781812,1.5,20.00000,6.610586,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51075,50,1.000000,4.745926,1.5,20.00000,5.267675,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51077,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51079,50,1.000000,5.101181,1.5,20.00000,4.900826,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51081,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51083,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51085,50,1.000000,8.193850,1.5,20.00000,3.051069,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51087,50,1.000000,3.647568,1.5,20.00000,6.853882,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51089,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51091,50,1.000000,1.100775,1.5,20.00000,22.71129,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51093,50,1.000000,16.15573,1.5,20.00000,1.547438,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51095,50,1.000000,2.000651,1.5,20.00000,12.49594,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51097,50,1.000000,7.870074,1.5,20.00000,3.176590,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51099,50,1.000000,3.515337,1.5,20.00000,7.111693,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51101,50,1.000000,7.140966,1.5,20.00000,3.500926,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51103,50,1.000000,4.814175,1.5,20.00000,5.192997,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51105,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51107,50,1.000000,11.27884,1.5,20.00000,2.216541,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51109,50,1.000000,1.972430,1.5,20.00000,12.67472,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51111,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51113,50,1.000000,9.364383,1.5,20.00000,2.669690,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51115,50,1.000000,6.266846,1.5,20.00000,3.989248,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51117,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51119,50,1.000000,5.114058,1.5,20.00000,4.888485,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51121,50,1.000000,2.595545,1.5,20.00000,9.631886,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51125,50,1.000000,9.020529,1.5,20.00000,2.771456,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51127,50,1.000000,3.093317,1.5,20.00000,8.081937,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51131,50,1.000000,2.480098,1.5,20.00000,10.08025,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51133,50,1.000000,4.075345,1.5,20.00000,6.134450,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51135,50,1.000000,4.727784,1.5,20.00000,5.287889,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51137,50,1.000000,4.045282,1.5,20.00000,6.180038,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51139,50,1.000000,2.659742,1.5,20.00000,9.399408,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51141,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51143,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51145,50,1.000000,3.300259,1.5,20.00000,7.575163,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51147,50,1.000000,8.592598,1.5,20.00000,2.909482,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51149,50,1.000000,3.977399,1.5,20.00000,6.285516,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51153,50,1.000000,3.021293,1.5,20.00000,8.274606,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51155,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51157,50,1.000000,11.66588,1.5,20.00000,2.143001,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51159,50,1.000000,7.468662,1.5,20.00000,3.347319,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51161,50,1.000000,2.599410,1.5,20.00000,9.617570,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51163,50,1.000000,1.908994,1.5,20.00000,13.09590,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
