land,SILT
B51191,0.492547735
B51197,0.47291401
B54023,0.447043263
B54031,0.46493628
B54057,0.439821229
B54071,0.462657074
C42009,0.459268765
C51015,0.47442689
C51071,0.459836305
C51165,0.45489492
B51195,0.408296434
F10005,0.507829995
F11001,0.533782042
F24001,0.440882594
F24003,0.552525177
F24005,0.548848743
F24009,0.60325342
F24013,0.483529217
F24015,0.608740422
F24017,0.56909932
F24019,0.573303292
F24021,0.458222001
F24023,0.441664685
F24025,0.558138797
F24027,0.542646322
F24029,0.669480329
F24031,0.510053884
F24033,0.572551856
F24035,0.635182711
F24037,0.573128321
F24039,0.571657752
F24041,0.601604627
F24043,0.500570678
F24045,0.507042234
F24510,0.573957936
F36003,0.46220181
F36007,0.455737945
F36015,0.464533155
F36025,0.417431985
F36101,0.470656669
F42001,0.533103927
F42009,0.459268765
F42011,0.508193738
F42013,0.476621783
F42021,0.502923902
F42027,0.476132336
F42033,0.486160912
F42035,0.461370474
F42041,0.493614092
F42043,0.494549347
F42055,0.477786736
F42061,0.463310215
F42069,0.4214561
F42071,0.5373606
F42075,0.493207234
F42079,0.434699263
F42081,0.453349754
F42087,0.467683168
F42097,0.46505788
F42107,0.456096449
F42115,0.434802595
F42117,0.448562495
F42119,0.483715213
F42133,0.519618817
F51001,0.569338291
F51003,0.456506184
F51005,0.434304704
F51009,0.41541829
F51011,0.540175793
F51013,0.46276434
F51015,0.47442689
F51017,0.427958259
F51019,0.423897311
F51023,0.451141698
F51033,0.527195199
F51041,0.471987164
F51043,0.470792263
F51045,0.455114678
F51053,0.473282459
F51057,0.493295135
F51059,0.509372803
F51061,0.525827509
F51069,0.46067861
F51071,0.459836305
F51079,0.524060582
F51085,0.47854228
F51087,0.515169565
F51091,0.44283664
F51095,0.505161587
F51099,0.555807512
F51101,0.529700447
F51107,0.520881355
F51113,0.532232788
F51121,0.433192096
F51125,0.485956029
F51131,0.641033938
F51137,0.482651272
F51139,0.494715176
F51145,0.424492238
F51147,0.438186799
F51149,0.541960706
F51153,0.510977339
F51157,0.517337597
F51159,0.4852996
F51161,0.45238183
F51163,0.459854273
F51165,0.45489492
F51171,0.44743335
F51177,0.460100139
F51179,0.479306626
F51181,0.505100012
F51187,0.503873147
F51193,0.509306349
F51199,0.475679953
F51510,0.469371473
F51530,0.461821862
F51540,0.390639271
F51550,0.44065079
F51580,0.459162557
F51630,0.576312604
F51650,0.432486849
F51660,0.41422645
F51670,0.509116469
F51700,0.531801223
F51710,0.456763237
F51730,0.529610951
F51735,0.36845918
F51740,0.471836471
F51760,0.494344073
F51790,0.489440203
F51800,0.437122167
F51810,0.436217607
F51820,0.494197817
F51830,0.55957024
F54003,0.479694865
F54023,0.447043263
F54027,0.450964791
F54031,0.46493628
F54037,0.506883731
F54057,0.439821229
F54063,0.458302512
F54065,0.460014842
F54071,0.462657074
