TABLE->,NUT-FLAGS,NUT-FLAGS,NUT-FLAGS,NUT-FLAGS,NUT-FLAGS,NUT-FLAGS,NUT-FLAGS,NUT-FLAGS,NUT-AD-FLAGS,NUT-AD-FLAGS,NUT-AD-FLAGS,NUT-AD-FLAGS,NUT-AD-FLAGS,NUT-AD-FLAGS,CONV-VAL1,CONV-VAL1,CONV-VAL1,CONV-VAL1,NUT-BENPARM,NUT-BENPARM,NUT-BENPARM,NUT-BENPARM,NUT-BENPARM,NUT-NITDENIT,NUT-NITDENIT,NUT-NITDENIT,NUT-NITDENIT,NUT-NITDENIT,NUT-NITDENIT,NUT-NH3VOLAT,NUT-NH3VOLAT,NUT-BEDCONC,NUT-BEDCONC,NUT-BEDCONC,NUT-BEDCONC,NUT-BEDCONC,NUT-BEDCONC,NUT-ADSPARM,NUT-ADSPARM,NUT-ADSPARM,NUT-ADSPARM,NUT-ADSPARM,NUT-ADSPARM,NUT-DINIT,NUT-DINIT,NUT-DINIT,NUT-DINIT,NUT-DINIT,NUT-ADSINIT,NUT-ADSINIT,NUT-ADSINIT,NUT-ADSINIT,NUT-ADSINIT,NUT-ADSINIT
VARS->,TAM,NO2,PO4,AMV,DEN,ADNH,ADPO,PHFG,NOF,NOC,NHF,NHC,POF,POC,CVBO,CVBPC,CVBPN,BPCNTC,BRTAM1,BRTAM2,BRPO41,BRPO42,ANAER,KTAM20,KNO220,TCNIT,KNO320,TCDEN,DENOXT,EXPNVG,EXPNVL,NH4-sand,NH4-silt,NH4-clay,PO4-sand,PO4-silt,PO4-clay,NH4-sand,NH4-silt,NH4-clay,PO4-sand,PO4-silt,PO4-clay,NO3,TAM,NO2,PO4,PH,NH4-sand,NH4-silt,NH4-clay,PO4-sand,PO4-silt,PO4-clay
YP3_6330_6700,1,0,1,1,1,1,1,2,0,0,0,0,0,0,1.98,106,16,49,0,0,0,0,1,1.000000,0.01,1.07,0.001000,1.07,15.00000,0.5,0.6667,1.946468,19.46468,194.6468,6.795413,67.95413,679.5413,150.0000,1500.000,15000.00,13159.56,39478.68,118436.0,1,0.05,0,0.05,7,0,0,0,0,0,0
YP3_6700_6670,1,0,1,1,1,1,1,2,0,0,0,0,0,0,1.98,106,16,49,0,0,0,0,1,0.066126,0.01,1.07,0.002408,1.07,15.00000,0.5,0.6667,1.768476,17.68476,176.8476,5.993518,59.93518,599.3518,150.0000,1500.000,15000.00,3618.791,10856.37,32569.12,1,0.05,0,0.05,7,0,0,0,0,0,0
YP3_6670_6720,1,0,1,1,1,1,1,2,0,0,0,0,0,0,1.98,106,16,49,0,0,0,0,1,0.066126,0.01,1.07,0.002408,1.07,15.00000,0.5,0.6667,1.768476,17.68476,176.8476,5.993518,59.93518,599.3518,150.0000,1500.000,15000.00,3618.791,10856.37,32569.12,1,0.05,0,0.05,7,0,0,0,0,0,0
YP4_6720_6750,1,0,1,1,1,1,1,2,0,0,0,0,0,0,1.98,106,16,49,0,0,0,0,1,0.066126,0.01,1.07,0.002408,1.07,15.00000,0.5,0.6667,1.768476,17.68476,176.8476,5.993518,59.93518,599.3518,150.0000,1500.000,15000.00,3618.791,10856.37,32569.12,1,0.05,0,0.05,7,0,0,0,0,0,0
YP4_6750_0001,1,0,1,1,1,1,1,2,0,0,0,0,0,0,1.98,106,16,49,0,0,0,0,1,0.200000,0.01,1.07,0.002000,1.07,15.00000,0.5,0.6667,2.000000,20.00000,200.0000,8.000000,80.00000,800.0000,150.0000,1500.000,15000.00,3333.333,10000.00,30000.00,1,0.05,0,0.05,7,0,0,0,0,0,0
JA1_7600_7570,1,0,1,1,1,1,1,2,0,0,0,0,0,0,1.98,106,16,49,0,0,0,0,1,0.010998,0.01,1.07,0.039284,1.07,15.00000,0.5,0.6667,1.775471,17.75471,177.5471,2.160480,21.60480,216.0480,150.0000,1500.000,15000.00,19555.34,58666.03,175998.1,1,0.05,0,0.05,7,0,0,0,0,0,0
JA2_7410_7470,1,0,1,1,1,1,1,2,0,0,0,0,0,0,1.98,106,16,49,0,0,0,0,1,0.015681,0.01,1.07,0.001000,1.07,15.00000,0.5,0.6667,2.183555,21.83555,218.3555,4.420926,44.20926,442.0926,150.0000,1500.000,15000.00,12593.71,37781.14,113343.4,1,0.05,0,0.05,7,0,0,0,0,0,0
JA2_7570_7480,1,0,1,1,1,1,1,2,0,0,0,0,0,0,1.98,106,16,49,0,0,0,0,1,0.015681,0.01,1.07,0.001000,1.07,15.00000,0.5,0.6667,2.183555,21.83555,218.3555,4.420926,44.20926,442.0926,150.0000,1500.000,15000.00,12593.71,37781.14,113343.4,1,0.05,0,0.05,7,0,0,0,0,0,0
JA1_7640_7280,1,0,1,1,1,1,1,2,0,0,0,0,0,0,1.98,106,16,49,0,0,0,0,1,0.015681,0.01,1.07,0.001000,1.07,15.00000,0.5,0.6667,2.183555,21.83555,218.3555,4.420926,44.20926,442.0926,150.0000,1500.000,15000.00,12593.71,37781.14,113343.4,1,0.05,0,0.05,7,0,0,0,0,0,0
JA2_7550_7280,1,0,1,1,1,1,1,2,0,0,0,0,0,0,1.98,106,16,49,0,0,0,0,1,0.053923,0.01,1.07,0.001000,1.07,15.00000,0.5,0.6667,1.881375,18.81375,188.1375,6.277440,62.77439,627.7440,150.0000,1500.000,15000.00,18259.02,54777.07,164331.2,1,0.05,0,0.05,7,0,0,0,0,0,0
JA4_7280_7340,1,0,1,1,1,1,1,2,0,0,0,0,0,0,1.98,106,16,49,0,0,0,0,1,0.015681,0.01,1.07,0.001000,1.07,15.00000,0.5,0.6667,2.183555,21.83555,218.3555,4.420926,44.20926,442.0926,150.0000,1500.000,15000.00,12593.71,37781.14,113343.4,1,0.05,0,0.05,7,0,0,0,0,0,0
JA4_7340_7470,1,0,1,1,1,1,1,2,0,0,0,0,0,0,1.98,106,16,49,0,0,0,0,1,0.015681,0.01,1.07,0.001000,1.07,15.00000,0.5,0.6667,2.183555,21.83555,218.3555,4.420926,44.20926,442.0926,150.0000,1500.000,15000.00,12593.71,37781.14,113343.4,1,0.05,0,0.05,7,0,0,0,0,0,0
JA4_7470_7480,1,0,1,1,1,1,1,2,0,0,0,0,0,0,1.98,106,16,49,0,0,0,0,1,0.015681,0.01,1.07,0.001000,1.07,15.00000,0.5,0.6667,2.183555,21.83555,218.3555,4.420926,44.20926,442.0926,150.0000,1500.000,15000.00,12593.71,37781.14,113343.4,1,0.05,0,0.05,7,0,0,0,0,0,0
JA5_7480_0001,1,0,1,1,1,1,1,2,0,0,0,0,0,0,1.98,106,16,49,0.508197,2.540983,0.021405,0.107026,7.986299,0.015681,0.01,1.07,0.001000,1.07,15.00000,0.5,0.6667,2.000000,20.00000,200.0000,8.000000,80.00000,800.0000,150.0000,1500.000,15000.00,12593.71,37781.14,113343.4,1,0.05,0,0.05,7,0,0,0,0,0,0
RU2_5220_5640,1,0,1,1,1,1,1,2,0,0,0,0,0,0,1.98,106,16,49,0,0,0,0,1,0.146105,0.01,1.07,0.016159,1.07,15.00000,0.5,0.6667,1.913473,19.13473,191.3473,5.078362,50.78362,507.8362,150.0000,1500.000,15000.00,8836.351,26509.05,79527.16,1,0.05,0,0.05,7,0,0,0,0,0,0
RU2_5940_6200,1,0,1,1,1,1,1,2,0,0,0,0,0,0,1.98,106,16,49,0,0,0,0,1,0.243330,0.01,1.07,0.008928,1.07,15.00000,0.5,0.6667,1.911856,19.11856,191.1856,7.350585,73.50584,735.0585,150.0000,1500.000,15000.00,4606.241,13818.72,41456.17,1,0.05,0,0.05,7,0,0,0,0,0,0
RU2_5500_5610,1,0,1,1,1,1,1,2,0,0,0,0,0,0,1.98,106,16,49,0,0,0,0,1,0.091315,0.01,1.07,0.003364,1.07,15.00000,0.5,0.6667,1.911350,19.11350,191.1350,4.519624,45.19624,451.9624,150.0000,1500.000,15000.00,22949.73,68849.20,206547.6,1,0.05,0,0.05,7,0,0,0,0,0,0
RU2_5810_5610,1,0,1,1,1,1,1,2,0,0,0,0,0,0,1.98,106,16,49,0,0,0,0,1,0.091315,0.01,1.07,0.003364,1.07,15.00000,0.5,0.6667,1.911350,19.11350,191.1350,4.519624,45.19624,451.9624,150.0000,1500.000,15000.00,22949.73,68849.20,206547.6,1,0.05,0,0.05,7,0,0,0,0,0,0
RU2_6090_6220,1,0,1,1,1,1,1,2,0,0,0,0,0,0,1.98,106,16,49,0,0,0,0,1,0.154425,0.01,1.07,0.003356,1.07,15.00000,0.5,0.6667,1.944408,19.44408,194.4408,6.338389,63.38389,633.8389,150.0000,1500.000,15000.00,3270.761,9812.284,29436.85,1,0.05,0,0.05,7,0,0,0,0,0,0
RU3_5610_5640,1,0,1,1,1,1,1,2,0,0,0,0,0,0,1.98,106,16,49,0,0,0,0,1,0.146105,0.01,1.07,0.016159,1.07,15.00000,0.5,0.6667,1.913473,19.13473,191.3473,5.078362,50.78362,507.8362,150.0000,1500.000,15000.00,8836.351,26509.05,79527.16,1,0.05,0,0.05,7,0,0,0,0,0,0
RU4_5640_6030,1,0,1,1,1,1,1,2,0,0,0,0,0,0,1.98,106,16,49,0,0,0,0,1,0.128334,0.01,1.07,0.019082,1.07,15.00000,0.5,0.6667,2.341905,23.41905,234.1905,4.034693,40.34693,403.4693,150.0000,1500.000,15000.00,9974.677,29924.03,89772.09,1,0.05,0,0.05,7,0,0,0,0,0,0
RU2_6200_6170,1,0,1,1,1,1,1,2,0,0,0,0,0,0,1.98,106,16,49,0,0,0,0,1,0.136343,0.01,1.07,0.010162,1.07,15.00000,0.5,0.6667,1.955961,19.55961,195.5961,6.957134,69.57134,695.7134,150.0000,1500.000,15000.00,4914.209,14742.63,44227.89,1,0.05,0,0.05,7,0,0,0,0,0,0
RU2_6220_6170,1,0,1,1,1,1,1,2,0,0,0,0,0,0,1.98,106,16,49,0,0,0,0,1,0.136343,0.01,1.07,0.010162,1.07,15.00000,0.5,0.6667,1.955961,19.55961,195.5961,6.957134,69.57134,695.7134,150.0000,1500.000,15000.00,4914.209,14742.63,44227.89,1,0.05,0,0.05,7,0,0,0,0,0,0
RU3_6170_6040,1,0,1,1,1,1,1,2,0,0,0,0,0,0,1.98,106,16,49,0,0,0,0,1,0.136343,0.01,1.07,0.010162,1.07,15.00000,0.5,0.6667,1.955961,19.55961,195.5961,6.957134,69.57134,695.7134,150.0000,1500.000,15000.00,4914.209,14742.63,44227.89,1,0.05,0,0.05,7,0,0,0,0,0,0
