TABLE->,SCR-FLAGS,SCR-FLAGS,SCR-CONC,SCR-CONC
VARS->,RORN,RORP,RORN,RORP
SW1_1180_1190,1,1,1.527637,0.001000
SW1_1160_1260,1,1,31.14757,0.001000
SW2_1190_1410,1,1,1.225237,0.001041
SW3_1040_1220,1,1,1.876383,0.006231
SW2_1030_1060,1,1,31.14757,0.001000
SW2_1070_1060,1,1,31.14757,0.001000
SW3_1250_1340,1,1,2.014651,0.057251
SW3_1220_1320,1,1,3.224078,0.923654
SW3_1060_1260,1,1,31.14757,0.001000
SW4_1260_1300,1,1,1.683840,0.001000
SW3_1080_1350,1,1,4.988735,0.040256
SW0_1520_1600,1,1,2.302312,0.864196
SW2_1000_1110,1,1,2.821450,1.389120
SW2_0880_0930,1,1,2.821450,1.389120
SW2_1100_1130,1,1,100.0000,0.001000
SW1_1910_1890,1,1,5.648441,50.00000
SW2_1050_0930,1,1,2.821450,1.389120
SW3_1600_1580,1,1,0.715215,0.864196
SW3_1090_1091,1,1,100.0000,0.001000
SW2_1770_1690,1,1,0.199644,0.001000
SW3_0930_1110,1,1,2.821450,1.746198
SW4_1110_1150,1,1,2.821450,1.746198
SW1_1890_1830,1,1,5.648441,50.00000
SW3_1130_1390,1,1,30.44291,0.001000
SW3_1920_1750,1,1,3.215712,5.342452
SW1_1830_1690,1,1,0.199644,0.001000
SW4_1150_1350,1,1,4.988735,0.065634
SW5_1350_1470,1,1,3.224078,0.465667
SW3_1690_1660,1,1,3.250585,50.00000
SW2_1360_1430,1,1,2.963718,0.001000
SW3_1390_1330,1,1,10.33465,1.243362
SW3_1091_1380,1,1,30.44291,0.001000
SW3_1660_1580,1,1,6.555764,0.567185
SW3_1870_1800,1,1,2.363238,0.163041
SW3_1750_1540,1,1,3.215712,0.005481
SW1_1170_1270,1,1,0.050000,0.001000
SW2_1240_1270,1,1,0.050000,0.001000
SW3_1380_1490,1,1,100.0000,0.001000
SW3_1580_1440,1,1,6.555764,0.567185
SW2_1950_1940,1,1,1.208675,50.00000
SW3_1800_1650,1,1,3.215712,0.005481
SW2_2020_1940,1,1,1.208675,50.00000
SW3_1270_1370,1,1,0.050000,0.001000
SW3_1370_1430,1,1,4.379537,0.001000
SW4_1940_1860,1,1,1.208675,50.00000
SW4_1860_1720,1,1,3.215712,50.00000
SW4_1430_1490,1,1,30.44291,0.001000
SW4_1490_1400,1,1,14.34849,0.001000
SW4_1720_1650,1,1,3.215712,0.005481
SW5_1650_1540,1,1,3.215712,0.005481
SW5_1540_1400,1,1,10.38721,1.064964
SW6_1400_1330,1,1,30.44291,31.46983
SW6_1330_1230,1,1,30.44291,50.00000
SW6_1230_1440,1,1,3.898917,0.567185
SW6_1440_1470,1,1,6.555764,0.567185
SW7_1470_1340,1,1,6.555764,0.567185
SW7_1340_1320,1,1,6.555764,0.567185
SW7_1320_1300,1,1,6.949014,0.001000
SW7_1300_1410,1,1,4.013139,0.001000
SW7_1410_1460,1,1,6.949014,0.001000
SW7_1460_1640,1,1,4.013139,0.001000
SJ2_2150_2130,1,1,4.017447,0.550199
SJ2_2110_2170,1,1,2.164009,0.052661
SJ2_1900_1930,1,1,7.304047,0.800337
SJ3_2160_2170,1,1,5.364472,0.449556
SJ3_2170_1970,1,1,10.94390,1.172931
SJ1_2280_2450,1,1,1.589359,0.019874
SJ3_2040_1980,1,1,2.077533,0.001000
SJ2_2580_2500,1,1,2.966520,0.449556
SJ2_2500_2450,1,1,10.94390,1.172931
SJ2_2570_2660,1,1,6.666281,0.001000
SJ3_2450_2120,1,1,10.94390,1.172931
SJ3_2250_2230,1,1,14.40939,0.224058
SJ2_2530_2820,1,1,6.666281,0.001000
SJ3_1980_2060,1,1,10.94390,6.916051
SJ3_2230_2060,1,1,10.94390,7.749559
SJ2_2900_2740,1,1,6.666281,0.001000
SJ4_2060_2010,1,1,24.74293,42.65833
SJ4_2010_2210,1,1,10.94390,1.552594
SJ2_2820_2740,1,1,6.666281,0.001000
SJ4_2740_2660,1,1,6.666281,0.001000
SJ4_2660_2360,1,1,6.666281,0.001000
SJ4_2360_2340,1,1,24.74293,2.595568
SJ4_2340_2210,1,1,10.94390,1.552594
SJ5_2210_2320,1,1,10.94390,1.552594
SJ5_2320_2120,1,1,10.94390,1.172931
SJ5_2120_1930,1,1,12.99409,1.172931
SJ6_1930_1970,1,1,22.68772,1.172931
SJ6_1970_2130,1,1,17.81819,1.172931
