TABLE->,OX-FLAGS,OX-GENPARM,OX-GENPARM,OX-GENPARM,OX-GENPARM,OX-BENPARM,OX-BENPARM,OX-BENPARM,OX-BENPARM,OX-BENPARM,OX-BENPARM,OX-CFOREA,OX-REAPARM,OX-REAPARM,OX-REAPARM,OX-REAPARM,OX-INIT,OX-INIT,OX-INIT
VARS->,REAM,KBOD20,TCBOD,KODSET,SUPSAT,BENOD,TCBEN,EXPOD,BRBOD1,BRBOD2,EXPREL,CFOREA,TCGINV,REAK,EXPRED,EXPREV,DOX,BOD,SATDO
SU1_0390_0560,3,0.05,1.047,0.01,1.350000,102.9925,1.047,1.22,0.01,0.01,1,na,1.047,0.754294,-1.673,0.969,14,3,14
SU1_0820_0740,3,0.05,1.047,0.01,1.149732,1.000000,1.047,1.22,0.01,0.01,1,na,1.047,5.000000,-1.673,0.969,14,3,14
SU2_0510_0570,3,0.05,1.047,0.01,1.350000,178.4997,1.047,1.22,0.01,0.01,1,na,1.047,0.720536,-1.673,0.969,14,3,14
SU2_0110_0240,3,0.05,1.047,0.01,1.350000,102.9925,1.047,1.22,0.01,0.01,1,na,1.047,0.754294,-1.673,0.969,14,3,14
SU1_0410_0480,3,0.05,1.047,0.01,1.350000,87.00437,1.047,1.22,0.01,0.01,1,na,1.047,0.522844,-1.673,0.969,14,3,14
SU2_0560_0590,3,0.05,1.047,0.01,1.350000,102.9925,1.047,1.22,0.01,0.01,1,na,1.047,0.754294,-1.673,0.969,14,3,14
SU3_0590_0540,3,0.05,1.047,0.01,1.350000,102.9925,1.047,1.22,0.01,0.01,1,na,1.047,0.754294,-1.673,0.969,14,3,14
SU2_0620_0580,3,0.05,1.047,0.01,1.350000,178.4997,1.047,1.22,0.01,0.01,1,na,1.047,0.720536,-1.673,0.969,14,3,14
SU1_0840_0831,3,0.05,1.047,0.01,1.000000,1.000000,1.047,1.22,0.01,0.01,1,na,1.047,5.000000,-1.673,0.969,14,3,14
SU2_0740_0741,3,0.05,1.047,0.01,1.149732,1.000000,1.047,1.22,0.01,0.01,1,na,1.047,5.000000,-1.673,0.969,14,3,14
SU2_0280_0430,3,0.05,1.047,0.01,1.350000,102.9925,1.047,1.22,0.01,0.01,1,na,1.047,0.754294,-1.673,0.969,14,3,14
SU2_0120_0260,3,0.05,1.047,0.01,1.350000,102.9925,1.047,1.22,0.01,0.01,1,na,1.047,0.754294,-1.673,0.969,14,3,14
SU2_0360_0460,3,0.05,1.047,0.01,1.350000,87.00437,1.047,1.22,0.01,0.01,1,na,1.047,0.522844,-1.673,0.969,14,3,14
SU3_0240_0350,na,0.05,1.047,0.01,1.350000,102.9925,1.047,1.22,0.01,0.01,1,1.178570,na,na,na,na,14,3,14
SU2_0570_0580,3,0.05,1.047,0.01,1.350000,178.4997,1.047,1.22,0.01,0.01,1,na,1.047,0.720536,-1.673,0.969,14,3,14
