TABLE->,SANDFG,SED-GENPARM,SED-GENPARM,SED-GENPARM,SAND-PM,SAND-PM,SAND-PM,SAND-PM,SAND-PM,SILT-CLAY-PM#1,SILT-CLAY-PM#1,SILT-CLAY-PM#1,SILT-CLAY-PM#1,SILT-CLAY-PM#1,SILT-CLAY-PM#1,SILT-CLAY-PM#2,SILT-CLAY-PM#2,SILT-CLAY-PM#2,SILT-CLAY-PM#2,SILT-CLAY-PM#2,SILT-CLAY-PM#2,SSED-INIT,SSED-INIT,SSED-INIT,BED-INIT,BED-INIT,BED-INIT,BED-INIT
VARS->,SNDFG,BEDWID,BEDWRN,POR,D,W,RHO,KSAND,EXPSND,SD,SW,SRHO,STAUCD,STAUCS,SM,CD,CW,CRHO,CTAUCD,CTAUCS,CM,SAND,SILT,CLAY,BEDDEP,SAND,SILT,CLAY
JA1_7640_7280,3,93.29999532,100,0.5,0.005,0.25,2.5,0.001000,4.000000,0.0004,0.010000,2.65,0.175700,0.293420,0.200000,0.0001,0.001000,2.65,0.144330,0.233990,0.400000,0,10,10,6,0.47,0.36,0.17
JA2_7550_7280,3,130.6648778,100,0.5,0.005,0.25,2.5,0.001000,4.000000,0.0004,0.010000,2.65,0.236870,0.396330,0.200000,0.0001,0.001000,2.65,0.191930,0.320260,0.400000,0,10,10,6,0.47,0.36,0.17
JA4_7280_7340,3,196.0256782,100,0.5,0.005,0.25,2.5,0.001000,4.000000,0.0004,0.010000,2.65,0.115280,0.174910,0.200000,0.0001,0.001000,2.65,0.088888,0.156340,0.400000,0,10,10,6,0.47,0.36,0.17
JA4_7340_7470,3,198.8172039,100,0.5,0.005,0.25,2.5,0.001000,4.000000,0.0004,0.010000,2.65,0.105740,0.173420,0.200000,0.0001,0.001000,2.65,0.080665,0.142060,0.400000,0,10,10,6,0.47,0.36,0.17
JA4_7470_7480,3,222.5403797,100,0.5,0.005,0.25,2.5,0.001000,4.000000,0.0004,0.010000,2.65,0.155450,0.232780,0.200000,0.0001,0.001000,2.65,0.120390,0.201340,0.400000,0,10,10,6,0.47,0.36,0.17
JA5_7480_0001,3,310.9244745,100,0.5,0.005,0.25,2.5,0.001000,4.000000,0.0004,0.010000,2.65,0.000043,0.000211,0.200000,0.0001,0.001000,2.65,0.000017,0.000118,0.400000,0,10,10,6,0.47,0.36,0.17
RU2_5220_5640,3,118.8055151,100,0.5,0.005,0.25,2.5,0.001000,4.000000,0.0004,0.010000,2.65,0.411200,0.691170,0.200000,0.0001,0.001000,2.65,0.333690,0.546160,0.400000,0,10,10,6,0.47,0.36,0.17
RU2_5940_6200,3,100.1124295,100,0.5,0.005,0.25,2.5,0.001000,4.000000,0.0004,0.010000,2.65,1.139600,1.732400,0.200000,0.0001,0.001000,2.65,0.987020,1.432900,0.400000,0,10,10,6,0.47,0.36,0.17
RU2_5500_5610,3,93.78192202,100,0.5,0.005,0.25,2.5,0.001000,4.000000,0.0004,0.010000,2.65,0.964440,1.570200,0.200000,0.0001,0.001000,2.65,0.816670,1.279600,0.400000,0,10,10,6,0.47,0.36,0.17
RU2_5810_5610,3,84.10368545,100,0.5,0.005,0.25,2.5,0.001000,4.000000,0.0004,0.010000,2.65,0.689780,1.097300,0.200000,0.0001,0.001000,2.65,0.583190,0.885550,0.400000,0,10,10,6,0.47,0.36,0.17
RU2_6090_6220,3,80.64199284,100,0.5,0.005,0.25,2.5,0.001000,4.000000,0.0004,0.010000,2.65,2.132600,3.000100,0.200000,0.0001,0.001000,2.65,1.834700,2.608500,0.400000,0,10,10,6,0.47,0.36,0.17
RU3_5610_5640,3,138.0888948,100,0.5,0.005,0.25,2.5,0.001000,4.000000,0.0004,0.010000,2.65,0.153990,0.267390,0.200000,0.0001,0.001000,2.65,0.123860,0.214740,0.400000,0,10,10,6,0.47,0.36,0.17
RU4_5640_6030,3,213.2539696,100,0.5,0.005,0.25,2.5,0.001000,4.000000,0.0004,0.010000,2.65,0.287720,0.501310,0.200000,0.0001,0.001000,2.65,0.231150,0.400420,0.400000,0,10,10,6,0.47,0.36,0.17
RU2_6200_6170,3,103.9684908,100,0.5,0.005,0.25,2.5,0.001000,4.000000,0.0004,0.010000,2.65,0.042701,0.053219,0.200000,0.0001,0.001000,2.65,0.037036,0.049047,0.400000,0,10,10,50.00000,0.47,0.36,0.17
RU2_6220_6170,3,116.4467075,100,0.5,0.005,0.25,2.5,0.001000,4.000000,0.0004,0.010000,2.65,0.198670,0.343240,0.200000,0.0001,0.001000,2.65,0.163120,0.273450,0.400000,0,10,10,50.00000,0.47,0.36,0.17
RU3_6170_6040,3,158.668552,100,0.5,0.005,0.25,2.5,0.001000,4.000000,0.0004,0.010000,2.65,0.131670,0.217640,0.200000,0.0001,0.001000,2.65,0.106240,0.179910,0.400000,0,10,10,50.00000,0.47,0.36,0.17
RU4_6040_6030,3,191.9333068,100,0.5,0.005,0.25,2.5,0.001000,4.000000,0.0004,0.010000,2.65,0.217220,0.371380,0.200000,0.0001,0.001000,2.65,0.175770,0.297910,0.400000,0,10,10,6,0.47,0.36,0.17
RU5_6030_0001,3,286.6629119,100,0.5,0.005,0.25,2.5,0.001000,4.000000,0.0004,0.010000,2.65,0.281370,0.486770,0.200000,0.0001,0.001000,2.65,0.224720,0.391790,0.400000,0,10,10,6,0.47,0.36,0.17
SU1_1630_1610,3,75.57705667,100,0.5,0.005,0.25,2.5,0.001000,4.000000,0.0004,0.010000,2.65,0.569230,0.776950,0.200000,0.0001,0.001000,2.65,0.478440,0.684550,0.400000,0,10,10,50,0.47,0.36,0.17
SU2_1550_1620,3,99.15238462,100,0.5,0.005,0.25,2.5,0.001000,4.000000,0.0004,0.010000,2.65,0.687250,0.957410,0.200000,0.0001,0.001000,2.65,0.579410,0.838090,0.400000,0,10,10,50,0.47,0.36,0.17
SU2_1200_1310,3,89.90090704,100,0.5,0.005,0.25,2.5,0.001000,4.000000,0.0004,0.010000,2.65,0.439230,0.673770,0.200000,0.0001,0.001000,2.65,0.349940,0.570720,0.400000,0,10,10,50,0.47,0.36,0.17
SU1_1480_1500,3,63.68179603,100,0.5,0.005,0.25,2.5,0.001000,4.000000,0.0004,0.010000,2.65,0.587550,0.809100,0.200000,0.0001,0.001000,2.65,0.492880,0.715960,0.400000,0,10,10,50,0.47,0.36,0.17
SU2_1210_1310,3,90.2522781,100,0.5,0.005,0.25,2.5,0.001000,4.000000,0.0004,0.010000,2.65,0.697710,1.035100,0.200000,0.0001,0.001000,2.65,0.560160,0.895190,0.400000,0,10,10,50,0.47,0.36,0.17
SU2_0670_0810,3,51.55884335,100,0.5,0.005,0.25,2.5,0.001000,4.000000,0.0004,0.010000,2.65,0.493130,0.642070,0.200000,0.0001,0.001000,2.65,0.426730,0.578650,0.400000,0,10,10,50,0.47,0.36,0.17
SU2_1290_1500,3,78.4253871,100,0.5,0.005,0.25,2.5,0.001000,4.000000,0.0004,0.010000,2.65,0.418890,0.587820,0.200000,0.0001,0.001000,2.65,0.350620,0.508960,0.400000,0,10,10,50,0.47,0.36,0.17
SU3_1310_1280,3,131.8909663,100,0.5,0.005,0.25,2.5,0.001000,4.000000,0.0004,0.010000,2.65,0.424970,0.568300,0.200000,0.0001,0.001000,2.65,0.360690,0.507330,0.400000,0,10,10,50,0.47,0.36,0.17
