TABLE->,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2
VARS->,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,IAMSU,INO3,ISLON,ISRON,AGPLTN,LITTRN
A36097,0.,1,0.03,0.3,0,8.712000,204.7275,5,0.5,2,0,1222.031,20.12500,5,1,8,0,1477.050,0.968000,6,0.5,1,0,824.7100,0,0,0,0,na,na
A36101,0.,1,0.03,0.3,0,4.849500,152.9125,5,0.5,2,0,1261.361,20.20150,5,1,8,0,1480.295,0.880500,6,0.5,1,0,823.6550,0,0,0,0,na,na
A36107,0.,1,0.03,0.3,0,6.144000,177.7410,5,0.5,2,0,1254.273,19.20950,5,1,8,0,1471.771,0.940000,6,0.5,1,0,824.7980,0,0,0,0,na,na
A36109,0.,1,0.03,0.3,0,4.330500,234.1900,5,0.5,2,0,1200.379,19.67700,5,1,8,0,1466.587,0.983000,6,0.5,1,0,825.3560,0,0,0,0,na,na
A36123,0.,1,0.03,0.3,0,3.552000,190.2955,5,0.5,2,0,1223.246,21.49250,5,1,8,0,1477.764,1.055000,6,0.5,1,0,824.9635,0,0,0,0,na,na
A37001,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,100,0,0,0,0,na,na
A37005,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,100,0,0,0,0,na,na
A37009,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,100,0,0,0,0,na,na
A37033,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,100,0,0,0,0,na,na
A37067,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,100,0,0,0,0,na,na
A37077,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,100,0,0,0,0,na,na
A37081,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,100,0,0,0,0,na,na
A37131,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,100,0,0,0,0,na,na
A37135,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,100,0,0,0,0,na,na
A37145,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,100,0,0,0,0,na,na
A37157,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,100,0,0,0,0,na,na
A37169,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,100,0,0,0,0,na,na
A37171,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,100,0,0,0,0,na,na
A37181,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,100,0,0,0,0,na,na
A37185,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,100,0,0,0,0,na,na
A37189,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,100,0,0,0,0,na,na
A42001,0.,1,0.03,0.3,0,0.901000,118.1570,5,0.5,2,0,1488.871,16.75350,5,1,8,0,1482.920,0.602500,6,0.5,1,0,820.8130,0,0,0,0,na,na
A42009,0.,1,0.03,0.3,0,1.864000,93.63451,5,0.5,2,0,1380.266,22.32700,5,1,8,0,1492.271,1.202500,6,0.5,1,0,825.8650,0,0,0,0,na,na
A42011,0.,1,0.03,0.3,0,0.271000,196.5610,5,0.5,2,0,1382.135,19.48650,5,1,8,0,1469.064,0.944000,6,0.5,1,0,825.1270,0,0,0,0,na,na
A42013,0.,1,0.03,0.3,0,3.152500,158.8770,5,0.5,2,0,1342.282,24.85000,5,1,8,0,1496.111,1.234000,6,0.5,1,0,826.6584,0,0,0,0,na,na
A42015,0.,1,0.03,0.3,0,1.360000,142.8775,5,0.5,2,0,1300.784,20.87400,5,1,8,0,1480.672,1.087000,6,0.5,1,0,827.0110,0,0,0,0,na,na
A42021,0.,1,0.03,0.3,0,2.653500,152.6920,5,0.5,2,0,1343.783,24.64600,5,1,8,0,1494.042,1.194000,6,0.5,1,0,825.7061,0,0,0,0,na,na
A42023,0.,1,0.03,0.3,0,2.380000,165.1190,5,0.5,2,0,1243.376,19.76000,5,1,8,0,1472.572,0.949500,6,0.5,1,0,823.8070,0,0,0,0,na,na
A42025,0.,1,0.03,0.3,0,0.561500,229.6515,5,0.5,2,0,1247.866,21.38300,5,1,8,0,1474.653,1.658500,6,0.5,1,0,838.3920,0,0,0,0,na,na
A42027,0.,1,0.03,0.3,0,2.892500,105.2820,5,0.5,2,0,1346.818,32.52250,5,1,8,0,1530.179,1.483500,6,0.5,1,0,827.1735,0,0,0,0,na,na
A42029,0.,1,0.03,0.3,0,0.294000,140.7415,5,0.5,2,0,1486.000,24.67550,5,1,8,0,1510.446,1.334000,6,0.5,1,0,829.3330,0,0,0,0,na,na
A42033,0.,1,0.03,0.3,0,16.90000,147.1485,5,0.5,2,0,1294.972,23.22600,5,1,8,0,1497.669,1.094500,6,0.5,1,0,824.6180,0,0,0,0,na,na
A42035,0.,1,0.03,0.3,0,4.265000,151.3415,5,0.5,2,0,1262.776,23.32500,5,1,8,0,1486.692,1.199000,6,0.5,1,0,826.7314,0,0,0,0,na,na
A42037,0.,1,0.03,0.3,0,1.568000,194.0155,5,0.5,2,0,1311.315,21.53850,5,1,8,0,1480.839,1.105500,6,0.5,1,0,826.3290,0,0,0,0,na,na
A42041,0.,1,0.03,0.3,0,0.642500,94.36501,5,0.5,2,0,1439.693,25.62000,5,1,8,0,1507.765,1.292000,6,0.5,1,0,827.1155,0,0,0,0,na,na
A42043,0.,1,0.03,0.3,0,1.560500,112.7175,5,0.5,2,0,1456.010,24.01500,5,1,8,0,1498.671,1.052000,6,0.5,1,0,823.6415,0,0,0,0,na,na
A42047,0.,1,0.03,0.3,0,12.55200,173.3510,5,0.5,2,0,1250.629,21.31400,5,1,8,0,1479.363,1.042500,6,0.5,1,0,824.3185,0,0,0,0,na,na
A42055,0.,1,0.03,0.3,0,0.488000,60.31900,5,0.5,2,0,1422.691,37.28400,5,1,8,0,1554.921,1.680500,6,0.5,1,0,828.7705,0,0,0,0,na,na
A42057,0.,1,0.03,0.3,0,4.117500,165.4995,5,0.5,2,0,1365.138,21.42500,5,1,8,0,1493.988,0.892000,6,0.5,1,0,823.4570,0,0,0,0,na,na
A42061,0.,1,0.03,0.3,0,0.878000,171.0300,5,0.5,2,0,1309.435,22.78300,5,1,8,0,1493.896,1.017000,6,0.5,1,0,824.8320,0,0,0,0,na,na
A42063,0.,1,0.03,0.3,0,5.155500,198.9735,5,0.5,2,0,1307.502,23.04000,5,1,8,0,1483.969,1.099000,6,0.5,1,0,825.2040,0,0,0,0,na,na
A42065,0.,1,0.03,0.3,0,1.873500,184.8320,5,0.5,2,0,1282.221,22.40100,5,1,8,0,1479.128,1.114000,6,0.5,1,0,825.5200,0,0,0,0,na,na
A42067,0.,1,0.03,0.3,0,1.401000,100.6175,5,0.5,2,0,1425.675,24.69750,5,1,8,0,1503.645,1.258000,6,0.5,1,0,827.7200,0,0,0,0,na,na
A42069,0.,1,0.03,0.3,0,6.014000,140.4225,5,0.5,2,0,1321.020,25.00350,5,1,8,0,1510.562,1.773500,6,0.5,1,0,839.6670,0,0,0,0,na,na
A42071,0.,1,0.03,0.3,0,0.772500,111.4990,5,0.5,2,0,1593.752,40.70100,5,1,8,0,1573.090,1.900000,6,0.5,1,0,829.7580,0,0,0,0,na,na
A42075,0.,1,0.03,0.3,0,1.881000,85.32000,5,0.5,2,0,1503.807,46.65150,5,1,8,0,1581.683,2.118500,6,0.5,1,0,829.9745,0,0,0,0,na,na
A42079,0.,1,0.03,0.3,0,2.878500,131.4645,5,0.5,2,0,1344.909,25.18950,5,1,8,0,1498.818,1.657500,6,0.5,1,0,835.1080,0,0,0,0,na,na
A42081,0.,1,0.03,0.3,0,1.148500,161.0225,5,0.5,2,0,1255.382,23.40500,5,1,8,0,1483.824,1.399000,6,0.5,1,0,830.0780,0,0,0,0,na,na
A42083,0.,1,0.03,0.3,0,14.39850,199.9700,5,0.5,2,0,1203.129,20.11200,5,1,8,0,1477.047,0.932000,6,0.5,1,0,823.2500,0,0,0,0,na,na
A42087,0.,1,0.03,0.3,0,1.116500,141.2365,5,0.5,2,0,1351.579,22.60200,5,1,8,0,1480.276,1.185000,6,0.5,1,0,828.5396,0,0,0,0,na,na
A42093,0.,1,0.03,0.3,0,0.249500,187.5695,5,0.5,2,0,1334.752,17.90450,5,1,8,0,1480.795,0.740500,6,0.5,1,0,823.5305,0,0,0,0,na,na
A42097,0.,1,0.03,0.3,0,1.542000,141.3925,5,0.5,2,0,1364.765,31.44250,5,1,8,0,1515.811,1.560500,6,0.5,1,0,828.4230,0,0,0,0,na,na
