landseg,landuse,nutrient,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
A42027,hom,nh3n,0,0,0,0,0,40.360798,40.373066,45.613674,45.601406,0,0,0
A42035,hom,nh3n,0,0,0,0,0,0.6736421,0.68778861,0.71181518,0.69766867,0,0,0
A42057,hom,nh3n,0,0,0,0,0,0.24492913,0.32036731,1.6037959,1.5283577,0,0,0
A42061,hom,nh3n,0,0,0,0,0,1.7876978,1.8881663,2.9607849,2.8603165,0,0,0
A42075,hom,nh3n,0,0,0,0,0,1.180076,1.2013769,2.0534172,2.0321162,0,0,0
A42105,hom,nh3n,0,0,0,0,0,2.1306474,2.1419713,2.3352585,2.3239346,0,0,0
A42107,hom,nh3n,0,0,0,0,0,0.23402305,0.2374554,0.27645925,0.27302688,0,0,0
A42111,hom,nh3n,0,0,0,0,0,3.8533673E-2,9.0898745E-2,0.98369545,0.93133038,0,0,0
A42117,hom,nh3n,0,0,0,0,0,8.6844654,8.8110361,10.971341,10.84477,0,0,0
A51049,hom,nh3n,0,0,0,0,0.52036101,1.4307348,1.7569087,1.7569087,0.91037375,0.28229961,0,0
A51053,hom,nh3n,0,0,0,0,2.4776932E-2,11.33716,11.352711,11.352711,11.312383,9.9120903,0,0
A51059,hom,nh3n,0,0,0,0,0.28775313,4.784987,4.9648328,4.9648328,4.4972339,0.15613088,0,0
A51061,hom,nh3n,0,0,0,0,0.57986182,0.90380931,1.2673556,1.2673556,0.32394746,0.31463546,0,0
A51071,hom,nh3n,0,0,0,0,0.55941051,0.8629235,1.8888575,1.8888575,0.97877163,0.97877163,0,0
A51073,hom,nh3n,0,0,0,0,0.1344295,0.37006521,0.45511243,0.45511243,0.23563571,7.3085755E-2,0,0
A51087,hom,nh3n,0,0,0,0,0.29449856,0.80843711,0.99192053,0.99192053,0.51393855,0.15930678,0,0
A51099,hom,nh3n,0,0,0,0,0.30954629,0.67166263,0.86499703,0.86499703,0.36211634,0.16772549,0,0
A51101,hom,nh3n,0,0,0,0,0.31451675,0.8803308,1.0778916,1.0778916,0.56581402,0.1706925,0,0
A51111,hom,nh3n,0,0,0,0,6.2485181E-2,0.17177744,0.21090958,0.21090958,0.10929226,3.3896919E-2,0,0
A51127,hom,nh3n,0,0,0,0,3.8448196E-2,0.1053173,0.12889886,0.12889886,6.6869102E-2,2.0731268E-2,0,0
A51131,hom,nh3n,0,0,0,0,0.65666509,17.482437,16.826714,16.826714,16.825773,0.37141249,0,0
A51149,hom,nh3n,0,0,0,0,9.0518119E-3,17.635225,17.640947,17.640947,17.626175,17.508923,0,0
A51157,hom,nh3n,0,0,0,0,0.12536187,0.19488581,0.27347967,0.27347967,6.9523916E-2,6.8004377E-2,0,0
A51165,hom,nh3n,0,0,0,0,0.27743876,0.42796254,0.63239431,0.63239431,0.1810451,0.1810451,0,0
A51179,hom,nh3n,0,0,0,0,0.55218041,1.5176754,1.8646536,1.8646536,0.96549493,0.29952058,0,0
A51199,hom,nh3n,0,0,0,0,2.2945428E-2,5.7721062,5.788168,5.788168,5.7491608,0.01280355,0,0
A54023,hom,nh3n,0,0,0,0,0,4.6559711,5.0069051,5.4455729,5.0946388,0,0,0
A54037,hom,nh3n,0,0,0,0,0,0.64927781,0.653117,0.65791601,0.65407681,0,0,0
A54077,hom,nh3n,0,0,0,0,0,3.485038,3.5552366,3.6428604,3.5726616,0,0,0
B24001,hom,nh3n,0,0,0,0,0,0.6856429,3.2558544,11.230936,8.6607246,0,0,0
B24021,hom,nh3n,0,0,0,0,0,0.46637383,0.74619812,0.93274766,0.65292341,0,0,0
B42001,hom,nh3n,0,0,0,0,0,1.0353268E-2,1.2189248E-2,4.3469921E-2,4.1633941E-2,0,0,0
B42131,hom,nh3n,0,0,0,0,0,0.24458863,0.26806912,0.66805309,0.64457256,0,0,0
B51019,hom,nh3n,0,0,0,0,0.6268633,1.7236761,2.1166751,2.1166751,1.0968128,0.34014067,0,0
A51005,hom,nh3n,0,0,0,0,0.47991878,0.74059772,1.6214101,1.6214101,0.8403886,0.8403886,0,0
A51011,hom,nh3n,0,0,0,0,0.51602501,1.4188719,1.7424557,1.7424557,0.90284693,0.28001326,0,0
A51017,hom,nh3n,0,0,0,0,0.70712703,1.0904746,2.3852451,2.3852451,1.2360277,1.2360277,0,0
A51023,hom,nh3n,0,0,0,0,0.32872561,0.5070942,1.1100492,1.1100492,0.57514161,0.57514161,0,0
