landseg,landuse,nutrient,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
A51111,hwm,nh3n,0,0,0,0,0,3.0900649562103908,3.0900651069315832,3.0900651069315832,3.0900651069315832,3.0900651069315832,0,0
C42009,hwm,nh3n,0,0,0,0,3.6473678859007925E-8,0.44296740852933791,0.44296737205565906,0.44296737205565906,0.44296737205565906,0.44296737205565906,0,0
A10001,hom,nh3n,0,0,0,0,29.25160452950065,29.25160452950065,60.183318574292102,34.892900004334692,0,0,0,0
A42127,nho,nh3n,0,0,0,0,0,3.0838149008352667,4.3767191574484308,13.336209239711154,12.043304983097991,0,0,0
B42055,nho,nh3n,0,0,0,0,0,0.12872624490647522,0.48024079764952171,0.517019723069013,0.16550517032596657,0,0,0
A42119,nhy,nh3n,0,0,0,0,9.3202691686515238E-2,0.20401484962338334,0.20401484962338334,0.20401484962338334,0.20401484962338334,0.20401484962338334,0,0
B42131,hwm,nh3n,0,0,0,0,0,4.6966652215265421E-2,0.48557100400548769,0.48557100400548769,0.48557100400548769,0.48557100400548769,0,0
A24041,hyw,nh3n,0,0,0,0,7.4418746684431014E-3,7.4418746684431014E-3,7.4418746684431014E-3,7.4418746684431014E-3,7.4418746684431014E-3,7.4418746684431014E-3,0,0
A51165,hwm,nh3n,0,0,0,0,0,0.06419731452712972,7.2786074121302655E-2,7.2786074121302655E-2,7.2786074121302655E-2,7.2786074121302655E-2,0,0
A24001,hom,nh3n,0,0,0,0,0,0.50891701867668426,0.50891701867668426,2.7356985189827778,2.7356985189827778,0,0,0
A51193,hyw,nh3n,0,0,0,0,0,0,0,0,0,0,2.6558078715289389E-2,2.6558078715289389E-2
B42081,nhy,nh3n,0,0,0,0,7.6856991986990794E-2,0.16824268194912945,0.16824268194912945,0.16824268194912945,0.16824268194912945,0.16824268194912945,0,0
B42055,nhi,nh3n,0,0,0,0,3.5702358192403428E-9,0.68381078919885829,0.68381078562862252,0.68381078562862252,0.68381078562862252,0.68381078562862252,0,0
A54063,hom,nh3n,0,0,0,0,0,4.2143755301486614,4.5163009673006504,4.6977210656839832,4.3957956285319941,0,0,0
A24025,hyw,nh3n,0,0,0,0,1.6629682460964915E-2,1.6629682460964915E-2,1.6629682460964915E-2,1.6629682460964915E-2,1.6629682460964915E-2,1.6629682460964915E-2,0,0
B51161,hwm,nh3n,0,0,0,0,0,0.25835755881222666,0.25835763900028885,0.25835763900028885,0.25835763900028885,0.25835763900028885,0,0
A24045,lwm,nh3n,0,0,0,0,0,5.1686094218638887,5.5823542949854454,5.5823542949854454,5.5795512981680693,5.5795512981680693,0.4109418763041805,0
A51171,hwm,nh3n,0,0,0,0,0,0.56170939033785194,0.5813663763770176,0.5813663763770176,0.5813663763770176,0.5813663763770176,0,0
A42093,hom,nh3n,0,0,0,0,0,21.359970430414794,21.479032493288827,22.297633615450234,22.178571552576201,0,0,0
A42023,hom,nh3n,0,0,0,0,0,1.0958196568589911,1.5596105808851568,4.7424894825989865,4.2786985585728203,0,0,0
A24023,lwm,nh3n,0,0,0,0,0,0.41623171120777924,0.41623171120777924,0.41623171120777924,0.41623171120777924,0.41623171120777924,0,0
A51069,lwm,nh3n,0,0,0,0,0,0.20830721002389843,0.20830721002389843,0.20830721002389843,0.20830721002389843,0.20830721002389843,0,0
A42001,nhy,nh3n,0,0,0,0,4.3151659943388376E-2,9.4459606901083515E-2,9.4459606901083515E-2,9.4459606901083515E-2,9.4459606901083515E-2,9.4459606901083515E-2,0,0
A51043,hwm,nh3n,0,0,0,0,0,0.01777470727816869,1.7774708290881049E-2,1.7774708290881049E-2,1.7774708290881049E-2,1.7774708290881049E-2,0,0
A24029,hwm,nh3n,0,0,0,0,0,2.2266467494595452,2.2266467494595452,2.2266467494595452,2.2266467494595452,2.2266467494595452,0,0
B51161,hyw,nh3n,0,0,0,0,0,0,0,0,0,1.2192147466339471E-2,2.0586374298405881E-2,2.0586374298405881E-2
A51059,hyw,nh3n,0,0,0,0,0,0,0,0,0,1.7872139530145891E-2,3.0237898084288679E-2,3.0237898084288679E-2
A51085,hyw,nh3n,0,0,0,0,0,0,0,0,0,0,1.5599635296490945E-2,1.5599635296490945E-2
B42131,hyw,nh3n,0,0,0,0,0.09789380713907489,0.214295271527356,0.214295271527356,0.214295271527356,0.214295271527356,0.214295271527356,0,0
C51015,lwm,nh3n,0,0,0,0,0,3.9578481769758006E-2,3.9578482923039421E-2,3.9578482923039421E-2,3.9578482923039421E-2,3.9578482923039421E-2,0,0
A42075,lwm,nh3n,0,0,0,0,0,3.8411487343333359,3.8411487343333359,3.8411487343333359,3.8411487343333359,3.8411487343333359,0,0
A51017,hom,nh3n,0,0,0,0,0.95158280722789734,0.95158280722789734,3.961774445406558,3.961774445406558,1.4679245807698778,1.4679245807698778,0,0
A42119,nlo,nh3n,0,0,0,0,8.7450863496339491E-10,3.4596313225917954,3.4596313217172869,3.4596313217172869,3.4596313217172869,3.4596313217172869,0,0
A51045,hwm,nh3n,0,0,0,0,0,4.7160750308765598E-2,0.41825700245829112,0.41825700245829112,0.41825700245829112,0.41825700245829112,0,0
A36107,lwm,nh3n,0,0,0,0,0,0,0.22844971136283337,0.22844971136283337,0.22844971136283337,0.22844971136283337,0,0
