A24037,PL1_5910_0001,   urs,eof, TSSX, 0.2525496E+04
A24037,PL1_5910_0001,   urs,eof, ORGC, 0.2052717E+03
A24037,PL1_5910_0001,   urs,eof, TSED, 0.1262748E+01
A24037,PL1_5910_0001,   urs,eof,acres, 0.4595534E+00
A24037,PL1_5910_0001,   nhi,eof, FLOW, 0.1690786E+03
A24037,PL1_5910_0001,   nhi,eof, HEAT, 0.1693053E+04
A24037,PL1_5910_0001,   nhi,eof, NH3X, 0.1675647E+03
A24037,PL1_5910_0001,   nhi,eof, NO23, 0.1565800E+04
A24037,PL1_5910_0001,   nhi,eof, ORGN, 0.1425810E+04
A24037,PL1_5910_0001,   nhi,eof, TOTN, 0.3159174E+04
A24037,PL1_5910_0001,   nhi,eof, PO4X, 0.1673362E+03
A24037,PL1_5910_0001,   nhi,eof, ORGP, 0.3250108E+02
A24037,PL1_5910_0001,   nhi,eof, TOTP, 0.1998373E+03
A24037,PL1_5910_0001,   nhi,eof, TSSX, 0.1924546E+07
A24037,PL1_5910_0001,   nhi,eof, ORGC, 0.2288384E+05
A24037,PL1_5910_0001,   nhi,eof, TSED, 0.9622728E+03
A24037,PL1_5910_0001,   nhi,eof,acres, 0.1304369E+03
A24037,PL1_5910_0001,   nlo,eof, FLOW, 0.1409169E+03
A24037,PL1_5910_0001,   nlo,eof, HEAT, 0.1436348E+04
A24037,PL1_5910_0001,   nlo,eof, NH3X, 0.1114324E+03
A24037,PL1_5910_0001,   nlo,eof, NO23, 0.1342955E+04
A24037,PL1_5910_0001,   nlo,eof, ORGN, 0.1026650E+04
A24037,PL1_5910_0001,   nlo,eof, TOTN, 0.2481038E+04
A24037,PL1_5910_0001,   nlo,eof, PO4X, 0.1414763E+03
A24037,PL1_5910_0001,   nlo,eof, ORGP, 0.2349427E+02
A24037,PL1_5910_0001,   nlo,eof, TOTP, 0.1649706E+03
A24037,PL1_5910_0001,   nlo,eof, TSSX, 0.9637788E+06
A24037,PL1_5910_0001,   nlo,eof, ORGC, 0.1641866E+05
A24037,PL1_5910_0001,   nlo,eof, TSED, 0.4818893E+03
A24037,PL1_5910_0001,   nlo,eof,acres, 0.1077053E+03
A24037,PL1_5910_0001,   nho,eof, FLOW, 0.3178088E+02
A24037,PL1_5910_0001,   nho,eof, HEAT, 0.3177873E+03
A24037,PL1_5910_0001,   nho,eof, NH3X, 0.6500088E+02
A24037,PL1_5910_0001,   nho,eof, NO23, 0.6092041E+03
A24037,PL1_5910_0001,   nho,eof, ORGN, 0.9469267E+02
A24037,PL1_5910_0001,   nho,eof, TOTN, 0.7688975E+03
A24037,PL1_5910_0001,   nho,eof, PO4X, 0.4043188E+02
A24037,PL1_5910_0001,   nho,eof, ORGP, 0.2241647E+01
A24037,PL1_5910_0001,   nho,eof, TOTP, 0.4267355E+02
A24037,PL1_5910_0001,   nho,eof, TSSX, 0.3614958E+06
A24037,PL1_5910_0001,   nho,eof, ORGC, 0.1489252E+04
A24037,PL1_5910_0001,   nho,eof, TSED, 0.1807479E+03
A24037,PL1_5910_0001,   nho,eof,acres, 0.2448599E+02
A24037,PL1_5910_0001,   nal,eof, FLOW, 0.8253634E+01
A24037,PL1_5910_0001,   nal,eof, HEAT, 0.8460667E+02
A24037,PL1_5910_0001,   nal,eof, NH3X, 0.2576042E+01
A24037,PL1_5910_0001,   nal,eof, NO23, 0.4474934E+02
A24037,PL1_5910_0001,   nal,eof, ORGN, 0.6164163E+01
A24037,PL1_5910_0001,   nal,eof, TOTN, 0.5348954E+02
A24037,PL1_5910_0001,   nal,eof, PO4X, 0.3747871E+01
A24037,PL1_5910_0001,   nal,eof, ORGP, 0.1540651E+00
A24037,PL1_5910_0001,   nal,eof, TOTP, 0.3901937E+01
A24037,PL1_5910_0001,   nal,eof, TSSX, 0.2407035E+05
A24037,PL1_5910_0001,   nal,eof, ORGC, 0.9668199E+02
A24037,PL1_5910_0001,   nal,eof, TSED, 0.1203517E+02
A24037,PL1_5910_0001,   nal,eof,acres, 0.6228984E+01
A24037,PL1_5910_0001,   nhy,eof, FLOW, 0.5202280E+02
A24037,PL1_5910_0001,   nhy,eof, HEAT, 0.5332773E+03
A24037,PL1_5910_0001,   nhy,eof, NH3X, 0.1401352E+02
A24037,PL1_5910_0001,   nhy,eof, NO23, 0.1109168E+03
A24037,PL1_5910_0001,   nhy,eof, ORGN, 0.3736483E+02
A24037,PL1_5910_0001,   nhy,eof, TOTN, 0.1622952E+03
A24037,PL1_5910_0001,   nhy,eof, PO4X, 0.2741229E+02
A24037,PL1_5910_0001,   nhy,eof, ORGP, 0.9224469E+00
A24037,PL1_5910_0001,   nhy,eof, TOTP, 0.2833474E+02
A24037,PL1_5910_0001,   nhy,eof, TSSX, 0.1538540E+06
A24037,PL1_5910_0001,   nhy,eof, ORGC, 0.5963351E+03
A24037,PL1_5910_0001,   nhy,eof, TSED, 0.7692702E+02
A24037,PL1_5910_0001,   nhy,eof,acres, 0.3926140E+02
A24037,PL1_5910_0001,   npa,eof, FLOW, 0.6032972E+02
A24037,PL1_5910_0001,   npa,eof, HEAT, 0.6389034E+03
A24037,PL1_5910_0001,   npa,eof, NH3X, 0.1955188E+02
A24037,PL1_5910_0001,   npa,eof, NO23, 0.2655893E+03
A24037,PL1_5910_0001,   npa,eof, ORGN, 0.9889928E+02
A24037,PL1_5910_0001,   npa,eof, TOTN, 0.3840404E+03
A24037,PL1_5910_0001,   npa,eof, PO4X, 0.3630660E+02
A24037,PL1_5910_0001,   npa,eof, ORGP, 0.2364335E+01
A24037,PL1_5910_0001,   npa,eof, TOTP, 0.3867094E+02
A24037,PL1_5910_0001,   npa,eof, TSSX, 0.2792885E+05
A24037,PL1_5910_0001,   npa,eof, ORGC, 0.1575777E+04
A24037,PL1_5910_0001,   npa,eof, TSED, 0.1396443E+02
A24037,PL1_5910_0001,   npa,eof,acres, 0.4924517E+02
A24037,PL1_5910_0001,   rpd,eof, FLOW, 0.1777180E+03
A24037,PL1_5910_0001,   rpd,eof, HEAT, 0.1831673E+04
A24037,PL1_5910_0001,   rpd,eof, NH3X, 0.6999527E+02
A24037,PL1_5910_0001,   rpd,eof, NO23, 0.3423075E+03
A24037,PL1_5910_0001,   rpd,eof, ORGN, 0.9341426E+03
A24037,PL1_5910_0001,   rpd,eof, TOTN, 0.1346445E+04
A24037,PL1_5910_0001,   rpd,eof, PO4X, 0.6036656E+02
A24037,PL1_5910_0001,   rpd,eof, ORGP, 0.1853060E+02
A24037,PL1_5910_0001,   rpd,eof, TOTP, 0.7889716E+02
A24037,PL1_5910_0001,   rpd,eof, TSSX, 0.2366232E+06
A24037,PL1_5910_0001,   rpd,eof, ORGC, 0.1533345E+05
A24037,PL1_5910_0001,   rpd,eof, TSED, 0.1183116E+03
