landseg,landuse,nutrient,max_uptake
A24005,hwm,Phos,20.265218114042398
A24005,hyo,Nitr,88.933009664616378
A24005,hyo,Phos,26.326086966992225
A24005,hyw,Nitr,159.1541300051698
A24005,hyw,Phos,23.837758881256221
A24005,lwm,Nitr,150.14900546256246
A24005,lwm,Phos,20.265218283761264
A24005,nal,Nitr,332.65275725190156
A24005,nal,Phos,49.897915162960842
A24005,nhi,Nitr,150.14900874855272
A24005,nhi,Phos,20.265218186514126
A24005,nho,Nitr,91.812574732862032
A24005,nho,Phos,20.580675395632991
A24005,nhy,Nitr,159.15413445289482
A24005,nhy,Phos,23.83775964178707
A24005,nlo,Nitr,150.1490037521757
A24005,nlo,Phos,20.265217598829622
A24005,npa,Nitr,145.22912632926801
A24005,npa,Phos,21.784368610494099
A24005,pas,Nitr,145.22913268591967
A24005,pas,Phos,21.784370124611108
A24005,puh,Nitr,202.87233985027532
A24005,puh,Phos,30.430851893039446
A24005,pul,Nitr,202.87233958960016
A24005,pul,Phos,30.43085086175882
A24005,trp,Nitr,145.22913400245218
A24005,trp,Phos,21.78436958487298
A24005,urs,Nitr,105.41176783853038
A24005,urs,Phos,15.811764316147176
A24013,alf,Nitr,300.84396156823948
A24013,alf,Phos,45.126595429102217
A24013,hom,Nitr,93.330251375417291
A24013,hom,Phos,16.027127103826409
A24013,hwm,Nitr,157.20889396319771
A24013,hwm,Phos,21.528822849776226
A24013,hyo,Nitr,86.836926290573757
A24013,hyo,Phos,27.663496769312598
A24013,hyw,Nitr,160.16415378981497
A24013,hyw,Phos,23.981173078986419
A24013,lwm,Nitr,157.20889211711039
A24013,lwm,Phos,21.52882237841396
A24013,nal,Nitr,300.84395511711222
A24013,nal,Phos,45.126595086365775
A24013,nhi,Nitr,157.20888768568105
A24013,nhi,Phos,21.528822111718906
A24013,nho,Nitr,93.330252319947306
A24013,nho,Phos,16.027127205251144
A24013,nhy,Nitr,160.16415915716112
A24013,nhy,Phos,23.981174000887322
A24013,nlo,Nitr,157.20889060156372
A24013,nlo,Phos,21.52882247024548
A24013,npa,Nitr,146.53602062795787
A24013,npa,Phos,21.980402639893445
A24013,pas,Nitr,146.53601395350762
A24013,pas,Phos,21.980402209270757
A24013,puh,Nitr,216.77763014482986
A24013,puh,Phos,32.516645046235986
A24013,pul,Nitr,216.77763801620463
A24013,pul,Phos,32.516645950182756
A24013,trp,Nitr,146.53601611861393
A24013,trp,Phos,21.980401964919349
A24013,urs,Nitr,105.41176904794659
A24013,urs,Phos,15.811765588598254
A24015,alf,Nitr,297.27518003529258
A24015,alf,Phos,44.591274919048111
A24015,hom,Nitr,133.76360256957963
A24015,hom,Phos,20.850937863110726
A24015,hwm,Nitr,170.19519128148156
A24015,hwm,Phos,22.499372697529402
A24015,hyo,Nitr,92.762533634393165
A24015,hyo,Phos,23.882647009688164
A24015,hyw,Nitr,157.10287031992749
A24015,hyw,Phos,23.502170705164598
A24015,lwm,Nitr,170.19519539882955
A24015,lwm,Phos,22.499373073776002
A24015,nal,Nitr,297.27518372302336
A24015,nal,Phos,44.591276330213496
A24015,nhi,Nitr,170.19519515361446
A24015,nhi,Phos,22.499372936667612
A24015,nho,Nitr,133.76360674514348
A24015,nho,Phos,20.850938632594758
A24015,nhy,Nitr,157.10287244683747
A24015,nhy,Phos,23.502170557628862
A24015,nlo,Nitr,170.19519251960963
A24015,nlo,Phos,22.499372653405835
A24015,npa,Nitr,146.40171634671134
A24015,npa,Phos,21.960257037738984
A24015,pas,Nitr,146.40171368755441
A24015,pas,Phos,21.960256397521821
A24015,puh,Nitr,207.26586672752572
A24015,puh,Phos,31.089878614351207
A24015,pul,Nitr,207.26587289915716
A24015,pul,Phos,31.089879770752471
A24015,trp,Nitr,146.4017181483589
