landseg,landuse,nutrient,max_uptake
A36077,hyw,Phos,24.038116
A42027,pas,Nitr,113.71124
B42027,pas,Nitr,113.71124
F42027,pas,Nitr,113.71124
A42027,pas,Phos,17.056686
B42027,pas,Phos,17.056686
F42027,pas,Phos,17.056686
A42057,nhy,Nitr,157.7345
A42057,nhy,Phos,23.604464
F42001,hyw,Nitr,155.16423
B42001,hyw,Nitr,155.16423
A42001,hyw,Nitr,155.16423
F42001,hyw,Phos,23.270321
F51019,pas,Nitr,122.03239
A51019,pas,Nitr,122.03239
B51019,pas,Nitr,122.03239
F51019,pas,Phos,18.304859
A51019,pas,Phos,18.304859
B51019,pas,Phos,18.304859
F51121,trp,Nitr,131.49905
A51121,trp,Nitr,131.49905
F51121,trp,Phos,19.724857
A51121,trp,Phos,19.724857
A51029,hyw,Nitr,157.1909
A51029,hyw,Phos,23.556086
F51113,trp,Nitr,123.32777
B51113,trp,Nitr,123.32777
A51113,trp,Nitr,123.32777
F51113,trp,Phos,18.499166
B51113,trp,Phos,18.499166
A51113,trp,Phos,18.499166
F24017,pas,Nitr,116.14553
A24017,pas,Nitr,116.14553
F24017,pas,Phos,17.421831
A24017,pas,Phos,17.421831
A42023,trp,Nitr,125.02308
A42023,trp,Phos,18.753462
A54031,pas,Nitr,130.4664
B54031,pas,Nitr,130.4664
F54031,pas,Nitr,130.4664
A54031,pas,Phos,19.56996
B54031,pas,Phos,19.56996
F54031,pas,Phos,19.56996
A51133,trp,Nitr,103.71324
A51133,trp,Phos,15.556986
A36023,pas,Nitr,139.39714
A36023,pas,Phos,20.909571
F51057,lwm,Nitr,187.7354
A51057,lwm,Nitr,187.7354
F51057,lwm,Phos,23.956957
A51057,lwm,Phos,23.956957
A51033,trp,Nitr,133.52724
F51033,trp,Nitr,133.52724
A51033,trp,Phos,20.029085
F51033,trp,Phos,20.029085
A42069,pas,Nitr,119.47338
F42069,pas,Nitr,119.47338
A42069,pas,Phos,17.921007
F42069,pas,Phos,17.921007
A42025,trp,Nitr,144.42245
A42025,trp,Phos,21.663366
A36053,lwm,Nitr,166.36302
A36053,lwm,Phos,25.000666
A42013,trp,Nitr,124.12665
F42013,trp,Nitr,124.12665
A42013,trp,Phos,18.618998
F42013,trp,Phos,18.618998
F51019,trp,Nitr,122.03239
A51019,trp,Nitr,122.03239
B51019,trp,Nitr,122.03239
F51019,trp,Phos,18.304859
A51019,trp,Phos,18.304859
B51019,trp,Phos,18.304859
A54023,nal,Nitr,358.27362
B54023,nal,Nitr,358.27362
F54023,nal,Nitr,358.27362
A54023,nal,Phos,53.741043
B54023,nal,Phos,53.741043
F54023,nal,Phos,53.741043
F24029,hyw,Nitr,144.33345
A24029,hyw,Nitr,144.33345
F24029,hyw,Phos,21.523006
A24029,hyw,Phos,21.523006
A51001,pas,Nitr,126.55411
F51001,pas,Nitr,126.55411
A51001,pas,Phos,18.983116
F51001,pas,Phos,18.983116
F51107,pas,Nitr,116.07629
A51107,pas,Nitr,116.07629
F51107,pas,Phos,17.411444
A51107,pas,Phos,17.411444
A36043,hyw,Nitr,159.02248
A36043,hyw,Phos,23.820705
A36051,pas,Nitr,118.16161
A36051,pas,Phos,17.724241
F51149,pas,Nitr,119.69577
A51149,pas,Nitr,119.69577
F51149,pas,Phos,17.954367
A51149,pas,Phos,17.954367
A42021,hyw,Nitr,157.8091
F42021,hyw,Nitr,157.8091
A42021,hyw,Phos,23.618826
F42021,hyw,Phos,23.618826
A42069,nhy,Nitr,160.34354
F42069,nhy,Nitr,160.34354
A42069,nhy,Phos,24.007387
F42069,nhy,Phos,24.007387
A51127,pas,Nitr,116.86765
A51127,pas,Phos,17.530146
A51111,hyw,Nitr,146.99818
A51111,hyw,Phos,21.969938
F51057,hyw,Nitr,148.67998
A51057,hyw,Nitr,148.67998
F51057,hyw,Phos,22.294703
A51057,hyw,Phos,22.294703
F24017,trp,Nitr,116.14553
A24017,trp,Nitr,116.14553
F24017,trp,Phos,17.421831
A24017,trp,Phos,17.421831
A42067,trp,Nitr,114.09158
A42067,trp,Phos,17.113737
B51015,hyw,Nitr,155.96375
C51015,hyw,Nitr,155.96375
F51015,hyw,Nitr,155.96375
A51015,hyw,Nitr,155.96375
B51015,hyw,Phos,23.330391
C51015,hyw,Phos,23.330391
F51015,hyw,Phos,23.330391
A51015,hyw,Phos,23.330391
A54037,lwm,Nitr,153.77882
F54037,lwm,Nitr,153.77882
A54037,lwm,Phos,22.745491
F54037,lwm,Phos,22.745491
A42127,hyw,Nitr,161.03575
A42127,hyw,Phos,24.112825
B42015,nhy,Nitr,160.38416
A42015,nhy,Nitr,160.38416
B42015,nhy,Phos,24.02013
A42015,nhy,Phos,24.02013
A54027,trp,Nitr,128.32079
F54027,trp,Nitr,128.32079
A54027,trp,Phos,19.248117
F54027,trp,Phos,19.248117
F51107,trp,Nitr,116.07629
A51107,trp,Nitr,116.07629
F51107,trp,Phos,17.411444
A51107,trp,Phos,17.411444
A42115,trp,Nitr,123.9015
F42115,trp,Nitr,123.9015
A42115,trp,Phos,18.585226
F42115,trp,Phos,18.585226
A42021,lwm,Nitr,121.37418
F42021,lwm,Nitr,121.37418
A42021,lwm,Phos,18.290844
F42021,lwm,Phos,18.290844
A51036,pas,Nitr,144.42052
A51036,pas,Phos,21.663076
A51033,hyw,Nitr,154.2233
F51033,hyw,Nitr,154.2233
A51033,hyw,Phos,23.051598
F51033,hyw,Phos,23.051598
A36025,pas,Nitr,132.40686
F36025,pas,Nitr,132.40686
A36025,pas,Phos,19.861029
F36025,pas,Phos,19.861029
A54023,nhy,Nitr,160.34708
B54023,nhy,Nitr,160.34708
F54023,nhy,Nitr,160.34708
A54023,nhy,Phos,24.038788
B54023,nhy,Phos,24.038788
F54023,nhy,Phos,24.038788
F42117,trp,Nitr,123.258
A42117,trp,Nitr,123.258
F42117,trp,Phos,18.488699
A42117,trp,Phos,18.488699
A54027,hyw,Nitr,160.35353
F54027,hyw,Nitr,160.35353
A54027,hyw,Phos,24.038725
F54027,hyw,Phos,24.038725
A42025,hyw,Nitr,160.29982
A42025,hyw,Phos,24.007246
B42015,pas,Nitr,119.40082
A42015,pas,Nitr,119.40082
B42015,pas,Phos,17.910122
A42015,pas,Phos,17.910122
A42127,lwm,Nitr,182.87877
A42127,lwm,Phos,27.18178
A42113,nal,Nitr,358.2674
A42113,nal,Phos,53.739929
A24019,pas,Nitr,133.60732
F24019,pas,Nitr,133.60732
A24019,pas,Phos,20.041098
F24019,pas,Phos,20.041098
A42023,hyw,Nitr,162.05711
A42023,hyw,Phos,24.268831
B51139,pas,Nitr,122.29005
A51139,pas,Nitr,122.29005
F51139,pas,Nitr,122.29005
B51139,pas,Phos,18.343506
A51139,pas,Phos,18.343506
F51139,pas,Phos,18.343506
B51015,lwm,Nitr,171.30367
C51015,lwm,Nitr,171.30367
F51015,lwm,Nitr,171.30367
A51015,lwm,Nitr,171.30367
B51015,lwm,Phos,25.903492
C51015,lwm,Phos,25.903492
F51015,lwm,Phos,25.903492
A51015,lwm,Phos,25.903492
A36051,trp,Nitr,118.16161
A36051,trp,Phos,17.724241
A51005,trp,Nitr,120.32504
F51005,trp,Nitr,120.32504
A51005,trp,Phos,18.048754
F51005,trp,Phos,18.048754
A54037,nho,Nitr,196.22302
F54037,nho,Nitr,196.22302
A54037,nho,Phos,29.624371
F54037,nho,Phos,29.624371
A51029,lwm,Nitr,142.3923
A51029,lwm,Phos,21.735701
A54023,pas,Nitr,139.57373
B54023,pas,Nitr,139.57373
F54023,pas,Nitr,139.57373
A54023,pas,Phos,20.93606
B54023,pas,Phos,20.93606
F54023,pas,Phos,20.93606
A51133,hyw,Nitr,157.41666
A51133,hyw,Phos,23.579882
F42117,pas,Nitr,123.258
A42117,pas,Nitr,123.258
F42117,pas,Phos,18.488701
A42117,pas,Phos,18.488701
A51031,trp,Nitr,116.31421
A51031,trp,Phos,17.447132
A42115,hyw,Nitr,161.85435
F42115,hyw,Nitr,161.85435
A42115,hyw,Phos,24.246107
F42115,hyw,Phos,24.246107
A42127,nho,Nitr,116.12824
A42127,nho,Phos,20.29763
B42015,trp,Nitr,119.40083
A42015,trp,Nitr,119.40083
B42015,trp,Phos,17.910124
A42015,trp,Phos,17.910124
A51036,trp,Nitr,144.42052
A51036,trp,Phos,21.663076
A54031,trp,Nitr,130.4664
B54031,trp,Nitr,130.4664
F54031,trp,Nitr,130.4664
A54031,trp,Phos,19.56996
B54031,trp,Phos,19.56996
F54031,trp,Phos,19.56996
A51109,pas,Nitr,112.89413
A51109,pas,Phos,16.93412
F24029,lwm,Nitr,149.79526
A24029,lwm,Nitr,149.79526
F24029,lwm,Phos,20.501547
A24029,lwm,Phos,20.501547
A51005,pas,Nitr,120.32503
F51005,pas,Nitr,120.32503
A51005,pas,Phos,18.048754
F51005,pas,Phos,18.048754
B51139,trp,Nitr,122.29005
A51139,trp,Nitr,122.29005
F51139,trp,Nitr,122.29005
B51139,trp,Phos,18.343508
A51139,trp,Phos,18.343508
F51139,trp,Phos,18.343508
F51121,hyw,Nitr,157.58952
A51121,hyw,Nitr,157.58952
F51121,hyw,Phos,23.57996
A51121,hyw,Phos,23.57996
A51131,pas,Nitr,115.48625
F51131,pas,Nitr,115.48625
A51131,pas,Phos,17.322937
F51131,pas,Phos,17.322937
F24017,hyw,Nitr,150.68976
A24017,hyw,Nitr,150.68976
F24017,hyw,Phos,22.555643
A24017,hyw,Phos,22.555643
A42113,nhy,Nitr,160.34898
A42113,nhy,Phos,24.014132
A42069,trp,Nitr,119.47337
F42069,trp,Nitr,119.47337
A36123,trp,Nitr,109.21802
A36123,trp,Phos,16.382704
A51115,lwm,Nitr,170.05034
A51115,lwm,Phos,20.37569
A51165,hyw,Nitr,149.62692
C51165,hyw,Nitr,149.62692
B51165,hyw,Nitr,149.62692
F51165,hyw,Nitr,149.62692
A51165,hyw,Phos,22.311924
C51165,hyw,Phos,22.311924
B51165,hyw,Phos,22.311924
F51165,hyw,Phos,22.311924
F42087,hyw,Nitr,153.5681
A42087,hyw,Nitr,153.5681
F42087,hyw,Phos,22.913429
A42087,hyw,Phos,22.913429
A51007,trp,Nitr,110.67381
A51007,trp,Phos,16.601072
A42065,hyw,Nitr,155.08218
A42065,hyw,Phos,23.201101
F51177,trp,Nitr,113.16989
A51177,trp,Nitr,113.16989
F51177,trp,Phos,16.975483
A51177,trp,Phos,16.975483
A51007,pas,Nitr,110.67381
A51007,pas,Phos,16.601072
F51137,lwm,Nitr,183.98883
A51137,lwm,Nitr,183.98883
F51137,lwm,Phos,26.773214
A51137,lwm,Phos,26.773214
A51011,hyw,Nitr,153.10565
F51011,hyw,Nitr,153.10565
A51011,hyw,Phos,22.889973
F51011,hyw,Phos,22.889973
A51153,pas,Nitr,112.09278
F51153,pas,Nitr,112.09278
A51153,pas,Phos,16.813917
F51153,pas,Phos,16.813917
F51125,hyw,Nitr,159.69588
A51125,hyw,Nitr,159.69588
B51125,hyw,Nitr,159.69588
F51125,hyw,Phos,23.921246
A51125,hyw,Phos,23.921246
B51125,hyw,Phos,23.921246
A42131,pas,Nitr,129.14763
B42131,pas,Nitr,129.14763
A42131,pas,Phos,19.372145
B42131,pas,Phos,19.372145
A54063,pas,Nitr,140.76286
F54063,pas,Nitr,140.76286
A54063,pas,Phos,21.114429
F54063,pas,Phos,21.114429
B54071,trp,Nitr,131.86949
F54071,trp,Nitr,131.86949
A54071,trp,Nitr,131.86949
B54071,trp,Phos,19.780424
F54071,trp,Phos,19.780424
A54071,trp,Phos,19.780424
A42083,hyw,Nitr,158.0952
A42083,hyw,Phos,23.674503
F42133,trp,Nitr,117.83669
A42133,trp,Nitr,117.83669
F42133,trp,Phos,17.675503
A42133,trp,Phos,17.675503
F24039,pas,Nitr,111.77881
A24039,pas,Nitr,111.77881
F24039,pas,Phos,16.766821
A24039,pas,Phos,16.766821
A51047,pas,Nitr,119.60972
A51047,pas,Phos,17.941458
A42065,lwm,Nitr,136.45831
A42065,lwm,Phos,20.479012
A36069,lwm,Nitr,132.96948
A36069,lwm,Phos,19.898024
A42071,pas,Nitr,114.23087
F42071,pas,Nitr,114.23087
