 A51027  1984  2005 wet and dry atdep
 seg,year or month,precip,wetno3,wetnh3,dryno3,drynh3,wetorn,wetorp,wetpo4
A51195,   7,   4.9736,   0.1194,   0.1683,   0.1846,   0.1028,   0.0451,   0.0417,   0.0141
A51195,   8,   4.0082,   0.1070,   0.1492,   0.1642,   0.0623,   0.0363,   0.0336,   0.0114
A51195,   9,   3.4243,   0.0828,   0.1078,   0.1884,   0.0471,   0.0310,   0.0287,   0.0097
A51195,  10,   2.6355,   0.0513,   0.0759,   0.2084,   0.0389,   0.0239,   0.0221,   0.0075
A51195,  11,   3.5811,   0.0746,   0.0886,   0.1957,   0.0468,   0.0325,   0.0300,   0.0101
A51195,  12,   3.7932,   0.0710,   0.0681,   0.2227,   0.0169,   0.0344,   0.0318,   0.0107
 A51195, -0.00911781937,  0.0049335584
 A10003  1984  2005 wet and dry atdep
 seg,year or month,precip,wetno3,wetnh3,dryno3,drynh3,wetorn,wetorp,wetpo4
A10003,1984,  45.0731,   0.7753,   2.5575,   2.8968,   3.0750,   0.5410,   0.5005,   0.1691
A10003,1985,  37.2690,   0.6983,   1.9856,   2.8968,   3.0750,   0.4096,   0.3789,   0.1280
A10003,1986,  41.1356,   0.9004,   2.3992,   2.8968,   3.0750,   0.4369,   0.4042,   0.1365
A10003,1987,  38.7024,   0.9661,   2.5864,   2.8968,   3.0750,   0.4333,   0.4008,   0.1354
A10003,1988,  39.5574,   0.8196,   1.9524,   2.8968,   3.0750,   0.4415,   0.4084,   0.1380
A10003,1989,  55.3455,   1.2663,   3.4375,   2.8968,   3.0750,   0.6547,   0.6056,   0.2046
A10003,1990,  46.9888,   1.1560,   3.0254,   2.8968,   3.0750,   0.5647,   0.5223,   0.1765
A10003,1991,  40.3986,   1.1019,   2.5987,   2.8968,   3.0750,   0.4461,   0.4126,   0.1394
A10003,1992,  39.4850,   1.0445,   2.3223,   2.8968,   3.0750,   0.4426,   0.4094,   0.1383
A10003,1993,  47.0538,   1.5036,   3.1817,   2.8968,   3.0750,   0.5292,   0.4895,   0.1654
A10003,1994,  46.9263,   1.4816,   3.3425,   2.8968,   3.0750,   0.5068,   0.4688,   0.1584
A10003,1995,  40.8779,   1.2053,   2.7895,   2.8968,   3.0750,   0.4411,   0.4080,   0.1378
A10003,1996,  58.6274,   1.8804,   3.9168,   2.8968,   3.0750,   0.6699,   0.6197,   0.2093
A10003,1997,  34.6877,   1.2557,   2.1412,   2.8968,   3.0750,   0.3775,   0.3491,   0.1180
A10003,1998,  37.0407,   1.4136,   2.5891,   2.8968,   3.0750,   0.4397,   0.4067,   0.1374
A10003,1999,  51.1548,   1.3296,   2.2901,   2.8968,   3.0750,   0.5378,   0.4974,   0.1680
A10003,2000,  47.5143,   1.3371,   2.1955,   2.8968,   3.0750,   0.5384,   0.4980,   0.1682
A10003,2001,  37.1451,   1.1986,   2.2855,   2.8968,   3.0750,   0.4364,   0.4037,   0.1364
A10003,2002,  43.6841,   1.2904,   2.5358,   2.8968,   3.0750,   0.4969,   0.4597,   0.1553
A10003,2003,  62.7587,   1.6945,   3.6660,   2.8968,   3.0750,   0.7177,   0.6639,   0.2243
A10003,2004,  56.8058,   1.7982,   3.8408,   2.8968,   3.0750,   0.6548,   0.6057,   0.2046
A10003,2005,  43.2489,   1.2616,   2.8363,   2.8968,   3.0750,   0.4848,   0.4484,   0.1515
A10003,   1,   3.4515,   0.0819,   0.1548,   0.1278,   0.0988,   0.0313,   0.0289,   0.0098
A10003,   2,   2.7496,   0.0759,   0.1318,   0.1210,   0.1041,   0.0249,   0.0231,   0.0078
A10003,   3,   4.3945,   0.1546,   0.2796,   0.1753,   0.1516,   0.0398,   0.0368,   0.0124
A10003,   4,   3.2891,   0.1243,   0.3472,   0.2541,   0.3495,   0.0596,   0.0552,   0.0186
A10003,   5,   4.0618,   0.1269,   0.3558,   0.3108,   0.3115,   0.0736,   0.0681,   0.0230
A10003,   6,   3.7513,   0.1007,   0.3208,   0.3544,   0.4761,   0.0680,   0.0629,   0.0213
A10003,   7,   4.9221,   0.1337,   0.3002,   0.3117,   0.5195,   0.0446,   0.0413,   0.0139
A10003,   8,   3.7214,   0.1009,   0.2338,   0.3735,   0.3422,   0.0337,   0.0312,   0.0105
A10003,   9,   4.6502,   0.1057,   0.1830,   0.3428,   0.2692,   0.0422,   0.0390,   0.0132
A10003,  10,   3.3087,   0.0752,   0.1695,   0.2660,   0.1985,   0.0300,   0.0277,   0.0094
A10003,  11,   3.3224,   0.0755,   0.1588,   0.1272,   0.1817,   0.0301,   0.0279,   0.0094
A10003,  12,   3.4446,   0.0892,   0.1137,   0.1323,   0.0721,   0.0312,   0.0289,   0.0098
 A10003, -0.0336935185, -0.00735439826
 A24015  1984  2005 wet and dry atdep
 seg,year or month,precip,wetno3,wetnh3,dryno3,drynh3,wetorn,wetorp,wetpo4
A24015,1984,  46.8041,   1.0356,   2.3184,   2.6493,   3.8137,   0.5552,   0.5136,   0.1735
A24015,1985,  38.7789,   0.8724,   1.7035,   2.6493,   3.8137,   0.4286,   0.3964,   0.1339
A24015,1986,  40.1636,   1.0849,   2.0125,   2.6493,   3.8137,   0.4228,   0.3911,   0.1321
A24015,1987,  39.4360,   1.1248,   2.0787,   2.6493,   3.8137,   0.4370,   0.4043,   0.1366
A24015,1988,  42.0900,   1.0467,   1.7953,   2.6493,   3.8137,   0.4822,   0.4460,   0.1507
A24015,1989,  53.6231,   1.4624,   2.8549,   2.6493,   3.8137,   0.6436,   0.5954,   0.2011
A24015,1990,  49.7530,   1.3471,   2.5470,   2.6493,   3.8137,   0.5914,   0.5471,   0.1848
A24015,1991,  36.7186,   1.1738,   1.9799,   2.6493,   3.8137,   0.3964,   0.3667,   0.1239
A24015,1992,  40.1014,   1.1899,   1.9559,   2.6493,   3.8137,   0.4464,   0.4129,   0.1395
A24015,1993,  47.1601,   1.6239,   2.5176,   2.6493,   3.8137,   0.5289,   0.4892,   0.1653
A24015,1994,  45.6240,   1.4864,   2.4532,   2.6493,   3.8137,   0.4925,   0.4556,   0.1539
A24015,1995,  41.1588,   1.3000,   2.2273,   2.6493,   3.8137,   0.4519,   0.4180,   0.1412
A24015,1996,  61.4749,   2.0571,   3.1574,   2.6493,   3.8137,   0.6948,   0.6427,   0.2171
A24015,1997,  35.4463,   1.3458,   1.6825,   2.6493,   3.8137,   0.3813,   0.3527,   0.1191
A24015,1998,  42.4468,   1.6071,   2.1564,   2.6493,   3.8137,   0.4997,   0.4622,   0.1561
A24015,1999,  52.4234,   1.5916,   2.0250,   2.6493,   3.8137,   0.5482,   0.5071,   0.1713
A24015,2000,  44.7990,   1.4934,   1.9585,   2.6493,   3.8137,   0.5112,   0.4729,   0.1597
A24015,2001,  38.3422,   1.3545,   2.0521,   2.6493,   3.8137,   0.4543,   0.4202,   0.1420
A24015,2002,  43.5796,   1.4073,   2.1036,   2.6493,   3.8137,   0.4832,   0.4469,   0.1510
A24015,2003,  65.0965,   1.8467,   3.2044,   2.6493,   3.8137,   0.7463,   0.6903,   0.2332
A24015,2004,  55.7186,   1.7843,   3.0445,   2.6493,   3.8137,   0.6505,   0.6017,   0.2033
A24015,2005,  46.0725,   1.3620,   2.3261,   2.6493,   3.8137,   0.5073,   0.4692,   0.1585
A24015,   1,   3.4920,   0.0922,   0.1380,   0.1326,   0.0908,   0.0317,   0.0293,   0.0099
A24015,   2,   2.7838,   0.0791,   0.1180,   0.1175,   0.1066,   0.0252,   0.0233,   0.0079
A24015,   3,   4.3643,   0.1622,   0.2229,   0.1619,   0.1766,   0.0396,   0.0366,   0.0124
A24015,   4,   3.2006,   0.1403,   0.2945,   0.2274,   0.4039,   0.0580,   0.0537,   0.0181
A24015,   5,   4.2821,   0.1407,   0.2987,   0.2754,   0.3819,   0.0776,   0.0718,   0.0243
A24015,   6,   3.6862,   0.1114,   0.2578,   0.3206,   0.5546,   0.0668,   0.0618,   0.0209
A24015,   7,   4.6442,   0.1315,   0.2084,   0.2765,   0.6535,   0.0421,   0.0389,   0.0132
A24015,   8,   3.8680,   0.1144,   0.1797,   0.3130,   0.5225,   0.0351,   0.0324,   0.0110
A24015,   9,   4.8135,   0.1387,   0.1623,   0.3117,   0.3786,   0.0436,   0.0404,   0.0136
A24015,  10,   3.5205,   0.0907,   0.1506,   0.2544,   0.2753,   0.0319,   0.0295,   0.0100
A24015,  11,   3.5835,   0.0876,   0.1481,   0.1202,   0.2078,   0.0325,   0.0300,   0.0102
A24015,  12,   3.5254,   0.1020,   0.1008,   0.1381,   0.0616,   0.0320,   0.0296,   0.0100
 A24015, -0.027985923, -0.000543440343
 A10001  1984  2005 wet and dry atdep
 seg,year or month,precip,wetno3,wetnh3,dryno3,drynh3,wetorn,wetorp,wetpo4
A10001,1984,  42.7902,   0.9145,   2.1229,   2.8448,   4.6027,   0.5095,   0.4713,   0.1592
A10001,1985,  42.3422,   0.9052,   1.9647,   2.8448,   4.6027,   0.4613,   0.4267,   0.1441
A10001,1986,  37.1091,   0.9018,   1.8833,   2.8448,   4.6027,   0.3865,   0.3575,   0.1208
A10001,1987,  36.6732,   1.0537,   2.0212,   2.8448,   4.6027,   0.4148,   0.3837,   0.1296
A10001,1988,  39.3004,   0.8695,   1.7192,   2.8448,   4.6027,   0.4368,   0.4041,   0.1365
A10001,1989,  59.1191,   1.5589,   3.2923,   2.8448,   4.6027,   0.7054,   0.6525,   0.2204
A10001,1990,  45.0205,   1.2446,   2.5871,   2.8448,   4.6027,   0.5376,   0.4973,   0.1680
A10001,1991,  40.9250,   1.2031,   2.2166,   2.8448,   4.6027,   0.4424,   0.4093,   0.1383
A10001,1992,  39.3280,   1.0548,   1.9008,   2.8448,   4.6027,   0.4294,   0.3972,   0.1342
A10001,1993,  42.4003,   1.4372,   2.3851,   2.8448,   4.6027,   0.4642,   0.4294,   0.1451
A10001,1994,  47.9319,   1.4986,   2.7460,   2.8448,   4.6027,   0.5166,   0.4779,   0.1614
A10001,1995,  41.1201,   1.2281,   2.3781,   2.8448,   4.6027,   0.4570,   0.4227,   0.1428
A10001,1996,  61.0620,   1.8950,   3.1176,   2.8448,   4.6027,   0.7249,   0.6706,   0.2265
A10001,1997,  41.6098,   1.3959,   1.8651,   2.8448,   4.6027,   0.4558,   0.4216,   0.1424
A10001,1998,  41.4040,   1.4930,   2.1390,   2.8448,   4.6027,   0.4806,   0.4445,   0.1502
A10001,1999,  46.8243,   1.1828,   1.6986,   2.8448,   4.6027,   0.4828,   0.4465,   0.1509
A10001,2000,  49.4094,   1.5724,   2.1856,   2.8448,   4.6027,   0.5610,   0.5189,   0.1753
A10001,2001,  40.7128,   1.3948,   2.3630,   2.8448,   4.6027,   0.4701,   0.4349,   0.1469
A10001,2002,  50.4301,   1.3910,   2.2426,   2.8448,   4.6027,   0.5571,   0.5154,   0.1741
A10001,2003,  60.5642,   1.7718,   3.0624,   2.8448,   4.6027,   0.6931,   0.6411,   0.2166
A10001,2004,  44.8066,   1.4861,   2.6177,   2.8448,   4.6027,   0.5180,   0.4791,   0.1619
A10001,2005,  48.0305,   1.4082,   2.6451,   2.8448,   4.6027,   0.5545,   0.5130,   0.1733
A10001,   1,   3.6347,   0.0755,   0.1212,   0.1446,   0.1024,   0.0329,   0.0305,   0.0103
A10001,   2,   3.0261,   0.0724,   0.1138,   0.1390,   0.1552,   0.0274,   0.0254,   0.0086
A10001,   3,   4.6141,   0.1743,   0.2303,   0.1851,   0.3029,   0.0418,   0.0387,   0.0131
A10001,   4,   3.3641,   0.1237,   0.2942,   0.2428,   0.6225,   0.0610,   0.0564,   0.0191
A10001,   5,   4.1384,   0.1357,   0.3009,   0.3073,   0.5449,   0.0750,   0.0694,   0.0234
A10001,   6,   3.5531,   0.1153,   0.2785,   0.3303,   0.6802,   0.0644,   0.0596,   0.0201
A10001,   7,   4.4506,   0.1211,   0.2537,   0.3064,   0.6673,   0.0403,   0.0373,   0.0126
A10001,   8,   4.4909,   0.1277,   0.2344,   0.3671,   0.5261,   0.0407,   0.0377,   0.0127
A10001,   9,   4.2531,   0.1323,   0.1520,   0.2930,   0.3636,   0.0386,   0.0357,   0.0120
A10001,  10,   3.2203,   0.0736,   0.1210,   0.2423,   0.2709,   0.0292,   0.0270,   0.0091
A10001,  11,   3.3583,   0.0729,   0.1318,   0.1155,   0.3210,   0.0304,   0.0282,   0.0095
A10001,  12,   3.3015,   0.0874,   0.0933,   0.1713,   0.0457,   0.0299,   0.0277,   0.0094
 A10001, -0.0269450024,  0.000254173676
 A10005  1984  2005 wet and dry atdep
 seg,year or month,precip,wetno3,wetnh3,dryno3,drynh3,wetorn,wetorp,wetpo4
A10005,1984,  45.1244,   0.9767,   2.0909,   2.7564,  10.3918,   0.5402,   0.4997,   0.1688
A10005,1985,  42.7691,   0.8981,   1.7261,   2.7564,  10.3918,   0.4596,   0.4251,   0.1436
A10005,1986,  35.9613,   0.9179,   1.8416,   2.7564,  10.3918,   0.3753,   0.3471,   0.1173
A10005,1987,  38.2882,   1.0212,   1.9068,   2.7564,  10.3918,   0.4239,   0.3921,   0.1325
A10005,1988,  37.8002,   0.8334,   1.5715,   2.7564,  10.3918,   0.4117,   0.3808,   0.1287
A10005,1989,  60.7859,   1.5559,   3.0153,   2.7564,  10.3918,   0.6893,   0.6376,   0.2154
A10005,1990,  43.1815,   1.1944,   2.4471,   2.7564,  10.3918,   0.5033,   0.4656,   0.1573
A10005,1991,  43.6921,   1.1992,   2.1023,   2.7564,  10.3918,   0.4683,   0.4332,   0.1464
A10005,1992,  44.5634,   1.1409,   1.9878,   2.7564,  10.3918,   0.4805,   0.4445,   0.1502
A10005,1993,  46.6145,   1.5595,   2.5762,   2.7564,  10.3918,   0.5212,   0.4821,   0.1629
A10005,1994,  48.5425,   1.4099,   2.4671,   2.7564,  10.3918,   0.5126,   0.4742,   0.1602
A10005,1995,  37.2768,   1.0514,   1.8673,   2.7564,  10.3918,   0.4366,   0.4039,   0.1364
A10005,1996,  60.3552,   1.8213,   2.8095,   2.7564,  10.3918,   0.6921,   0.6402,   0.2163
A10005,1997,  42.4257,   1.3117,   1.7673,   2.7564,  10.3918,   0.4597,   0.4252,   0.1436
A10005,1998,  43.1675,   1.3554,   1.8880,   2.7564,  10.3918,   0.4991,   0.4617,   0.1560
A10005,1999,  46.0404,   1.0957,   1.5724,   2.7564,  10.3918,   0.4748,   0.4392,   0.1484
A10005,2000,  47.6709,   1.4723,   2.0092,   2.7564,  10.3918,   0.5495,   0.5083,   0.1717
A10005,2001,  40.7424,   1.3171,   2.3510,   2.7564,  10.3918,   0.4640,   0.4292,   0.1450
A10005,2002,  49.2524,   1.3099,   2.0987,   2.7564,  10.3918,   0.5382,   0.4978,   0.1682
A10005,2003,  61.0318,   1.7421,   2.8714,   2.7564,  10.3918,   0.6834,   0.6322,   0.2136
A10005,2004,  46.6639,   1.3081,   2.3816,   2.7564,  10.3918,   0.5253,   0.4859,   0.1642
A10005,2005,  48.7712,   1.3491,   2.5147,   2.7564,  10.3918,   0.5711,   0.5283,   0.1785
A10005,   1,   3.8380,   0.0722,   0.1074,   0.1360,   0.3034,   0.0348,   0.0322,   0.0109
A10005,   2,   3.2377,   0.0726,   0.1052,   0.1273,   0.3946,   0.0293,   0.0271,   0.0092
A10005,   3,   4.6503,   0.1668,   0.2028,   0.1849,   0.5770,   0.0422,   0.0390,   0.0132
A10005,   4,   3.4445,   0.1110,   0.2579,   0.2288,   1.2160,   0.0624,   0.0578,   0.0195
A10005,   5,   3.8130,   0.1281,   0.2674,   0.3156,   1.0260,   0.0691,   0.0639,   0.0216
A10005,   6,   3.3632,   0.1187,   0.2629,   0.3582,   1.4066,   0.0610,   0.0564,   0.0191
A10005,   7,   4.7053,   0.1217,   0.2749,   0.3130,   1.6977,   0.0427,   0.0395,   0.0133
A10005,   8,   4.9387,   0.1402,   0.2319,   0.3795,   1.2561,   0.0448,   0.0414,   0.0140
A10005,   9,   3.9351,   0.1196,   0.1386,   0.2663,   0.8921,   0.0357,   0.0330,   0.0111
A10005,  10,   3.2590,   0.0701,   0.1090,   0.2039,   0.7261,   0.0295,   0.0273,   0.0092
A10005,  11,   3.4262,   0.0709,   0.1293,   0.0852,   0.8320,   0.0311,   0.0287,   0.0097
A10005,  12,   3.3309,   0.0735,   0.0884,   0.1577,   0.0641,   0.0302,   0.0279,   0.0094
 A10005, -0.0233816858,  0.00448338687
 A24047  1984  2005 wet and dry atdep
 seg,year or month,precip,wetno3,wetnh3,dryno3,drynh3,wetorn,wetorp,wetpo4
A24047,1984,  47.2154,   0.9490,   1.6370,   2.7276,   6.3551,   0.5630,   0.5207,   0.1759
A24047,1985,  45.4411,   0.8968,   1.3752,   2.7276,   6.3551,   0.4890,   0.4523,   0.1528
