TABLE->,PSTEMP-PARM1,PSTEMP-PARM1,PSTEMP-PARM1,PSTEMP-PARM1,PSTEMP-PARM2,PSTEMP-PARM2,PSTEMP-PARM2,PSTEMP-PARM2,PSTEMP-PARM2,PSTEMP-PARM2,MON-ASLT,MON-ASLT,MON-ASLT,MON-ASLT,MON-ASLT,MON-ASLT,MON-ASLT,MON-ASLT,MON-ASLT,MON-ASLT,MON-ASLT,MON-ASLT,MON-BSLT,MON-BSLT,MON-BSLT,MON-BSLT,MON-BSLT,MON-BSLT,MON-BSLT,MON-BSLT,MON-BSLT,MON-BSLT,MON-BSLT,MON-BSLT,MON-ULTP1,MON-ULTP1,MON-ULTP1,MON-ULTP1,MON-ULTP1,MON-ULTP1,MON-ULTP1,MON-ULTP1,MON-ULTP1,MON-ULTP1,MON-ULTP1,MON-ULTP1,MON-ULTP2,MON-ULTP2,MON-ULTP2,MON-ULTP2,MON-ULTP2,MON-ULTP2,MON-ULTP2,MON-ULTP2,MON-ULTP2,MON-ULTP2,MON-ULTP2,MON-ULTP2,MON-LGTP1,MON-LGTP1,MON-LGTP1,MON-LGTP1,MON-LGTP1,MON-LGTP1,MON-LGTP1,MON-LGTP1,MON-LGTP1,MON-LGTP1,MON-LGTP1,MON-LGTP1,PSTEMP-TEMPS,PSTEMP-TEMPS,PSTEMP-TEMPS,PSTEMP-TEMPS
A24013,1,1,1,1,0,1,0,0,0,0,31.1,32.77,36.61,42.06,46.94,51.42,53.45,52.37,48.5,42.69,37.78,32.78,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,30.38,33.39,40.29,50.11,58.89,66.96,70.61,68.66,61.71,51.24,42.4,33.4,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,46.51,45.41,46.57,49.09,52.79,56.03,59.01,60.41,59.74,57.2,53.27,49.9,32,32,32,50
A24015,1,1,1,1,0,1,0,0,0,0,31.85,33.46,37.24,42.6,47.62,52.25,54.37,53.44,49.6,43.65,38.61,33.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,31.73,34.63,41.44,51.08,60.11,68.44,72.26,70.59,63.68,52.98,43.9,35.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,46.51,45.41,46.57,49.09,52.79,56.03,59.01,60.41,59.74,57.2,53.27,49.9,32,32,32,50
A24017,1,1,1,1,0,1,0,0,0,0,33.63,35.43,39.06,44.37,48.71,53.08,55.21,54.21,50.67,44.89,40.21,35.29,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,34.94,38.18,44.7,54.26,62.08,69.94,73.77,71.99,65.6,55.21,46.77,37.92,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,46.51,45.41,46.57,49.09,52.79,56.03,59.01,60.41,59.74,57.2,53.27,49.9,32,32,32,50
A24019,1,1,1,1,0,1,0,0,0,0,34.1,35.61,39.23,44.32,48.88,53.36,55.58,54.45,51.02,45.38,40.62,35.77,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,35.77,38.5,45.01,54.17,62.38,70.45,74.45,72.41,66.24,56.08,47.52,38.79,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,46.51,45.41,46.57,49.09,52.79,56.03,59.01,60.41,59.74,57.2,53.27,49.9,32,32,32,50
A24021,1,1,1,1,0,1,0,0,0,0,32.36,34.07,37.84,43.76,48.4,52.88,55.09,54.05,50.4,44.61,39.43,34.46,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,32.64,35.73,42.51,53.16,61.53,69.59,73.56,71.69,65.11,54.71,45.37,36.42,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,46.51,45.41,46.57,49.09,52.79,56.03,59.01,60.41,59.74,57.2,53.27,49.9,32,32,32,50
A24023,1,1,1,1,0,1,0,0,0,0,28.71,30.29,33.9,39.61,44.12,48.25,50.16,49.34,45.77,40.41,35.56,30.49,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,26.07,28.92,35.41,45.69,53.82,61.24,64.69,63.21,56.78,47.13,38.41,29.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,46.51,45.41,46.57,49.09,52.79,56.03,59.01,60.41,59.74,57.2,53.27,49.9,32,32,32,50
A24025,1,1,1,1,0,1,0,0,0,0,31.73,33.44,37.2,42.61,47.64,52.23,54.36,53.39,49.53,43.58,38.44,33.51,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,31.52,34.59,41.36,51.09,60.15,68.41,72.24,70.49,63.56,52.84,43.6,34.72,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,46.51,45.41,46.57,49.09,52.79,56.03,59.01,60.41,59.74,57.2,53.27,49.9,32,32,32,50
A24027,1,1,1,1,0,1,0,0,0,0,31.91,33.57,37.34,42.77,47.6,52.13,54.29,53.15,49.31,43.4,38.47,33.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,31.84,34.83,41.61,51.38,60.08,68.24,72.12,70.07,63.15,52.52,43.65,34.88,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,46.51,45.41,46.57,49.09,52.79,56.03,59.01,60.41,59.74,57.2,53.27,49.9,32,32,32,50
A24029,1,1,1,1,0,1,0,0,0,0,32.83,34.5,38.18,43.52,48.31,52.97,55.17,54.17,50.54,44.64,39.6,34.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,33.5,36.5,43.12,52.74,61.36,69.75,73.7,71.9,65.37,54.76,45.68,36.85,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,46.51,45.41,46.57,49.09,52.79,56.03,59.01,60.41,59.74,57.2,53.27,49.9,32,32,32,50
A24031,1,1,1,1,0,1,0,0,0,0,32,33.74,37.49,42.98,47.69,52.22,54.38,53.33,49.43,43.47,38.51,33.71,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,32,35.12,41.88,51.77,60.24,68.39,72.28,70.39,63.38,52.65,43.71,35.07,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,46.51,45.41,46.57,49.09,52.79,56.03,59.01,60.41,59.74,57.2,53.27,49.9,32,32,32,50
A24033,1,1,1,1,0,1,0,0,0,0,32.69,34.48,38.17,43.39,48.12,52.66,54.85,53.81,50.05,44.07,39.27,34.42,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,33.24,36.46,43.11,52.5,61.01,69.2,73.14,71.26,64.49,53.73,45.09,36.36,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,46.51,45.41,46.57,49.09,52.79,56.03,59.01,60.41,59.74,57.2,53.27,49.9,32,32,32,50
A24035,1,1,1,1,0,1,0,0,0,0,33.11,34.73,38.38,43.63,48.4,53.03,55.2,54.21,50.64,44.83,39.86,34.95,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,34,36.91,43.48,52.94,61.53,69.86,73.76,71.97,65.55,55.09,46.14,37.31,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,46.51,45.41,46.57,49.09,52.79,56.03,59.01,60.41,59.74,57.2,53.27,49.9,32,32,32,50
A24037,1,1,1,1,0,1,0,0,0,0,34.15,35.75,39.33,44.52,48.96,53.29,55.39,54.33,50.94,45.25,40.69,35.76,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,35.87,38.75,45.2,54.53,62.53,70.32,74.09,72.2,66.08,55.84,47.63,38.77,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,46.51,45.41,46.57,49.09,52.79,56.03,59.01,60.41,59.74,57.2,53.27,49.9,32,32,32,50
A24039,1,1,1,1,0,1,0,0,0,0,34.5,35.88,39.31,44.26,48.81,53.34,55.61,54.46,51.22,45.58,40.91,36.13,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,36.5,38.98,45.16,54.06,62.26,70.42,74.51,72.44,66.6,56.44,48.03,39.44,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,46.51,45.41,46.57,49.09,52.79,56.03,59.01,60.41,59.74,57.2,53.27,49.9,32,32,32,50
A24041,1,1,1,1,0,1,0,0,0,0,33.5,35.02,38.69,43.86,48.54,53.09,55.28,54.25,50.76,45.03,40.13,35.27,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,34.7,37.44,44.04,53.35,61.76,69.97,73.9,72.05,65.76,55.46,46.63,37.88,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,46.51,45.41,46.57,49.09,52.79,56.03,59.01,60.41,59.74,57.2,53.27,49.9,32,32,32,50
A24043,1,1,1,1,0,1,0,0,0,0,31.31,33.04,36.81,42.54,47.25,51.72,53.78,52.74,48.83,43.01,38,33.03,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,30.76,33.88,40.66,50.98,59.45,67.5,71.2,69.33,62.3,51.82,42.8,33.85,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,46.51,45.41,46.57,49.09,52.79,56.03,59.01,60.41,59.74,57.2,53.27,49.9,32,32,32,50
A24045,1,1,1,1,0,1,0,0,0,0,34.11,35.51,39.02,43.93,48.49,53.02,55.27,54.14,50.78,45.1,40.42,35.69,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,35.8,38.32,44.64,53.47,61.68,69.84,73.89,71.85,65.81,55.59,47.16,38.63,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,46.51,45.41,46.57,49.09,52.79,56.03,59.01,60.41,59.74,57.2,53.27,49.9,32,32,32,50
A24047,1,1,1,1,0,1,0,0,0,0,34.06,35.29,38.51,43.23,47.79,52.36,54.66,53.78,50.63,45.01,40.34,35.65,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,35.7,37.93,43.73,52.22,60.41,68.65,72.8,71.2,65.53,55.42,47.01,38.57,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,46.51,45.41,46.57,49.09,52.79,56.03,59.01,60.41,59.74,57.2,53.27,49.9,32,32,32,50
A24510,1,1,1,1,0,1,0,0,0,0,32.9,34.49,38.23,43.86,48.68,53.33,55.56,54.44,50.8,44.79,39.59,34.76,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,33.62,36.47,43.21,53.35,62.02,70.39,74.41,72.39,65.83,55.02,45.66,36.97,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,46.51,45.41,46.57,49.09,52.79,56.03,59.01,60.41,59.74,57.2,53.27,49.9,32,32,32,50
A36003,1,1,1,1,0,1,0,0,0,0,26.31,27.3,31.13,37.35,42.99,47.32,49.27,48.27,44.51,38.99,34.03,28.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,21.76,23.55,30.44,41.63,51.78,59.58,63.08,61.28,54.52,44.58,35.66,25.89,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,46.51,45.41,46.57,49.09,52.79,56.03,59.01,60.41,59.74,57.2,53.27,49.9,32,32,32,50
A36007,1,1,1,1,0,1,0,0,0,0,26.92,28.16,32.29,38.57,44.17,48.68,50.65,49.92,45.82,40.05,34.83,29.44,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,22.86,25.08,32.52,43.82,53.91,62.03,65.58,64.26,56.87,46.48,37.1,27.39,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,46.51,45.41,46.57,49.09,52.79,56.03,59.01,60.41,59.74,57.2,53.27,49.9,32,32,32,50
A36015,1,1,1,1,0,1,0,0,0,0,26.99,28.17,32,38.27,44.08,48.52,50.5,49.71,45.63,39.8,34.71,29.39,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,22.97,25.1,32,43.29,53.74,61.73,65.29,63.88,56.54,46.04,36.88,27.29,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,46.51,45.41,46.57,49.09,52.79,56.03,59.01,60.41,59.74,57.2,53.27,49.9,32,32,32,50
A36017,1,1,1,1,0,1,0,0,0,0,26.32,27.47,31.67,38.14,43.86,48.26,50.17,49.45,45.41,39.65,34.47,28.94,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,21.77,23.84,31.4,43.05,53.35,61.26,64.7,63.42,56.14,45.77,36.44,26.49,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,46.51,45.41,46.57,49.09,52.79,56.03,59.01,60.41,59.74,57.2,53.27,49.9,32,32,32,50
A36023,1,1,1,1,0,1,0,0,0,0,26.33,27.36,31.36,37.81,43.69,48.23,50.23,49.47,45.35,39.64,34.48,28.91,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,21.8,23.65,30.85,42.46,53.04,61.21,64.81,63.45,56.04,45.75,36.46,26.44,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,46.51,45.41,46.57,49.09,52.79,56.03,59.01,60.41,59.74,57.2,53.27,49.9,32,32,32,50
A36025,1,1,1,1,0,1,0,0,0,0,26.79,28.07,32.27,38.66,44.05,48.67,50.67,49.99,45.93,40.06,34.97,29.58,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,22.62,24.93,32.49,43.98,53.7,62.01,65.6,64.38,57.07,46.51,37.34,27.64,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,46.51,45.41,46.57,49.09,52.79,56.03,59.01,60.41,59.74,57.2,53.27,49.9,32,32,32,50
A36043,1,1,1,1,0,1,0,0,0,0,25.41,26.58,30.77,37.44,43.41,47.8,49.86,49.17,45.04,39.31,34.02,28.19,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,20.14,22.24,29.79,41.79,52.54,60.45,64.15,62.91,55.47,45.16,35.64,25.13,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,46.51,45.41,46.57,49.09,52.79,56.03,59.01,60.41,59.74,57.2,53.27,49.9,32,32,32,50
A36051,1,1,1,1,0,1,0,0,0,0,26.15,27.05,30.8,37.18,43.02,47.48,49.41,48.58,44.76,39.18,34.01,28.54,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,21.47,23.09,29.84,41.33,51.83,59.87,63.34,61.84,54.97,44.93,35.61,25.76,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,46.51,45.41,46.57,49.09,52.79,56.03,59.01,60.41,59.74,57.2,53.27,49.9,32,32,32,50
A36053,1,1,1,1,0,1,0,0,0,0,25.59,26.63,30.81,37.4,43.31,47.71,49.62,48.91,44.9,39.16,34,28.29,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,20.47,22.33,29.85,41.72,52.35,60.28,63.72,62.44,55.21,44.89,35.59,25.32,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,46.51,45.41,46.57,49.09,52.79,56.03,59.01,60.41,59.74,57.2,53.27,49.9,32,32,32,50
A36065,1,1,1,1,0,1,0,0,0,0,25.41,26.57,30.77,37.44,43.48,47.78,49.74,48.99,44.9,39.23,33.99,28.15,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,20.14,22.23,29.79,41.8,52.66,60.41,63.92,62.58,55.21,45.01,35.58,25.07,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,46.51,45.41,46.57,49.09,52.79,56.03,59.01,60.41,59.74,57.2,53.27,49.9,32,32,32,50
A36067,1,1,1,1,0,1,0,0,0,0,26.05,27.06,31.09,37.61,43.52,48.07,50.09,49.34,45.25,39.52,34.33,28.69,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,21.29,23.11,30.37,42.1,52.73,60.92,64.56,63.21,55.85,45.53,36.2,26.03,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,46.51,45.41,46.57,49.09,52.79,56.03,59.01,60.41,59.74,57.2,53.27,49.9,32,32,32,50
A36069,1,1,1,1,0,1,0,0,0,0,26.44,27.39,31.16,37.53,43.31,47.85,49.8,48.96,45.11,39.49,34.3,28.87,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,21.99,23.7,30.49,41.96,52.36,60.53,64.04,62.53,55.61,45.49,36.13,26.36,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,46.51,45.41,46.57,49.09,52.79,56.03,59.01,60.41,59.74,57.2,53.27,49.9,32,32,32,50
A36077,1,1,1,1,0,1,0,0,0,0,26.77,27.96,32.18,38.69,44.24,48.94,50.96,50.26,46.17,40.27,35.07,29.63,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,22.59,24.73,32.33,44.05,54.02,62.5,66.13,64.87,57.51,46.89,37.53,27.73,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,46.51,45.41,46.57,49.09,52.79,56.03,59.01,60.41,59.74,57.2,53.27,49.9,32,32,32,50
A36095,1,1,1,1,0,1,0,0,0,0,26.49,27.78,31.97,38.48,44.07,48.59,50.62,49.88,45.79,40.04,34.8,29.3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,22.09,24.4,31.94,43.66,53.72,61.87,65.52,64.18,56.83,46.47,37.05,27.14,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,46.51,45.41,46.57,49.09,52.79,56.03,59.01,60.41,59.74,57.2,53.27,49.9,32,32,32,50
A36097,1,1,1,1,0,1,0,0,0,0,26.6,27.63,31.39,37.71,43.54,47.95,49.92,49.16,45.16,39.42,34.35,28.95,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,22.28,24.13,30.9,42.28,52.77,60.71,64.25,62.89,55.69,45.35,36.24,26.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,46.51,45.41,46.57,49.09,52.79,56.03,59.01,60.41,59.74,57.2,53.27,49.9,32,32,32,50
A36101,1,1,1,1,0,1,0,0,0,0,26.6,27.73,31.49,37.74,43.46,47.85,49.8,48.96,45.03,39.39,34.33,28.93,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,22.29,24.31,31.07,42.34,52.62,60.53,64.04,62.52,55.46,45.31,36.19,26.47,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,46.51,45.41,46.57,49.09,52.79,56.03,59.01,60.41,59.74,57.2,53.27,49.9,32,32,32,50
A36107,1,1,1,1,0,1,0,0,0,0,27.18,28.32,32.27,38.56,44.29,48.85,50.85,50.07,45.92,40.13,35,29.67,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,23.32,25.38,32.48,43.8,54.13,62.33,65.93,64.52,57.05,46.63,37.41,27.8,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,46.51,45.41,46.57,49.09,52.79,56.03,59.01,60.41,59.74,57.2,53.27,49.9,32,32,32,50
