lsegmt,NO3,NH3,LON,RON,PO4,mNH3,mNO3,mLON,mRON,mPO4
A36095,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A36097,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A36101,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A36107,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A36109,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A36123,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A37001,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A37005,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A37009,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A37033,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A37067,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A37077,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A37081,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A37131,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A37135,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A37145,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A37157,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A37169,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A37171,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A37181,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A37185,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A37189,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A42001,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A42009,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A42011,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A42013,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A42015,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A42021,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A42023,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A42025,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A42027,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A42029,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A42033,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A42035,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A42037,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A42041,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A42043,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A42047,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A42055,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A42057,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A42061,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A42063,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A42065,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A42067,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A42069,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A42071,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A42075,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A42079,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A42081,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A42083,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A42087,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A42093,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A42097,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A42099,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A42105,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A42107,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A42109,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A42111,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A42113,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A42115,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A42117,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A42119,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A42127,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A42131,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A42133,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A47091,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A47163,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51001,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51003,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51005,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51007,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51009,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51011,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51013,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51015,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51017,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51019,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51021,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51023,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51025,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51027,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51029,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51031,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51033,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51035,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51036,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51037,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51041,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51043,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51045,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51047,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51049,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51051,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51053,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51057,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51059,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51061,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51063,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51065,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51067,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51069,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51071,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51073,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51075,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51077,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51079,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51081,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51083,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51085,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51087,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51089,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51091,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51093,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51095,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51097,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51099,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51101,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51103,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51105,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51107,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51109,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51111,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51113,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51115,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51117,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51119,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51121,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51125,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51127,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51131,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51133,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51135,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51137,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51139,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51141,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51143,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51145,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51147,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51149,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51153,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51155,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51157,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51159,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51161,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51163,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51165,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51167,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51169,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51171,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51173,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51175,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51177,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51179,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51181,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51183,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51185,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51187,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51191,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51193,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51195,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51197,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51199,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51510,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51515,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51520,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51530,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51540,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51550,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51570,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51580,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51590,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51595,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51600,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51610,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51620,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51630,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51640,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51650,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51660,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51670,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51678,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51680,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51683,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51685,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51690,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51700,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51710,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51720,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51730,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51735,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51740,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51750,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51760,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51770,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51775,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51790,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51800,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51810,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51820,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51830,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A51840,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A54003,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A54023,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A54027,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A54031,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A54037,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A54057,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A54063,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A54065,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A54071,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A54077,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A54093,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
B24001,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
B24021,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
B37005,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
B37009,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
B42001,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
B42009,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
B42015,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
B42027,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
B42035,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
B42041,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
B42043,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
B42055,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
B42079,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
B42081,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
B42119,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
B42131,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
B51003,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
B51009,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
B51015,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
