1996,12, 2,10,30, 0.27710E+01,-,PAT0285   
1997, 1,21, 9,55, 0.41920E+01,-,PAT0285   
1997, 2,19,11,20, 0.35390E+01,-,PAT0285   
1997, 3,10, 8,48, 0.31830E+01,-,PAT0285   
1997, 4, 7, 9,50, 0.34720E+01,-,PAT0285   
1997, 6, 3, 9,50, 0.30650E+01,-,PAT0285   
1997, 7, 8, 9,47, 0.28040E+01,-,PAT0285   
1997, 8, 5, 9,40, 0.25400E+01,-,PAT0285   
1997, 9,15, 9,35, 0.30600E+01,-,PAT0285   
1997,10, 7,10, 0, 0.25500E+01,-,PAT0285   
1997,11, 4, 9, 0, 0.24600E+01,-,PAT0285   
1997,12,16,10, 0, 0.31430E+01,-,PAT0285   
1998, 1,13,10,45, 0.30870E+01,-,PAT0285   
1998, 2,23,10,45, 0.28880E+01,-,PAT0285   
1998, 3,16, 9,20, 0.36300E+01,-,PAT0285   
1998, 4,14,10, 5, 0.27280E+01,-,PAT0285   
1998, 5,12, 9,55, 0.27240E+01,-,PAT0285   
1998, 6, 9,11,28, 0.32460E+01,-,PAT0285   
1998, 7,14, 8,30, 0.32590E+01,-,PAT0285   
1998, 8,11,10,45, 0.32200E+01,-,PAT0285   
1998, 9,22,10,15, 0.21330E+01,-,PAT0285   
1998,11, 4, 9,28, 0.19630E+01,-,PAT0285   
1998,12, 1,10,10, 0.25940E+01,-,PAT0285   
1999, 2, 2,10,24, 0.25180E+01,-,PAT0285   
1999, 3, 9, 9,55, 0.26160E+01,-,PAT0285   
1999, 5, 5, 9, 8, 0.27640E+01,-,PAT0285   
1999, 6,16,10, 5, 0.21150E+01,-,PAT0285   
1999, 7,12, 9,40, 0.13910E+01,-,PAT0285   
1999, 8,25, 9, 5, 0.16770E+01,-,PAT0285   
1999, 9,15, 9,55, 0.18200E+01,-,PAT0285   
1999,10,12, 8,40, 0.20610E+01,-,PAT0285   
1999,11,16, 9, 0, 0.24060E+01,-,PAT0285   
1999,12,14, 9,10, 0.26290E+01,-,PAT0285   
2000, 1,11, 8,30, 0.31430E+01,-,PAT0285   
2000, 2, 8,10, 0, 0.33500E+01,-,PAT0285   
2000, 3, 6, 9, 9, 0.29390E+01,-,PAT0285   
2000, 4, 5, 9,10, 0.23260E+01,-,PAT0285   
2000, 5, 3, 8,55, 0.26920E+01,-,PAT0285   
2000, 6, 7, 9, 3, 0.28390E+01,-,PAT0285   
2000, 8,14, 8,50, 0.24850E+01,-,PAT0285   
2000, 9, 6,11,10, 0.26730E+01,-,PAT0285   
2000,10, 4,11, 5, 0.26720E+01,-,PAT0285   
2000,11, 1, 9,25, 0.20750E+01,-,PAT0285   
2000,12, 5, 9,23, 0.23550E+01,-,PAT0285   
2001, 1,23,11,18, 0.27600E+01,-,PAT0285   
2001, 2,20, 8,50, 0.30600E+01,-,PAT0285   
2001, 3,26, 8,42, 0.27100E+01,-,PAT0285   
