lseg, evap fac ***
 F51820,  1.01855981
 F51830,  0.75
 F54003,  0.75
 F54023,  1.12676573
 F54027,  1.20468175
 F54031,  1.18963277
 F54037,  1.1295408
 F54057,  0.75
 F54063,  1.03112328
 F54065,  0.75
 F54071,  1.13983679
end,
