 seg ,TOTN,TOTP
SL2_2200_2350,    1.2784,    0.9491
SL3_2350_2470,    1.2784,    0.9491
SL3_2470_2420,    1.2784,    0.9491
SL3_2420_2700,    1.2784,    0.9491
SL0_2831_2830,    1.1504,    1.0803
SL1_2770_2730,    1.1504,    1.0803
SL1_2830_2760,    1.1504,    1.0803
SL1_2760_2730,    1.1504,    1.0803
SL3_2730_2550,    1.1504,    1.0803
SL3_2290_2260,    1.0013,    1.1328
SL0_2180_2220,    1.2461,    0.9933
SL1_2000_2090,    1.2461,    0.9933
SL0_2220_2140,    1.2461,    0.9933
SL2_1850_1990,    0.9823,    0.7952
SL2_1990_2070,    1.2461,    0.9933
SL2_2070_2090,    1.2461,    0.9933
SL4_2090_2100,    1.2461,    0.9933
SL4_2100_2140,    1.2461,    0.9933
SL4_2140_2240,    1.2461,    0.9933
 seg ,TOTN,TOTP
SU1_1630_1610,    1.3924,    0.9547
SU2_1550_1620,    1.3924,    0.9547
SU2_1200_1310,    1.3924,    0.9547
SU1_1480_1500,    1.3924,    0.9547
SU2_1210_1310,    1.3924,    0.9547
SU2_0670_0810,    1.3924,    1.8224
SU2_1290_1500,    1.3924,    0.9547
SU3_1310_1280,    1.3924,    0.9547
SU3_1280_1590,    1.3924,    0.9547
SU3_1500_1420,    1.3924,    0.9547
SU2_1020_0980,    1.3924,    0.9547
SU3_0810_0970,    1.3924,    1.8224
SU1_0660_0710,    1.3924,    1.0372
SU2_0990_0950,    1.3924,    0.9547
SU3_0970_1120,    1.3924,    1.8224
SU2_0780_0710,    1.3924,    1.0372
SU2_0760_0960,    1.3924,    0.9547
SU2_0700_0860,    1.3924,    0.9547
SU3_0710_0910,    1.3924,    1.0372
SU3_0910_1010,    1.3924,    0.9547
SU1_0940_0900,    1.3924,    0.9547
SU2_0800_0850,    1.1107,    0.9547
SU2_0890_0900,    1.3924,    0.9547
SU2_0680_0610,    1.1107,    0.9547
SU2_0450_0720,    1.1107,    0.9547
SU2_0900_0870,    1.3924,    0.9547
SU3_0870_0730,    1.3924,    0.9547
SU3_0370_0490,    1.1107,    0.9547
SU2_0470_0590,    1.1107,    0.9547
SU2_0440_0550,    1.1107,    0.9547
SU2_0640_0630,    1.1107,    0.9547
SU3_0490_0530,    1.1107,    0.9547
SU1_0330_0560,    1.1107,    0.9547
SU1_0390_0560,    1.1107,    0.9547
SU1_0820_0740,    1.1107,    0.9547
SU2_0510_0570,    1.1107,    0.9547
SU2_0110_0240,    1.1107,    0.9547
SU1_0410_0480,    1.1107,    0.9547
SU2_0560_0590,    1.1107,    0.9547
SU3_0590_0540,    1.1107,    0.9547
SU2_0620_0580,    1.1107,    0.9547
SU1_0840_0831,    1.1107,    0.9547
SU2_0740_0741,    1.1107,    0.9547
SU2_0280_0430,    1.1107,    0.9547
SU2_0120_0260,    1.1107,    0.9547
SU2_0360_0460,    1.1107,    0.9547
SU3_0240_0350,    1.1107,    0.9547
SU2_0570_0580,    1.1107,    0.9547
SU4_0580_0630,    1.1107,    0.9547
SU2_0920_0830,    1.1107,    0.9547
SU2_0741_0690,    1.1107,    0.9547
SU1_0200_0270,    1.1107,    0.9547
SU1_0050_0090,    1.1107,    0.9547
