River,land,flofor,flohvf,flopas,flours,floafo,flonpa,flotrp,floalf,flohyw,flohyo,flonhy,flonal,flohom,flonho,flohwm,flonhi,flolwm,flonlo,flopul,flopuh,floext,flobar,floiml,floimh,flocss,tn for,tn hvf,tn pas,tn urs,tn afo,tn npa,tn trp,tn alf,tn hyw,tn hyo,tn nhy,tn nal,tn hom,tn nho,tn hwm,tn nhi,tn lwm,tn nlo,tn pul,tn puh,tn ext,tn bar,tn iml,tn imh,tn css,tp for,tp hvf,tp pas,tp urs,tp afo,tp npa,tp trp,tp alf,tp hyw,tp hyo,tp nhy,tp nal,tp hom,tp nho,tp hwm,tp nhi,tp lwm,tp nlo,tp pul,tp puh,tp ext,tp bar,tp iml,tp imh,tp css,sedfor,sedhvf,sedpas,sedurs,sedafo,sednpa,sedtrp,sedalf,sedhyw,sedhyo,sednhy,sednal,sedhom,sednho,sedhwm,sednhi,sedlwm,sednlo,sedpul,sedpuh,sedext,sedbar,sediml,sedimh,sedcss
BS3_8580_8440,A51195,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.000,0.082,0.082,0.085,0.086,0.086,0.085,0.085,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.087,0.087,0.084,0.085,0.087,0.087,0.000
BS4_8060_0000,A51027,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.000,0.188,0.188,0.163,0.157,0.157,0.163,0.163,0.157,0.157,0.157,0.157,0.157,0.157,0.157,0.157,0.157,0.157,0.157,0.163,0.163,0.144,0.163,0.163,0.163,0.000
BS4_8440_8441,A51027,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.000,0.089,0.089,0.090,0.085,0.085,0.090,0.090,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.094,0.094,0.091,0.090,0.094,0.094,0.000
BS4_8440_8441,A51051,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.000,0.161,0.161,0.178,0.173,0.173,0.178,0.178,0.173,0.173,0.173,0.173,0.173,0.173,0.173,0.173,0.173,0.173,0.173,0.208,0.208,0.169,0.178,0.208,0.208,0.000
BS4_8540_8441,A51051,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.000,0.216,0.216,0.219,0.220,0.220,0.219,0.219,0.220,0.220,0.220,0.220,0.220,0.220,0.220,0.220,0.220,0.220,0.220,0.191,0.191,0.251,0.219,0.191,0.191,0.000
BS4_8540_8441,A51195,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.000,0.177,0.177,0.189,0.204,0.204,0.189,0.189,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.182,0.182,0.191,0.189,0.182,0.182,0.000
DE0_2590_0000,A10003,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.000,0.650,0.650,0.650,0.650,0.650,0.650,0.650,0.650,0.650,0.650,0.650,0.650,0.650,0.650,0.650,0.650,0.650,0.650,0.650,0.650,0.650,0.650,0.650,0.650,0.000,0.176,0.176,0.169,0.151,0.151,0.169,0.169,0.151,0.151,0.151,0.151,0.151,0.151,0.151,0.151,0.151,0.151,0.151,0.188,0.188,0.213,0.188,0.188,0.188,0.000
DE0_2600_0000,A10003,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.000,0.650,0.650,0.650,0.650,0.650,0.650,0.650,0.650,0.650,0.650,0.650,0.650,0.650,0.650,0.650,0.650,0.650,0.650,0.650,0.650,0.650,0.650,0.650,0.650,0.000,0.257,0.257,0.288,0.235,0.235,0.288,0.288,0.235,0.235,0.235,0.235,0.235,0.235,0.235,0.235,0.235,0.235,0.235,0.253,0.253,0.252,0.256,0.253,0.253,0.000
DE0_2610_0000,A10003,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.000,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.000,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,0.000,0.050,0.050,0.062,0.041,0.041,0.062,0.062,0.041,0.041,0.041,0.041,0.041,0.041,0.041,0.041,0.041,0.041,0.041,0.046,0.046,0.094,0.066,0.046,0.046,0.000
DE0_2640_0000,A10003,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.000,0.650,0.650,0.650,0.650,0.650,0.650,0.650,0.650,0.650,0.650,0.650,0.650,0.650,0.650,0.650,0.650,0.650,0.650,0.650,0.650,0.650,0.650,0.650,0.650,0.000,0.100,0.100,0.106,0.093,0.093,0.106,0.106,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.145,0.145,0.133,0.100,0.145,0.145,0.000
DE0_2690_0000,A10003,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.000,0.650,0.650,0.650,0.650,0.650,0.650,0.650,0.650,0.650,0.650,0.650,0.650,0.650,0.650,0.650,0.650,0.650,0.650,0.650,0.650,0.650,0.650,0.650,0.650,0.000,0.186,0.186,0.221,0.161,0.161,0.221,0.221,0.161,0.161,0.161,0.161,0.161,0.161,0.161,0.161,0.161,0.161,0.161,0.180,0.180,0.306,0.148,0.180,0.180,0.000
DE0_2710_0000,A10003,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.000,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.000,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,0.000,0.025,0.025,0.027,0.022,0.022,0.027,0.027,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.031,0.031,0.032,0.024,0.031,0.031,0.000
DE0_2710_0000,A24015,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.000,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.000,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,0.000,0.016,0.016,0.016,0.015,0.015,0.016,0.016,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.016,0.016,0.016,0.016,0.016,0.016,0.000
DE0_2800_0000,A10003,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.000,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.000,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,0.000,0.080,0.080,0.083,0.081,0.081,0.083,0.083,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.063,0.063,0.051,0.077,0.063,0.063,0.000
DE0_2850_0000,A10003,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.000,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.000,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,0.000,0.071,0.071,0.069,0.059,0.059,0.069,0.069,0.059,0.059,0.059,0.059,0.059,0.059,0.059,0.059,0.059,0.059,0.059,0.051,0.051,0.058,0.058,0.051,0.051,0.000
DE0_2870_0000,A10003,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.000,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.000,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,0.000,0.093,0.093,0.084,0.073,0.073,0.084,0.084,0.073,0.073,0.073,0.073,0.073,0.073,0.073,0.073,0.073,0.073,0.073,0.078,0.078,0.083,0.088,0.078,0.078,0.000
DE0_2920_0000,A10003,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.000,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.000,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,0.000,0.041,0.041,0.049,0.042,0.042,0.049,0.049,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.041,0.041,0.036,0.047,0.041,0.041,0.000
DE0_2960_0000,A10003,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.000,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.000,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,0.000,0.036,0.036,0.033,0.034,0.034,0.033,0.033,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.035,0.035,0.038,0.036,0.035,0.035,0.000
DE0_2990_0000,A10003,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.000,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.000,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,0.000,0.062,0.062,0.051,0.054,0.054,0.051,0.051,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.053,0.053,0.055,0.068,0.053,0.053,0.000
DE0_3110_0000,A10003,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.000,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.000,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,0.000,0.027,0.027,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.024,0.024,0.021,0.026,0.024,0.024,0.000
DE0_3260_0000,A10003,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.000,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.000,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,0.000,0.025,0.025,0.018,0.024,0.024,0.018,0.018,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.023,0.023,0.026,0.028,0.023,0.023,0.000
