TABLE->,ADCALC-DATA,ADCALC-DATA
SU3_0170_0270,1.5,681.84
SU2_0290_0291,1.5,316.7
SU1_0060_0190,1.5,455.16
SU4_0270_0430,1.5,2075.68
SU2_0210_0300,1.5,324.74
SU2_0130_0250,1.5,292.67
SU4_0430_0420,1.5,483.69
SU5_0530_0610,1.5,4775.88
SU5_0610_0600,1.5,2022.57
SU5_0420_0500,1.5,2121.36
SU2_0291_0320,1.5,1950
SU3_0010_0190,1.5,1135.57
SU5_0600_0750,1.5,2638.63
SU3_0190_0300,1.5,984.98
SU4_0300_0310,1.5,601.26
SU2_0150_0220,1.5,796.45
SU2_0100_0230,1.5,583.08
SU2_0320_0340,1.5,84.51
SU2_0040_0180,1.5,409.34
SU2_0020_0140,1.5,505.91
SU2_0030_0140,1.5,1950
SU3_0140_0180,1.5,229.27
SU3_0180_0230,1.5,511.17
SU4_0230_0220,1.5,182.83
SU4_0220_0250,1.5,509.88
SU4_0250_0340,1.5,1332.97
SU5_0340_0310,1.5,825
SU5_0310_0400,1.5,950.01
SU5_0400_0460,1.5,602.72
SU5_0460_0480,1.5,1061.48
SU6_0480_0520,1.5,7451.07
SU6_0520_0500,1.5,1931.78
SU6_0500_0550,1.5,3273.83
SU7_0550_0540,1.5,4177.14
SU7_0540_0720,1.5,6190.86
SU7_0720_0750,1.5,1814.91
SU7_0750_0850,1.5,5532.59
SU7_0850_0730,1.5,2028.07
SU7_0730_0860,1.5,9427.48
SU7_0860_0960,1.5,9745.57
SU7_0960_0950,1.5,1798.86
SU7_0950_1010,1.5,6303.18
SU7_1010_0980,1.5,1319.04
SU7_0980_1120,1.5,11258.15
SU7_1120_1140,1.5,5140.9
SU7_1140_1420,1.5,17451
SU7_1420_1590,1.5,9443.72
SU8_1590_1620,1.5,1134.33
SU8_1620_1610,1.5,2312.76
SU8_1610_1530,1.5,3866.45
SW1_1570_1640,1.5,499.03
SW1_1560_1460,1.5,212.15
SW1_1180_1190,1.5,55.19
SW1_1160_1260,1.5,101.86
SW2_1190_1410,1.5,796.51
SW3_1040_1220,1.5,539.77
SW2_1030_1060,1.5,273.29
SW2_1070_1060,1.5,567.33
SW3_1250_1340,1.5,346.88
SW3_1220_1320,1.5,695.22
SW3_1060_1260,1.5,1426.57
SW4_1260_1300,1.5,621.26
SW3_1080_1350,1.5,850.26
SW0_1520_1600,1.5,451.37
SW2_1000_1110,1.5,415.54
SW2_0880_0930,1.5,267.08
SW2_1100_1130,1.5,474.87
SW1_1910_1890,1.5,89.52
SW2_1050_0930,1.5,224.61
SW3_1600_1580,1.5,232.22
SW3_1090_1091,1.5,809.2
SW2_1770_1690,1.5,463.93
SW3_0930_1110,1.5,1673.12
SW4_1110_1150,1.5,382.63
SW1_1890_1830,1.5,89.52
SW3_1130_1390,1.5,470
SW3_1920_1750,1.5,176.13
SW1_1830_1690,1.5,107.26
SW4_1150_1350,1.5,1761.07
SW5_1350_1470,1.5,1272.9
SW3_1690_1660,1.5,6885
SW2_1360_1430,1.5,2050.8
SW3_1390_1330,1.5,132.44
SW3_1091_1380,1.5,155
SW3_1660_1580,1.5,93.34
SW3_1870_1800,1.5,2542.37
SW3_1750_1540,1.5,1433.46
SW1_1170_1270,1.5,223.09
SW2_1240_1270,1.5,535.52
SW3_1380_1490,1.5,288.43
SW3_1580_1440,1.5,716.43
SW2_1950_1940,1.5,764.07
SW3_1800_1650,1.5,359.35
SW2_2020_1940,1.5,685.04
SW3_1270_1370,1.5,397.79
SW3_1370_1430,1.5,412.19
SW4_1940_1860,1.5,168.05
SW4_1860_1720,1.5,2075
SW4_1430_1490,1.5,299.2
SW4_1490_1400,1.5,1298.67
SW4_1720_1650,1.5,752.74
SW5_1650_1540,1.5,3914.53
SW5_1540_1400,1.5,3757.47
SW6_1400_1330,1.5,1392.72
SW6_1330_1230,1.5,1479.85
SW6_1230_1440,1.5,7666.74
SW6_1440_1470,1.5,2457.65
SW7_1470_1340,1.5,1732.32
SW7_1340_1320,1.5,4213.26
SW7_1320_1300,1.5,2619.04
SW7_1300_1410,1.5,3453.07
SW7_1410_1460,1.5,6120.76
SW7_1460_1640,1.5,3336.94
SJ2_2150_2130,1.5,308.29
SJ2_2110_2170,1.5,190
SJ2_1900_1930,1.5,664.33
SJ3_2160_2170,1.5,1118.85
SJ3_2170_1970,1.5,45.3
SJ1_2280_2450,1.5,299.1
SJ3_2040_1980,1.5,764.32
SJ2_2580_2500,1.5,932.56
SJ2_2500_2450,1.5,156.21
SJ2_2570_2660,1.5,221.18
SJ3_2450_2120,1.5,414.46
SJ3_2250_2230,1.5,1155.83
SJ2_2530_2820,1.5,663.99
SJ3_1980_2060,1.5,282.9
SJ3_2230_2060,1.5,774.37
SJ2_2900_2740,1.5,681.79
SJ4_2060_2010,1.5,95000
SJ4_2010_2210,1.5,307.94
SJ2_2820_2740,1.5,102.23
SJ4_2740_2660,1.5,1851.67
SJ4_2660_2360,1.5,661.54
SJ4_2360_2340,1.5,95000
SJ4_2340_2210,1.5,430.56
SJ5_2210_2320,1.5,1107.58
SJ5_2320_2120,1.5,1114.47
SJ5_2120_1930,1.5,6340.44
SJ6_1930_1970,1.5,3165.03
SJ6_1970_2130,1.5,4640.86
SL0_2721_2720,1.5,158.63
SL2_2750_2720,1.5,592.68
SL2_2410_2700,1.5,848.3
SL1_2390_2420,1.5,276.18
SL2_2300_2520,1.5,553.88
SL1_2190_2350,1.5,555.94
SL2_2200_2350,1.5,646.31
SL0_2831_2830,1.5,34583
SL3_2460_2430,1.5,4719.5
SL3_2350_2470,1.5,356.46
SL1_2770_2730,1.5,306.32
SL0_2180_2220,1.5,156.69
SL3_2470_2420,1.5,310.9
SL3_2420_2700,1.5,790.56
SL3_2400_2440,1.5,1283.82
SL1_2830_2760,1.5,97
SL1_2760_2730,1.5,153.18
SL1_2000_2090,1.5,325.6
SL1_2670_2370,1.5,101.93
SL3_2730_2550,1.5,75.45
SL3_2440_2380,1.5,113.86
SL0_2220_2140,1.5,44.28
SL2_1850_1990,1.5,194.86
SL3_2550_2490,1.5,566.2
SL2_2540_2370,1.5,476.58
SL3_2290_2260,1.5,1090.51
SL2_1990_2070,1.5,226.42
SL2_2070_2090,1.5,159.66
SL3_1960_2080,1.5,605.03
SL4_2370_2330,1.5,2309.45
SL4_2330_2270,1.5,778.12
SL4_2090_2100,1.5,301.55
SL4_2100_2140,1.5,205.99
SL3_2260_2050,1.5,390.3
SL2_1810_2030,1.5,835.98
SL2_1670_1880,1.5,1029.69
SL1_1790_1840,1.5,746.22
SL4_2140_2240,1.5,319.08
SL1_1730_1700,1.5,143.73
SL4_2240_2310,1.5,1163.16
SL3_1710_1740,1.5,1999.88
SL3_1740_1840,1.5,769.74
SL1_1700_1780,1.5,352.38
SL3_1840_1880,1.5,85.94
SW1_1450_1510,1.5,65.82
SW1_1510_1680,1.5,277.82
SJ6_2130_2050,1.5,3751.67
SW7_1640_1680,1.5,1589.56
SW7_1680_1760,1.5,2136.16
SU8_1530_1760,1.5,7821.54
SL8_1760_1780,1.5,3520.12
SL8_1780_1880,1.5,7495.85
SL8_1880_2030,1.5,12707.46
SL8_2030_2080,1.5,7598.65
SL8_2080_2050,1.5,14681
SL9_2050_2270,1.5,15863.8
SL9_2270_2380,1.5,6337.86
SL9_2380_2310,1.5,13213.15
SL9_2310_2430,1.5,6191.26
SL9_2430_2490,1.5,8757.82
SL9_2490_2520,1.5,8252.82
SL9_2520_2700,1.5,8252.82
SL9_2700_2720,1.5,8252.82
SL9_2720_0001,1.5,107221.33
DE0_3791_0001,1.5,93.35
DE0_4141_0001,1.5,44.84
DE0_4231_0001,1.5,5.36
EL0_5400_0001,1.5,310.00
EL1_5150_0001,1.5,35.64
EL1_5570_0001,1.5,175.97
EL1_6000_0001,1.5,48.38
EL2_4400_4590,1.5,118.68
EL2_4590_0001,1.5,237.01
EL2_5110_5270,1.5,85.24
EL2_5270_0001,1.5,457.11
EM2_4100_0001,1.5,259.8
EU0_3830_0001,1.5,50.2
EU1_2650_0001,1.5,251.71
EU1_2810_0001,1.5,142.7
EU2_3520_0001,1.5,190.39
JA0_7291_7290,1.5,10701
JA2_7290_0001,1.5,876.16
JB0_7051_0001,1.5,22953
JB0_7052_0001,1.5,11969
JB1_8090_0001,1.5,1008
JB2_7800_0001,1.5,8488
JB3_7053_0001,1.5,5831
PL0_5141_5140,1.5,13000
PL2_4970_5250,1.5,938.18
PL0_5510_0001,1.5,96.45
PL0_5530_5710,1.5,22.59
PL0_5490_0001,1.5,62.86
PL0_5710_0001,1.5,9.97
PL0_5720_0001,1.5,27.88
PL0_5730_5690,1.5,81.9
PL0_5750_0001,1.5,36.23
PL0_5830_0001,1.5,44.35
PL1_4780_0001,1.5,134.74
PL1_5130_0001,1.5,146.67
PL1_5690_0001,1.5,30.82
PL1_5910_0001,1.5,35
PL2_5140_5360,1.5,365.95
PL2_5470_5360,1.5,503.73
PL2_5300_5630,1.5,218.56
PL3_5360_5250,1.5,616.89
PL2_5630_0001,1.5,55.24
PL3_5250_0001,1.5,12175
RL0_6540_0001,1.5,51.94
RL1_6180_0001,1.5,86.33
SL2_2480_0001,1.5,1350.19
SL2_2910_3060,1.5,398.14
SL2_3060_0001,1.5,593.99
WM0_3650_0001,1.5,63.58
WM0_3740_0001,1.5,72.07
WM1_3910_0001,1.5,157.87
WM3_4060_0001,1.5,904.45
WU0_3250_0001,1.5,83.1
WU0_3670_0001,1.5,30.99
WU1_3240_3331,1.5,106.95
WU1_3331_3330,1.5,14.23
WU1_3330_0001,1.5,77.6
WU1_3350_3490,1.5,181.31
WU1_3482_0001,1.5,286.91
WU1_3490_3480,1.5,64.88
WU2_3320_3480,1.5,137.52
WU3_3480_3481,1.5,75558
WU3_3481_0001,1.5,1803.68
YL2_6580_0001,1.5,578.99
YP0_6860_6840,1.5,77.43
YP0_6840_0001,1.5,30.84
PL0_5000_0001,1.5,69.87
PL0_4510_0001,1.5,204.34
JB3_6820_7053,1.5,1058.19
EM2_3980_0001,1.5,293.05
EL1_5430_0001,1.5,107.44
EL0_4560_4562,1.5,84.4
EL0_4561_4562,1.5,46.26
EL0_4562_0001,1.5,47.93
WU0_3021_3020,1.5,17054
WU2_3020_3320,1.5,320.04
WM0_3881_3880,1.5,133724
WM1_3882_3880,1.5,340.76
WM3_3880_4060,1.5,381.02
WM1_3660_3910,1.5,75.34
PL1_5370_5470,1.5,352.17
PL1_5230_0001,1.5,197.3
PL1_4540_0001,1.5,210.5
PL1_4460_4780,1.5,278.69
PL0_5540_5490,1.5,8.64
PL0_5070_0001,1.5,125.41
PL0_5010_5130,1.5,48.12
XL1_4690_0001,1.5,286.15
XL0_5320_0001,1.5,8.2
JL1_7170_6800,1.5,286.23
JL3_7020_7100,1.5,1996.9
JL2_6240_6520,1.5,689.24
JL2_7110_7120,1.5,1252.72
JL1_6560_6440,1.5,293.16
JL1_6760_6910,1.5,506.72
JL2_7120_6970,1.5,115.32
JL2_6440_6441,1.5,245.98
JL2_6441_6520,1.5,5480
JL1_6770_6850,1.5,216.12
JL1_6910_6960,1.5,202.46
JL1_7080_7190,1.5,130.41
JL4_6520_6710,1.5,2115.97
JL2_6850_6890,1.5,860.62
JL1_7530_7430,1.5,201.06
JL4_6710_6740,1.5,1186.6
JL2_7240_7350,1.5,783.13
JL1_6940_7200,1.5,310.89
JU2_7180_7380,1.5,414.34
JL1_7190_7250,1.5,64.46
JL2_7350_7090,1.5,57.04
JL1_7200_7250,1.5,62.13
JU1_7750_7560,1.5,108.54
JU1_6880_7260,1.5,447.46
JL2_7250_7090,1.5,233.85
JL3_7090_7150,1.5,420.65
JU2_6410_6640,1.5,739.74
JU1_7630_7490,1.5,476.33
JU3_6640_6790,1.5,374.54
JU3_6790_7260,1.5,1199.11
JU1_7560_7500,1.5,378.02
JU1_6300_6650,1.5,385.87
JU4_7260_7380,1.5,805.87
JU1_7690_7490,1.5,481.99
JU2_7450_7360,1.5,843.55
JU1_6340_6650,1.5,226.28
JU4_7380_7160,1.5,385.12
JU3_7490_7400,1.5,1261.54
JU3_7400_7510,1.5,504.79
JU3_6650_7300,1.5,2809.7
JU2_7140_7330,1.5,704.67
JU2_7360_7000,1.5,142.19
JU1_6290_6590,1.5,196.66
JU3_6380_6900,1.5,835.87
JU1_6590_6600,1.5,65.15
JU2_6600_6810,1.5,217.12
JU2_6810_6900,1.5,95.23
JU3_6900_6950,1.5,108995
JU3_6950_7330,1.5,805.68
JU4_7330_7000,1.5,294.37
JU4_7000_7300,1.5,1440.43
JU5_7300_7510,1.5,1921.72
JU5_7510_7500,1.5,784.71
JU5_7500_7420,1.5,2906.47
JU5_7420_7160,1.5,4031.6
JL6_7160_7440,1.5,4464.19
JL6_7440_7430,1.5,10721.88
JL6_7430_7320,1.5,1976.28
JL6_7320_7150,1.5,3065.6
JL6_7150_6890,1.5,6301.81
JL6_6890_6990,1.5,4352.33
JL6_6990_6960,1.5,2577.58
JL6_6960_6970,1.5,1777.13
JL6_6970_6740,1.5,4852.13
JL6_6740_7100,1.5,3436.9
JL7_7100_7030,1.5,840.23
JL7_7030_6800,1.5,3474.75
JL7_6800_7070,1.5,16233.48
JL7_7070_0001,1.5,3959.11
PM0_4640_4820,1.5,58.78
PM1_4250_4500,1.5,340.39
PM2_4860_4670,1.5,348.68
PM1_4500_4580,1.5,124.68
PM1_3710_4040,1.5,330.17
PM3_4670_4660,1.5,791.97
PM1_4430_4200,1.5,477.37
PM1_3120_3400,1.5,522.29
PM3_4660_4620,1.5,599.59
PM2_2860_3040,1.5,863.54
PM1_3510_4000,1.5,261.65
PS1_4790_4830,1.5,365.56
PM1_3450_3400,1.5,294.59
PM1_4000_4290,1.5,253.22
PU0_3000_3090,1.5,201.74
PM2_3400_3340,1.5,47.26
PM3_3040_3340,1.5,415.31
PS2_6730_6660,1.5,419.92
PU0_3751_3752,1.5,39.28
PU2_3090_4050,1.5,1095.74
PM4_3340_3341,1.5,1533.33
PM4_3341_4040,1.5,923.26
PM4_4040_4410,1.5,1845.6
PS2_5550_5560,1.5,595.26
PS1_4830_5080,1.5,233.45
PU2_4730_4220,1.5,160.06
PU2_4050_4180,1.5,164.07
PS0_6150_6160,1.5,10.34
PS2_5560_5100,1.5,1216.4
PS3_5100_5080,1.5,4453.13
PU2_2790_3290,1.5,1634.81
PU2_4220_3900,1.5,864.85
PU0_3601_3602,1.5,33.8
PS2_6660_6490,1.5,99.8
PS4_5080_4380,1.5,805.76
PS3_6460_6230,1.5,2668.13
PU3_2510_3290,1.5,1042.05
PU2_3900_3750,1.5,377.28
PS3_5990_6161,1.5,1205.63
PS2_6490_6420,1.5,329.05
PU2_3770_3600,1.5,1722.97
PU2_2840_3080,1.5,928.49
PU3_3290_3390,1.5,484.64
PS0_6160_6161,1.5,61.23
PS2_6420_6360,1.5,224.17
PU3_3390_3730,1.5,881.87
PU2_3630_3590,1.5,740.81
PU2_3080_3640,1.5,241.9
PU1_3030_3440,1.5,404.48
PS3_6161_6280,1.5,89.74
PS3_6280_6230,1.5,388.04
PS4_6230_6360,1.5,371.61
PU0_3611_3530,1.5,27.52
PU2_4340_3860,1.5,1309.53
PU0_3871_3690,1.5,160.89
PU3_4280_3860,1.5,3262.96
PS4_6360_5840,1.5,397.18
PS4_5840_5240,1.5,5262.92
PU3_3860_3610,1.5,2446.6
PU1_3100_3690,1.5,413.99
PS5_5240_5200,1.5,6970.16
PS5_5200_4380,1.5,522.93
PS5_4380_4370,1.5,11992.96
PU2_3180_3370,1.5,175.34
PU2_6050_5190,1.5,207.79
PU2_3370_4020,1.5,557.69
PS5_4370_4150,1.5,1121.44
PU2_4360_4160,1.5,939.63
PU0_6080_5620,1.5,411.48
PU1_3170_3580,1.5,154.55
PU2_4160_3930,1.5,427.2
PU2_5190_4310,1.5,1508.76
PU1_5520_5210,1.5,218.52
PU2_3140_3680,1.5,972.27
PU1_3580_3780,1.5,145.97
PU1_3940_3970,1.5,264.55
PU1_5820_5380,1.5,47.3
PU0_5620_5380,1.5,500.53
PU2_5700_5210,1.5,760.09
PU3_3680_3890,1.5,156.17
PU1_3850_4190,1.5,152.01
PU3_5210_5050,1.5,746.04
PU1_5380_5050,1.5,790.73
PU4_5050_4310,1.5,1490.8
PU4_4310_4210,1.5,5887.98
PU1_4840_4760,1.5,15380
PU1_4190_4300,1.5,2923
PU4_4210_4170,1.5,1667.18
PU2_4720_4750,1.5,210.64
PU1_4760_4451,1.5,77.57
PU1_4300_4440,1.5,96.04
PU2_4750_4451,1.5,59.27
PU3_4451_4450,1.5,44389
PU4_4440_3970,1.5,97.48
PU4_3970_3890,1.5,2180.98
PU4_3890_3990,1.5,179.19
PU4_3990_3780,1.5,160.75
PU4_3780_3930,1.5,915.09
PU5_3930_4170,1.5,1115.01
PU5_4170_4020,1.5,729.24
PU6_4020_3870,1.5,1307.53
PU6_3870_3690,1.5,18863
PU6_3690_3610,1.5,877.27
PU6_3610_3530,1.5,8462.75
PU6_3530_3440,1.5,424.95
PU6_3440_3590,1.5,1551.32
PU6_3590_3640,1.5,737.89
PU6_3640_3600,1.5,1638.43
PU6_3600_3602,1.5,8108.29
PU6_3602_3730,1.5,6059.1
PU6_3730_3750,1.5,3106.55
PU6_3750_3752,1.5,9109.51
PU6_3752_4080,1.5,7293.51
PU6_4080_4180,1.5,1330.17
PU6_4180_4150,1.5,3806.44
PM7_4150_4290,1.5,5469.81
PM7_4290_4200,1.5,1585.92
PM7_4200_4410,1.5,4592.01
PM7_4410_4620,1.5,8054.1
PM7_4620_4580,1.5,6141.05
PM7_4580_4820,1.5,13272.75
PM7_4820_0001,1.5,2285.63
EL0_5767_0001,1.5,300.00
EL2_5272_5270,1.5,150.00
EU0_3726_0001,1.5,200.00
PM1_3711_3710,1.5,5000.00
PM1_4251_4250,1.5,15000.00
PM1_4252_4250,1.5,3000.00
PU3_4450_4440,1.5,3000.00
XU0_4092_4090,1.5,3000.00
end
