rseg,lseg,shortName,landuse_type,const,lbs
EL0_4594_0000,A24045,UrbStrmRest,rid,TP,4.08E-04
EL0_4594_0000,A24045,UrbStrmRest,nid,SED,7.886672
EL0_4594_0000,A24045,UrbStrmRest,nid,TN,7.89E-02
EL0_4594_0000,A24045,UrbStrmRest,nid,TP,9.86E-03
EL0_4594_0000,A24045,UrbStrmRest,rpd,SED,1.141961
EL0_4594_0000,A24045,UrbStrmRest,rpd,TN,1.14E-02
EL0_4594_0000,A24045,UrbStrmRest,rpd,TP,1.43E-03
EL0_4594_0000,A24045,UrbStrmRest,npd,SED,29.58394
EL0_4594_0000,A24045,UrbStrmRest,npd,TN,0.2958394
EL0_4594_0000,A24045,UrbStrmRest,npd,TP,3.70E-02
EL0_4595_0000,A24045,UrbStrmRest,rid,SED,0.96353
EL0_4595_0000,A24045,UrbStrmRest,rid,TN,9.64E-03
EL0_4595_0000,A24045,UrbStrmRest,rid,TP,1.20E-03
EL0_4595_0000,A24045,UrbStrmRest,nid,SED,6.709024
EL0_4595_0000,A24045,UrbStrmRest,nid,TN,6.71E-02
EL0_4595_0000,A24045,UrbStrmRest,nid,TP,8.39E-03
EL0_4595_0000,A24045,UrbStrmRest,rpd,SED,3.115414
EL0_4595_0000,A24045,UrbStrmRest,rpd,TN,3.12E-02
EL0_4595_0000,A24045,UrbStrmRest,rpd,TP,3.89E-03
EL0_4595_0000,A24045,UrbStrmRest,npd,SED,23.58864
EL0_4595_0000,A24045,UrbStrmRest,npd,TN,0.2358864
EL0_4595_0000,A24045,UrbStrmRest,npd,TP,2.95E-02
EL0_4596_0000,A24045,UrbStrmRest,rid,SED,0.5388631
EL0_4596_0000,A24045,UrbStrmRest,rid,TN,5.39E-03
EL0_4596_0000,A24045,UrbStrmRest,rid,TP,6.74E-04
EL0_4596_0000,A24045,UrbStrmRest,nid,SED,1.937766
EL0_4596_0000,A24045,UrbStrmRest,nid,TN,1.94E-02
EL0_4596_0000,A24045,UrbStrmRest,nid,TP,2.42E-03
EL0_4596_0000,A24045,UrbStrmRest,rpd,SED,0.6102357
EL0_4596_0000,A24045,UrbStrmRest,rpd,TN,6.10E-03
EL0_4596_0000,A24045,UrbStrmRest,rpd,TP,7.63E-04
EL0_4596_0000,A24045,UrbStrmRest,npd,SED,2.194707
EL0_4596_0000,A24045,UrbStrmRest,npd,TN,2.19E-02
EL0_4596_0000,A24045,UrbStrmRest,npd,TP,2.74E-03
EL2_4630_0000,A24011,UrbStrmRest,rid,SED,0
EL2_4630_0000,A24011,UrbStrmRest,rid,TN,0
EL2_4630_0000,A24011,UrbStrmRest,rid,TP,0
EL2_4630_0000,A24011,UrbStrmRest,nid,SED,0.1734354
EL2_4630_0000,A24011,UrbStrmRest,nid,TN,1.73E-03
EL2_4630_0000,A24011,UrbStrmRest,nid,TP,2.17E-04
EL2_4630_0000,A24011,UrbStrmRest,rpd,SED,0
EL2_4630_0000,A24011,UrbStrmRest,rpd,TN,0
EL2_4630_0000,A24011,UrbStrmRest,rpd,TP,0
EL2_4630_0000,A24011,UrbStrmRest,npd,SED,0.4567846
EL2_4630_0000,A24011,UrbStrmRest,npd,TN,4.57E-03
EL2_4630_0000,A24011,UrbStrmRest,npd,TP,5.71E-04
EL2_4630_0000,A24019,UrbStrmRest,rid,SED,2.85E-03
EL2_4630_0000,A24019,UrbStrmRest,rid,TN,2.85E-05
EL2_4630_0000,A24019,UrbStrmRest,rid,TP,3.57E-06
EL2_4630_0000,A24019,UrbStrmRest,nid,SED,0.8885888
EL2_4630_0000,A24019,UrbStrmRest,nid,TN,8.89E-03
EL2_4630_0000,A24019,UrbStrmRest,nid,TP,1.11E-03
EL2_4630_0000,A24019,UrbStrmRest,rpd,SED,6.42E-03
EL2_4630_0000,A24019,UrbStrmRest,rpd,TN,6.42E-05
EL2_4630_0000,A24019,UrbStrmRest,rpd,TP,8.03E-06
EL2_4630_0000,A24019,UrbStrmRest,npd,SED,3.600747
EL2_4630_0000,A24019,UrbStrmRest,npd,TN,3.60E-02
EL2_4630_0000,A24019,UrbStrmRest,npd,TP,4.50E-03
EL2_4630_0000,A24045,UrbStrmRest,rid,SED,0
EL2_4630_0000,A24045,UrbStrmRest,rid,TN,0
EL2_4630_0000,A24045,UrbStrmRest,rid,TP,0
EL2_4630_0000,A24045,UrbStrmRest,nid,SED,9.78E-02
EL2_4630_0000,A24045,UrbStrmRest,nid,TN,9.78E-04
EL2_4630_0000,A24045,UrbStrmRest,nid,TP,1.22E-04
EL2_4630_0000,A24045,UrbStrmRest,rpd,SED,0
EL2_4630_0000,A24045,UrbStrmRest,rpd,TN,0
EL2_4630_0000,A24045,UrbStrmRest,rpd,TP,0
EL2_4630_0000,A24045,UrbStrmRest,npd,SED,0.6530592
EL2_4630_0000,A24045,UrbStrmRest,npd,TN,6.53E-03
EL2_4630_0000,A24045,UrbStrmRest,npd,TP,8.16E-04
EL0_4633_0000,A24045,UrbStrmRest,rid,SED,0.06280788
EL0_4633_0000,A24045,UrbStrmRest,rid,TN,6.28E-04
EL0_4633_0000,A24045,UrbStrmRest,rid,TP,7.85E-05
EL0_4633_0000,A24045,UrbStrmRest,nid,SED,0.6923141
EL0_4633_0000,A24045,UrbStrmRest,nid,TN,6.92E-03
EL0_4633_0000,A24045,UrbStrmRest,nid,TP,8.65E-04
EL0_4633_0000,A24045,UrbStrmRest,rpd,SED,0.2562276
EL0_4633_0000,A24045,UrbStrmRest,rpd,TN,2.56E-03
EL0_4633_0000,A24045,UrbStrmRest,rpd,TP,3.20E-04
EL0_4633_0000,A24045,UrbStrmRest,npd,SED,2.851335
EL0_4633_0000,A24045,UrbStrmRest,npd,TN,0.02851335
EL0_4633_0000,A24045,UrbStrmRest,npd,TP,3.56E-03
EL0_5040_0000,A24045,UrbStrmRest,rid,SED,1.059883
EL0_5040_0000,A24045,UrbStrmRest,rid,TN,0.01059883
EL0_5040_0000,A24045,UrbStrmRest,rid,TP,1.32E-03
EL0_5040_0000,A24045,UrbStrmRest,nid,SED,8.95726
EL0_5040_0000,A24045,UrbStrmRest,nid,TN,8.96E-02
EL0_5040_0000,A24045,UrbStrmRest,nid,TP,1.12E-02
EL0_5040_0000,A24045,UrbStrmRest,rpd,SED,3.675689
EL0_5040_0000,A24045,UrbStrmRest,rpd,TN,3.68E-02
EL0_5040_0000,A24045,UrbStrmRest,rpd,TP,4.59E-03
EL0_5040_0000,A24045,UrbStrmRest,npd,SED,31.18982
EL0_5040_0000,A24045,UrbStrmRest,npd,TN,0.3118982
EL0_5040_0000,A24045,UrbStrmRest,npd,TP,3.90E-02
EL2_5110_5270,A24045,UrbStrmRest,rid,SED,1.07E-02
EL2_5110_5270,A24045,UrbStrmRest,rid,TN,1.07E-04
EL2_5110_5270,A24045,UrbStrmRest,rid,TP,1.34E-05
EL2_5110_5270,A24045,UrbStrmRest,nid,SED,3.925493
EL2_5110_5270,A24045,UrbStrmRest,nid,TN,3.93E-02
EL2_5110_5270,A24045,UrbStrmRest,nid,TP,4.91E-03
EL2_5110_5270,A24045,UrbStrmRest,rpd,SED,2.07E-02
EL2_5110_5270,A24045,UrbStrmRest,rpd,TN,2.07E-04
EL2_5110_5270,A24045,UrbStrmRest,rpd,TP,2.59E-05
EL2_5110_5270,A24045,UrbStrmRest,npd,SED,8.38628
EL2_5110_5270,A24045,UrbStrmRest,npd,TN,8.39E-02
EL2_5110_5270,A24045,UrbStrmRest,npd,TP,0.01048285
EL2_5110_5270,A24047,UrbStrmRest,rid,SED,0.2041256
EL2_5110_5270,A24047,UrbStrmRest,rid,TN,2.04E-03
EL2_5110_5270,A24047,UrbStrmRest,rid,TP,2.55E-04
EL2_5110_5270,A24047,UrbStrmRest,nid,SED,1.712942
EL2_5110_5270,A24047,UrbStrmRest,nid,TN,1.71E-02
EL2_5110_5270,A24047,UrbStrmRest,nid,TP,2.14E-03
EL2_5110_5270,A24047,UrbStrmRest,rpd,SED,0.6173729
EL2_5110_5270,A24047,UrbStrmRest,rpd,TN,6.17E-03
EL2_5110_5270,A24047,UrbStrmRest,rpd,TP,7.72E-04
EL2_5110_5270,A24047,UrbStrmRest,npd,SED,5.174513
EL2_5110_5270,A24047,UrbStrmRest,npd,TN,5.17E-02
EL2_5110_5270,A24047,UrbStrmRest,npd,TP,6.47E-03
EL1_5150_0001,A24019,UrbStrmRest,rid,SED,0.3418747
EL1_5150_0001,A24019,UrbStrmRest,rid,TN,3.42E-03
EL1_5150_0001,A24019,UrbStrmRest,rid,TP,4.27E-04
EL1_5150_0001,A24019,UrbStrmRest,nid,SED,3.711375
EL1_5150_0001,A24019,UrbStrmRest,nid,TN,3.71E-02
EL1_5150_0001,A24019,UrbStrmRest,nid,TP,4.64E-03
EL1_5150_0001,A24019,UrbStrmRest,rpd,SED,1.234746
EL1_5150_0001,A24019,UrbStrmRest,rpd,TN,1.23E-02
EL1_5150_0001,A24019,UrbStrmRest,rpd,TP,1.54E-03
EL1_5150_0001,A24019,UrbStrmRest,npd,SED,13.41805
EL1_5150_0001,A24019,UrbStrmRest,npd,TN,0.1341805
EL1_5150_0001,A24019,UrbStrmRest,npd,TP,1.68E-02
EL0_5151_0000,A24019,UrbStrmRest,rid,SED,1.463138
EL0_5151_0000,A24019,UrbStrmRest,rid,TN,0.01463138
EL0_5151_0000,A24019,UrbStrmRest,rid,TP,1.83E-03
EL0_5151_0000,A24019,UrbStrmRest,nid,SED,12.66864
EL0_5151_0000,A24019,UrbStrmRest,nid,TN,0.1266863
EL0_5151_0000,A24019,UrbStrmRest,nid,TP,1.58E-02
EL0_5151_0000,A24019,UrbStrmRest,rpd,SED,3.647139
EL0_5151_0000,A24019,UrbStrmRest,rpd,TN,3.65E-02
EL0_5151_0000,A24019,UrbStrmRest,rpd,TP,4.56E-03
EL0_5151_0000,A24019,UrbStrmRest,npd,SED,31.54669
EL0_5151_0000,A24019,UrbStrmRest,npd,TN,0.3154669
EL0_5151_0000,A24019,UrbStrmRest,npd,TP,3.94E-02
EL0_5151_0000,F24019,UrbStrmRest,rid,SED,0
EL0_5151_0000,F24019,UrbStrmRest,rid,TN,0
EL0_5151_0000,F24019,UrbStrmRest,rid,TP,0
EL0_5151_0000,F24019,UrbStrmRest,nid,SED,0
EL0_5151_0000,F24019,UrbStrmRest,nid,TN,0
EL0_5151_0000,F24019,UrbStrmRest,nid,TP,0
EL0_5151_0000,F24019,UrbStrmRest,rpd,SED,0
EL0_5151_0000,F24019,UrbStrmRest,rpd,TN,0
EL0_5151_0000,F24019,UrbStrmRest,rpd,TP,0
EL0_5151_0000,F24019,UrbStrmRest,npd,SED,0
EL0_5151_0000,F24019,UrbStrmRest,npd,TN,0
EL0_5151_0000,F24019,UrbStrmRest,npd,TP,0
EL2_5270_0001,A24045,UrbStrmRest,rid,SED,1.991295
EL2_5270_0001,A24045,UrbStrmRest,rid,TN,1.99E-02
EL2_5270_0001,A24045,UrbStrmRest,rid,TP,2.49E-03
EL2_5270_0001,A24045,UrbStrmRest,nid,SED,22.73217
EL2_5270_0001,A24045,UrbStrmRest,nid,TN,0.2273217
EL2_5270_0001,A24045,UrbStrmRest,nid,TP,2.84E-02
EL2_5270_0001,A24045,UrbStrmRest,rpd,SED,5.995298
EL2_5270_0001,A24045,UrbStrmRest,rpd,TN,6.00E-02
EL2_5270_0001,A24045,UrbStrmRest,rpd,TP,7.49E-03
EL2_5270_0001,A24045,UrbStrmRest,npd,SED,77.11809
EL2_5270_0001,A24045,UrbStrmRest,npd,TN,0.7711809
EL2_5270_0001,A24045,UrbStrmRest,npd,TP,9.64E-02
EL2_5270_0001,A24047,UrbStrmRest,rid,SED,0.8564711
EL2_5270_0001,A24047,UrbStrmRest,rid,TN,8.56E-03
EL2_5270_0001,A24047,UrbStrmRest,rid,TP,1.07E-03
EL2_5270_0001,A24047,UrbStrmRest,nid,SED,16.55844
EL2_5270_0001,A24047,UrbStrmRest,nid,TN,0.1655844
EL2_5270_0001,A24047,UrbStrmRest,nid,TP,2.07E-02
EL2_5270_0001,A24047,UrbStrmRest,rpd,SED,1.598746
EL2_5270_0001,A24047,UrbStrmRest,rpd,TN,0.01598746
EL2_5270_0001,A24047,UrbStrmRest,rpd,TP,2.00E-03
EL2_5270_0001,A24047,UrbStrmRest,npd,SED,46.03532
EL2_5270_0001,A24047,UrbStrmRest,npd,TN,0.4603532
EL2_5270_0001,A24047,UrbStrmRest,npd,TP,5.75E-02
EL0_5271_0000,A24047,UrbStrmRest,rid,SED,0.7636867
EL0_5271_0000,A24047,UrbStrmRest,rid,TN,7.64E-03
EL0_5271_0000,A24047,UrbStrmRest,rid,TP,9.55E-04
EL0_5271_0000,A24047,UrbStrmRest,nid,SED,8.67177
EL0_5271_0000,A24047,UrbStrmRest,nid,TN,8.67E-02
EL0_5271_0000,A24047,UrbStrmRest,nid,TP,1.08E-02
EL0_5271_0000,A24047,UrbStrmRest,rpd,SED,1.752197
EL0_5271_0000,A24047,UrbStrmRest,rpd,TN,1.75E-02
EL0_5271_0000,A24047,UrbStrmRest,rpd,TP,2.19E-03
EL0_5271_0000,A24047,UrbStrmRest,npd,SED,21.30472
EL0_5271_0000,A24047,UrbStrmRest,npd,TN,0.2130472
EL0_5271_0000,A24047,UrbStrmRest,npd,TP,2.66E-02
EL0_5280_0000,A24019,UrbStrmRest,rid,SED,2.548002
EL0_5280_0000,A24019,UrbStrmRest,rid,TN,2.55E-02
EL0_5280_0000,A24019,UrbStrmRest,rid,TP,3.19E-03
EL0_5280_0000,A24019,UrbStrmRest,nid,SED,14.20315
EL0_5280_0000,A24019,UrbStrmRest,nid,TN,0.1420315
EL0_5280_0000,A24019,UrbStrmRest,nid,TP,1.78E-02
EL0_5280_0000,A24019,UrbStrmRest,rpd,SED,7.601181
EL0_5280_0000,A24019,UrbStrmRest,rpd,TN,7.60E-02
EL0_5280_0000,A24019,UrbStrmRest,rpd,TP,9.50E-03
EL0_5280_0000,A24019,UrbStrmRest,npd,SED,43.35885
EL0_5280_0000,A24019,UrbStrmRest,npd,TN,0.4335885
EL0_5280_0000,A24019,UrbStrmRest,npd,TP,5.42E-02
EL0_5280_0000,F24019,UrbStrmRest,rid,SED,0.8529025
EL0_5280_0000,F24019,UrbStrmRest,rid,TN,8.53E-03
EL0_5280_0000,F24019,UrbStrmRest,rid,TP,1.07E-03
EL0_5280_0000,F24019,UrbStrmRest,nid,SED,8.21E-02
EL0_5280_0000,F24019,UrbStrmRest,nid,TN,8.21E-04
EL0_5280_0000,F24019,UrbStrmRest,nid,TP,1.03E-04
EL0_5280_0000,F24019,UrbStrmRest,rpd,SED,0
EL0_5280_0000,F24019,UrbStrmRest,rpd,TN,0
EL0_5280_0000,F24019,UrbStrmRest,rpd,TP,0
EL0_5280_0000,F24019,UrbStrmRest,npd,SED,0
EL0_5280_0000,F24019,UrbStrmRest,npd,TN,0
EL0_5280_0000,F24019,UrbStrmRest,npd,TP,0
EL0_5281_0000,A24019,UrbStrmRest,rid,SED,0.7458436
EL0_5281_0000,A24019,UrbStrmRest,rid,TN,7.46E-03
EL0_5281_0000,A24019,UrbStrmRest,rid,TP,9.32E-04
EL0_5281_0000,A24019,UrbStrmRest,nid,SED,0.385412
EL0_5281_0000,A24019,UrbStrmRest,nid,TN,3.85E-03
EL0_5281_0000,A24019,UrbStrmRest,nid,TP,4.82E-04
EL0_5281_0000,A24019,UrbStrmRest,rpd,SED,0.1227609
EL0_5281_0000,A24019,UrbStrmRest,rpd,TN,1.23E-03
EL0_5281_0000,A24019,UrbStrmRest,rpd,TP,1.53E-04
EL0_5281_0000,A24019,UrbStrmRest,npd,SED,0.6209415
EL0_5281_0000,A24019,UrbStrmRest,npd,TN,6.21E-03
EL0_5281_0000,A24019,UrbStrmRest,npd,TP,7.76E-04
EL0_5283_0000,A24019,UrbStrmRest,rid,SED,0.4639218
EL0_5283_0000,A24019,UrbStrmRest,rid,TN,4.64E-03
EL0_5283_0000,A24019,UrbStrmRest,rid,TP,5.80E-04
EL0_5283_0000,A24019,UrbStrmRest,nid,SED,1.48455
EL0_5283_0000,A24019,UrbStrmRest,nid,TN,1.48E-02
EL0_5283_0000,A24019,UrbStrmRest,nid,TP,1.86E-03
EL0_5283_0000,A24019,UrbStrmRest,rpd,SED,0.1570197
EL0_5283_0000,A24019,UrbStrmRest,rpd,TN,1.57E-03
EL0_5283_0000,A24019,UrbStrmRest,rpd,TP,1.96E-04
EL0_5283_0000,A24019,UrbStrmRest,npd,SED,0.4996082
EL0_5283_0000,A24019,UrbStrmRest,npd,TN,5.00E-03
EL0_5283_0000,A24019,UrbStrmRest,npd,TP,6.25E-04
EL0_5283_0000,F24019,UrbStrmRest,rid,SED,0
EL0_5283_0000,F24019,UrbStrmRest,rid,TN,0
EL0_5283_0000,F24019,UrbStrmRest,rid,TP,0
EL0_5283_0000,F24019,UrbStrmRest,nid,SED,0
EL0_5283_0000,F24019,UrbStrmRest,nid,TN,0
EL0_5283_0000,F24019,UrbStrmRest,nid,TP,0
EL0_5283_0000,F24019,UrbStrmRest,rpd,SED,0
EL0_5283_0000,F24019,UrbStrmRest,rpd,TN,0
EL0_5283_0000,F24019,UrbStrmRest,rpd,TP,0
EL0_5283_0000,F24019,UrbStrmRest,npd,SED,0
EL0_5283_0000,F24019,UrbStrmRest,npd,TN,0
EL0_5283_0000,F24019,UrbStrmRest,npd,TP,0
EL0_5400_0001,A24045,UrbStrmRest,rid,SED,23.6957
EL0_5400_0001,A24045,UrbStrmRest,rid,TN,0.236957
EL0_5400_0001,A24045,UrbStrmRest,rid,TP,2.96E-02
EL0_5400_0001,A24045,UrbStrmRest,nid,SED,53.24395
EL0_5400_0001,A24045,UrbStrmRest,nid,TN,0.5324395
EL0_5400_0001,A24045,UrbStrmRest,nid,TP,6.66E-02
EL0_5400_0001,A24045,UrbStrmRest,rpd,SED,45.96395
EL0_5400_0001,A24045,UrbStrmRest,rpd,TN,0.4596395
EL0_5400_0001,A24045,UrbStrmRest,rpd,TP,5.75E-02
EL0_5400_0001,A24045,UrbStrmRest,npd,SED,144.0656
EL0_5400_0001,A24045,UrbStrmRest,npd,TN,1.440656
EL0_5400_0001,A24045,UrbStrmRest,npd,TP,0.180082
EL1_5430_0001,A24045,UrbStrmRest,rid,SED,0.9670987
EL1_5430_0001,A24045,UrbStrmRest,rid,TN,9.67E-03
EL1_5430_0001,A24045,UrbStrmRest,rid,TP,1.21E-03
EL1_5430_0001,A24045,UrbStrmRest,nid,SED,10.09922
EL1_5430_0001,A24045,UrbStrmRest,nid,TN,0.1009922
EL1_5430_0001,A24045,UrbStrmRest,nid,TP,1.26E-02
EL1_5430_0001,A24045,UrbStrmRest,rpd,SED,2.159021
EL1_5430_0001,A24045,UrbStrmRest,rpd,TN,2.16E-02
EL1_5430_0001,A24045,UrbStrmRest,rpd,TP,2.70E-03
EL1_5430_0001,A24045,UrbStrmRest,npd,SED,32.0463
EL1_5430_0001,A24045,UrbStrmRest,npd,TN,0.3204629
EL1_5430_0001,A24045,UrbStrmRest,npd,TP,4.01E-02
EL1_5430_0001,A24047,UrbStrmRest,rid,SED,0.5674121
EL1_5430_0001,A24047,UrbStrmRest,rid,TN,5.67E-03
EL1_5430_0001,A24047,UrbStrmRest,rid,TP,7.09E-04
EL1_5430_0001,A24047,UrbStrmRest,nid,SED,2.323178
EL1_5430_0001,A24047,UrbStrmRest,nid,TN,2.32E-02
EL1_5430_0001,A24047,UrbStrmRest,nid,TP,2.90E-03
EL1_5430_0001,A24047,UrbStrmRest,rpd,SED,7.14E-02
EL1_5430_0001,A24047,UrbStrmRest,rpd,TN,7.14E-04
EL1_5430_0001,A24047,UrbStrmRest,rpd,TP,8.92E-05
EL1_5430_0001,A24047,UrbStrmRest,npd,SED,1.373922
EL1_5430_0001,A24047,UrbStrmRest,npd,TN,1.37E-02
EL1_5430_0001,A24047,UrbStrmRest,npd,TP,1.72E-03
EL1_5570_0001,A24039,UrbStrmRest,rid,SED,0.2283923
EL1_5570_0001,A24039,UrbStrmRest,rid,TN,2.28E-03
EL1_5570_0001,A24039,UrbStrmRest,rid,TP,2.85E-04
EL1_5570_0001,A24039,UrbStrmRest,nid,SED,2.958394
EL1_5570_0001,A24039,UrbStrmRest,nid,TN,0.02958394
EL1_5570_0001,A24039,UrbStrmRest,nid,TP,3.70E-03
EL1_5570_0001,A24039,UrbStrmRest,rpd,SED,0.3818434
EL1_5570_0001,A24039,UrbStrmRest,rpd,TN,3.82E-03
EL1_5570_0001,A24039,UrbStrmRest,rpd,TP,4.77E-04
EL1_5570_0001,A24039,UrbStrmRest,npd,SED,4.924709
EL1_5570_0001,A24039,UrbStrmRest,npd,TN,4.92E-02
EL1_5570_0001,A24039,UrbStrmRest,npd,TP,6.16E-03
EL1_5570_0001,A24045,UrbStrmRest,rid,SED,0.2012707
EL1_5570_0001,A24045,UrbStrmRest,rid,TN,2.01E-03
EL1_5570_0001,A24045,UrbStrmRest,rid,TP,2.52E-04
EL1_5570_0001,A24045,UrbStrmRest,nid,SED,1.552354
EL1_5570_0001,A24045,UrbStrmRest,nid,TN,1.55E-02
EL1_5570_0001,A24045,UrbStrmRest,nid,TP,1.94E-03
EL1_5570_0001,A24045,UrbStrmRest,rpd,SED,0.6102357
EL1_5570_0001,A24045,UrbStrmRest,rpd,TN,6.10E-03
EL1_5570_0001,A24045,UrbStrmRest,rpd,TP,7.63E-04
EL1_5570_0001,A24045,UrbStrmRest,npd,SED,4.710591
EL1_5570_0001,A24045,UrbStrmRest,npd,TN,4.71E-02
EL1_5570_0001,A24045,UrbStrmRest,npd,TP,5.89E-03
EL1_5570_0001,A24047,UrbStrmRest,rid,SED,1.912785
EL1_5570_0001,A24047,UrbStrmRest,rid,TN,1.91E-02
EL1_5570_0001,A24047,UrbStrmRest,rid,TP,2.39E-03
EL1_5570_0001,A24047,UrbStrmRest,nid,SED,3.85412
EL1_5570_0001,A24047,UrbStrmRest,nid,TN,3.85E-02
EL1_5570_0001,A24047,UrbStrmRest,nid,TP,4.82E-03
EL1_5570_0001,A24047,UrbStrmRest,rpd,SED,0.8564711
EL1_5570_0001,A24047,UrbStrmRest,rpd,TN,8.56E-03
EL1_5570_0001,A24047,UrbStrmRest,rpd,TP,1.07E-03
EL1_5570_0001,A24047,UrbStrmRest,npd,SED,1.723648
EL1_5570_0001,A24047,UrbStrmRest,npd,TN,0.01723648
EL1_5570_0001,A24047,UrbStrmRest,npd,TP,2.15E-03
